变量名,name,isWorldEnter,chapterType,res,baseMap,describe,ownerId,openLevel,seq,heroMapId,nightmareMapId,starAwardConds,starAwardIDs
25,古代祭坛,,1,GKDT_ptgk13.json,city/gate/map/img_jt.png,,1,65,<11501;11502;11503;11504;11505;11506;11507;11508;11509;11510>,125,225,<10;20;30>,<1251;1252;1253>
26,凛冽冻原,,1,GKDT_ptgk13.json,city/gate/map/img_by.png,,1,70,<11601;11602;11603;11604;11605;11606;11607;11608;11609;11610>,126,226,<10;20;30>,<1261;1262;1263>
27,游乐园,,1,GKDT_ptgk13.json,city/gate/map/img_yly.png,,1,75,<11701;11702;11703;11704;11705;11706;11707;11708;11709;11710>,127,227,<10;20;30>,<1271;1272;1273>
28,饲育家学校,,1,GKDT_ptgk13.json,city/gate/map/img_syjxx.png,,1,80,<11801;11802;11803;11804;11805;11806;11807;11808;11809;11810>,128,228,<10;20;30>,<1281;1282;1283>
29,马戏团,,1,GKDT_ptgk13.json,city/gate/map/img_mxt.png,,1,85,<11901;11902;11903;11904;11905;11906;11907;11908;11909;11910>,129,229,<10;20;30>,<1291;1292;1293>
30,暗影山,,1,GKDT_ptgk13.json,city/gate/map/img_ays.png,,1,90,<12001;12002;12003;12004;12005;12006;12007;12008;12009;12010>,130,230,<10;20;30>,<1301;1302;1303>
31,香薰市,,1,GKDT_ptgk13.json,city/gate/map/img_xxs.png,,1,95,<12101;12102;12103;12104;12105;12106;12107;12108;12109;12110>,131,231,<10;20;30>,<1311;1312;1313>
32,枯叶市,,1,GKDT_ptgk13.json,city/gate/map/img_kys.png,,1,100,<12201;12202;12203;12204;12205;12206;12207;12208;12209;12210>,132,232,<10;20;30>,<1321;1322;1323>
33,神和镇,,1,GKDT_ptgk5.json,city/gate/map/img_shz.png,,1,105,<12301;12302;12303;12304;12305;12306;12307;12308;12309;12310>,133,233,<10;20;30>,<1331;1332;1333>
34,迷失山林,,1,GKDT_ptgk5.json,city/gate/map/img_mssl.png,,1,110,<12401;12402;12403;12404;12405;12406;12407;12408;12409;12410>,134,234,<10;20;30>,<1341;1342;1343>
35,风絮镇,,1,GKDT_ptgk5.json,city/gate/map/img_fxz.png,,1,115,<12501;12502;12503;12504;12505;12506;12507;12508;12509;12510>,135,235,<10;20;30>,<1351;1352;1353>
36,密阿雷市,,1,GKDT_ptgk5.json,city/gate/map/img_mals.png,,1,120,<12601;12602;12603;12604;12605;12606;12607;12608;12609;12610>,136,236,<10;20;30>,<1361;1362;1363>
37,雪风镇,,1,GKDT_ptgk5.json,city/gate/map/img_xfz.png,,1,125,<12701;12702;12703;12704;12705;12706;12707;12708;12709;12710>,137,237,<10;20;30>,<1371;1372;1373>
38,名水镇,,1,GKDT_ptgk5.json,city/gate/map/img_fcxz.png,,1,130,<12801;12802;12803;12804;12805;12806;12807;12808;12809;12810>,138,238,<10;20;30>,<1381;1382;1383>
39,利利小镇,,1,GKDT_ptgk5.json,city/gate/map/img_llxz.png,,1,135,<12901;12902;12903;12904;12905;12906;12907;12908;12909;12910>,139,239,<10;20;30>,<1391;1392;1393>
40,三云岛,,1,GKDT_ptgk5.json,city/gate/map/img_syd.png,,1,140,<13001;13002;13003;13004;13005;13006;13007;13008;13009;13010>,140,240,<10;20;30>,<1401;1402;1403>
41,绿荫镇,,1,GKDT_ptgk5.json,city/gate/map/img_zgj.png,,1,145,<13101;13102;13103;13104;13105;13106;13107;13108;13109;13110>,141,241,<10;20;30>,<1411;1412;1413>
111,真新镇,,2,GKDT_ptgk1.json,city/gate/map/img_zxz.png,,1,1,<20101;20102;20103>,,,<0;0;9>,<0;0;1501>
112,神秘部落,,2,GKDT_ptgk2.json,city/gate/map/img_smbl.png,,1,1,<20201;20202;20203>,,,<0;0;9>,<0;0;1511>
113,废弃城市,,2,GKDT_ptgk3.json,city/gate/map/img_fqcs.png,,1,1,<20301;20302;20303;20304>,,,<0;0;12>,<0;0;1521>
114,度假岛,,2,GKDT_ptgk4.json,city/gate/map/img_djd.png,,1,1,<20401;20402;20403;20404>,,,<0;0;12>,<0;0;1531>
115,砂石镇,,2,GKDT_ptgk5.json,city/gate/map/img_xbxz.png,,1,1,<20501;20502;20503;20504;20505>,,,<0;0;15>,<0;0;1541>
116,雪原,,2,GKDT_ptgk6.json,city/gate/map/img_spcj.png,,1,26,<20601;20602;20603;20604;20605>,,,<0;0;15>,<0;0;1551>
117,波尼岛,,2,GKDT_ptgk7.json,city/gate/map/img_bnd.png,,1,30,<20701;20702;20703;20704;20705>,,,<0;0;15>,<0;0;1561>
118,乌拉乌拉岛,,2,GKDT_ptgk8.json,city/gate/map/img_gbxs.png,,1,33,<20801;20802;20803;20804;20805>,,,<0;0;15>,<0;0;1571>
119,阿卡拉岛,,2,GKDT_ptgk9.json,city/gate/map/img_akld.png,,1,37,<20901;20902;20903;20904;20905>,,,<0;0;15>,<0;0;1581>
120,美乐美乐岛,,2,GKDT_ptgk10.json,city/gate/map/img_mlmld.png,,1,40,<21001;21002;21003;21004;21005>,,,<0;0;15>,<0;0;1591>
121,训练家学校,,2,GKDT_ptgk11.json,city/gate/map/img_alldqxx.png,,1,45,<21101;21102;21103;21104;21105>,,,<0;0;15>,<0;0;1601>
122,好奥乐市,,2,GKDT_ptgk12.json,city/gate/map/img_llajdhz.png,,1,50,<21201;21202;21203;21204;21205>,,,<0;0;15>,<0;0;1611>
123,对战开拓区,,2,GKDT_ptgk13.json,city/gate/map/img_dzktq.png,,1,55,<21301;21302;21303;21304;21305>,,,<0;0;15>,<0;0;1621>
124,圆朱市,,2,GKDT_ptgk13.json,city/gate/map/img_yzs.png,,1,60,<21401;21402;21403;21404;21405>,,,<0;0;15>,<0;0;1631>
125,古代祭坛,,2,GKDT_ptgk13.json,city/gate/map/img_jt.png,,1,65,<21501;21502;21503;21504;21505>,,,<0;0;15>,<0;0;1641>
126,凛冽冻原,,2,GKDT_ptgk13.json,city/gate/map/img_by.png,,1,70,<21601;21602;21603;21604;21605>,,,<0;0;15>,<0;0;1651>
127,游乐园,,2,GKDT_ptgk13.json,city/gate/map/img_yly.png,,1,75,<21701;21702;21703;21704;21705>,,,<0;0;15>,<0;0;1661>
128,饲育家学校,,2,GKDT_ptgk13.json,city/gate/map/img_syjxx.png,,1,80,<21801;21802;21803;21804;21805>,,,<0;0;15>,<0;0;1671>
129,马戏团,,2,GKDT_ptgk13.json,city/gate/map/img_mxt.png,,1,85,<21901;21902;21903;21904;21905>,,,<0;0;15>,<0;0;1681>
130,暗影山,,2,GKDT_ptgk13.json,city/gate/map/img_ays.png,,1,90,<22001;22002;22003;22004;22005>,,,<0;0;15>,<0;0;1691>
131,香薰市,,2,GKDT_ptgk13.json,city/gate/map/img_xxs.png,,1,95,<22101;22102;22103;22104;22105>,,,<0;0;15>,<0;0;1701>
132,枯叶市,,2,GKDT_ptgk13.json,city/gate/map/img_kys.png,,1,100,<22201;22202;22203;22204;22205>,,,<0;0;15>,<0;0;1711>
133,神和镇,,2,GKDT_ptgk5.json,city/gate/map/img_shz.png,,1,105,<22301;22302;22303;22304;22305>,,,<0;0;15>,<0;0;1721>
134,迷失山林,,2,GKDT_ptgk5.json,city/gate/map/img_mssl.png,,1,110,<22401;22402;22403;22404;22405>,,,<0;0;15>,<0;0;1731>
135,风絮镇,,2,GKDT_ptgk5.json,city/gate/map/img_fxz.png,,1,115,<22501;22502;22503;22504;22505>,,,<0;0;15>,<0;0;1741>
136,密阿雷市,,2,GKDT_ptgk5.json,city/gate/map/img_mals.png,,1,120,<22601;22602;22603;22604;22605>,,,<0;0;15>,<0;0;1751>
137,雪风镇,,2,GKDT_ptgk5.json,city/gate/map/img_xfz.png,,1,125,<22701;22702;22703;22704;22705>,,,<0;0;15>,<0;0;1761>
138,名水镇,,2,GKDT_ptgk5.json,city/gate/map/img_fcxz.png,,1,130,<22801;22802;22803;22804;22805>,,,<0;0;15>,<0;0;1771>
139,利利小镇,,2,GKDT_ptgk5.json,city/gate/map/img_llxz.png,,1,135,<22901;22902;22903;22904;22905>,,,<0;0;15>,<0;0;1781>
140,三云岛,,2,GKDT_ptgk5.json,city/gate/map/img_syd.png,,1,140,<23001;23002;23003;23004;23005>,,,<0;0;15>,<0;0;1791>
141,绿荫镇,,2,GKDT_ptgk5.json,city/gate/map/img_zgj.png,,1,145,<23101;23102;23103;23104;23105>,,,<0;0;15>,<0;0;1801>
211,真新镇,,3,GKDT_ptgk1.json,city/gate/map/img_zxz.png,,1,47,<30101;30102>,,,<0;0;6>,<0;0;6501>
212,神秘部落,,3,GKDT_ptgk2.json,city/gate/map/img_smbl.png,,1,48,<30201;30202>,,,<0;0;6>,<0;0;6511>
213,废弃城市,,3,GKDT_ptgk3.json,city/gate/map/img_fqcs.png,,1,49,<30301;30302>,,,<0;0;6>,<0;0;6521>
214,度假岛,,3,GKDT_ptgk4.json,city/gate/map/img_djd.png,,1,50,<30401;30402>,,,<0;0;6>,<0;0;6531>
215,砂石镇,,3,GKDT_ptgk5.json,city/gate/map/img_xbxz.png,,1,51,<30501;30502>,,,<0;0;6>,<0;0;6541>
216,雪原,,3,GKDT_ptgk5.json,city/gate/map/img_spcj.png,,1,52,<30601;30602;30603>,,,<0;0;9>,<0;0;6551>
217,波尼岛,,3,GKDT_ptgk5.json,city/gate/map/img_bnd.png,,1,53,<30701;30702;30703>,,,<0;0;9>,<0;0;6561>
218,乌拉乌拉岛,,3,GKDT_ptgk5.json,city/gate/map/img_gbxs.png,,1,54,<30801;30802;30803>,,,<0;0;9>,<0;0;6571>
219,阿卡拉岛,,3,GKDT_ptgk1.json,city/gate/map/img_akld.png,,1,55,<30901;30902;30903>,,,<0;0;9>,<0;0;6581>
220,美乐美乐岛,,3,GKDT_ptgk2.json,city/gate/map/img_mlmld.png,,1,55,<31001;31002;31003>,,,<0;0;9>,<0;0;6591>
221,训练家学校,,3,GKDT_ptgk3.json,city/gate/map/img_alldqxx.png,,1,60,<31101;31102;31103;31104>,,,<0;0;12>,<0;0;6601>
222,好奥乐市,,3,GKDT_ptgk4.json,city/gate/map/img_llajdhz.png,,1,60,<31201;31202;31203;31204>,,,<0;0;12>,<0;0;6611>
223,对战开拓区,,3,GKDT_ptgk5.json,city/gate/map/img_dzktq.png,,1,60,<31301;31302;31303;31304>,,,<0;0;12>,<0;0;6621>
224,圆朱市,,3,GKDT_ptgk5.json,city/gate/map/img_yzs.png,,1,65,<31401;31402;31403;31404>,,,<0;0;12>,<0;0;6631>
225,古代祭坛,,3,GKDT_ptgk5.json,city/gate/map/img_jt.png,,1,65,<31501;31502;31503;31504>,,,<0;0;12>,<0;0;6641>
226,凛冽冻原,,3,GKDT_ptgk5.json,city/gate/map/img_by.png,,1,70,<31601;31602;31603;31604>,,,<0;0;12>,<0;0;6651>
227,游乐园,,3,GKDT_ptgk5.json,city/gate/map/img_yly.png,,1,75,<31701;31702;31703;31704>,,,<0;0;12>,<0;0;6661>
228,饲育家学校,,3,GKDT_ptgk5.json,city/gate/map/img_syjxx.png,,1,80,<31801;31802;31803;31804;31805>,,,<0;0;15>,<0;0;6671>
229,马戏团,,3,GKDT_ptgk5.json,city/gate/map/img_mxt.png,,1,85,<31901;31902;31903;31904;31905>,,,<0;0;15>,<0;0;6681>
230,暗影山,,3,GKDT_ptgk13.json,city/gate/map/img_ays.png,,1,90,<32001;32002;32003;32004;32005>,,,<0;0;15>,<0;0;6691>
231,香薰市,,3,GKDT_ptgk13.json,city/gate/map/img_xxs.png,,1,95,<32101;32102;32103;32104;32105>,,,<0;0;15>,<0;0;6701>
232,枯叶市,,3,GKDT_ptgk13.json,city/gate/map/img_kys.png,,1,100,<32201;32202;32203;32204;32205>,,,<0;0;15>,<0;0;6711>
233,神和镇,,3,GKDT_ptgk5.json,city/gate/map/img_shz.png,,1,105,<32301;32302;32303;32304;32305>,,,<0;0;15>,<0;0;6721>
234,迷失山林,,3,GKDT_ptgk5.json,city/gate/map/img_mssl.png,,1,110,<32401;32402;32403;32404;32405>,,,<0;0;15>,<0;0;6731>
235,风絮镇,,3,GKDT_ptgk5.json,city/gate/map/img_fxz.png,,1,115,<32501;32502;32503;32504;32505>,,,<0;0;15>,<0;0;6741>
236,密阿雷市,,3,GKDT_ptgk5.json,city/gate/map/img_mals.png,,1,120,<32601;32602;32603;32604;32605>,,,<0;0;15>,<0;0;6751>
237,雪风镇,,3,GKDT_ptgk5.json,city/gate/map/img_xfz.png,,1,125,<32701;32702;32703;32704;32705>,,,<0;0;15>,<0;0;6761>
238,名水镇,,3,GKDT_ptgk5.json,city/gate/map/img_fcxz.png,,1,130,<32801;32802;32803;32804;32805>,,,<0;0;15>,<0;0;6771>
239,利利小镇,,3,GKDT_ptgk5.json,city/gate/map/img_llxz.png,,1,135,<32901;32902;32903;32904;32905>,,,<0;0;15>,<0;0;6781>
240,三云岛,,3,GKDT_ptgk5.json,city/gate/map/img_syd.png,,1,140,<33001;33002;33003;33004;33005>,,,<0;0;15>,<0;0;6791>
241,绿荫镇,,3,GKDT_ptgk5.json,city/gate/map/img_zgj.png,,1,145,<33101;33102;33103;33104;33105>,,,<0;0;15>,<0;0;6792>
