变量名,icon,name,type,param,validRechargeHuodong,rmbDisplay,rmb,firstPresent,firstDesc,present,desc,recommend,sortValue,languages
1111,city/recharge/icon_cz_6@.png,,,,,,1980,1980,,0,,0,11,<tw>
1112,city/recharge/icon_cz_6@.png,,,,,,3380,3380,,0,,0,12,<tw>
1113,city/recharge/icon_cz_7@.png,,,,,,6580,6580,,0,,0,13,<tw>
,,,,,,,,,,,,,,
2101,city/recharge/icon_cz_1@.png,,,,,"""0.99""",66,330,,,,0,2,<en>
2102,city/recharge/icon_cz_1@.png,,,,,"""1.99""",140,700,,,,0,3,<en>
2103,city/recharge/icon_cz_2@.png,,,,,"""2.99""",200,1000,,,,0,4,<en>
2104,city/recharge/icon_cz_2@.png,,,,,"""3.99""",260,1300,,,,0,5,<en>
2105,city/recharge/icon_cz_3@.png,,,,,"""4.99""",340,1700,,,,0,6,<en>
2106,city/recharge/icon_cz_3@.png,,,,,"""8.99""",580,2900,,,,0,7,<en>
2107,city/recharge/icon_cz_4@.png,,,,,"""12.99""",860,4300,,,,0,8,<en>
2108,city/recharge/icon_cz_4@.png,,,,,"""14.99""",980,4900,,,,0,9,<en>
2109,city/recharge/icon_cz_5@.png,,,,,"""19.99""",1340,6700,,,,0,10,<en>
2110,city/recharge/icon_cz_5@.png,,,,,"""25.99""",1740,8700,,,,0,11,<en>
2111,city/recharge/icon_cz_6@.png,,,,,"""29.99""",1980,9900,,,,0,12,<en>
2112,city/recharge/icon_cz_6@.png,,,,,"""49.99""",3380,16900,,,,0,13,<en>
2113,city/recharge/icon_cz_7@.png,,,,,"""99.99""",6580,32900,,,,0,14,<en>
,,,,,,,,,,,,,,
3101,city/recharge/icon_cz_1@.png,,,,,,120,120,,0,,0,1,<vn>
3102,city/recharge/icon_cz_1@.png,,,,,,240,240,,0,,0,2,<vn>
3103,city/recharge/icon_cz_2@.png,,,,,,360,360,,0,,0,3,<vn>
3104,city/recharge/icon_cz_2@.png,,,,,,480,480,,0,,0,4,<vn>
3105,city/recharge/icon_cz_3@.png,,,,,,600,600,,0,,0,5,<vn>
3106,city/recharge/icon_cz_3@.png,,,,,,1080,1080,,0,,0,6,<vn>
3107,city/recharge/icon_cz_4@.png,,,,,,1560,1560,,0,,0,7,<vn>
3108,city/recharge/icon_cz_4@.png,,,,,,1800,1800,,0,,0,8,<vn>
3109,city/recharge/icon_cz_5@.png,,,,,,2400,2400,,0,,0,9,<vn>
3110,city/recharge/icon_cz_5@.png,,,,,,3120,3120,,0,,0,10,<vn>
3111,city/recharge/icon_cz_6@.png,,,,,,3600,3600,,0,,0,11,<vn>
3112,city/recharge/icon_cz_6@.png,,,,,,6000,6000,,0,,0,12,<vn>
3113,city/recharge/icon_cz_7@.png,,,,,,12000,12000,,0,,0,13,<vn>
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
4101,city/recharge/icon_cz_1@.png,,,,,,66,66,,0,,0,1,<kr>
4102,city/recharge/icon_cz_1@.png,,,,,,140,140,,0,,0,2,<kr>
4103,city/recharge/icon_cz_2@.png,,,,,,200,200,,0,,0,3,<kr>
4104,city/recharge/icon_cz_2@.png,,,,,,260,260,,0,,0,4,<kr>
4105,city/recharge/icon_cz_3@.png,,,,,,340,340,,0,,0,5,<kr>
4106,city/recharge/icon_cz_3@.png,,,,,,580,580,,0,,0,6,<kr>
4107,city/recharge/icon_cz_4@.png,,,,,,860,860,,0,,0,7,<kr>
4108,city/recharge/icon_cz_4@.png,,,,,,980,980,,0,,0,8,<kr>
4109,city/recharge/icon_cz_5@.png,,,,,,1340,1340,,0,,0,9,<kr>
4110,city/recharge/icon_cz_5@.png,,,,,,1740,1740,,0,,0,10,<kr>
4111,city/recharge/icon_cz_6@.png,,,,,,1980,1980,,0,,0,11,<kr>
4112,city/recharge/icon_cz_6@.png,,,,,,3380,3380,,0,,0,12,<kr>
4113,city/recharge/icon_cz_7@.png,,,,,,6580,6580,,0,,0,13,<kr>
