变量名,costItemMap1,costItemMap2,costItemMap3,costItemMap5,costItemMap4
默认值,{},{},{},{},{}
ID,默认值,默认值,默认值,默认值,默认值
16,{850=315;851=140;gold=750000},{850=315;851=140;gold=750000},{850=315;851=140;gold=750000},{850=315;851=140;gold=750000},{850=315;851=140;gold=750000}
17,{850=324;851=144;gold=780000},{850=324;851=144;gold=780000},{850=324;851=144;gold=780000},{850=324;851=144;gold=780000},{850=324;851=144;gold=780000}
18,{850=333;851=148;gold=810000},{850=333;851=148;gold=810000},{850=333;851=148;gold=810000},{850=333;851=148;gold=810000},{850=333;851=148;gold=810000}
19,{850=342;851=152;gold=840000},{850=342;851=152;gold=840000},{850=342;851=152;gold=840000},{850=342;851=152;gold=840000},{850=342;851=152;gold=840000}
20,{850=351;851=156;gold=870000},{850=351;851=156;gold=870000},{850=351;851=156;gold=870000},{850=351;851=156;gold=870000},{850=351;851=156;gold=870000}
21,{850=360;851=160;gold=900000},{850=360;851=160;gold=900000},{850=360;851=160;gold=900000},{850=360;851=160;gold=900000},{850=360;851=160;gold=900000}
22,{850=369;851=164;gold=930000},{850=369;851=164;gold=930000},{850=369;851=164;gold=930000},{850=369;851=164;gold=930000},{850=369;851=164;gold=930000}
23,{850=378;851=168;gold=960000},{850=378;851=168;gold=960000},{850=378;851=168;gold=960000},{850=378;851=168;gold=960000},{850=378;851=168;gold=960000}
24,{850=387;851=172;gold=990000},{850=387;851=172;gold=990000},{850=387;851=172;gold=990000},{850=387;851=172;gold=990000},{850=387;851=172;gold=990000}
25,{850=396;851=176;gold=1020000},{850=396;851=176;gold=1020000},{850=396;851=176;gold=1020000},{850=396;851=176;gold=1020000},{850=396;851=176;gold=1020000}
26,{850=405;851=180;gold=1050000},{850=405;851=180;gold=1050000},{850=405;851=180;gold=1050000},{850=405;851=180;gold=1050000},{850=405;851=180;gold=1050000}
27,{850=414;851=184;gold=1080000},{850=414;851=184;gold=1080000},{850=414;851=184;gold=1080000},{850=414;851=184;gold=1080000},{850=414;851=184;gold=1080000}
28,{850=423;851=188;gold=1110000},{850=423;851=188;gold=1110000},{850=423;851=188;gold=1110000},{850=423;851=188;gold=1110000},{850=423;851=188;gold=1110000}
29,{850=432;851=192;gold=1140000},{850=432;851=192;gold=1140000},{850=432;851=192;gold=1140000},{850=432;851=192;gold=1140000},{850=432;851=192;gold=1140000}
30,{850=441;851=196;gold=1170000},{850=441;851=196;gold=1170000},{850=441;851=196;gold=1170000},{850=441;851=196;gold=1170000},{850=441;851=196;gold=1170000}
31,{850=450;851=200;gold=1200000},{850=450;851=200;gold=1200000},{850=450;851=200;gold=1200000},{850=450;851=200;gold=1200000},{850=450;851=200;gold=1200000}
32,{850=459;851=204;gold=1230000},{850=459;851=204;gold=1230000},{850=459;851=204;gold=1230000},{850=459;851=204;gold=1230000},{850=459;851=204;gold=1230000}
33,{850=468;851=208;gold=1260000},{850=468;851=208;gold=1260000},{850=468;851=208;gold=1260000},{850=468;851=208;gold=1260000},{850=468;851=208;gold=1260000}
34,{850=477;851=212;gold=1290000},{850=477;851=212;gold=1290000},{850=477;851=212;gold=1290000},{850=477;851=212;gold=1290000},{850=477;851=212;gold=1290000}
35,{850=486;851=216;gold=1320000},{850=486;851=216;gold=1320000},{850=486;851=216;gold=1320000},{850=486;851=216;gold=1320000},{850=486;851=216;gold=1320000}
36,{850=495;851=220;gold=1350000},{850=495;851=220;gold=1350000},{850=495;851=220;gold=1350000},{850=495;851=220;gold=1350000},{850=495;851=220;gold=1350000}
37,{850=504;851=224;gold=1380000},{850=504;851=224;gold=1380000},{850=504;851=224;gold=1380000},{850=504;851=224;gold=1380000},{850=504;851=224;gold=1380000}
38,{850=513;851=228;gold=1410000},{850=513;851=228;gold=1410000},{850=513;851=228;gold=1410000},{850=513;851=228;gold=1410000},{850=513;851=228;gold=1410000}
39,{850=522;851=232;gold=1440000},{850=522;851=232;gold=1440000},{850=522;851=232;gold=1440000},{850=522;851=232;gold=1440000},{850=522;851=232;gold=1440000}
40,{850=531;851=236;gold=1470000},{850=531;851=236;gold=1470000},{850=531;851=236;gold=1470000},{850=531;851=236;gold=1470000},{850=531;851=236;gold=1470000}
41,{850=540;851=240;gold=1500000},{850=540;851=240;gold=1500000},{850=540;851=240;gold=1500000},{850=540;851=240;gold=1500000},{850=540;851=240;gold=1500000}
42,{850=549;851=244;gold=1530000},{850=549;851=244;gold=1530000},{850=549;851=244;gold=1530000},{850=549;851=244;gold=1530000},{850=549;851=244;gold=1530000}
43,{850=558;851=248;gold=1560000},{850=558;851=248;gold=1560000},{850=558;851=248;gold=1560000},{850=558;851=248;gold=1560000},{850=558;851=248;gold=1560000}
44,{850=567;851=252;gold=1590000},{850=567;851=252;gold=1590000},{850=567;851=252;gold=1590000},{850=567;851=252;gold=1590000},{850=567;851=252;gold=1590000}
45,{850=576;851=256;gold=1620000},{850=576;851=256;gold=1620000},{850=576;851=256;gold=1620000},{850=576;851=256;gold=1620000},{850=576;851=256;gold=1620000}
46,{850=585;851=260;gold=1650000},{850=585;851=260;gold=1650000},{850=585;851=260;gold=1650000},{850=585;851=260;gold=1650000},{850=585;851=260;gold=1650000}
47,{850=594;851=264;gold=1680000},{850=594;851=264;gold=1680000},{850=594;851=264;gold=1680000},{850=594;851=264;gold=1680000},{850=594;851=264;gold=1680000}
48,{850=603;851=268;gold=1710000},{850=603;851=268;gold=1710000},{850=603;851=268;gold=1710000},{850=603;851=268;gold=1710000},{850=603;851=268;gold=1710000}
49,{850=612;851=272;gold=1740000},{850=612;851=272;gold=1740000},{850=612;851=272;gold=1740000},{850=612;851=272;gold=1740000},{850=612;851=272;gold=1740000}
50,{850=621;851=276;gold=1770000},{850=621;851=276;gold=1770000},{850=621;851=276;gold=1770000},{850=621;851=276;gold=1770000},{850=621;851=276;gold=1770000}
