变量名,desc,name,key,bgColor,strokeColor,fontColor,__version
7023,"2级增益，期间释放者飞行系闪避提升20%，并且造成的【粗砺之风Ⅱ】伤害提升30%,并可在1回合后折返攻击",【粗砺风刃Ⅱ】,【粗砺风刃Ⅱ】,<120;203;147>,<92;153;112>,<92;153;112>,
7024,2级负面，期间受到神圣伤害额外提升30%，岩/飞系主动攻击时对其造成（2500x等级成长）神圣伤害（每回合5次）,【粗砺重伤Ⅱ】,【粗砺重伤Ⅱ】,<251;85;114>,<220;53;76>,<241;59;84>,
7025,对目标造成（3000x等级成长）神圣伤害,【粗砺之风Ⅱ】,【粗砺之风Ⅱ】,<245;175;37>,<233;147;25>,<233;147;25>,
7311,电系特有的特殊效果,【感电】,【感电】,<245;175;37>,<233;147;25>,<233;147;25>,
7411,1级增益，对灼烧目标暴击率提升10%，暴击后会额外产生1层【灼烧Ⅰ】,【爆炎】,【爆炎】,<120;203;147>,<92;153;112>,<92;153;112>,
7611,特殊护盾，护盾量不会随回合衰减，可吸收等同护盾量的伤害，期间提升35%异常效果抵抗，破碎时会对攻击目标造成光能盾等量的特攻伤害,【光能盾】,【光能盾】,<120;203;147>,<92;153;112>,<92;153;112>,
7621,根据当前拳意境界释放一次对应阶别的普攻,【真气拳】,【真气拳】,<245;175;37>,<233;147;25>,<233;147;25>,
7622,专属状态，卸力掉15%受到伤害，将该部分伤害储存，下次行动时，将储存伤害返还给主目标（每个单位受到的伤害不会超过释放者120%物攻）,【借力打力】,【借力打力】,<245;175;37>,<233;147;25>,<233;147;25>,
7623,格斗系特级全场地，场内回合独立，双方只能普攻在场地内进行对攻，释放者场地内免疫受到的附加伤害/被动伤害，有一方阵亡或者持续回合结束时，场地关闭;真气拳1/2//3/4阶段的修罗场对应【修罗场·一重境】、【修罗场·二重境】、【修罗场·三重境】、【修罗场·四重境】,【修罗场】,【修罗场】,<245;175;37>,<233;147;25>,<233;147;25>,
7624,敌方普攻伤害无法触发附加的技能效果,【修罗场·一重境】,【修罗场·一重境】,<245;175;37>,<233;147;25>,<233;147;25>,
7625,【修罗场·一重境】的基础上，敌方普攻伤害降低20%,【修罗场·二重境】,【修罗场·二重境】,<245;175;37>,<233;147;25>,<233;147;25>,
7626,【修罗场·二重境】的基础上，敌方免伤和抵御率降低20%,【修罗场·三重境】,【修罗场·三重境】,<245;175;37>,<233;147;25>,<233;147;25>,
7627,3级增益，每点提升5%破抵御率和3%物攻加成；到达上限后，持续1回合后全部拳意消失,【拳意】,【拳意】,<120;203;147>,<92;153;112>,<92;153;112>,
7628,格斗系特级全场地，场内回合独立，继承【修罗场·一重境】到【修罗场·三重境】效果，释放者进入时会清除3级及以下的所有异常效果，释放者场地内免疫受到的附加伤害/被动伤害，可使用小技能；直到一方阵亡或战至10回合为止,【死斗境】,【死斗境】,<245;175;37>,<233;147;25>,<233;147;25>,
7629,专属状态，卸力掉20%受到伤害，将该部分伤害储存，下次行动时，将储存伤害返还给主目标和其他随机一个敌方目标（每个单位受到的伤害不会超过释放者150%物攻,【借力打力Ⅱ】,【借力打力Ⅱ】,<245;175;37>,<233;147;25>,<233;147;25>,
7630,释放者自身血量不会低于1点，如目标存活，目标出修罗场·四重境时会有25%概率只剩余1点血量（仅对pvp玩法有效）,【修罗场·四重境】,【修罗场·四重境】,<120;203;147>,<92;153;112>,<92;153;112>,
7641,1级增益，提升目标10%穿透伤害,【穿透伤害Ⅱ】,【穿透伤害Ⅱ】,<120;203;147>,<92;153;112>,<92;153;112>,
7642,超能系变形，继承本体全部属性，共享怒气和效果；本体存活时，精神体生命耗尽时转为本体,【精神体】,【精神体】,<120;203;147>,<92;153;112>,<92;153;112>,
7643,释放里世界中封存的伤害平摊至敌方全体，并将封存的控制效果附加给随机一个敌方目标持续1回合（若无封存效果，则里世界冲击的伤害提升10%）,【里世界冲击】,【里世界冲击】,<245;175;37>,<233;147;25>,<233;147;25>,
7644,目标堕入超级超梦Y的里世界，将面对至少3个精神体（每有一个超系队友数量+1），选择唯一的本体进行普攻，若选中，则在退出里世界后，释放30%伤害的技能；反之则本次行动无效，且受到120%特攻伤害的反噬伤害,【里世界展开】,【里世界展开】,<245;175;37>,<233;147;25>,<233;147;25>,
7645,3级控制效果，不可驱散，目标颠倒是非，敌我不分，行动期间将调转双方阵营,【精神失序】,【精神失序】,<169;123;231>,<141;93;206>,<141;93;206>,
7646,特殊行动，里世界具象至现实，对全体敌方造成100%特攻+平摊后的记录伤害（单个目标承受的平摊伤害上限为150%特攻，记录伤害总上限为释放者900%特攻），此伤害无视护盾和障碍物,【精神具象】,【精神具象】,<245;175;37>,<233;147;25>,<233;147;25>,
7647,特殊场地，存在于本体潜意识，可封存、记录异常效果和伤害等\n每回合可将受到的最多120%特攻伤害（总上限240%）转移并封存至其中，每2回合可将受到的1个1/2级控制效果转移并封存至其中\n在特定条件下可具象至现实，变为超能系特级全场场地，令己方超能系受到的伤害降低10%，敌方全体10%超能系易伤,【里世界】,【里世界】,<245;175;37>,<233;147;25>,<233;147;25>,
7648,3级负面，目标下次对敌方阵营释放必杀技时，其技能附带的效果会失效,【精神遗忘】,【精神遗忘】,<251;85;114>,<220;53;76>,<241;59;84>,
7711,特殊效果，期间内持续复制目标增益给自身，并复制自身负面、控制效果给目标,【同步】,【同步】,<245;175;37>,<233;147;25>,<233;147;25>,
7712,【幻境】中梦幻自身处于无敌且不可选中的状态，场上无任何陷入【幻梦】的单位时，结束【幻境】,【幻境】,【幻境】,<245;175;37>,<233;147;25>,<233;147;25>,
8611,增益效果，提升目标特攻特防（提升量为自身对应属性的10%，翻倍后为20%）,【祝福】,【祝福】,<120;203;147>,<92;153;112>,<92;153;112>,
8612,增益效果，提升目标20%（翻倍后为40%）负面抗性，受到攻击时有30%（翻倍后为60%）概率消耗【幸运】以抵挡50%本次伤害,【幸运】,【幸运】,<120;203;147>,<92;153;112>,<92;153;112>,
8613,2级增益，提升目标20%负面抗性，受到攻击有30%概率消耗【助·幸运】以抵挡40%本次伤害,【助·幸运】,【助·幸运】,<120;203;147>,<92;153;112>,<92;153;112>,
9711,2级增益，敌方被添加【痛苦折磨】队友受到主动攻击时，该目标也会感受到80%特攻鬼系伤害,【痛苦折磨】,【痛苦折磨】,<120;203;147>,<92;153;112>,<92;153;112>,
9712,2级增益，鬼系伤害提升10%，感受到的伤害会降低10%（就是免伤提升10%）,【幸福咒文】,【幸福咒文】,<120;203;147>,<92;153;112>,<92;153;112>,
9713,2级负面，回怒速度降低20%，且怒气降低时，受到80%释放者特攻鬼系伤害,【痛苦咒文】,【痛苦咒文】,<251;85;114>,<220;53;76>,<241;59;84>,
9911,增益效果，持续期间提升100%反弹率和40%怒气回复速度,【双倍奉还】,【双倍奉还】,<120;203;147>,<92;153;112>,<92;153;112>,
9912,特殊负面效果，不可驱散，受到的治疗效果降低70%，且受到的反弹伤害提升100%,【踩影】,【踩影】,<251;85;114>,<220;53;76>,<241;59;84>,
10311,负面效果，目标每次行动后受到释放者80%物防的毒元素伤害，可叠加2次；降低10%命中，若目标已被控制，则降低60%治疗率,【蝎毒】,【蝎毒】,<251;85;114>,<220;53;76>,<241;59;84>,
10312,负面效果，目标每次行动后受到释放者80%物防的毒元素伤害，可叠加2次,【助·蝎毒】,【助·蝎毒】,<251;85;114>,<220;53;76>,<241;59;84>,
10721,增益效果，不可驱散，提升3%物攻，上限10层，受致命伤害时可消耗6层劲力保留一点生命,【劲力】,【劲力】,<120;203;147>,<92;153;112>,<92;153;112>,
10811,1级负面，期间降低目标20%物防，行动后有20%概率被【冰冻Ⅰ】1回合,【助·寒冰陷阱】,【助·寒冰陷阱】,<251;85;114>,<220;53;76>,<241;59;84>,
11111,特殊血条，保护自身每个大回合受击时，最多消耗20%御寒脂肪，大回合末时会消融15%脂肪；有脂肪时自身血量不会损失,【御寒脂肪】,【御寒脂肪】,<245;175;37>,<233;147;25>,<233;147;25>,
11112,2级增益，主动攻击时附带70%物攻冰元素伤害，并有50%概率【冰冻Ⅰ】主目标,【冰冻牙】,【冰冻牙】,<120;203;147>,<92;153;112>,<92;153;112>,
11411,信使鸟特殊机制,【馈赠】,【馈赠】,<245;175;37>,<233;147;25>,<233;147;25>,
11412,2级增益，可叠加2个，持续2回合；每次受到伤害≥10%最大血量时，消耗1份礼物会恢复15%血量；令目标下次受到主动攻击伤害不会超过15%最大生命值。,【应急礼物】,【应急礼物】,<120;203;147>,<92;153;112>,<92;153;112>,
11711,1级增益，提升6%吸血率，对主目标附带【灼烧Ⅰ】1回合,【火焰牙】,【火焰牙】,<120;203;147>,<92;153;112>,<92;153;112>,
11731,2级增益，提升8%吸血率，对主目标附带【灼烧Ⅰ】1回合，并令其受到的治疗效果降低30%,【火焰獠牙】,【火焰獠牙】,<120;203;147>,<92;153;112>,<92;153;112>,
11732,令随机2名恶/火系队友，跟随自身对主目标进行1次普攻,【地狱犬号令】,【地狱犬号令】,<245;175;37>,<233;147;25>,<233;147;25>,
12311,3级增益，提升65%伤害减免，受到主动攻击前会为敌人添加1层【灼烧Ⅰ】,【火神庇护】,【火神庇护】,<120;203;147>,<92;153;112>,<92;153;112>,
12511,1级增益，持续3回合，上限10层，每层提升5%双防和3%血量上限,【岩骨】,【岩骨】,<120;203;147>,<92;153;112>,<92;153;112>,
12512,岩系普通障碍物，继承释放者50%六维属性，受到攻击时对攻击者(2500x等级成长）的神圣伤害，结束后获得2层【岩骨】,【环身沙暴Ⅰ】,【环身沙暴Ⅰ】,<245;175;37>,<233;147;25>,,
12541,"岩系普通障碍物，继承释放者65%六维属性，受到攻击时对攻击者(3000x等级成长）的神圣伤害,结束后获得3层【岩骨】",【环身沙暴Ⅱ】,【环身沙暴Ⅱ】,<245;175;37>,<233;147;25>,,
12611,2级增益，不可叠加，提升6%速度，飞行系精灵获得时，额外获得6%速度和30%飞行闪避,【神速】,【神速】,<120;203;147>,<92;153;112>,<92;153;112>,
12612,3级增益，期间免疫所有伤害，结束时减少自身10层异常效果（优先控制）,【超速再生】,【超速再生】,<120;203;147>,<92;153;112>,<92;153;112>,
12613,特殊效果，提升20%飞行闪避，受到伤害降低20%，攻击结界目标会受到释放者100%特攻反伤；溅射、陷阱和负面效果不会扩散至结界外,【风神结界】,【风神结界】,<120;203;147>,<92;153;112>,<92;153;112>,
12614,飞行系高级敌方场地，触发时，吹飞1名敌人1回合（优先前排），期间己方飞行系每次行动，暴风中的所有敌人会受到释放者100%特攻伤害,【暴风】,【暴风】,<245;175;37>,<233;147;25>,<233;147;25>,
12615,在暴风基础效果之上，所有敌方降低9%速度，己方水系每次行动，暴风雨中的所有敌人受到释放者60%特攻的水元素伤害,【暴风雨】,【暴风雨】,<245;175;37>,<233;147;25>,<233;147;25>,
12711,1级负面，灼烧类效果，行动前每层造成释放者60%物攻的火元素伤害，上限3层,【圣火灼烧】,【圣火灼烧】,<251;85;114>,<220;53;76>,<241;59;84>,
12712,特殊效果，受到致死伤害消耗【涅磐】变成凤凰蛋，可承受5次主动攻击，被攻击时对敌人添加1层【圣火灼烧】，若未被击破，则下回合行动前，满血满怒重生（凤王自身涅磐时，不可被选中）,【涅磐】,【涅磐】,<120;203;147>,<92;153;112>,<92;153;112>,
12713,附带【圣火灼烧】单位攻击自身时，伤害降低15%（复活后伤害降低30%）,【圣火结界】,【圣火结界】,<245;175;37>,<233;147;25>,<233;147;25>,
12719,特殊效果，受到致死伤害消耗【不灭】变成凤凰蛋，可承受3次主动攻击，被攻击时对敌人添加1层【圣火灼烧】，若未被击破，则下回合行动前，以一半的血量和气血重生,【不灭】,【不灭】,<120;203;147>,<92;153;112>,<92;153;112>,
12811,陷阱效果，不可叠加，可分裂扩散；引爆造成释放者150%物攻的陷阱伤害，消除1个敌方水/岩系召唤物或普通障碍物，并【缠绕】目标1回合,【大型种子炸弹】,【大型种子炸弹】,<251;85;114>,<220;53;76>,<241;59;84>,
12812,陷阱效果，不可叠加，可分裂扩散；引爆造成释放者75%物攻的陷阱伤害，50%概率消除1个敌方水/岩系召唤物或普通障碍物，并有50%概率【缠绕】目标1回合,【中型种子炸弹】,【中型种子炸弹】,<251;85;114>,<220;53;76>,<241;59;84>,
12813,陷阱效果，不可叠加，倒计时完成后会立刻引爆，造成释放50%物攻的陷阱伤害，25%概率【缠绕】目标1回合。,【小型种子炸弹】,【小型种子炸弹】,<251;85;114>,<220;53;76>,<241;59;84>,
12814,超能系高级全场地，生效时，令敌方全体增益效果减少1回合，负面效果增加1回合;己方全体增益效果增加1回合，负面效果减少1回合，期间1名敌方首次满怒时将其怒气回溯至未满怒回合状态,【时间乱流】,【时间乱流】,<245;175;37>,<233;147;25>,<233;147;25>,
12815,3级增益，添加时记录目标当前血量与怒气，受到致命伤害时，血量和怒气回溯至记录值（不受治疗效果和怒气回复速度影响，不会使怒气低于当前值）,【时间刻印】,【时间刻印】,<120;203;147>,<92;153;112>,<92;153;112>,
12816,1级增益，自身伤害提升10%，主动行动后，有30%概率令自身小技能冷却缩短1回合（每大回合限1次）,【时间扰动】,【时间扰动】,<120;203;147>,<92;153;112>,<92;153;112>,
12911,2级增益，获得时，自身50%的治疗率会转化为暴击率,【冷血】,【冷血】,<120;203;147>,<92;153;112>,<92;153;112>,
12912,潜行状态下无法被选中，会被范围伤害波及,【潜行】,【潜行】,<245;175;37>,<233;147;25>,<233;147;25>,
12913,斩击类伤害，造成草元素伤害，立刻斩断目标8%最大生命，攻击克制属性时会忽视其10%伤害减免,【叶刃】,【叶刃】,<245;175;37>,<233;147;25>,<233;147;25>,
12914,伪装效果，伪装具备释放者25%最大血量（耗尽时破除伪装），期间无法被选中,【密林伪装】,【密林伪装】,<245;175;37>,<233;147;25>,<233;147;25>,
12941,单次受到超过自身25%最大生命值的伤害时，抵消超出部分的伤害，在随后的2回合内，吸血提升30%，特攻提升35%，基础双防降低20,【断尾】,【断尾】,<245;175;37>,<233;147;25>,<233;147;25>,
13011,特殊增益，满5层时消耗全部【沐火】使自身永久提升10%暴击率,【沐火】,【沐火】,<120;203;147>,<92;153;112>,<92;153;112>,
13012,对目标造成20%最大生命的真实伤害，目标每层灼烧效果使比例增加5%（总量不超过自身500%物攻）,【焚尽】,【焚尽】,<245;175;37>,<233;147;25>,<233;147;25>,
13013,每消耗1层【灼华】，必杀技将多攻击敌方一个其他随机单体目标，且每多一个目标伤害降低5%,【灼华】,【灼华】,<245;175;37>,<233;147;25>,<233;147;25>,
13014,特殊效果，每层焰守抵挡一次主动技能攻击,【焰守】,【焰守】,<245;175;37>,<233;147;25>,<233;147;25>,
13041,3级增益，攻击时附带50%物攻火元素伤害，该状态下元素伤害也可暴击,【火之意志】,【火之意志】,<120;203;147>,<92;153;112>,<92;153;112>,
13111,负面效果，降低目标10%暴击率，鱼雷效果结束或者被驱散时触发鱼雷伤害，造成50%物攻的伤害，并恢复自身100%物攻的生命值,【鱼雷】,【鱼雷】,<251;85;114>,<220;53;76>,<241;59;84>,
13112,负面效果，降低目标15%的速度，受击1次后，炸弹爆炸并对目标造成80%物攻的伤害,【泥巴炸弹】,【泥巴炸弹】,<251;85;114>,<220;53;76>,<241;59;84>,
13113,附着时降低目标10%暴击率，自动引爆时对目标造成160%物攻伤害，恢复自身50%物攻生命；提前引爆时对目标造成50%物攻伤害，恢复自身160%物攻生命,【超级鱼雷】,【超级鱼雷】,<251;85;114>,<220;53;76>,<241;59;84>,
13114,负面效果，降低目标15%的速度，受击1次后，炸弹爆炸并对目标造成100%物攻的伤害,【超级泥巴炸弹】,【超级泥巴炸弹】,<251;85;114>,<220;53;76>,<241;59;84>,
13115,陷阱效果，持续期间目标暴击率降低15%；行动后触发，造成80%释放者物攻的陷阱伤害；目标若暴击则造成150%物攻陷阱伤害,【污泥鱼雷】,【污泥鱼雷】,<251;85;114>,<220;53;76>,<241;59;84>,
13116,陷阱效果，碰到敌人时爆炸，造成自身60%物攻的陷阱伤害,【污泥炸弹Ⅰ】,【污泥炸弹Ⅰ】,<251;85;114>,<220;53;76>,<241;59;84>,
13117,陷阱效果，碰到敌人时爆炸，造成自身75%物攻的陷阱伤害；爆炸后令目标速度降低3%，并获得1回合【致盲Ⅰ】,【污泥炸弹Ⅱ】,【污泥炸弹Ⅱ】,<251;85;114>,<220;53;76>,<241;59;84>,
13511,增益效果，每回合前持续恢复自身20%特攻的生命,【神清气爽】,【神清气爽】,<120;203;147>,<92;153;112>,<92;153;112>,
14111,1级负面，毒素效果，目标行动前每层对其造成50%毒元素伤害，并降低3%物防，最多可叠加5层，持续2回合,【毒孢子】,【毒孢子】,<251;85;114>,<220;53;76>,<241;59;84>,
14112,2级负面，双攻降低10%，附加15%草/斗系易伤,【蕈伞毒素】,【蕈伞毒素】,<251;85;114>,<220;53;76>,<241;59;84>,
14113,2级增益，每层可提升5%闪避与5%物攻，最多可叠加5层，持续2回合,【拳击之道】,【拳击之道】,<120;203;147>,<92;153;112>,<92;153;112>,
14211,特殊效果，无法被打醒、驱散,【睡觉】,【睡觉】,<245;175;37>,<233;147;25>,<233;147;25>,
14811,负面效果，降低40%的双攻和50%的怒气恢复速度,【恐惧】,【恐惧】,<251;85;114>,<220;53;76>,<241;59;84>,
14812,1级负面，降低5%初始双攻和5%怒气恢复速度,【助·恐惧Ⅰ】,【助·恐惧Ⅰ】,<251;85;114>,<220;53;76>,<241;59;84>,
14813,1级负面，降低10%初始双攻和10%怒气恢复速度,【助·恐惧Ⅱ】,【助·恐惧Ⅱ】,<251;85;114>,<220;53;76>,<241;59;84>,
15041,护盾效果，护盾量为超级波士可多拉400%物防，【坚钢之盾】在破盾时必然使伤害来源【畏缩】1回合,【坚钢之盾】,【坚钢之盾】,<245;175;37>,<233;147;25>,<233;147;25>,
15042,友方精灵身上无护盾时，在其受到攻击前，立刻给其添加一个2回合的钢铁护盾,【巡视状态】,【巡视状态】,,,,
