变量名,name,_beizhu,isShow,icon,desc,desc1,quality,use,type,stackMax,specialArgsMap,effBtn,pageTag,sellPrice,autoSell,sortType,sortValue,fragID,produceGate1,produceGate2,produceGate3,produceGate4,produceGate5,produceGate6,produceGate7,produceDesc,effect,rebirthRMB,dateType,expireDate,expireTime,timeOut,gateDropC,drawItemsLibC,regain,isLimitDrop,drawItemType,descType,ruleType,showNum
221,精致梏戒,,,config/item/ring_1_11_16_2.png,第一属性为一般系、超能系、恶系精灵戒指部位饰品的觉醒材料,,5,strengthen-awake,,,,<1;2>,<2>,,,,,,drawCard-equip,shop-8,,,,,,可通过饰品抽卡获得,{drawcard=huang_effect_loop;gain=huang_effect_loop},1,,,,,,,,,,,,
222,星月光戒,,,config/item/ring_3_8_14_2.png,第一属性为水系、毒系、幽灵系精灵戒指部位饰品的觉醒材料,,5,strengthen-awake,,,,<1;2>,<2>,,,,,,drawCard-equip,shop-8,,,,,,可通过饰品抽卡获得,{drawcard=huang_effect_loop;gain=huang_effect_loop},1,,,,,,,,,,,,
223,胭脂戒指,,,config/item/ring_2_15_18_2.png,第一属性为火系、龙系、妖精系精灵戒指部位饰品的觉醒材料,,5,strengthen-awake,,,,<1;2>,<2>,,,,,,drawCard-equip,shop-8,,,,,,可通过饰品抽卡获得,{drawcard=huang_effect_loop;gain=huang_effect_loop},1,,,,,,,,,,,,
224,海洋钻戒,,,config/item/ring_6_13_17_2.png,第一属性为冰系、岩石系、钢系精灵戒指部位饰品的觉醒材料,,5,strengthen-awake,,,,<1;2>,<2>,,,,,,drawCard-equip,shop-8,,,,,,可通过饰品抽卡获得,{drawcard=huang_effect_loop;gain=huang_effect_loop},1,,,,,,,,,,,,
225,璀璨秘戒,,,config/item/ring_5_7_10_2.png,第一属性为电系、格斗系、飞行系精灵戒指部位饰品的觉醒材料,,5,strengthen-awake,,,,<1;2>,<2>,,,,,,drawCard-equip,shop-8,,,,,,可通过饰品抽卡获得,{drawcard=huang_effect_loop;gain=huang_effect_loop},1,,,,,,,,,,,,
230,四叶草项链,,,config/item/necklace_4_9_12_2.png,第一属性为草系、虫系、地面系精灵项链部位饰品的觉醒材料,,5,strengthen-awake,,,,<1;2>,<2>,,,,,,drawCard-equip,shop-8,,,,,,可通过饰品抽卡获得,{drawcard=huang_effect_loop;gain=huang_effect_loop},1,,,,,,,,,,,,
231,精致项链,,,config/item/necklace_1_11_16_2.png,第一属性为一般系、超能系、恶系精灵项链部位饰品的觉醒材料,,5,strengthen-awake,,,,<1;2>,<2>,,,,,,drawCard-equip,shop-8,,,,,,可通过饰品抽卡获得,{drawcard=huang_effect_loop;gain=huang_effect_loop},1,,,,,,,,,,,,
232,神秘骨质项链,,,config/item/necklace_3_8_14_2.png,第一属性为水系、毒系、幽灵系精灵项链部位饰品的觉醒材料,,5,strengthen-awake,,,,<1;2>,<2>,,,,,,drawCard-equip,shop-8,,,,,,可通过饰品抽卡获得,{drawcard=huang_effect_loop;gain=huang_effect_loop},1,,,,,,,,,,,,
233,红日丝项链,,,config/item/necklace_2_15_18_2.png,第一属性为火系、龙系、妖精系精灵项链部位饰品的觉醒材料,,5,strengthen-awake,,,,<1;2>,<2>,,,,,,drawCard-equip,shop-8,,,,,,可通过饰品抽卡获得,{drawcard=huang_effect_loop;gain=huang_effect_loop},1,,,,,,,,,,,,
234,海洋心项链,,,config/item/necklace_6_13_17_2.png,第一属性为冰系、岩石系、钢系精灵项链部位饰品的觉醒材料,,5,strengthen-awake,,,,<1;2>,<2>,,,,,,drawCard-equip,shop-8,,,,,,可通过饰品抽卡获得,{drawcard=huang_effect_loop;gain=huang_effect_loop},1,,,,,,,,,,,,
235,璀璨星项链,,,config/item/necklace_5_7_10_2.png,第一属性为电系、格斗系、飞行系精灵项链部位饰品的觉醒材料,,5,strengthen-awake,,,,<1;2>,<2>,,,,,,drawCard-equip,shop-8,,,,,,可通过饰品抽卡获得,{drawcard=huang_effect_loop;gain=huang_effect_loop},1,,,,,,,,,,,,
399,活跃度,,,config/item/icon_hyd.png,个人每日活跃的体现，每日凌晨5:00刷新,,4,,,,,<4>,,1,,16,,,,,,,,,,,,,,,,,,,,,,,,
400,训练家经验,,,config/item/icon_exp.png,可以增加训练家的经验值，累积一定量可以升级训练家等级,,4,,,,,<4>,,1,,16,,,,,,,,,,,,,,,,,,,,,,,,
401,金币,,FALSE,config/item/icon_jbd.png,金币，哪儿都离不开的好东西,,4,,,,,<4>,,1,,16,,,gainGold,,,,,,,,,,,,,,,,,,,,,
402,钻石,,,config/item/icon_zsd.png,地位最为坚固的硬通货,,4,,3,,{rmb=1},<3>,,1,,16,,,,,,,,,,,,,,,,,,,,,,,,
403,体力,,FALSE,config/item/icon_tpcl.png,用于提升战队等级,,4,,,,,<4>,,1,,16,,,,,,,,,,,,,,,,,,,,,,,,
404,贵族,,,config/item/icon_apple.png,土豪的象征,,4,,,,,<4>,,1,,16,,,,,,,,,,,,,,,,,,,,,,,,
405,贵族经验,,,config/item/icon_apple.png,土豪的象征,,4,,,,,<4>,,1,,16,,,,,,,,,,,,,,,,,,,,,,,,
406,天赋点,,,config/item/icon_tfd.png,天赋点，可用于提升天赋等级,,4,,3,,{talent_point=1},<3>,,1,,16,,,,,,,,,,天赋点可以通过普通和精英关卡宝箱，竞技场积分奖励获得,,,,,,,,,,,,,,
407,神奇魔方,,,config/item/icon_spdb.png,神奇的魔方，可以在饰品商店兑换道具,,4,,,,,<4>,,1,,16,,,,,,,,,,可以通过饰品抽卡获取,,,,,,,,,,,,,,
408,公会经验,,,config/item/icon_ghjy.png,公会升级经验，可以由捐献和公会任务获得，公会全体任务获得的经验只会增加一次,,4,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,
411,荣誉币,,,config/item/icon_ryb.png,荣誉币，用于荣誉商店购买道具,,4,,,,,,,,,16,,,,,,,,,,荣誉币可通过竞技场获得,,,,,,,,,,,,,,
412,以太基金,,,config/item/icon_ytjj.png,以太基金，用于以太乐园商店兑换道具,,4,,,,,,,,,16,,,,,,,,,,可通过以太乐园获得,,,,,,,,,,,,,,
413,公会币,,,config/item/icon_ghb.png,公会货币，可以在公会商店中购买道具,,4,,,,,,,,,16,,,,,,,,,,可在公会捐献中心里获取,,,,,,,,,,,,,,
414,寻宝币,,,config/item/icon_jxlj.png,用于兑换探险器组件,,4,,3,,,,,,,16,,,,,,,,,,通过分解组件获得,,,,,,,,,,,,,,
415,精灵魂石,,,config/item/icon_frgitm.png,精灵分解后获得，可用于兑换神秘道具,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
416,石英金质徽章,,,config/item/icon_sydhdb1.png,用于石英商店中购买道具,,5,,,,,,,,,16,,,,,,,,,,参与石英大会可获得,,,,,,,,,,,,,,
417,乐园积分,,,config/item/icon_jf.png,以太乐园积分,,4,,,,,,,,,16,,,,,,,,,,以太乐园获得的积分值,,,,,,,,,,,,,,
418,未使用的货币id,,,config/item/icon_spdb.png,神奇的魔方，可以在饰品商店兑换道具,,4,,,,,,,,,16,,,,,,,,,,可以通过饰品抽卡获取,,,,,,,,,,,,,,
419,石英银质徽章,,,config/item/icon_sydhdb2.png,用于石英商店中购买道具,,4,,,,,,,,,16,,,,,,,,,,参与石英大会可获得,,,,,,,,,,,,,,
420,跨服石英金币,,,config/item/icon_kfsydhdb1.png,用于跨服石英商店中购买道具,,4,,,,,,,,,16,,,,,,,,,,参与跨服石英大会可获得,,,,,,,,,,,,,,
421,跨服石英银币,,,config/item/icon_kfsydhdb2.png,用于跨服石英商店中购买道具,,4,,,,,,,,,16,,,,,,,,,,参与跨服石英大会可获得,,,,,,,,,,,,,,
422,公会战勋金币,,,config/item/icon_ghzb1.png,用于公会战商店中购买道具,,4,,,,,,,,,16,,,,,,,,,,给予参加公会战训练家的奖赏,,,,,,,,,,,,,,
423,公会战勋银币,,,config/item/icon_ghzb2.png,用于公会战商店中购买道具,,4,,,,,,,,,16,,,,,,,,,,给予参加公会战训练家的奖赏,,,,,,,,,,,,,,
424,技能点,,,config/item/icon_jnd.png,用于精灵技能升级,,4,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,
425,金纸鹤,,,config/item/icon_dzjjchb.png,用于对战竞技场商店中购买道具,,4,,,,,,,,,16,,,,,,,,,,参与对战竞技场可获得,,,,,,,,,,,,,,
426,挑战加成点,,,city/adventure/gym_challenge/icon_jcd.png,用于道馆内提升挑战加成属性,,4,,,,,<4>,,,,16,,,,,,,,,,参与道馆挑战获得,,,,,,,,,,,,,,
427,资源币,,,common/icon/icon_kfzy.png,跨服商业街中产出，用于系统中祝福培养、以及商业街商店的中购买道具,,4,,,,,,,,,16,,,,,,,,,,参与跨服商业街可获得,,,,,,,,,,,,,,
