变量名,sort,res,attrNum2,attrType2,attrNum3,attrType3,targetTextShow,showShadow,attrNum1,attrType1,hidedesc,desc,targetArg,type,medalName,medalID,targetType,targetArgSpecial,award,pos,languages
1071,1,city/medal/icon/medal_9.png,420,8,,,,1,420,7,在以太乐园里，拿出最强精灵，“亲手”（划重点）战胜“困难敌人”！我会记录你的胜利，保持耐性，胜利数百次后，荣誉的勋章将属于你！,以太乐园玩法内挑战<困难的敌人>并成功的，累计次数达到500次,500,2,就是这么强,10,10,,{coin2=5000;gold=1000000},,
1081,1,city/medal/icon/medal_12.png,280,10,,,,1,280,9,《装饰家》杂志写，想要提升家居品味，需要持续开阔眼界。嗯…很有道理！那就来试一个月吧，访问里设定了多个排行榜呢，每个榜单前十的玩家都得去看看吧，或者也得达到相同的访问数量，才可以领取奖励呀,家园内，每日拜访不同玩家的小屋30个，累计30天,30,2,社交牛人,11,11,{roleNum=30},{gold=1000000;coin16=1000},,
1091,1,city/medal/icon/medal_2.png,,,,,,1,960,1,,家园-派对中，在派对内互动（气氛组、表情包或弹幕发送）累计达150次,150,3,地表最强气氛组,12,12,,{gold=1000000;coin16=1000},,
1101,1,city/medal/icon/medal_17.png,420,8,,,,1,420,7,,在公会-许愿中心内许愿累计达到150天,150,1,随我心意,13,13,,{59002=5;gold=1000000},,
1111,1,city/medal/icon/medal_11.png,,,,,,1,960,1,,作为老玩家参与重聚活动与回归玩家进行任务绑定达5次,5,3,老工具人了,14,14,,{gold=1000000;rmb=100},,
1121,1,city/medal/icon/medal_10.png,240,10,,,,1,240,9,要升级的这栋楼，虽然没有任何功能，但是占据家园布局的C位，且与其他建筑息息相关呢,家园-市中心的建筑等级达10级,10,2,基建爱好者,16,16,{buildingID=1},{gold=1000000;coin16=1000},{x=0;y=-10},
1131,1,city/medal/icon/medal_3.png,420,8,,,,0.5,420,7,精灵们的爱是用好吃的和闪闪亮的首饰堆出来的，让我看看你有多受欢迎呀,拥有20个好感度等级至少为500的精灵,20,2,大家都爱我！,18,18,{feelLevel=500},{502=5;rmb=100},,
1132,2,city/medal/icon/medal_3.png,320,10,,,,1,320,9,精灵们的爱是用好吃的和闪闪亮的首饰堆出来的，让我看看你有多受欢迎呀,拥有50个好感度等级至少为500的精灵,50,2,大家都爱我！,18,18,{feelLevel=500},{502=10;rmb=100},,
1141,1,city/medal/icon/medal_19.png,,,,,-1,1,1120,1,,在定期举办的公会精灵问答中达到第1名,1,1,我，简直是天才！,19,19,,{502=5;rmb=100},,
1151,1,city/medal/icon/medal_24.png,420,8,,,-1,1,420,7,,在定期举办的钓鱼大赛中拿到过第1名,1,1,资深钓鱼佬,20,20,,{502=5;rmb=100},,
1161,1,city/medal/icon/medal_35.png,320,10,,,-1,1,320,9,,在定期举办的跨服石英大会赛事中最终结算时排行榜达前3名（包括第3名）,3,1,霸榜之王·跨服石英,21,21,,{521=2;rmb=100},,
1171,1,city/medal/icon/medal_34.png,,,,,-1,1,1280,1,,在定期举办的对战竞技场赛事中任一模式的最终结算时排行榜达前10名（包括第10名）,10,1,霸榜之王·对战匹配,22,22,,{521=2;rmb=100},,
1181,1,city/medal/icon/medal_36.png,480,8,,,-1,1,480,7,,在定期举办的跨服商业街中最终结算时排行榜达前3名（包括第3名）,3,1,霸榜之王·商业街,23,23,,{521=2;rmb=100},,
1191,1,city/medal/icon/medal_37.png,320,10,,,-1,1,320,9,,在定期举办的世界锦标赛中最终结算时排名达前12名（包括第12名）,12,1,霸榜之王·世界锦标赛,24,24,,{521=2;rmb=100},,
1201,1,city/medal/icon/medal_38.png,,,,,-1,1,1280,1,,在定期举办的跨服竞技场赛事中最终结算时排行榜达到王者段位的前10名（包括第10名）,10,1,霸榜之王·跨服竞技,25,25,,{521=2;rmb=100},,
1211,1,city/medal/icon/medal_33.png,480,8,,,,1,480,7,,在跨服商业街单场赛事中的祝福属性培养花费资源币290000,290000,3,一己之力,26,26,,{gold=1000000;coin13=50000},,
1221,1,city/medal/icon/medal_23.png,280,10,,,,0.5,280,9,,在对战竞技场一个赛季中，不论模式连续赢得8场对战胜利,8,1,一直胜一直爽,27,27,,{coin12=50000;rmb=100},{x=15;y=0},
1222,2,city/medal/icon/medal_23.png,,,,,,1,1120,1,,在对战竞技场一个赛季中，不论模式连续赢得16场对战胜利,16,1,一直胜一直爽,27,27,,{coin12=50000;rmb=100},{x=15;y=0},
1231,1,city/medal/icon/medal_5.png,240,10,,,,1,240,9,,在对战竞技场-公平模式下，使用雷电云战斗胜利次数达50次（累计，非单赛季）,50,3,电闪！雷鸣！！,28,28,{cardMarkIDs=<3201>},{gold=1000000;502=3},{x=5;y=-15},
1241,1,city/medal/icon/medal_14.png,,,,,,1,960,1,,在对战竞技场-公平模式下，同时使用火焰鸟、闪电鸟、急冻鸟战斗胜利次数达30次（累计，非单赛季）,30,1,三圣鸟 的名号！,29,28,{cardMarkIDs=<721;731;741>},{gold=1000000;502=3},{x=-5;y=-5},
1251,1,city/medal/icon/medal_16.png,240,10,,,,1,240,9,,在对战竞技场-公平模式下，同时使用雷吉艾斯、雷吉斯奇鲁、雷吉洛克战斗胜利次数达30次（累计，非单赛季）,30,1,三神柱 的名号！,31,28,{cardMarkIDs=<1911;1921;1931>},{gold=1000000;502=3},{x=-5;y=-7},
1261,1,city/medal/icon/medal_13.png,,,,,,1,960,1,,在对战竞技场-公平模式下，使用路卡利欧战斗胜利次数达50次（累计，非单赛季）,50,1,帅气！路卡利欧,32,28,{cardMarkIDs=<2241>},{gold=1000000;502=3},{x=0;y=8},
1271,1,city/medal/icon/medal_20.png,360,8,,,,1,360,7,,在跨服商业街内累计抢到BOSS击杀10次（累计，非单赛季）,10,1,唯快不破,33,29,,{gold=1000000;coin13=100000},{x=35;y=0},
1281,1,city/medal/icon/medal_7.png,480,8,,,6,1,480,7,,同时拥有12星的精灵：喵喵、阿柏蛇、瓦斯弹、大食花、好坏星、迷拟Q,12,1,火箭队明星团,43,41,{cardMarkIDs=<211;81;481;281;3771;3961>},{521=2;rmb=100},,
1291,1,city/medal/icon/medal_32.png,240,10,,,8,1,240,9,,同时拥有8星的精灵：小智版甲贺忍蛙、路卡利欧、迷拟Q、喷火龙、烈咬陆鲨、裂空座、沙奈朵、耿鬼,8,1,票选人气王,44,41,{cardMarkIDs=<7011;2241;3961;11;2231;1981;1391;391>},{521=2;rmb=100},{x=0;y=-10},
1301,1,city/medal/icon/medal_31.png,280,10,,,,1,280,9,,获得人物形象达48个,48,3,百变训练家,49,35,,{521=2;rmb=100},{x=0;y=5},
1311,1,city/medal/icon/medal_30.png,,,,,,1,1120,1,,获得头像框达到100个,100,3,需要一百个头,50,36,,{521=2;rmb=100},,
1321,1,city/medal/icon/medal_27.png,360,8,,,,1,360,7,记得经典的初代御三家嘛？去困难副本历练历练他们！至于任务嘛…自然是要看着他们胜利个几十次才能把勋章给你呀,在困难副本中，同时使用杰尼龟、小火龙、妙蛙种子战斗胜利30次,30,2,冲！初代御三家,51,37,{cardMarkIDs=<21;11;1>},{519=3;gold=1000000},{x=0;y=-10},
1331,1,city/medal/icon/medal_28.png,240,10,,,,1,240,9,二代御三家在困难副本里表现如何，也很想看看呢~任务很良心，和初代一样的要求就可以啦！,在困难副本中，同时使用菊草叶、火球鼠、小锯鳄战斗胜利30次,30,2,冲！二代御三家,52,37,{cardMarkIDs=<781;791;801>},{519=3;gold=1000000},{x=0;y=-10},
1341,1,city/medal/icon/medal_29.png,,,,,,1,960,1,三代御三家、困难副本…你懂的，呃，你应该知道是哪3个精灵吧？,在困难副本中，同时使用木守宫、火稚鸡、水跃鱼战斗胜利30次,30,2,冲！三代御三家,53,37,{cardMarkIDs=<1291;1301;1311>},{519=3;gold=1000000},,
1351,1,city/medal/icon/medal_25.png,,,,,,1,960,1,,在冒险-狩猎地带的普通线路上不损失任何精灵通关5次（不可出现复活救援）,5,1,一个也不能少,56,40,,{gold=1000000;59003=3},{x=15;y=0},
1361,1,city/medal/icon/medal_26.png,360,8,,,,1,360,7,,在冒险-狩猎地带的进阶线路上不损失任何精灵通关5次（不可出现复活救援）,5,1,危险也一个不能少！,57,42,,{gold=1000000;59003=3},{x=15;y=0},
1371,1,city/medal/icon/medal_52.png,,,,,,1,960,1,,家园-派对中，在派对内参与的百发百中小游戏获得过“神准”的最高评价，累计2次,2,1,镖神降临,58,43,,{502=5;rmb=100},{x=0;y=-7},
1381,1,city/medal/icon/medal_53.png,360,8,,,,1,360,7,,单个赛季中，在卡牌冒险玩法正式挑战中连续通关5次,5,1,请关闭作弊工具,59,44,,{gold=1000000;coin19=5000},,
1391,1,city/medal/icon/medal_54.png,240,10,,,-1,1,240,9,,在卡牌冒险玩法赛季结算时，同时获得所有排行榜的前10名（包括总榜和所有角色榜）,10,1,高处不胜寒呐,60,45,,{521=2;rmb=100},,
1401,1,city/medal/icon/medal_55.png,,,,,,1,960,1,,连续30天参与卡牌冒险玩法,30,3,根本停不下来,61,46,,{gold=1000000;coin19=5000},,
1501,1,city/medal/icon/medal_56.png,240,10,,,,1,240,9,,累计在无尽模式的以太乐园中参与500场困难的敌人的战斗,500,1,无尽之王,62,47,,{gold=1000000;502=3},,<cn>
1511,1,city/medal/icon/medal_57.png,,,,,-1,1,1120,1,,在一期拟态挑战结算时，达到排名前3名（包括第3名）,3,1,霸榜之王·拟态对战,63,48,,{6213=1;gold=1000000},,
1521,1,city/medal/icon/medal_58.png,480,8,,,-1,1,480,7,,在疾影驰斗一个赛季结算时，玩家所在公会达到排行榜前3名（包括第3名）,3,1,霸榜之王·疾影驰斗公会,64,49,,{521=2;rmb=100},,
1531,1,city/medal/icon/medal_59.png,,,,,-1,1,1280,1,,在疾影驰斗一个赛季结算时，在个人击杀排行榜位于前3名（包括第3名）,3,1,霸榜之王·疾影驰斗个人,65,50,,{521=2;rmb=100},,
1541,1,city/medal/icon/medal_60.png,300,8,,,,1,300,7,在疾影驰斗里，这可是能直接将你传送到任意已占领的据点上的超级载具！,解锁准神瞬移飞船,5,2,什么飞过去了？！,66,51,,{520=3;rmb=100},,
1551,1,city/medal/icon/medal_61.png,320,10,,,,1,320,9,契约之章之间蕴含着深深的羁绊，按照勋章册中勋章上的提示来集齐他们吧！,拥有低语之章、铁甲之章、鲸睛之章3个契约,3,2,羁绊·海陆空大战！,67,55,{groupID=2002},{133=10;gold=1000000},,
1561,1,city/medal/icon/medal_62.png,,,,,,1,1120,1,契约之章之间蕴含着深深的羁绊，按照勋章册中勋章上的提示来集齐他们吧！,拥有桎梏之章、寒冰之章、霹雳之章3个契约,3,2,羁绊·传说的鸟,68,55,{groupID=2003},{133=8;gold=800000},,
1571,1,city/medal/icon/medal_63.png,360,8,,,,1,360,7,契约之章之间蕴含着深深的羁绊，按照勋章册中勋章上的提示来集齐他们吧！,拥有炽焰之章、神屋之章、缠络之章3个契约,3,2,羁绊·御三家,69,55,{groupID=2001},{133=6;gold=600000},,
1581,1,city/medal/icon/medal_64.png,,,,,,1,1120,1,契约之章之间蕴含着深深的羁绊，按照勋章册中勋章上的提示来集齐他们吧！,拥有矫捷之章、晶亮之章、磐石之章3个契约,3,2,羁绊·传说的巨人,70,55,{groupID=2004},{133=8;gold=800000},,
1591,1,city/medal/icon/medal_65.png,480,8,,,-1,1,480,7,,在帷幕马戏团一个赛季的结算时，达到总排行榜前3名（包括第3名）,3,1,霸榜之王·帷幕马戏团,71,52,,{521=2;rmb=100},,<cn>
1601,1,city/medal/icon/medal_66.png,,,,,-1,1,1280,1,,在帷幕马戏团一个赛季结算时，同时拿到过3个舞台排行榜前10名（包括第10名）,10,1,忙碌的表演艺术家,72,53,,{521=2;rmb=100},,<cn>
1611,1,city/medal/icon/medal_67.png,360,8,,,,0.3,360,7,,任意3个纹章均解锁至阶段5增益,3,1,增到最大！,73,54,{stage=5},{gold=1000000;502=3},,
1621,2,city/medal/icon/medal_67.png,280,10,,,,0.6,280,9,,任意6个纹章均解锁至阶段5增益,6,1,增到最大！,73,54,{stage=5},{519=3;gold=1000000},,
1631,3,city/medal/icon/medal_67.png,,,,,,1,1280,1,,任意10个纹章均解锁至阶段5增益,10,1,增到最大！,73,54,{stage=5},{519=3;gold=1000000},,
1641,1,city/medal/icon/medal_68.png,360,8,,,,1,360,7,,小屋拓展2次,2,1,我的大别墅！,74,56,,{gold=1000000;coin16=1000},,
1651,1,city/medal/icon/medal_71.png,,,,,,1,800,1,,在赛季结算时达到排行榜前50名,50,1,霸榜之王·卡牌对决,75,57,,{521=2;rmb=100},,<cn>
1661,1,city/medal/icon/medal_69.png,300,8,,,,0.3,300,7,一个赛季内，获得x次对局第一名,一个赛季内，连续获得2次对局第一名,2,1,就是一直赢,76,58,,{521=2;rmb=100},,<cn>
1662,2,city/medal/icon/medal_69.png,,,,,,0.6,800,1,,一个赛季内，连续获得5次对局第一名,5,1,就是一直赢,76,58,,{521=2;rmb=100},,<cn>
1663,3,city/medal/icon/medal_69.png,300,8,,,,1,300,7,,一个赛季内，连续获得10次对局第一名,10,1,就是一直赢,76,58,,{521=2;rmb=100},,<cn>
1671,1,city/medal/icon/medal_72.png,200,10,,,,0.3,200,9,在训练家至少有x血的情况下获得第1名x次,在训练家至少有30血的情况下获得第1名1次,1,2,完好无损,77,59,{hp=30;rank=1},{521=2;rmb=100},,<cn>
1672,2,city/medal/icon/medal_72.png,,,,,,0.6,800,1,,在训练家至少有30血的情况下获得第1名5次,5,2,完好无损,77,59,{hp=30;rank=1},{521=2;rmb=100},,<cn>
1673,3,city/medal/icon/medal_72.png,300,8,,,,1,300,7,,在训练家至少有30血的情况下获得第1名10次,10,2,完好无损,77,59,{hp=30;rank=1},{521=2;rmb=100},,<cn>
1681,1,city/medal/icon/medal_70.png,,,,,,0.3,800,1,单局内，精灵的任一属性超过1000,单局内，精灵的任一属性超过1000,1,2,史前巨怪,78,60,{attr=1000},{521=2;rmb=100},,<cn>
1682,2,city/medal/icon/medal_70.png,300,8,,,,0.6,300,7,,5局内，精灵的任一属性超过1000,5,2,史前巨怪,78,60,{attr=1000},{521=2;rmb=100},,<cn>
1683,3,city/medal/icon/medal_70.png,200,10,,,,1,200,9,,10局内，精灵的任一属性超过1000,10,2,史前巨怪,78,60,{attr=1000},{521=2;rmb=100},,<cn>
