变量名,sceneName,_beizhu,monsters,boss,icon,gateType,sceneType,sceneCount,roundLimit,deployType,deployCardNumLimit,deployNum,deployNatureLimit,backMusic,backGround,bg_boss,bg_boss_pos,ownerId,onlyClassify,openLevel,preGateID,stars,showLevel,sceneLevel,skillLevel,sceneLevelCorrect,demonCorrect,demonCorrectSelf,dayChallengeMax,staminaCost,cardExp,roleExp,dropIds,gold,desc,sandangAward,worldLevelSaodangAward,forbidMarkID,winAward,star3Award,kssdFlag,chestAward,pos,awardPos,frontWay,monsterRange,finishPoint,isWheel,isQuickSweep,tag,monsters3,skillLevel2,demonCorrect3,demonCorrect2,boss3,showLevel3,skillLevel3,monsters2,showLevel2,boss2,playNumber,bg_boss_pos2,bg_boss_pos3,roundLimit2,roundLimit3,sceneCount2,sceneCount3,sceneLevel2,sceneLevel3
14,跨服石英大会,,,,,14,,5,10,,,,,,battle/scene/bg_jjc.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{ceCorrectTakeEffect=TRUE;pvpAttrTakeEffect=TRUE},,,,,,,,,,,1,,,,,,,,
17,跨服竞技场关卡,,,,,17,,,,,,,,,battle/scene/bg_kfjjc.png,,,,,,,,,,,,,,,0,,,{},,,,,,,,,,,,,,,,,{ceCorrectTakeEffect=TRUE;pvpAttrTakeEffect=TRUE},,,,,,,,,,,,,,,,,,,
19,道馆馆主,,,,,19,,1,,,,,,,battle/scene/bg_jjc.jpg,,,,,,,,,,,,,,,0,,,{},,,,,,,,,,,,,,,,,{ceCorrectTakeEffect=TRUE;pvpAttrTakeEffect=TRUE},,,,,,,,,,,,,,,,,,,
20,跨服道馆,,,,,20,,1,,,,,,,battle/scene/bg_jjc.jpg,,,,,,,,,,,,,,,0,,,{},,,,,,,,,,,,,,,,,{ceCorrectTakeEffect=TRUE;pvpAttrTakeEffect=TRUE},,,,,,,,,,,,,,,,,,,
21,跨服实时对战,,,,,21,,1,,,,,,,battle/scene/bg_dzjjc.png,,,,,,,,,,,,,,,0,,,{},,,,,,,,,,,,,,,,,{ceCorrectTakeEffect=TRUE;pvpAttrTakeEffect=TRUE},,,,,,,,,,,,,,,,,,,
22,活动Boss,,,,,22,22,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,跨服资源战pvp,,,,,23,17,,10,,,,,,battle/scene/bg_jjc.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{ceCorrectTakeEffect=TRUE;pvpAttrTakeEffect=TRUE},,,,,,,,,,,4,,,,,,,,
25,周年庆副本,,,,,25,25,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,远征玩法,,,,,26,26,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,夏日挑战,,,,,27,27,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,跨服公会战,,,,,28,28,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{ceCorrectTakeEffect=TRUE;pvpAttrTakeEffect=TRUE},,,,,,,,,,,,,,,,,,,
29,世界锦标赛,,,,,29,29,,,,,,,,battle/scene/bg_sjjbs.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{ceCorrectTakeEffect=TRUE;pvpAttrTakeEffect=TRUE},,,,,,,,,,,,,,,,,,,
30,对战竞猜,,,,,30,30,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,羁绊进化,,,,,31,31,1,,,,,,,battle/scene/bg_xszd.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,对战竞猜赛事版,,,,,33,33,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,冒险团,,,,,34,34,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{ceCorrectTakeEffect=TRUE;pvpAttrTakeEffect=TRUE},,,,,,,,,,,,,,,,,,,
36,精灵试玩,,,,,36,,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,无尽以太,,,,,37,37,1,,,,,,,,,,,,,,<{key=1;value=1};{key=2;value=1};{key=2;value=0}>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,帷幕马戏团,,,,,38,22,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,众神禁地,,,,,40,,1,,4,,,,,,,,,,,,<{key=2;value=1};{key=3;value=8};{key=3;value=15}>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,虚构影印,,,,,41,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,极巨巅峰,,,,,42,,1,,,,,,,battle/scene/bg_jjc.jpg,,,,,,,,,,,,,,,0,,,{},,,,,,,,,,,,,,,,,{ceCorrectTakeEffect=TRUE;pvpAttrTakeEffect=TRUE},,,,,,,,,,,,,,,,,,,
43,教学副本,,,,,43,32,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000,妙蛙花,,,,config/portrait/jinglingtouxiang1/img_3_mwh@.png,6,21,1,5,,,,,,battle/scene/bg_grass.jpg,config/big_hero/normal/img_3_mwh@.png,{x=0;y=0},,,,,,20,100,100,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001,喷火龙,,,,config/portrait/jinglingtouxiang1/img_6_phl@.png,6,21,1,5,,,,,,battle/scene/bg_night.jpg,config/big_hero/normal/img_6_phl@.png,{x=0;y=0},,,,1000,,30,150,150,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002,水箭龟,,,,config/portrait/jinglingtouxiang1/img_9_sjg@.png,6,21,1,5,,,,,,battle/scene/bg_tower.jpg,config/big_hero/normal/img_9_sjg@.png,{x=0;y=0},,,,1001,,40,200,200,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1003,胡地,,,,config/portrait/jinglingtouxiang1/img_65_hd@.png,6,21,1,5,,,,,,battle/scene/bg_sd.jpg,config/big_hero/normal/img_65_hd@.png,{x=0;y=0},,,,1002,,50,250,250,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1004,妖火红狐,,,,config/portrait/jinglingtouxiang1/img_655_yhhh@.png,6,21,1,5,,,,,,battle/scene/bg_red.jpg,config/big_hero/normal/img_655_yhhh@.png,{x=0;y=0},,,,1003,,60,300,300,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1005,甲贺忍蛙,,,,config/portrait/jinglingtouxiang1/img_658_jhrw@.png,6,21,1,5,,,,,,battle/scene/bg_grass.jpg,config/big_hero/normal/img_658_jhrw@.png,{x=0;y=0},,,,1004,,70,350,350,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1006,电击魔兽,,,,config/portrait/jinglingtouxiang1/img_466_djms@.png,6,21,1,5,,,,,,battle/scene/bg_night.jpg,config/big_hero/normal/img_466_djms@.png,{x=0;y=0},,,,1005,,80,400,400,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007,耿鬼,,,,config/portrait/jinglingtouxiang1/img_94_gg@.png,6,21,1,5,,,,,,battle/scene/bg_tower.jpg,config/big_hero/normal/img_94_gg@.png,{x=0;y=0},,,,1006,,90,450,450,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1008,暴鲤龙,,,,config/portrait/jinglingtouxiang1/img_130_bll@.png,6,21,1,5,,,,,,battle/scene/bg_sd.jpg,config/big_hero/normal/img_130_bll@.png,{x=0;y=0},,,,1007,,100,500,500,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1009,快龙,,,,config/portrait/jinglingtouxiang1/img_149_kl@.png,6,21,1,5,,,,,,battle/scene/bg_red.jpg,config/big_hero/normal/img_149_kl@.png,{x=0;y=0},,,,1008,,100,500,500,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1010,急冻鸟,,,,config/portrait/jinglingtouxiang1/img_144_jdn@.png,6,21,1,5,,,,,,battle/scene/bg_grass.jpg,config/big_hero/normal/img_144_jdn@.png,{x=0;y=0},,,,1009,,100,500,500,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011,闪电鸟,,,,config/portrait/jinglingtouxiang1/img_145_sdn@.png,6,21,1,5,,,,,,battle/scene/bg_night.jpg,config/big_hero/normal/img_145_sdn@.png,{x=0;y=0},,,,1010,,100,500,500,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012,火焰鸟,,,,config/portrait/jinglingtouxiang1/img_146_hyn@.png,6,21,1,5,,,,,,battle/scene/bg_tower.jpg,config/big_hero/normal/img_146_hyn@.png,{x=0;y=0},,,,1011,,100,500,500,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1013,蜥蜴王,,,,config/portrait/jinglingtouxiang1/img_254_xyw@.png,6,21,1,5,,,,,,battle/scene/bg_sd.jpg,config/big_hero/normal/img_254_xyw@.png,{x=0;y=0},,,,1012,,100,500,500,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1014,请假王,,,,config/portrait/jinglingtouxiang1/img_289_qjw@.png,6,21,1,5,,,,,,battle/scene/bg_red.jpg,config/big_hero/normal/img_289_qjw@.png,{x=0;y=0},,,,1013,,100,500,500,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1015,炎武王,,,,config/portrait/jinglingtouxiang1/img_500_yww@.png,6,21,1,5,,,,,,battle/scene/bg_grass.jpg,config/big_hero/normal/img_500_yww@.png,{x=0;y=0},,,,1014,,100,500,500,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1016,雷公,,,,config/portrait/jinglingtouxiang1/img_243_lg@.png,6,21,1,5,,,,,,battle/scene/bg_night.jpg,config/big_hero/normal/img_243_lg@.png,{x=0;y=0},,,,1015,,100,500,500,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1017,炎帝,,,,config/portrait/jinglingtouxiang1/img_244_yd@.png,6,21,1,5,,,,,,battle/scene/bg_tower.jpg,config/big_hero/normal/img_244_yd@.png,{x=0;y=0},,,,1016,,100,500,500,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1018,水君,,,,config/portrait/jinglingtouxiang1/img_245_sj@.png,6,21,1,5,,,,,,battle/scene/bg_sd.jpg,config/big_hero/normal/img_245_sj@.png,{x=0;y=0},,,,1017,,100,500,500,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1019,梦幻,,,,config/portrait/jinglingtouxiang1/img_151_mh@.png,6,21,1,5,,,,,,battle/scene/bg_red.jpg,config/big_hero/normal/img_151_mh@.png,{x=0;y=0},,,,1018,,100,500,500,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1020,超梦,,,,config/portrait/jinglingtouxiang1/img_150_cm@.png,6,21,1,5,,,,,,battle/scene/bg_night.jpg,config/big_hero/normal/img_150_cm@.png,{x=0;y=0},,,,1019,,100,500,500,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1021,自爆磁怪,,,,config/portrait/jinglingtouxiang1/img_462_zbcg@.png,6,21,1,5,,,,,,battle/scene/bg_tower.jpg,config/big_hero/normal/img_462_zbcg@.png,{x=0;y=0},,,,1020,,100,500,500,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1022,超甲狂犀,,,,config/portrait/jinglingtouxiang1/img_464_cjkx@.png,6,21,1,5,,,,,,battle/scene/bg_sd.jpg,config/big_hero/normal/img_464_cjkx@.png,{x=0;y=0},,,,1021,,100,500,500,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1023,巨钳螳螂,,,,config/portrait/jinglingtouxiang1/img_212_jqtl@.png,6,21,1,5,,,,,,battle/scene/bg_red.jpg,config/big_hero/normal/img_212_jqtl@.png,{x=0;y=0},,,,1022,,100,500,500,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1024,鸭嘴炎兽,,,,config/portrait/jinglingtouxiang1/img_467_yzys@.png,6,21,1,5,,,,,,battle/scene/bg_night.jpg,config/big_hero/normal/img_467_yzys@.png,{x=0;y=0},,,,1023,,100,500,500,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1025,电龙,,,,config/portrait/jinglingtouxiang1/img_181_dl@.png,6,21,1,5,,,,,,battle/scene/bg_tower.jpg,config/big_hero/normal/img_181_dl@.png,{x=0;y=0},,,,1024,,100,500,500,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1026,赫拉克罗斯,,,,config/portrait/jinglingtouxiang1/img_214_hlkls@.png,6,21,1,5,,,,,,battle/scene/bg_sd.jpg,config/big_hero/normal/img_214_hlkls@.png,{x=0;y=0},,,,1025,,100,500,500,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1027,玛狃拉,,,,config/portrait/jinglingtouxiang1/img_461_mnl@.png,6,21,1,5,,,,,,battle/scene/bg_red.jpg,config/big_hero/normal/img_461_mnl@.png,{x=0;y=0},,,,1026,,100,500,500,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1028,黑鲁加,,,,config/portrait/jinglingtouxiang1/img_229_hlj@.png,6,21,1,5,,,,,,battle/scene/bg_night.jpg,config/big_hero/normal/img_229_hlj@.png,{x=0;y=0},,,,1027,,100,500,500,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1029,班基拉斯,,,,config/portrait/jinglingtouxiang1/img_248_bjls@.png,6,21,1,5,,,,,,battle/scene/bg_tower.jpg,config/big_hero/normal/img_248_bjls@.png,{x=0;y=0},,,,1028,,100,500,500,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1030,雷吉洛克,,,,config/portrait/jinglingtouxiang1/img_377_ljlk@.png,6,21,1,5,,,,,,battle/scene/bg_tower.jpg,config/big_hero/normal/img_377_ljlk@.png,{x=0;y=0},,,,1029,,100,500,500,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1031,雷吉艾斯,,,,config/portrait/jinglingtouxiang1/img_378_ljas@.png,6,21,1,5,,,,,,battle/scene/bg_tower.jpg,config/big_hero/normal/img_378_ljas@.png,{x=0;y=0},,,,1030,,100,500,500,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1032,雷吉斯奇鲁,,,,config/portrait/jinglingtouxiang1/img_379_ljsql@.png,6,21,1,5,,,,,,battle/scene/bg_tower.jpg,config/big_hero/normal/img_379_ljsql@.png,{x=0;y=0},,,,1031,,100,500,500,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1033,大钢蛇,,,,config/portrait/jinglingtouxiang1/img_208_dgs@.png,6,21,1,5,,,,,,battle/scene/bg_tower.jpg,config/big_hero/normal/img_208_dgs@.png,{x=0;y=0},,,,1032,,100,500,500,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1034,巨金怪,,,,config/portrait/jinglingtouxiang1/img_376_jjg@.png,6,21,1,5,,,,,,battle/scene/bg_tower.jpg,config/big_hero/normal/img_376_jjg@.png,{x=0;y=0},,,,1033,,100,500,500,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1035,双斧战龙,,,,config/portrait/jinglingtouxiang1/img_612_sfzl@.png,6,21,1,5,,,,,,battle/scene/bg_tower.jpg,config/big_hero/normal/img_612_sfzl@.png,{x=0;y=0},,,,1034,,100,500,500,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1036,路卡利欧,,,,config/portrait/jinglingtouxiang1/img_448_lklo@.png,6,21,1,5,,,,,,battle/scene/bg_tower.jpg,config/big_hero/normal/img_448_lklo@.png,{x=0;y=0},,,,1035,,100,500,500,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1037,盖欧卡,,,,config/portrait/jinglingtouxiang1/img_382_gok@.png,6,21,1,5,,,,,,battle/scene/bg_tower.jpg,config/big_hero/normal/img_382_gok@.png,{x=0;y=0},,,,1036,,100,500,500,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1038,固拉多,,,,config/portrait/jinglingtouxiang1/img_383_gld@.png,6,21,1,5,,,,,,battle/scene/bg_tower.jpg,config/big_hero/normal/img_383_gld@.png,{x=0;y=0},,,,1037,,100,500,500,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1039,裂空座,,,,config/portrait/jinglingtouxiang1/img_384_lkz@.png,6,21,1,5,,,,,,battle/scene/bg_tower.jpg,config/big_hero/normal/img_384_lkz@.png,{x=0;y=0},,,,1038,,100,500,500,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1040,炽焰咆哮虎,,,,config/portrait/jinglingtouxiang1/img_727_cypxh@.png,6,21,1,5,,,,,,battle/scene/bg_tower.jpg,config/big_hero/normal/img_727_cypxh@.png,{x=0;y=0},,,,1039,,100,500,500,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1041,拉帝亚斯,,,,config/portrait/jinglingtouxiang1/img_380_ldys@.png,6,21,1,5,,,,,,battle/scene/bg_tower.jpg,config/big_hero/normal/img_380_ldys@.png,{x=0;y=0},,,,1040,,100,500,500,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1042,拉帝欧斯,,,,config/portrait/jinglingtouxiang1/img_381_ldos@.png,6,21,1,5,,,,,,battle/scene/bg_tower.jpg,config/big_hero/normal/img_381_ldos@.png,{x=0;y=0},,,,1041,,100,500,500,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1043,凤王,,,,config/portrait/jinglingtouxiang1/img_250_fw@.png,6,21,1,5,,,,,,battle/scene/bg_tower.jpg,config/big_hero/normal/img_250_fw@.png,{x=0;y=0},,,,1042,,100,500,500,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1044,蒂安希,,,,config/portrait/jinglingtouxiang1/img_719_dax@.png,6,21,1,5,,,,,,battle/scene/bg_tower.jpg,config/big_hero/normal/img_719_dax@.png,{x=0;y=0},,,,1043,,100,500,500,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1045,勾帕路翁,,,,config/portrait/jinglingtouxiang1/img_638_gplw@.png,6,21,1,5,,,,,,battle/scene/bg_tower.jpg,config/big_hero/normal/img_638_gplw@.png,{x=0;y=0},,,,1044,,100,500,500,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1046,代拉基翁,,,,config/portrait/jinglingtouxiang1/img_639_dljw@.png,6,21,1,5,,,,,,battle/scene/bg_tower.jpg,config/big_hero/normal/img_639_dljw@.png,{x=0;y=0},,,,1045,,100,500,500,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1047,毕力吉翁,,,,config/portrait/jinglingtouxiang1/img_640_bljw@.png,6,21,1,5,,,,,,battle/scene/bg_tower.jpg,config/big_hero/normal/img_640_bljw@.png,{x=0;y=0},,,,1046,,100,500,500,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1048,莱希拉姆,,,,config/portrait/jinglingtouxiang1/img_643_lxlm@.png,6,21,1,5,,,,,,battle/scene/bg_tower.jpg,config/big_hero/normal/img_643_lxlm@.png,{x=0;y=0},,,,1047,,100,500,500,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1049,捷克罗姆,,,,config/portrait/jinglingtouxiang1/img_644_jklm@.png,6,21,1,5,,,,,,battle/scene/bg_tower.jpg,config/big_hero/normal/img_644_jklm@.png,{x=0;y=0},,,,1048,,100,500,500,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1050,梦妖魔,,,,config/portrait/jinglingtouxiang1/img_429_mym@.png,6,21,1,5,,,,,,battle/scene/bg_tower.jpg,config/big_hero/normal/img_429_mym@.png,{x=0;y=0},,,,1049,,100,500,500,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1051,虚吾伊德,,,,config/portrait/jinglingtouxiang1/img_793_xwyd@.png,6,21,1,5,,,,,,battle/scene/bg_tower.jpg,config/big_hero/normal/img_793_xwyd@.png,{x=0;y=0},,,,1050,,100,500,500,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1052,爆肌蚊,,,,config/portrait/jinglingtouxiang1/img_794_bjw@.png,6,21,1,5,,,,,,battle/scene/bg_tower.jpg,config/big_hero/normal/img_794_bjw@.png,{x=0;y=0},,,,1051,,100,500,500,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1053,费洛美螂,,,,config/portrait/jinglingtouxiang1/img_795_flml@.png,6,21,1,5,,,,,,battle/scene/bg_tower.jpg,config/big_hero/normal/img_795_flml@.png,{x=0;y=0},,,,1052,,100,500,500,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
