变量名,变量名,eventID,_name,delay,sound,damageSeg,hpSeg,segInterval,shaker,music,zOrder,move,show,effectType,effectRes,effectArgs,otherEventIDs,follow,onlyTargetShow,jumpFlag,control,__version
332,,3091,,,,,,,,,<{zorder=10;delay=0;lastTime=6000}>,<{t=0;absX=1900;absY=550;delay=0;scale=1.3}>,<{hide=TRUE;delay=0;lastTime=6000}>,,,,<90;3092;3093>,,,,,
333,,3092,,,,,,,,,,,,1,koudai_beijing/tiankong.skel,{screenPos=0;addTolayer=-1;zorder=99;delay=0;offsetX=0;lastTime=7833.3;aniLoop=FALSE;aniName=miaowahua_skill2;offsetY=0;scale=0.75},,,,,,
334,,3093,,,,,,,,,,,,1,koudai_beijing/huangtu.skel,{screenPos=0;addTolayer=-1;zorder=99;delay=0;offsetX=0;lastTime=7833.3;aniLoop=FALSE;aniName=miaowahua_skill2;offsetY=0;scale=0.75},,,,,,
411,,3101,,,,<1>,,<0>,{beginT=0;count=1;disx=10;disy=10;endT=100;interval=0;isRepeat=TRUE},,,,,,,,,,FALSE,,{lifeBar={show=TRUE}},
421,,3102,,,,<0.3;0.3;0.4>,,<0;200;200>,{beginT=0;count=1;disx=15;disy=20;endT=100;interval=0;isRepeat=TRUE},,,,,,,,,,FALSE,,{lifeBar={show=TRUE}},
431,,3107,,,,<0.4;0.1;0.1;0.1;0.1;0.1;0.1>,,<0;2400;300;300;300;300;300>,{beginT=0;count=1;disx=20;disy=30;endT=100;interval=0;isRepeat=TRUE},,,,,,,,,,,,,
432,,1,,,,,,,,,,,,,,,<90;3192;3193;3194;3195>,{bones=<hitman_move1>},,,,
433,,3192,,,,,,,,,,,,1,koudai_beijing/huahai.skel,{screenPos=0;addTolayer=1;zorder=99;delay=0;offsetX=0;lastTime=12166.66;aniLoop=FALSE;aniName=miaowahuamega_skill2_qian;offsetY=100;scale=0.65},,,,,,
434,,3193,,,,,,,,,,,,1,koudai_beijing/huahai.skel,{screenPos=0;addTolayer=-1;zorder=-1;delay=0;offsetX=0;lastTime=12166.66;aniLoop=FALSE;aniName=miaowahuamega_skill2_hou;offsetY=25;scale=0.7},,,,,,
435,,3194,,,,,,,,,,,,1,koudai_beijing/dizhen.skel,{screenPos=0;addTolayer=-1;zorder=-2;delay=0;offsetX=0;lastTime=12166.66;aniLoop=FALSE;aniName=miaowahuamega_skill2;offsetY=0;scale=0.7},,,,,,
436,,3195,,,,,,,,,,,,1,koudai_beijing/tiankong_x.skel,{screenPos=0;addTolayer=-1;zorder=-3;delay=0;offsetX=-80;lastTime=12166.66;aniLoop=FALSE;aniName=miaowahuamega_skill2;offsetY=0;scale=0.6},,,,,,
1111,,4001,,,,<0.3;0.3;0.4>,,<0;100;133.3>,{beginT=0;count=1;disx=10;disy=10;endT=100;interval=0;isRepeat=TRUE},,,,,,,,,,FALSE,,{lifeBar={show=TRUE}},
1121,,4004,,,,<0.25;0.25;0.25;0.25>,,<0;266.6;166.6;166.6>,{beginT=0;count=1;disx=15;disy=20;endT=100;interval=0;isRepeat=TRUE},,,,,,,,,,FALSE,,{lifeBar={show=TRUE}},
1131,,4008,,,,<0.3;0.3;0.4>,,<0;133.3;166.6>,{beginT=0;count=1;disx=20;disy=30;endT=100;interval=0;isRepeat=TRUE},,,,,,,,,,,,,
1132,,4091,,,,,,,,,,,<{hide=TRUE;delay=0;lastTime=1600}>,,,,<90;4092>,,,,,
1133,,4092,,,,,,,,,,,,1,koudai_beijing/sudu_bj_guang.skel,{screenPos=0;addTolayer=-1;zorder=-1;offsetX=-200;lastTime=4900;aniLoop=FALSE;aniName=xiaohuolong_skill2;offsetY=0;scale=1.2},,,,,,
1211,,5001,,,,<0.2;0.2;0.6>,,<0;200;600>,{beginT=0;count=1;disx=10;disy=10;endT=100;interval=0;isRepeat=TRUE},,,,,,,,,,FALSE,,{lifeBar={show=TRUE}},
1221,,5006,,,,<0.2;0.2;0.6>,,<0;200;700>,{beginT=0;count=1;disx=15;disy=20;endT=100;interval=0;isRepeat=TRUE},,,,,,,,,,FALSE,,{lifeBar={show=TRUE}},
1231,,5013,,,,<0.5;0.5>,,<0;200>,{beginT=0;count=1;disx=20;disy=30;endT=100;interval=0;isRepeat=TRUE},,,,,,,,,,,,,
1232,,5091,,,,,,,,,,,<{hide=TRUE;delay=2100;lastTime=2533.33}>,,,,<90;5092>,,,,,
1233,,5092,,,,,,,,,,,,1,koudai_beijing/sudu_bj.skel,{screenPos=0;addTolayer=-1;zorder=-1;delay=0;offsetX=-550;lastTime=4900;aniLoop=FALSE;aniName=huokonglong_skill2;offsetY=0;scale=1},,,,,,
1311,,6001,,,,<0.25;0.25;0.25;0.25>,,<0;133.3;366.6;133.3>,{beginT=0;count=1;disx=10;disy=10;endT=100;interval=0;isRepeat=TRUE},,,,,,,,,,FALSE,,{lifeBar={show=TRUE}},
1321,,6005,,,,<0.5;0.5>,,<200;1633.3>,{beginT=0;count=1;disx=20;disy=30;endT=200;interval=0;isRepeat=TRUE},,,,,,,,,,FALSE,,{lifeBar={show=TRUE}},
1322,,6081,,,,,,,,,,<{t=100;y=100;x=100;delay=800};{t=200;y=1500;x=300;delay=900};{t=100;y=4500;x=100;delay=1100};{t=0;y=1050;x=-400;delay=1600};{t=116.67;y=600;x=0;delay=1650};{t=100;y=1200;x=400;delay=1766.67};{t=0;y=1200;x=-900;delay=2350};{t=166.67;y=0;x=0;delay=2400}>,,,,,,,FALSE,,{lifeBar={show=TRUE}},
1331,,6007,,,,<0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125>,,<0;100;100;166.6;166.6;166.6;166.6;166.6>,{beginT=0;count=1;disx=20;disy=30;endT=100;interval=0;isRepeat=TRUE},,,,,,,,,,,,,
1332,,6091,,,,,,,,,,<{t=0;teamClose=0.5;scale=1;x=-400;delay=0};{t=0;absY=-150;delay=100;scale=1};{x=-300;t=1000;delay=6300};{absY=500;t=1000;delay=6300}>,<{hide=TRUE;delay=0;lastTime=6500}>,,,,<90;6092;6093>,,,,,
1333,,6092,,,,,,,,,,,,1,koudai_beijing/tiankong.skel,{screenPos=0;addTolayer=-1;offsetY=-490;offsetX=0;lastTime=8266.67;aniLoop=FALSE;zorder=19;aniName=penhuolong_skill2},,,,,,
1334,,6093,,,,,,,,,,,,1,koudai_beijing/huangtu.skel,{screenPos=0;addTolayer=-1;offsetY=-400;offsetX=0;lastTime=8233.33;aniLoop=FALSE;zorder=99;aniName=penhuolong_skill2},,,,,,
1411,,6101,,,,<1>,,<0>,{beginT=0;count=1;disx=10;disy=10;endT=100;interval=0;isRepeat=TRUE},,,,,,,,,,FALSE,,{lifeBar={show=TRUE}},
1421,,6102,,,,<0.3;0.3;0.4>,,<0;200;200>,{beginT=0;count=1;disx=15;disy=20;endT=100;interval=0;isRepeat=TRUE},,,,,,,,,,FALSE,,{lifeBar={show=TRUE}},
1431,,6108,,,,<0.2;0.2;0.2;0.2;0.2>,,<0;250;250;250;250>,{beginT=0;count=1;disx=20;disy=30;endT=100;interval=0;isRepeat=TRUE},,,,,,,,,,,,,
1432,,6191,,,,,,,,,<{zorder=0;delay=6500;lastTime=3000}>,<{t=0;absY=400;x=-150;delay=6000}>,<{lastTime=6333.3;hide=TRUE;scale=1.3;delay=0}>,,,,<90;6192;6193;6194>,,,,,
1433,,6192,,,,,,,,,,,,1,koudai_beijing/senlin.skel,{screenPos=0;addTolayer=-1;zorder=99;offsetX=0;lastTime=8266.67;aniLoop=FALSE;aniName=penhuolongmegax_skill2;offsetY=-400;scale=0.66},,,,,,
1434,,6193,,,,,,,,,,,,1,koudai_beijing/huangtu.skel,{screenPos=0;addTolayer=-1;zorder=59;offsetX=0;lastTime=8266.67;aniLoop=FALSE;aniName=penhuolongmegax_skill2;offsetY=-400;scale=0.66},,,,,,
1435,,6194,,,,,,,,,,,,1,koudai_beijing/tiankong.skel,{screenPos=0;addTolayer=-1;zorder=19;offsetX=0;lastTime=8266.67;aniLoop=FALSE;aniName=penhuolongmegax_skill2;offsetY=-400;scale=0.66},,,,,,
1511,,6201,,,,<1>,,<0>,{beginT=0;count=1;disx=10;disy=10;endT=100;interval=0;isRepeat=TRUE},,,,,,,,,,FALSE,,{lifeBar={show=TRUE}},
1521,,6202,,,,<0.2;0.3;0.5>,,<0;500;760>,{beginT=0;count=1;disx=15;disy=20;endT=100;interval=0;isRepeat=TRUE},,,<{t=80;y=350;x=0;delay=80};{t=150;y=530;x=0;delay=160};{t=190;y=300;x=0;delay=310};{t=160;y=1200;x=-800;delay=500};{t=0;y=1200;x=0;delay=800};{t=220;y=0;x=0;delay=1000}>,,,,,,,FALSE,,{lifeBar={show=TRUE}},
1531,,6205,,,,<0.1;0.1;0.2;0.2;0.2;0.2>,,<0;233.3;233.3;233.3;233.3;233.3>,{beginT=0;count=1;disx=20;disy=30;endT=100;interval=0;isRepeat=TRUE},,,,,,,,,,,,,
1532,,1,,,,,,,,,,,<{lastTime=9666.6;hide=TRUE;scale=1;delay=0}>,,,,<90;6292;6293;6294>,,,,,
1533,,6293,,,,,,,,,,,,1,koudai_beijing/shanlin.skel,{screenPos=0;addTolayer=1;offsetY=150;offsetX=0;lastTime=9666.6;aniLoop=FALSE;zorder=50;aniName=penhuolongmegay_skill2},,,,,,
1534,,6292,,,,,,,,,,,,1,koudai_beijing/tiankong_x.skel,{screenPos=0;addTolayer=1;offsetY=-280;offsetX=-170;lastTime=9666.6;aniLoop=FALSE;zorder=99;aniName=penhuolongmegay_skill2_qian},,,,,,
1535,,6294,,,,,,,,,,,,1,koudai_beijing/tiankong_x.skel,{screenPos=0;addTolayer=-1;offsetY=-280;offsetX=-170;lastTime=9666.6;aniLoop=FALSE;zorder=1;aniName=penhuolongmegay_skill2_hou},,,,,,
2111,,7001,,,,<0.3;0.3;0.4>,,<0;166.6;200>,{beginT=0;count=1;disx=10;disy=10;endT=100;interval=0;isRepeat=TRUE},,,,,,,,,,FALSE,,{lifeBar={show=TRUE}},
2121,,7004,,,,<1>,,<0>,{beginT=0;count=1;disx=15;disy=20;endT=100;interval=0;isRepeat=TRUE},,,,,,,,,,FALSE,,{lifeBar={show=TRUE}},
2131,,7005,,,,<0.2;0.2;0.2;0.2;0.2>,,<0;200;200;200;200>,{beginT=0;count=1;disx=20;disy=30;endT=100;interval=0;isRepeat=TRUE},,,,,,,,,,,,,
2132,,7091,,,,,,,,,,,<{hide=TRUE;delay=0;lastTime=1000}>,,,,<90;7092>,,,,,
2133,,7092,,,,,,,,,,,,1,koudai_beijing/sudu_bj.skel,{screenPos=0;addTolayer=-1;zorder=-1;delay=0;offsetX=0;lastTime=3000;aniLoop=FALSE;aniName=jienigui_skill2;offsetY=0;scale=1},,,,,,
2211,,8001,,,,<1>,,<0>,{beginT=0;count=1;disx=10;disy=10;endT=100;interval=0;isRepeat=TRUE},,,,,,,,,,FALSE,,{lifeBar={show=TRUE}},
2221,,8002,,,,<1>,,<0>,{beginT=0;count=1;disx=15;disy=20;endT=100;interval=0;isRepeat=TRUE},,,,,,,,,,FALSE,,{lifeBar={show=TRUE}},
2231,,8003,,,,<0.1;0.1;0.2;0.2;0.2;0.2>,,<0;200;200;200;200;233.3>,{beginT=0;count=1;disx=20;disy=30;endT=100;interval=0;isRepeat=TRUE},,,,,,,,,,,,,
2232,,8091,,,,,,,,,,<{t=0;delay=5000;absX=1900}>,<{hide=TRUE;delay=0;lastTime=5500}>,,,,<90;8092;8093>,,,,,
2233,,8092,,,,,,,,,,,,1,koudai_beijing/sudu_bj.skel,{screenPos=0;addTolayer=-1;zorder=-50;delay=0;offsetX=0;lastTime=6266.6;aniLoop=FALSE;aniName=kamigui_skill2;offsetY=0;scale=1},,,,,,
2234,,8093,,,,,,,,,,,,1,koudai_beijing/sudu_bj_guang.skel,{screenPos=0;addTolayer=-1;zorder=-1;delay=0;offsetX=0;lastTime=6266.6;aniLoop=FALSE;aniName=kamigui_skill2;offsetY=0;scale=1},,,,,,
2311,,9001,,,,<1>,,<0>,{beginT=0;count=1;disx=10;disy=10;endT=100;interval=0;isRepeat=TRUE},,,,,,,,,,FALSE,,{lifeBar={show=TRUE}},
2321,,9002,,,,<0.5;0.5>,,<0;633.3>,{beginT=0;count=1;disx=15;disy=20;endT=100;interval=0;isRepeat=TRUE},,,,,,,,,,FALSE,,{lifeBar={show=TRUE}},
2331,,9004,,,,<0.25;0.25;0.25;0.25>,,<0;100;100;100>,{beginT=0;count=1;disx=20;disy=30;endT=100;interval=0;isRepeat=TRUE},,,,,,,,,,,,,
2332,,9091,,,,,,,,,,,,,,,<90;9092;9093>,{bones=<hitman_move1;hitman_move2;hitman_move3>},,,,
2333,,9092,,,,,,,,,,,,1,koudai_beijing/tiankong.skel,{screenPos=0;addTolayer=-1;zorder=99;delay=0;offsetX=-100;lastTime=9000;aniLoop=FALSE;aniName=shuijiangui_skill2;offsetY=-200;scale=0.75},,,,,,
2334,,9093,,,,,,,,,,,,1,koudai_beijing/huangtu.skel,{screenPos=0;addTolayer=-1;zorder=99;delay=0;offsetX=-330;lastTime=9000;aniLoop=FALSE;aniName=shuijiangui_skill2;offsetY=-180;scale=0.8},,,,,,
2411,,9101,,,,<0.3;0.3;0.4>,,<0;233.3;1200>,{beginT=0;count=1;disx=10;disy=10;endT=100;interval=0;isRepeat=TRUE},,,,,,,,,,FALSE,,{lifeBar={show=TRUE}},
2421,,9104,,,,<0.5;0.5>,,<0;1700>,{beginT=0;count=1;disx=15;disy=20;endT=100;interval=0;isRepeat=TRUE},,,,,,,,,,FALSE,,{lifeBar={show=TRUE}},
2431,,9106,,,,<0.1;0.1;0.2;0.2;0.2;0.2>,,<0;4600;366.6;466.6;400;533.3>,{beginT=0;count=1;disx=20;disy=30;endT=100;interval=0;isRepeat=TRUE},,,,,,,,,,,,,
2432,,1,,,,,,,,,,<{t=0;teamClose=1.4;scale=1;delay=0}>,<{lastTime=1332;hide=TRUE;scale=1;delay=0};{lastTime=3596.4;hide=TRUE;scale=1;delay=2664}>,,,,<90;9192;9193>,{bones=<hitman_move>},,,,
2433,,9192,,,,,,,,,,,,1,koudai_beijing/sudu_bj_guang.skel,{screenPos=0;addTolayer=-1;zorder=99;delay=0;offsetX=-100;lastTime=8666.66;aniLoop=FALSE;aniName=shuijianguimega_skill2;offsetY=-200;scale=0.7},,,,,,
2434,,9193,,,,,,,,,,,,1,koudai_beijing/shandi.skel,{screenPos=0;addTolayer=-1;zorder=-1;delay=0;offsetX=0;lastTime=8666.66;aniLoop=FALSE;aniName=shuijianguimega_skill2;offsetY=80;scale=0.66},,,,,,
3111,,10001,,,,<1>,,<0>,{beginT=0;count=1;disx=10;disy=10;endT=100;interval=0;isRepeat=TRUE},,,,,,,,,,FALSE,,{lifeBar={show=TRUE}},
3121,,10002,,,,<0.3;0.3;0.4>,,<0;300;300>,{beginT=0;count=1;disx=15;disy=20;endT=100;interval=0;isRepeat=TRUE},,,,,,,,,,FALSE,,{lifeBar={show=TRUE}},
3131,,10005,,,,<0.1;0.1;0.2;0.2;0.2;0.2>,,<0;333.3;333.3;333.3;333.3;333.3>,{beginT=0;count=1;disx=20;disy=30;endT=100;interval=0;isRepeat=TRUE},,,,,,,,,,,,,
3132,,10091,,,,,,,,,,,,1,koudai_lvmaochong/sixian.skel,{screenPos=0;addTolayer=-1;zorder=99;delay=0;offsetX=-180;lastTime=4666.6;aniLoop=FALSE;aniName=lvmaochong_skill2;offsetY=-150;scale=0.66},,,,,,
3311,,12001,,,,<1>,,<0>,{beginT=0;count=1;disx=10;disy=10;endT=100;interval=0;isRepeat=TRUE},,,,,,,,,,FALSE,,{lifeBar={show=TRUE}},
3321,,12002,,,,<0.3;0.3;0.4>,,<0;100;200>,{beginT=0;count=1;disx=15;disy=20;endT=100;interval=0;isRepeat=TRUE},,,,,,,,,,FALSE,,{lifeBar={show=TRUE}},
3331,,12005,,,,<0.25;0.25;0.25;0.25>,,<0;500;800;800>,{beginT=0;count=1;disx=20;disy=30;endT=100;interval=0;isRepeat=TRUE},,,,,,,,,,,,,
4311,,15001,,,,<0.5;0.5>,,<0;200>,{beginT=0;count=1;disx=10;disy=10;endT=100;interval=0;isRepeat=TRUE},,,,,,,,,,FALSE,,{lifeBar={show=TRUE}},
4321,,15004,,,,<1>,,<0>,{beginT=0;count=1;disx=15;disy=20;endT=100;interval=0;isRepeat=TRUE},,,,,,,,,,FALSE,,{lifeBar={show=TRUE}},
4331,,15005,,,,<0.2;0.2;0.2;0.4>,,<0;200;200;780>,{beginT=0;count=1;disx=20;disy=30;endT=100;interval=0;isRepeat=TRUE},,,,,,,,,,,,,
4411,,15101,,,,<0.2;0.2;0.2;0.2;0.2>,,<0;133.3;166.6;133.3;800>,{beginT=0;count=1;disx=10;disy=10;endT=100;interval=0;isRepeat=TRUE},,,,,,,,,,FALSE,,{lifeBar={show=TRUE}},
4421,,15106,,,,<1>,,<0>,{beginT=0;count=1;disx=15;disy=20;endT=100;interval=0;isRepeat=TRUE},,,,,,,,,,FALSE,,{lifeBar={show=TRUE}},
4431,,15107,,,,<0.1;0.1;0.1;0.1;0.2;0.2;0.2>,,<0;200;66.6;100;233.3;133.3;133.3>,{beginT=0;count=1;disx=20;disy=30;endT=100;interval=0;isRepeat=TRUE},,,,,,,,,,,,,
4432,,15191,,,,,,,,,,<{t=0;absX=1320;absY=500;delay=5000;scale=1}>,<{hide=TRUE;delay=0;lastTime=8100}>,,,,<90;15192>,,,,,
4433,,15192,,,,,,,,,,,,1,koudai_beijing/sudu_bj.skel,{screenPos=0;addTolayer=-1;zorder=99;delay=0;offsetX=0;lastTime=8333.3;aniLoop=FALSE;aniName=dazhenfengmega_skill2;offsetY=0;scale=1},,,,,,
5111,,16001,,,,<1>,,<0>,{beginT=0;count=1;disx=15;disy=25;endT=150;interval=100},,,,,,,,,,FALSE,,{lifeBar={show=TRUE}},
5121,,16002,,,,<0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125>,,<0;160;160;160;160;160;160;160>,{beginT=0;count=9;disx=5;disy=5;endT=100;interval=160},,,,,,,,,,FALSE,,{lifeBar={show=TRUE}},
5131,,16012,,,,<0.095;0.105;0.12;0.14;0.16;0.18;0.2>,,<0;633.33;233.33;366.67;266.67;333.33;266.67>,{beginT=0;count=1;disx=20;disy=20;endT=150;interval=0;isRepeat=TRUE},,,,,,,,,,,,,
5132,,16013,,,,,,,{beginT=1500;count=1;disx=20;disy=30;endT=1700;interval=0},,,,,,,,,,,,,
5211,,17001,,,,<1>,,<0>,{beginT=0;count=1;disx=15;disy=25;endT=150;interval=100},,,,,,,,,,FALSE,,{lifeBar={show=TRUE}},
5221,,17002,,,,<0.2;0.2;0.2;0.2;0.2>,,<0;266.67;166.67;200;200>,{beginT=0;count=5;disx=5;disy=5;endT=100;interval=200},,,,,,,,,,FALSE,,{lifeBar={show=TRUE}},
5231,,17007,,,,<1>,,<0>,{beginT=0;count=2;disx=20;disy=30;endT=200;interval=100},,,,,,,,,,,,,
5232,,17091,,,,,,,,,,<{t=1300;scale=1;y=600;x=2300;delay=1500};{t=0;scale=1;y=2160;x=0;delay=3100};{t=0;scale=1;y=0;x=0;delay=3300}>,<{hide=TRUE;delay=3000;lastTime=1000}>,,,,,,,,,
5311,,18001,,,,<1>,,<0>,{beginT=0;count=1;disx=15;disy=25;endT=150;interval=100},,,,,,,,,,FALSE,,{lifeBar={show=TRUE}},
5321,,18002,,,,<1>,,<1>,{beginT=0;count=1;disx=15;disy=25;endT=150;interval=100},,,,,,,,,,FALSE,,{lifeBar={show=TRUE}},
5331,,18003,,,,<0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1>,,<0;200;200;200;200;200;200;200;200;200>,{beginT=0;count=10;disx=10;disy=20;endT=120;interval=200},,,,,,,,,,,,,
5411,,18101,,,,<1>,,<0>,{beginT=0;count=1;disx=15;disy=25;endT=150;interval=100},,,,,,,,,,FALSE,,{lifeBar={show=TRUE}},
5421,,18102,,,,<0.25;0.25;0.25;0.25>,,<0;733.3;466.6;700>,{beginT=0;count=1;disx=15;disy=25;endT=150;interval=100},,,,,,,,,,FALSE,,{lifeBar={show=TRUE}},
5431,,18106,,,,<1>,,<0>,{beginT=0;count=10;disx=10;disy=20;endT=120;interval=200},,,,,,,,,,,,,
5432,,1,,,,,,,,,,,,,,,<90;18192;18193;18194>,{bones=<hitman_move>},,,,
5433,,18192,,,,,,,,,,,,1,koudai_beijing/jitan.skel,{screenPos=0;addTolayer=1;zorder=1;delay=0;offsetX=0;lastTime=7966.6;aniLoop=FALSE;aniName=dabiniaomega_skill2_qian;offsetY=0;scale=0.78},,,,,,
5434,,18193,,,,,,,,,,,,1,koudai_beijing/jitan.skel,{screenPos=0;addTolayer=-1;zorder=-1;delay=0;offsetX=0;lastTime=7966.6;aniLoop=FALSE;aniName=dabiniaomega_skill2_hou;offsetY=0;scale=0.78},,,,,,
5435,,18194,,,,,,,,,,,,1,koudai_beijing/tiankong_x.skel,{screenPos=0;addTolayer=-1;zorder=-2;delay=0;offsetX=0;lastTime=7966.6;aniLoop=FALSE;aniName=dabiniaomega_skill2;offsetY=0;scale=0.78},,,,,,
6111,,19001,,,,<1>,,<0>,{beginT=0;count=1;disx=10;disy=10;endT=100;interval=0;isRepeat=TRUE},,,,,,,,,,FALSE,,{lifeBar={show=TRUE}},
6121,,19002,,,,<0.5;0.5>,,<0;633.33>,{beginT=0;count=1;disx=15;disy=20;endT=100;interval=0;isRepeat=TRUE},,,,,,,,,,FALSE,,{lifeBar={show=TRUE}},
6131,,19004,,,,<1>,,<0>,{beginT=0;count=1;disx=20;disy=30;endT=100;interval=0;isRepeat=TRUE},,,,,,,,,,,,,
6211,,20001,,,,<0.1;0.1;0.2;0.2;0.2;0.2>,,<0;466.67;133.33;166.67;166.67;166.67>,{beginT=0;count=1;disx=10;disy=10;endT=100;interval=0;isRepeat=TRUE},,,,,,,,,,FALSE,,{lifeBar={show=TRUE}},
6221,,20007,,,,<0.5;0.3;0.2>,,<0;500;400>,{beginT=0;count=1;disx=15;disy=20;endT=100;interval=0;isRepeat=TRUE},,,,,,,,,,FALSE,,{lifeBar={show=TRUE}},
6231,,20008,,,,<0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1>,,<0;466.67;233.33;166.67;166.67;133.3;166.67;266.6;333.3;200>,{beginT=0;count=1;disx=20;disy=30;endT=100;interval=0;isRepeat=TRUE},,,,,,,,,,,,,
7111,,21001,,,,<1>,,<0>,{beginT=0;count=1;disx=10;disy=10;endT=100;interval=0;isRepeat=TRUE},,,,,,,,,,FALSE,,{lifeBar={show=TRUE}},
