变量名,roleId,level,_beizhu,skills,fight_soul,roleForce,star,activeSkill,classify,hp,mp1,mp2,hpRecover,mp1Recover,mp2Recover,damage,specialDamage,defence,specialDefence,defenceIgnore,specialDefenceIgnore,speed,strike,strikeDamage,strikeResistance,block,breakBlock,blockPower,dodge,hit,damageAdd,damageSub,ultimateAdd,ultimateSub,damageDeepen,damageReduce,suckBlood,rebound,cure,natureRestraint,__version
41,10333,25,,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,,
42,10351,25,,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,,
43,10352,25,,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,,
44,10391,25,,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,,
45,10392,25,,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,,
46,10393,25,,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,,
47,10394,25,,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,,
48,10452,25,,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,,
49,10471,25,,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,,
50,10472,25,,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,,
51,10481,25,,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,,
52,10482,25,,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,,
53,10491,25,,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,,
54,10492,25,,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,,
55,10493,25,,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,,
56,10552,25,,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,,
57,10591,25,,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,,
58,10592,25,,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,,
59,10601,25,,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,,
60,10602,25,,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,,
61,10603,25,,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,,
62,10781,25,,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,,
63,10782,25,,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,9500,,,,,,,,,,,
64,10783,25,,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,9500,,,,,,,,,,,
65,10791,25,,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,9500,,,,,,,,,,,
66,10792,25,,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,9500,,,,,,,,,,,
67,10793,25,,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,9500,,,,,,,,,,,
68,10881,25,,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,9500,,,,,,,,,,,
69,10882,25,,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,9500,,,,,,,,,,,
70,10883,25,,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,9500,,,,,,,,,,,
71,10891,25,,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,9500,,,,,,,,,,,
72,10892,25,,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,9500,,,,,,,,,,,
73,10893,25,,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,9500,,,,,,,,,,,
74,11081,25,,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,9500,,,,,,,,,,,
75,11082,25,,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,9500,,,,,,,,,,,
76,11171,25,,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,9500,,,,,,,,,,,
77,11172,25,,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,9500,,,,,,,,,,,
78,11221,25,,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,9500,,,,,,,,,,,
79,11231,25,,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,9500,,,,,,,,,,,
80,11241,25,,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,9500,,,,,,,,,,,
81,11291,25,,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,9500,,,,,,,,,,,
82,11292,25,,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,9500,,,,,,,,,,,
83,11351,25,,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,9500,,,,,,,,,,,
84,11352,25,,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,9500,,,,,,,,,,,
85,11353,25,,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,9500,,,,,,,,,,,
86,11421,25,,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,9500,,,,,,,,,,,
87,11422,25,,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,9500,,,,,,,,,,,
88,11423,25,,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,9500,,,,,,,,,,,
89,11441,25,,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,9500,,,,,,,,,,,
90,11442,25,,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,9500,,,,,,,,,,,
91,11443,25,,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,9500,,,,,,,,,,,
92,11501,25,,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,9500,,,,,,,,,,,
93,11502,25,,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,9500,,,,,,,,,,,
94,11503,25,,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,9500,,,,,,,,,,,
95,11611,25,,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,9500,,,,,,,,,,,
96,11612,25,,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,9500,,,,,,,,,,,
97,11813,25,,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,9500,,,,,,,,,,,
98,11861,25,,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,9500,,,,,,,,,,,
99,11862,25,,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,9500,,,,,,,,,,,
100,11863,25,,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,9500,,,,,,,,,,,
101,12011,25,,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,9500,,,,,,,,,,,
102,12012,25,,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,9500,,,,,,,,,,,
103,12071,25,,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,9500,,,,,,,,,,,
104,12072,25,,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,9500,,,,,,,,,,,
105,12073,25,,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,9500,,,,,,,,,,,
106,12232,25,,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,9500,,,,,,,,,,,
107,12233,25,,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,9500,,,,,,,,,,,
108,12271,25,,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,9500,,,,,,,,,,,
109,12272,25,,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,9500,,,,,,,,,,,
110,12303,25,,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,9500,,,,,,,,,,,
111,12481,25,,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,9500,,,,,,,,,,,
112,12631,25,,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,9500,,,,,,,,,,,
113,12632,25,,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,9500,,,,,,,,,,,
114,12633,25,,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,9500,,,,,,,,,,,
115,12681,25,,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,9500,,,,,,,,,,,
116,12682,25,,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,9500,,,,,,,,,,,
117,12683,25,,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,9500,,,,,,,,,,,
118,12871,25,,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,9500,,,,,,,,,,,
119,12872,25,,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,9500,,,,,,,,,,,
120,12873,25,,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,9500,,,,,,,,,,,
121,12961,25,,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,9500,,,,,,,,,,,
122,12962,25,,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,9500,,,,,,,,,,,
123,12963,25,,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,9500,,,,,,,,,,,
124,13002,25,,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,9500,,,,,,,,,,,
125,13003,25,,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,9500,,,,,,,,,,,
126,13011,25,,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,9500,,,,,,,,,,,
127,13012,25,,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,9500,,,,,,,,,,,
128,13411,25,,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,9500,,,,,,,,,,,
129,13412,25,,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,9500,,,,,,,,,,,
130,13471,25,,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,9500,,,,,,,,,,,
131,13472,25,,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,9500,,,,,,,,,,,
132,13541,25,,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,9500,,,,,,,,,,,
133,13542,25,,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,9500,,,,,,,,,,,
134,13543,25,,,,1,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,9500,,,,,,,,,,,
1001,1,25,,,,2,,,3,2117,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,,
1002,2,25,,,,2,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,,
1003,3,25,,,,2,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,,
1004,11,25,,,,2,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,,
1005,12,25,,,,2,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,,
1006,13,25,,,,2,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,,
1007,14,25,,,,2,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,800,,,
1008,15,25,,,,2,,,3,2117,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,,
1009,21,25,,,,2,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,,
1010,22,25,,,,2,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,,
1011,23,25,,,,2,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,,
1012,31,25,,,,2,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,,
1013,33,25,,,,2,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,,
1014,43,25,,,,2,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,,
1015,44,25,,,,2,,,3,2117,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,,
1016,51,25,,,,2,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,,
1017,52,25,,,,2,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,,
1018,53,25,,,,2,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,,
1019,61,25,,,,2,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,,
1020,62,25,,,,2,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,,
1021,71,25,,,,2,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,,
1022,72,25,,,,2,,,3,2117,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,,
1023,81,25,,,,2,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,,
1024,82,25,,,,2,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,,
1025,92,25,,,,2,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,,
1026,102,25,,,,2,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,,
1027,131,25,,,,2,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,,
1028,191,25,,,,2,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,,
1029,192,25,,,,2,,,3,2117,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,,
1030,231,25,,,,2,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,,
1031,232,25,,,,2,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,,
1032,261,25,,,,2,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,,
1033,262,25,,,,2,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,,
1034,263,25,,,,2,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,,
1035,264,25,,,,2,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,,
1036,271,25,,,,2,,,3,2117,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,,
1037,272,25,,,,2,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,,
1038,273,25,,,,2,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,,
1039,301,25,,,,2,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,,
1040,302,25,,,,2,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,,
1041,333,25,,,,2,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,,
1042,351,25,,,,2,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,,
1043,352,25,,,,2,,,3,2117,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,,
1044,391,25,,,,2,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,,
1045,392,25,,,,2,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,,
1046,393,25,,,,2,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,,
1047,394,25,,,,2,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,,
1048,452,25,,,,2,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,,
1049,471,25,,,,2,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,,
1050,472,25,,,,2,,,3,2117,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,,
1051,481,25,,,,2,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,,
1052,482,25,,,,2,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,,
1053,491,25,,,,2,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,,
1054,492,25,,,,2,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,,
1055,493,25,,,,2,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,,
1056,552,25,,,,2,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,,
1057,591,25,,,,2,,,3,2117,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,,
1058,592,25,,,,2,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,,
1059,601,25,,,,2,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,,
1060,602,25,,,,2,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,,
1061,603,25,,,,2,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,,
1062,781,25,,,,2,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,,
1063,782,25,,,,2,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,,
1064,783,25,,,,2,,,3,2117,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,,
1065,791,25,,,,2,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,,
1066,792,25,,,,2,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,,
1067,793,25,,,,2,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,,
1068,881,25,,,,2,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,,
1069,882,25,,,,2,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,,
1070,883,25,,,,2,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,,
1071,891,25,,,,2,,,3,2117,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,,
1072,892,25,,,,2,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,,
1073,893,25,,,,2,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,,
1074,1081,25,,,,2,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,,
1075,1082,25,,,,2,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,,
1076,1171,25,,,,2,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,,
1077,1172,25,,,,2,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,,
1078,1221,25,,,,2,,,3,2117,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,,
1079,1231,25,,,,2,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,,
1080,1241,25,,,,2,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,,
1081,1291,25,,,,2,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,,
1082,1292,25,,,,2,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,,
1083,1351,25,,,,2,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,,
1084,1352,25,,,,2,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,,
1085,1353,25,,,,2,,,3,2117,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,,
1086,1421,25,,,,2,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,,
1087,1422,25,,,,2,,,3,5000,,,,,,546,546,154,154,39,39,90,500,,,,,,500,,,,,,,,,,,,
