变量名,drawType,_comment,drawTriggerType,drawTriggerTimes,weightStart,weightEnd,effectLimit,startCount,probInit,probStep,probLimit,probMiniTimes,probEffectInterval,lotteryType1,lotteryWeight1,lotteryType2,lotteryWeight2,lotteryType3,lotteryWeight3,lotteryType4,lotteryWeight4,lotteryType5,lotteryWeight5,lotteryType6,lotteryWeight6,lotteryType7,lotteryWeight7,lotteryType8,lotteryWeight8,lotteryType9,lotteryWeight9,lotteryType10,lotteryWeight10
63,limit_up_rmb10_81,10连抽-常规产出（10次后为泛卡池）-火系,0,22,,,,,,,,,,{1205=1;205=3;206=6},150,{1205=1;205=4;206=5},100,{1205=1;205=5;206=4},50,{1205=2;205=3;206=5},30,{1205=2;205=4;206=4},20,{1205=2;205=5;206=3},10,{1205=3;205=2;206=5},0,{1205=3;205=3;206=4},0,{1205=3;205=4;206=3},0,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,limit_up_rmb1_111,钻石付费单抽,0,2,,,,,,,,,,{205=1},50,{206=1},50,,0,,0,,0,,0,,0,,0,,0,,0
102,limit_up_rmb1_111,钻石付费单抽-必出A级卡,4,1,,,,,,,,,,{204=1},100,,0,,0,,0,,0,,0,,0,,0,,0,,0
103,limit_up_rmb1_111,钻石单抽-第5~10次得S资质卡牌UP,2,5,,,1,5,0.17,0.06,0.5,6,999999,{1206=1},100,,0,,0,,0,,0,,0,,0,,0,,0,,0
104,limit_up_rmb1_111,后续每15连额外得S级卡（概率）UP,2,6,,,10,10,0.05,0.015,0.5,15,15,{1206=1},100,,0,,0,,0,,0,,0,,0,,0,,0,,0
105,limit_up_rmb1_111,（10次后为泛卡池）后续每15连额外得S级卡（概率）UP,2,160,,,,160,0.05,0.015,0.5,15,15,{1206=1},100,,0,,0,,0,,0,,0,,0,,0,,0,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,limit_up_rmb10_111,首次十连-单张S,4,1,,,,,,,,,,{1206=1;205=3;206=6},100,{1206=1;205=4;206=5},100,,0,,0,,0,,0,,0,,0,,0,,0
112,limit_up_rmb10_111,10连抽-常规产出（最多2个）,0,2,,,20,,,,,,,{1206=1;205=3;206=6},150,{1206=1;205=4;206=5},100,{1206=1;205=5;206=4},50,{1206=2;205=3;206=5},30,{1206=2;205=4;206=4},20,{1206=2;205=5;206=3},10,{1206=3;205=2;206=5},0,{1206=3;205=3;206=4},0,{1206=3;205=4;206=3},0,,0
113,limit_up_rmb10_111,10连抽-常规产出（22次后为泛卡池）,0,22,,,,,,,,,,{1207=1;205=3;206=6},150,{1207=1;205=4;206=5},100,{1207=1;205=5;206=4},50,{1207=2;205=3;206=5},30,{1207=2;205=4;206=4},20,{1207=2;205=5;206=3},10,{1207=3;205=2;206=5},0,{1207=3;205=3;206=4},0,{1207=3;205=4;206=3},0,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,limit_up_rmb1_116,钻石付费单抽,0,2,,,,,,,,,,{205=1},50,{206=1},50,,0,,0,,0,,0,,0,,0,,0,,0
122,limit_up_rmb1_116,钻石付费单抽-必出A级卡,4,1,,,,,,,,,,{204=1},100,,0,,0,,0,,0,,0,,0,,0,,0,,0
123,limit_up_rmb1_116,钻石单抽-第5~10次得S资质卡牌UP,2,5,,,1,5,0.17,0.06,0.5,6,999999,{1208=1},100,,0,,0,,0,,0,,0,,0,,0,,0,,0
124,limit_up_rmb1_116,后续每15连额外得S级卡（概率）UP,2,6,,,10,10,0.05,0.015,0.5,15,15,{1208=1},100,,0,,0,,0,,0,,0,,0,,0,,0,,0
125,limit_up_rmb1_116,（10次后为泛卡池）后续每15连额外得S级卡（概率）UP,2,160,,,,160,0.05,0.015,0.5,15,15,{1208=1},100,,0,,0,,0,,0,,0,,0,,0,,0,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,limit_up_rmb10_116,首次十连-单张S,4,1,,,,,,,,,,{1208=1;205=3;206=6},100,{1208=1;205=4;206=5},100,,0,,0,,0,,0,,0,,0,,0,,0
132,limit_up_rmb10_116,10连抽-常规产出（最多2个）,0,2,,,20,,,,,,,{1208=1;205=3;206=6},150,{1208=1;205=4;206=5},100,{1208=1;205=5;206=4},50,{1208=2;205=3;206=5},30,{1208=2;205=4;206=4},20,{1208=2;205=5;206=3},10,{1208=3;205=2;206=5},0,{1208=3;205=3;206=4},0,{1208=3;205=4;206=3},0,,0
133,limit_up_rmb10_116,10连抽-常规产出（22次后为泛卡池）,0,22,,,,,,,,,,{1209=1;205=3;206=6},150,{1209=1;205=4;206=5},100,{1209=1;205=5;206=4},50,{1209=2;205=3;206=5},30,{1209=2;205=4;206=4},20,{1209=2;205=5;206=3},10,{1209=3;205=2;206=5},0,{1209=3;205=3;206=4},0,{1209=3;205=4;206=3},0,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,limit_up_rmb1_121,钻石付费单抽-冰妖精,0,2,,,,,,,,,,{205=1},50,{206=1},50,,0,,0,,0,,0,,0,,0,,0,,0
142,limit_up_rmb1_121,钻石付费单抽-必出A级卡-冰妖精,4,1,,,,,,,,,,{204=1},100,,0,,0,,0,,0,,0,,0,,0,,0,,0
143,limit_up_rmb1_121,钻石单抽-第5~10次得S资质卡牌UP-冰妖精,2,5,,,1,5,0.17,0.06,0.5,6,999999,{1210=1},100,,0,,0,,0,,0,,0,,0,,0,,0,,0
144,limit_up_rmb1_121,后续每15连额外得S级卡（概率）UP-冰妖精,2,6,,,10,10,0.05,0.015,0.5,15,15,{1210=1},100,,0,,0,,0,,0,,0,,0,,0,,0,,0
145,limit_up_rmb1_121,（10次后为泛卡池）后续每15连额外得S级卡（概率）UP-冰妖精,2,160,,,,160,0.05,0.015,0.5,15,15,{1210=1},100,,0,,0,,0,,0,,0,,0,,0,,0,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,limit_up_rmb10_121,首次十连-单张S-冰妖精,4,1,,,,,,,,,,{1210=1;205=3;206=6},100,{1210=1;205=4;206=5},100,,0,,0,,0,,0,,0,,0,,0,,0
152,limit_up_rmb10_121,10连抽-常规产出（最多2个）-冰妖精,0,2,,,20,,,,,,,{1210=1;205=3;206=6},150,{1210=1;205=4;206=5},100,{1210=1;205=5;206=4},50,{1210=2;205=3;206=5},30,{1210=2;205=4;206=4},20,{1210=2;205=5;206=3},10,{1210=3;205=2;206=5},0,{1210=3;205=3;206=4},0,{1210=3;205=4;206=3},0,,0
153,limit_up_rmb10_121,10连抽-常规产出（22次后为泛卡池）-冰妖精,0,22,,,,,,,,,,{1211=1;205=3;206=6},150,{1211=1;205=4;206=5},100,{1211=1;205=5;206=4},50,{1211=2;205=3;206=5},30,{1211=2;205=4;206=4},20,{1211=2;205=5;206=3},10,{1211=3;205=2;206=5},0,{1211=3;205=3;206=4},0,{1211=3;205=4;206=3},0,,0
,抽卡id和此处ID要一起修改,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11980,limit_up_rmb1_15691,钻石付费单抽-钢岩,0,2,,,,,,,,,,{205=1},50,{206=1},50,,0,,0,,0,,0,,0,,0,,0,,0
11981,limit_up_rmb1_15691,钻石付费单抽-必出A级卡-钢岩,4,1,,,,,,,,,,{204=1},100,,0,,0,,0,,0,,0,,0,,0,,0,,0
11982,limit_up_rmb1_15691,钻石单抽-第5~10次得S资质卡牌UP-钢岩,2,5,,,1,5,0.17,0.06,0.5,6,999999,{1212=1},100,,0,,0,,0,,0,,0,,0,,0,,0,,0
11983,limit_up_rmb1_15691,后续每15连额外得S级卡（概率）UP-钢岩,2,6,,,10,10,0.05,0.015,0.5,15,15,{1212=1},100,,0,,0,,0,,0,,0,,0,,0,,0,,0
11984,limit_up_rmb1_15691,（10次后为泛卡池）后续每15连额外得S级卡（概率）UP-钢岩,2,160,,,,160,0.05,0.015,0.5,15,15,{1212=1},100,,0,,0,,0,,0,,0,,0,,0,,0,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11990,limit_up_rmb10_15691,首次十连-单张S-钢岩,4,1,,,,,,,,,,{1212=1;205=3;206=6},100,{1212=1;205=4;206=5},100,,0,,0,,0,,0,,0,,0,,0,,0
11991,limit_up_rmb10_15691,10连抽-常规产出（最多2个）-钢岩,0,2,,,20,,,,,,,{1212=1;205=3;206=6},150,{1212=1;205=4;206=5},100,{1212=1;205=5;206=4},50,{1212=2;205=3;206=5},30,{1212=2;205=4;206=4},20,{1212=2;205=5;206=3},10,{1212=3;205=2;206=5},0,{1212=3;205=3;206=4},0,{1212=3;205=4;206=3},0,,0
11992,limit_up_rmb10_15691,10连抽-常规产出（22次后为泛卡池）-钢岩,0,22,,,,,,,,,,{1213=1;205=3;206=6},150,{1213=1;205=4;206=5},100,{1213=1;205=5;206=4},50,{1213=2;205=3;206=5},30,{1213=2;205=4;206=4},20,{1213=2;205=5;206=3},10,{1213=3;205=2;206=5},0,{1213=3;205=3;206=4},0,{1213=3;205=4;206=3},0,,0
,抽卡id和此处ID要一起修改,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12000,limit_up_rmb1_15701,钻石付费单抽-恶,0,2,,,,,,,,,,{205=1},50,{206=1},50,,0,,0,,0,,0,,0,,0,,0,,0
12001,limit_up_rmb1_15701,钻石付费单抽-必出A级卡-恶,4,1,,,,,,,,,,{204=1},100,,0,,0,,0,,0,,0,,0,,0,,0,,0
12002,limit_up_rmb1_15701,钻石单抽-第5~10次得S资质卡牌UP-恶,2,5,,,1,5,0.17,0.06,0.5,6,999999,{1214=1},100,,0,,0,,0,,0,,0,,0,,0,,0,,0
12003,limit_up_rmb1_15701,后续每15连额外得S级卡（概率）UP-恶,2,6,,,10,10,0.05,0.015,0.5,15,15,{1214=1},100,,0,,0,,0,,0,,0,,0,,0,,0,,0
12004,limit_up_rmb1_15701,（10次后为泛卡池）后续每15连额外得S级卡（概率）UP-恶,2,160,,,,160,0.05,0.015,0.5,15,15,{1214=1},100,,0,,0,,0,,0,,0,,0,,0,,0,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12010,limit_up_rmb10_15701,首次十连-单张S-恶,4,1,,,,,,,,,,{1214=1;205=3;206=6},100,{1214=1;205=4;206=5},100,,0,,0,,0,,0,,0,,0,,0,,0
12011,limit_up_rmb10_15701,10连抽-常规产出（最多2个）-恶,0,2,,,20,,,,,,,{1214=1;205=3;206=6},150,{1214=1;205=4;206=5},100,{1214=1;205=5;206=4},50,{1214=2;205=3;206=5},30,{1214=2;205=4;206=4},20,{1214=2;205=5;206=3},10,{1214=3;205=2;206=5},0,{1214=3;205=3;206=4},0,{1214=3;205=4;206=3},0,,0
12012,limit_up_rmb10_15701,10连抽-常规产出（22次后为泛卡池）-恶,0,22,,,,,,,,,,{1215=1;205=3;206=6},150,{1215=1;205=4;206=5},100,{1215=1;205=5;206=4},50,{1215=2;205=3;206=5},30,{1215=2;205=4;206=4},20,{1215=2;205=5;206=3},10,{1215=3;205=2;206=5},0,{1215=3;205=3;206=4},0,{1215=3;205=4;206=3},0,,0
,抽卡id和此处ID要一起修改,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12020,limit_up_rmb1_15711,钻石付费单抽-虫草普,0,2,,,,,,,,,,{205=1},50,{206=1},50,,0,,0,,0,,0,,0,,0,,0,,0
12021,limit_up_rmb1_15711,钻石付费单抽-必出A级卡-虫草普,4,1,,,,,,,,,,{204=1},100,,0,,0,,0,,0,,0,,0,,0,,0,,0
12022,limit_up_rmb1_15711,钻石单抽-第5~10次得S资质卡牌UP-虫草普,2,5,,,1,5,0.17,0.06,0.5,6,999999,{1216=1},100,,0,,0,,0,,0,,0,,0,,0,,0,,0
12023,limit_up_rmb1_15711,后续每15连额外得S级卡（概率）UP-虫草普,2,6,,,10,10,0.05,0.015,0.5,15,15,{1216=1},100,,0,,0,,0,,0,,0,,0,,0,,0,,0
12024,limit_up_rmb1_15711,（10次后为泛卡池）后续每15连额外得S级卡（概率）UP-虫草普,2,160,,,,160,0.05,0.015,0.5,15,15,{1216=1},100,,0,,0,,0,,0,,0,,0,,0,,0,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12030,limit_up_rmb10_15711,首次十连-单张S-虫草普,4,1,,,,,,,,,,{1216=1;205=3;206=6},100,{1216=1;205=4;206=5},100,,0,,0,,0,,0,,0,,0,,0,,0
12031,limit_up_rmb10_15711,10连抽-常规产出（最多2个）-虫草普,0,2,,,20,,,,,,,{1216=1;205=3;206=6},150,{1216=1;205=4;206=5},100,{1216=1;205=5;206=4},50,{1216=2;205=3;206=5},30,{1216=2;205=4;206=4},20,{1216=2;205=5;206=3},10,{1216=3;205=2;206=5},0,{1216=3;205=3;206=4},0,{1216=3;205=4;206=3},0,,0
12032,limit_up_rmb10_15711,10连抽-常规产出（22次后为泛卡池）-虫草普,0,22,,,,,,,,,,{1217=1;205=3;206=6},150,{1217=1;205=4;206=5},100,{1217=1;205=5;206=4},50,{1217=2;205=3;206=5},30,{1217=2;205=4;206=4},20,{1217=2;205=5;206=3},10,{1217=3;205=2;206=5},0,{1217=3;205=3;206=4},0,{1217=3;205=4;206=3},0,,0
,抽卡id和此处ID要一起修改,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11880,limit_up_rmb1_15641,钻石付费单抽-超龙幽,0,2,,,,,,,,,,{205=1},50,{206=1},50,,0,,0,,0,,0,,0,,0,,0,,0
11881,limit_up_rmb1_15641,钻石付费单抽-必出A级卡-超龙幽,4,1,,,,,,,,,,{204=1},100,,0,,0,,0,,0,,0,,0,,0,,0,,0
11882,limit_up_rmb1_15641,钻石单抽-第5~10次得S资质卡牌UP-超龙幽,2,5,,,1,5,0.17,0.06,0.5,6,999999,{1218=1},100,,0,,0,,0,,0,,0,,0,,0,,0,,0
11883,limit_up_rmb1_15641,后续每15连额外得S级卡（概率）UP-超龙幽,2,6,,,10,10,0.05,0.015,0.5,15,15,{1218=1},100,,0,,0,,0,,0,,0,,0,,0,,0,,0
11884,limit_up_rmb1_15641,（10次后为泛卡池）后续每15连额外得S级卡（概率）UP-超龙幽,2,160,,,,160,0.05,0.015,0.5,15,15,{1218=1},100,,0,,0,,0,,0,,0,,0,,0,,0,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11890,limit_up_rmb10_15641,首次十连-单张S-超龙幽,4,1,,,,,,,,,,{1218=1;205=3;206=6},100,{1218=1;205=4;206=5},100,,0,,0,,0,,0,,0,,0,,0,,0
11891,limit_up_rmb10_15641,10连抽-常规产出（最多2个）-超龙幽,0,2,,,20,,,,,,,{1218=1;205=3;206=6},150,{1218=1;205=4;206=5},100,{1218=1;205=5;206=4},50,{1218=2;205=3;206=5},30,{1218=2;205=4;206=4},20,{1218=2;205=5;206=3},10,{1218=3;205=2;206=5},0,{1218=3;205=3;206=4},0,{1218=3;205=4;206=3},0,,0
11892,limit_up_rmb10_15641,10连抽-常规产出（22次后为泛卡池）-超龙幽,0,22,,,,,,,,,,{1219=1;205=3;206=6},150,{1219=1;205=4;206=5},100,{1219=1;205=5;206=4},50,{1219=2;205=3;206=5},30,{1219=2;205=4;206=4},20,{1219=2;205=5;206=3},10,{1219=3;205=2;206=5},0,{1219=3;205=3;206=4},0,{1219=3;205=4;206=3},0,,0
,抽卡id和此处ID要一起修改,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11900,limit_up_rmb1_15651,钻石付费单抽-火系,0,2,,,,,,,,,,{205=1},50,{206=1},50,,0,,0,,0,,0,,0,,0,,0,,0
11901,limit_up_rmb1_15651,钻石付费单抽-必出A级卡-火系,4,1,,,,,,,,,,{204=1},100,,0,,0,,0,,0,,0,,0,,0,,0,,0
11902,limit_up_rmb1_15651,钻石单抽-第5~10次得S资质卡牌UP-火系,2,5,,,1,5,0.17,0.06,0.5,6,999999,{1204=1},100,,0,,0,,0,,0,,0,,0,,0,,0,,0
11903,limit_up_rmb1_15651,后续每15连额外得S级卡（概率）UP-火系,2,6,,,10,10,0.05,0.015,0.5,15,15,{1204=1},100,,0,,0,,0,,0,,0,,0,,0,,0,,0
11904,limit_up_rmb1_15651,（10次后为泛卡池）后续每15连额外得S级卡（概率）UP-火系,2,160,,,,160,0.05,0.015,0.5,15,15,{1204=1},100,,0,,0,,0,,0,,0,,0,,0,,0,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11910,limit_up_rmb10_15651,首次十连-单张S-火系,4,1,,,,,,,,,,{1204=1;205=3;206=6},100,{1204=1;205=4;206=5},100,,0,,0,,0,,0,,0,,0,,0,,0
11911,limit_up_rmb10_15651,10连抽-常规产出（最多2个）-火系,0,2,,,20,,,,,,,{1204=1;205=3;206=6},150,{1204=1;205=4;206=5},100,{1204=1;205=5;206=4},50,{1204=2;205=3;206=5},30,{1204=2;205=4;206=4},20,{1204=2;205=5;206=3},10,{1204=3;205=2;206=5},0,{1204=3;205=3;206=4},0,{1204=3;205=4;206=3},0,,0
11912,limit_up_rmb10_15651,10连抽-常规产出（10次后为泛卡池）-火系,0,22,,,,,,,,,,{1205=1;205=3;206=6},150,{1205=1;205=4;206=5},100,{1205=1;205=5;206=4},50,{1205=2;205=3;206=5},30,{1205=2;205=4;206=4},20,{1205=2;205=5;206=3},10,{1205=3;205=2;206=5},0,{1205=3;205=3;206=4},0,{1205=3;205=4;206=3},0,,0
,抽卡id和此处ID要一起修改,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11920,limit_up_rmb1_15661,钻石付费单抽-水地系,0,2,,,,,,,,,,{205=1},50,{206=1},50,,0,,0,,0,,0,,0,,0,,0,,0
11921,limit_up_rmb1_15661,钻石付费单抽-必出A级卡-水地系,4,1,,,,,,,,,,{204=1},100,,0,,0,,0,,0,,0,,0,,0,,0,,0
11922,limit_up_rmb1_15661,钻石单抽-第5~10次得S资质卡牌UP-水地系,2,5,,,1,5,0.17,0.06,0.5,6,999999,{1206=1},100,,0,,0,,0,,0,,0,,0,,0,,0,,0
11923,limit_up_rmb1_15661,后续每15连额外得S级卡（概率）UP-水地系,2,6,,,10,10,0.05,0.015,0.5,15,15,{1206=1},100,,0,,0,,0,,0,,0,,0,,0,,0,,0
11924,limit_up_rmb1_15661,（10次后为泛卡池）后续每15连额外得S级卡（概率）UP-水地系,2,160,,,,160,0.05,0.015,0.5,15,15,{1206=1},100,,0,,0,,0,,0,,0,,0,,0,,0,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11930,limit_up_rmb10_15661,首次十连-单张S-水地系,4,1,,,,,,,,,,{1206=1;205=3;206=6},100,{1206=1;205=4;206=5},100,,0,,0,,0,,0,,0,,0,,0,,0
11931,limit_up_rmb10_15661,10连抽-常规产出（最多2个）-水地系,0,2,,,20,,,,,,,{1206=1;205=3;206=6},150,{1206=1;205=4;206=5},100,{1206=1;205=5;206=4},50,{1206=2;205=3;206=5},30,{1206=2;205=4;206=4},20,{1206=2;205=5;206=3},10,{1206=3;205=2;206=5},0,{1206=3;205=3;206=4},0,{1206=3;205=4;206=3},0,,0
11932,limit_up_rmb10_15661,10连抽-常规产出（22次后为泛卡池）-水地系,0,22,,,,,,,,,,{1207=1;205=3;206=6},150,{1207=1;205=4;206=5},100,{1207=1;205=5;206=4},50,{1207=2;205=3;206=5},30,{1207=2;205=4;206=4},20,{1207=2;205=5;206=3},10,{1207=3;205=2;206=5},0,{1207=3;205=3;206=4},0,{1207=3;205=4;206=3},0,,0
,抽卡id和此处ID要一起修改,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11940,limit_up_rmb1_15671,钻石付费单抽-电系,0,2,,,,,,,,,,{205=1},50,{206=1},50,,0,,0,,0,,0,,0,,0,,0,,0
11941,limit_up_rmb1_15671,钻石付费单抽-必出A级卡-电系,4,1,,,,,,,,,,{204=1},100,,0,,0,,0,,0,,0,,0,,0,,0,,0
11942,limit_up_rmb1_15671,钻石单抽-第5~10次得S资质卡牌UP-电系,2,5,,,1,5,0.17,0.06,0.5,6,999999,{1208=1},100,,0,,0,,0,,0,,0,,0,,0,,0,,0
11943,limit_up_rmb1_15671,后续每15连额外得S级卡（概率）UP-电系,2,6,,,10,10,0.05,0.015,0.5,15,15,{1208=1},100,,0,,0,,0,,0,,0,,0,,0,,0,,0
11944,limit_up_rmb1_15671,（10次后为泛卡池）后续每15连额外得S级卡（概率）UP-电系,2,160,,,,160,0.05,0.015,0.5,15,15,{1208=1},100,,0,,0,,0,,0,,0,,0,,0,,0,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11950,limit_up_rmb10_15671,首次十连-单张S-电系,4,1,,,,,,,,,,{1208=1;205=3;206=6},100,{1208=1;205=4;206=5},100,,0,,0,,0,,0,,0,,0,,0,,0
11951,limit_up_rmb10_15671,10连抽-常规产出（最多2个）-电系,0,2,,,20,,,,,,,{1208=1;205=3;206=6},150,{1208=1;205=4;206=5},100,{1208=1;205=5;206=4},50,{1208=2;205=3;206=5},30,{1208=2;205=4;206=4},20,{1208=2;205=5;206=3},10,{1208=3;205=2;206=5},0,{1208=3;205=3;206=4},0,{1208=3;205=4;206=3},0,,0
11952,limit_up_rmb10_15671,10连抽-常规产出（22次后为泛卡池）-电系,0,22,,,,,,,,,,{1209=1;205=3;206=6},150,{1209=1;205=4;206=5},100,{1209=1;205=5;206=4},50,{1209=2;205=3;206=5},30,{1209=2;205=4;206=4},20,{1209=2;205=5;206=3},10,{1209=3;205=2;206=5},0,{1209=3;205=3;206=4},0,{1209=3;205=4;206=3},0,,0
,抽卡id和此处ID要一起修改,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11960,limit_up_rmb1_15681,钻石付费单抽-冰妖精,0,2,,,,,,,,,,{205=1},50,{206=1},50,,0,,0,,0,,0,,0,,0,,0,,0
11961,limit_up_rmb1_15681,钻石付费单抽-必出A级卡-冰妖精,4,1,,,,,,,,,,{204=1},100,,0,,0,,0,,0,,0,,0,,0,,0,,0
11962,limit_up_rmb1_15681,钻石单抽-第5~10次得S资质卡牌UP-冰妖精,2,5,,,1,5,0.17,0.06,0.5,6,999999,{1210=1},100,,0,,0,,0,,0,,0,,0,,0,,0,,0
