变量名,name,desc,cards,equipID,skinID,attrMap,__version
3811,水栖息地,,<1241;2031;801>,,,{7=10%;8=10%},
3812,坚硬外壳,,<3021;1901;3411>,,,{1=12%},
3813,海滩奇遇,,<641;631;551>,,,{7=10%;8=10%},
3814,冰冻纪元,,<1081;2301;3501>,,,{23=500},
3911,幽灵感应,,<1811;3411;2921>,,,{7=10%;8=10%},
3912,胆战心寒,,<3021>,,,{1=12%},
3913,怨毒邪力,,<481;2271;2681>,,,{7=10%;8=10%},
3914,调皮捣蛋,,<2821;2721;1081>,,,{22=500},
4011,岩石皮肤,,<1251;301>,,,{7=10%;8=10%},
4012,大地掌控,,<491;2611>,,,{1=12%},
4013,钢铁家族,,<3411;1501;2961>,,,{7=10%;8=10%},
4014,誓约伙伴,,<2241;271;461>,,,{23=500},
4111,催眠大师,,<1641;151;251>,,,{7=10%;8=10%},
4112,精神力,,<261;161;1081;1851>,,,{1=12%},
4113,梦境操控,,<971;2401>,,,{7=10%;8=10%},
4114,敌我不分,,<1441;631;501>,,,{23=500},
4311,爆炸达人,,<331;4151;4061>,,,{7=10%;8=10%},
4312,像个球样,,<501;251;151>,,,{23=500},
4313,咸弹超人,,<3771;481;1441>,,,{1=12%},
4314,电光一闪,,<3201;4011;1221>,,,{7=10%;8=10%},
4411,草之神秘,,<3841;2471;3181>,,,{7=10%;8=10%},
4412,超凡生机,,<1351;3351>,,,{1=12%},
4413,光合作用,,<281;781;3281>,,,{7=10%;8=10%},
4414,神奇蛋蛋,,<501>,,,{14=500},
4511,森林同伴,,<61;301;2591>,,,{7=8%;8=8%},
4512,大地掌控,,<101;1611;2611>,,,{1=10%},
4513,觉醒感应,,<2891;51>,,,{7=8%;8=8%},
4611,格斗势力,,<191;3511;2631>,,,{7=10%;8=10%},
4612,拳之力量,,<231;271;2271>,,,{1=10%},
4613,技巧掌控,,<2891;1071>,,,{7=10%;8=10%},
4711,原始组合,,<3341;2591;2631>,,,{7=10%;8=10%},
4712,守护情谊,,<51;1441;301>,,,{1=10%},
4713,觉醒力量,,<131;271;71>,,,{7=10%;8=10%},
4811,毒系同伴,,<791;2871;3431>,,,{7=10%;8=10%},
4812,毒之身躯,,<371;2271;2961>,,,{1=10%},
4813,神秘力量,,<2721;331;1861>,,,{7=10%;8=10%},
4911,森林同伴,,<1251;2231;1611>,,,{7=10%;8=10%},
4912,坚若磐石,,<1501;301;2591>,,,{1=12%},
4913,地火蔓延,,<1231;2481>,,,{7=10%;8=10%},
4914,吨位碾压,,<3501;1861>,,,{23=500},
5011,医者仁心,,<3351;781;1351>,,,{7=10%;8=10%},
5012,萌宠联盟,,<3541;221;2841>,,,{1=12%},
5013,强大信念,,<7001;2891;3281>,,,{7=10%;8=10%},
5014,幸福之力,,<1771;1891;861>,,,{23=500},
5411,水流力量,,<3471;891;81>,,,{7=8%;8=8%},
5412,水之波动,,<1351;21;551>,,,{1=10%},
5413,覆舟之势,,<2271;1861>,,,{7=8%;8=8%},
5511,水流力量,,<781;1861;2301>,,,{7=10%;8=10%},
5512,水之波动,,<21;801;3471>,,,{1=10%},
5513,覆舟之势,,<2871;2921;3501>,,,{7=10%;8=10%},
5611,催眠术,,<1391;2841>,,,{7=10%;8=10%},
5612,超能意念,,<771;261;2401>,,,{1=12%},
5613,奇异之光,,<601;221>,,,{7=10%;8=10%},
5614,反弹一切,,<3021;321>,,,{22=500},
5711,虫虫崛起,,<1071;2681;31>,,,{7=10%;8=10%},
5712,体质硬化,,<3411;2961>,,,{1=12%},
5713,刺客联盟,,<1291;3301>,,,{7=10%;8=10%},
5714,刀锋战士,,<691;3001>,,,{14=500},
5911,雷电家族,,<1221;881;2891>,,,{7=10%;8=10%},
5912,十万伏特,,<731;91;2071>,,,{1=12%},
5913,绝缘体质,,<2231;2611>,,,{7=10%;8=10%},
5914,导电体质,,<3301;21>,,,{14=500},
6011,火焰掌控,,<3291;741;1301>,,,{7=10%;8=10%},
6012,生命之焰,,<1231>,,,{1=12%},
6013,冲鸭冲鸭,,<221;341>,,,{7=10%;8=10%},
6014,水火相融,,<1311;631>,,,{14=500},
6111,虫虫军团,,<571;1071;2681>,,,{7=10%;8=10%},
6112,恢复克星,,<1031;161;2271>,,,{1=12%},
6113,物理铁墙,,<491;301;3281>,,,{7=10%;8=10%},
6114,超级巨钳,,<801;3471>,,,{14=500},
6311,怒涛之力,,<1241;1311;801>,,,{7=10%;8=10%},
6312,水神祝福,,<551;21;3301>,,,{1=12%},
6313,覆舟之势,,<1611;2721>,,,{7=10%;8=10%},
6314,飞翔渴望,,<1891;3511;2891;351>,,,{14=500},
6411,水流力量,,<1311;381;801>,,,{7=10%;8=10%},
6412,冰系一脉,,<1921;3501;2301>,,,{1=12%},
6413,温柔之心,,<1501;471>,,,{7=10%;8=10%},
6414,智囊担当,,<261;1901;221>,,,{23=500},
6911,岩石壁垒,,<3471;2011;2631>,,,{7=10%;8=10%},
6912,沙暴之势,,<301;101;801>,,,{1=10%},
6913,自然组合,,<451;2611;2591>,,,{7=10%;8=10%},
7011,岩石突击,,<3171;3501;691>,,,{7=10%;8=10%},
7012,低空领域,,<3661;161;51>,,,{1=12%},
7013,森林之约,,<381;1311;2841>,,,{7=10%;8=10%},
7014,奇迹复原,,<711;1851;81>,,,{14=500},
7111,游泳健将,,<1311;3471;541>,,,{7=10%;8=10%},
7112,贪吃嗜睡,,<1421>,,,{1=12%},
7113,誓约伙伴,,<1251;3501;471>,,,{7=10%;8=10%},
7114,强力组合,,<401;631>,,,{23=500},
7211,圣鸟传说,,<731;741>,,,{7=10%;8=10%},
7212,冰封千里,,<3501;3021;3011>,,,{1=12%},
7213,凝水成冰,,<1241;2922;3471>,,,{7=10%;8=10%},
7214,冰火两重,,<1231;3291;11>,,,{22=500},
7311,圣鸟传说,,<741;721>,,,{7=10%;8=10%},
7312,驱雷擎电,,<331;1221;91>,,,{1=12%},
7313,风驰电掣,,<51;3511;71>,,,{7=10%;8=10%},
7314,过载虚弱,,<1811;471;1441>,,,{23=500},
7411,圣鸟传说,,<731;721>,,,{7=10%;8=10%},
7412,炎焰之力,,<1231;1171;3291>,,,{1=12%},
7413,燎原之火,,<1291;781;281>,,,{7=10%;8=10%},
7414,全体打击,,<131;301;481>,,,{14=500},
7511,龙系家族,,<3141;1891>,,,{7=10%;8=10%},
7512,肥大体型,,<3541;2481;3281>,,,{1=12%},
7513,逆鳞之怒,,<3001;2231>,,,{7=10%;8=10%},
7514,愤怒一击,,<1301;3341;791>,,,{14=500},
7611,王者桂冠,,<1271;2231;1251>,,,{7=15%;8=15%},
7612,超凡念力,,<771;1901;261>,,,{1=20%},
7613,力量同源,,<771;1391>,,,{7=15%;8=15%},
7614,绝对压制,,<1981;2301;271>,,,{14=750},
7711,波导勇者,,<2241;711>,,,{7=10%;8=10%},
7712,精神同步,,<261;3291>,,,{1=12%},
7713,危机觉察,,<1171;1081>,,,{7=10%;8=10%},
7714,超级仿制,,<761>,,,{22=500},
7811,草之誓约,,<281;2301;2011>,,,{7=10%;8=10%},
7812,森林意志,,<1;3281;1291>,,,{1=10%},
7813,冒险同伴,,<271;2591;131>,,,{7=10%;8=10%},
7911,火焰掌控,,<1611;2481;3291>,,,{7=10%;8=10%},
7912,炎焰之力,,<2611;691;3281>,,,{1=10%},
7913,太阳意志,,<601;2631;3341>,,,{7=10%;8=10%},
8011,水流力量,,<551;3471;21;2922>,,,{7=10%;8=10%},
8012,水之波动,,<471;1861;3011>,,,{1=10%},
8013,覆舟之势,,<1311;2271;371>,,,{7=10%;8=10%},
8611,妖精血脉,,<1391;131;151>,,,{7=10%;8=10%},
8612,飞行家族,,<161;571;701;2891>,,,{1=12%},
8613,逃离陷阱,,<491;2231;121>,,,{7=10%;8=10%},
8614,劲敌对决,,<2031;2471;791;61>,,,{14=500},
8811,雷电家族,,<591;731>,,,{7=10%;8=10%},
8812,毛皮静电,,<1221;2071;91>,,,{1=12%},
8813,似龙非龙,,<631;601;11>,,,{7=10%;8=10%},
8814,毛茸茸们,,<2891;3431>,,,{23=500},
8911,原始组合,,<51;71;61;471>,,,{7=8%;8=8%},
8912,守护情谊,,<551;3431;131>,,,{1=10%},
8913,觉醒力量,,<551;801;1861>,,,{7=8%;8=8%},
9011,林木成森,,<2011;441;3561>,,,{7=10%;8=10%},
9012,似草非草,,<1651;1391;3351>,,,{1=12%},
9013,模仿能手,,<561;3961;2821;9001>,,,{7=10%;8=10%},
9014,泪眼汪汪,,<1031;3541;891;451>,,,{23=500},
9711,趣味魔法,,<131;3431;3291>,,,{7=10%;8=10%},
9712,鬼屋集合,,<391;1811;2991>,,,{1=12%},
9713,梦境掌控,,<1801;2841;3561>,,,{7=10%;8=10%},
9714,幽灵出没,,<771;1851>,,,{22=500},
9911,爱吃甜食,,<7001;91>,,,{7=10%;8=10%},
9912,火箭队,,<211;481;81>,,,{1=12%},
9913,飘忽体态,,<4031;971;3191>,,,{7=10%;8=10%},
9914,憨憨超能力,,<321;441;561>,,,{23=500},
10311,地面打击,,<401;1311;2611>,,,{7=10%;8=10%},
10312,低空飞行,,<161;701;341>,,,{1=12%},
10313,丰缘对抗,,<241;1291;271;451>,,,{7=10%;8=10%},
10314,冲出迷宫,,<2031;2011;2271>,,,{23=500},
10711,虫虫崛起,,<571;2681;191;41>,,,{7=10%;8=10%},
10712,好斗之心,,<1301;271;461>,,,{1=12%},
10713,毒素注入,,<391;2271>,,,{7=10%;8=10%},
10714,除恶务尽,,<3141;1841>,,,{14=500},
10811,冰系家族,,<721;2301;3501>,,,{7=10%;8=10%},
10812,世代最恶,,<2721;1841>,,,{1=12%},
10813,恶鬼上门,,<391;1171;2921>,,,{7=10%;8=10%},
10814,不良组合,,<2821;2271;2631>,,,{14=500},
11111,冰河时代,,<1081;1921>,,,{7=10%;8=10%},
11112,厚重皮毛,,<3011;1861;1841>,,,{1=12%},
11113,迟钝温和,,<321;221>,,,{7=10%;8=10%},
11114,大行其道,,<491;1501;4661;3171>,,,{23=500},
11411,凛冬将至,,<721;143>,,,{7=10%;8=10%},
11412,寒冰之御,,<1851;1921;2301>,,,{1=12%},
11413,可可爱爱,,<1861;2871;3011>,,,{7=10%;8=10%},
11414,护佑之力,,<1671;861;4661>,,,{23=500},
11711,地狱恶犬,,<1081;3141>,,,{7=10%;8=10%},
11712,狗狗出击,,<241;1841>,,,{1=12%},
11713,地狱烈焰,,<601;3341;1611>,,,{7=10%;8=10%},
11714,生人勿近,,<391;1851;3561>,,,{23=500},
12211,圣兽传说,,<1241;1231>,,,{7=10%;8=10%},
12212,雷电降临,,<591;731;2071>,,,{1=12%},
12213,电光火石,,<1251;2591>,,,{7=10%;8=10%},
12214,控场大师,,<261;2301>,,,{23=500},
12311,圣兽传说,,<1221;1241>,,,{7=10%;8=10%},
12312,怒火冲天,,<241;741;11>,,,{1=12%},
12313,结晶帝王,,<551;801;401>,,,{7=10%;8=10%},
12314,百炼成钢,,<1901;1501>,,,{23=500},
12411,圣兽传说,,<1221;1231>,,,{7=10%;8=10%},
12412,水之波动,,<1311;3301;21>,,,{1=12%},
12413,迅捷灵动,,<1291;51>,,,{7=10%;8=10%},
12414,镜花水月,,<2821;131>,,,{23=500},
12511,岩石壁垒,,<491;1501;401>,,,{7=10%;8=10%},
12512,沙暴之势,,<2231;2611;101>,,,{1=12%},
12513,极恶世代,,<2721;1081>,,,{7=10%;8=10%},
12514,轰岩大炮,,<751;2591>,,,{23=500},
12611,霸主传说,,<1271>,,,{7=15%;8=15%},
12612,圣鸟统领,,<721;731;741>,,,{1=20%},
12613,水之波动,,<1961;1241;3301>,,,{7=15%;8=15%},
12614,超能之躯,,<771;1901;551>,,,{23=750},
12711,天空主宰,,<761;741>,,,{7=15%;8=15%},
12712,浴火重生,,<1221;1231;1241>,,,{1=20%},
12713,火焰掌控,,<1231;741;1301>,,,{7=15%;8=15%},
12714,彩虹羽翼,,<1261;721;3511;51>,,,{23=750},
12811,超能军团,,<1991;261;771;1391>,,,{7=15%;8=15%},
12812,救死扶伤,,<2441;501;861>,,,{1=20%},
12813,时间缝隙,,<2841;1941;1951;2401>,,,{7=15%;8=15%},
12814,守护伙伴,,<4171;3251;3541>,,,{23=750},
12911,宝石三家,,<1301;1311>,,,{7=10%;8=10%},
12912,盘根错节,,<2011;3281;1>,,,{1=12%},
12913,不服单挑,,<571;1421;1301>,,,{7=10%;8=10%},
12914,滋润万物,,<1241;2922;781;1351>,,,{14=500},
13011,宝石三家,,<1291;1311>,,,{7=10%;8=10%},
13012,炎焰之力,,<741;1231;11>,,,{1=12%},
13013,不服单挑,,<571;1291;51>,,,{7=10%;8=10%},
13014,格斗专家,,<1391;271;1251>,,,{14=500},
13111,宝石三家,,<1301;1291>,,,{7=10%;8=10%},
13112,怒涛之力,,<1241;631;801>,,,{1=12%},
13113,污力滔滔,,<371;2922>,,,{7=10%;8=10%},
13114,天生呆萌,,<771;221;2871>,,,{23=500},
13511,水流力量,,<281;2301;171>,,,{7=8%;8=8%},
13512,水之波动,,<541;551;801>,,,{1=10%},
13513,覆舟之势,,<131;461;2631>,,,{7=8%;8=8%},
13911,超凡意志,,<261;771>,,,{7=10%;8=10%},
13912,妖精同盟,,<3351;131;151>,,,{1=12%},
13913,华丽大赛,,<1891>,,,{7=10%;8=10%},
13914,魔法闪耀,,<391;3291>,,,{22=500},
14111,草斗三雄,,<3181;3281>,,,{7=10%;8=10%},
14112,小心有毒,,<281;1>,,,{1=12%},
14113,深厚友谊,,<3351;1301>,,,{7=10%;8=10%},
14114,灵动步伐,,<1291;3661;781>,,,{23=500},
14211,一拳超人,,<1251;1071>,,,{7=10%;8=10%},
14212,普通家庭,,<51;1441;471>,,,{1=12%},
14213,身强体壮,,<3541;2631;271>,,,{7=10%;8=10%},
14214,懒人根骨,,<261;711>,,,{14=500},
14411,原始组合,,<471;51;1421>,,,{7=10%;8=10%},
14412,守护情谊,,<1611;801;2631>,,,{1=10%},
14413,觉醒力量,,<471;2611;61>,,,{7=10%;8=10%},
14811,鬼鬼祟祟,,<1801;971;1851>,,,{7=10%;8=10%},
14812,邪恶演绎,,<481;371>,,,{1=10%},
14813,收藏家,,<3021;211>,,,{7=10%;8=10%},
15011,钢铁意志,,<1901;331>,,,{7=10%;8=10%},
15012,坚甲附体,,<1071;2011;3281>,,,{1=12%},
15013,横行霸道,,<491;2721>,,,{7=10%;8=10%},
15014,岩石脑袋,,<2591;401;301>,,,{23=500},
15111,定心凝神,,<1241;321;131>,,,{7=10%;8=10%},
15112,拳之力量,,<231;271;461>,,,{1=10%},
15113,第六感,,<2841;1391>,,,{7=10%;8=10%},
16111,火焰掌控,,<2481;3341;3291>,,,{7=10%;8=10%},
16112,炎焰之力,,<11;601;791;2611>,,,{1=10%},
16113,太阳意志,,<1441;2301;3511>,,,{7=10%;8=10%},
16411,躲避击杀,,<1801;2611;691>,,,{7=10%;8=10%},
16412,摇摇晃晃,,<711;451;221>,,,{1=10%},
16413,无所事事,,<1421;131>,,,{7=10%;8=10%},
16511,大漠双雄,,<2721>,,,{7=10%;8=10%},
16512,龙系晚成,,<881;1291>,,,{1=12%},
16513,进化之翼,,<11;1891;31>,,,{7=10%;8=10%},
16514,地面飞行,,<2231;1031;3231>,,,{14=500},
16711,普普通通,,<3831;2831;211>,,,{7=10%;8=10%},
16712,呆萌龙系,,<3541;4561>,,,{1=12%},
16713,翱翔天际,,<701;2891;51>,,,{7=10%;8=10%},
16714,比翼双飞,,<1941;1951>,,,{23=500},
17711,夏日好友,,<381;1241;221>,,,{7=10%;8=10%},
17712,冲浪伙伴,,<2031;1351;21>,,,{1=12%},
17713,终极冲击,,<3301;631;551>,,,{7=10%;8=10%},
17714,生命水滴,,<3771;641;2401>,,,{23=500},
18011,魅影重重,,<1811;3561>,,,{7=10%;8=10%},
18012,漂浮打击,,<2871;481;2961>,,,{1=10%},
18013,幽灵支脉,,<2991;2921;2922>,,,{7=10%;8=10%},
18111,幽灵感应,,<391;3411;3561>,,,{7=10%;8=10%},
18112,异度空间,,<1391;771>,,,{1=12%},
18113,巨人之力,,<1421;2631>,,,{7=10%;8=10%},
18114,恶搞戏法,,<2271;131;481>,,,{22=500},
18411,灾祸预警,,<2821;3141>,,,{7=10%;8=10%},
18412,协力救灾,,<1291;1311;1351>,,,{1=12%},
18413,惩恶扬善,,<3301;241>,,,{7=10%;8=10%},
18414,超级进化,,<2301;21;41>,,,{23=500},
18511,胆战心寒,,<3021;2871;3011>,,,{7=10%;8=10%},
18512,冰雪交加,,<3301;3501>,,,{1=10%},
18513,生人勿近,,<391;2301>,,,{7=10%;8=10%},
18611,冰系家族,,<2871;3011;551>,,,{7=10%;8=10%},
18612,暴雪感应,,<801;3471;1311>,,,{1=10%},
18613,冰封力量,,<471;2301;371>,,,{7=10%;8=10%},
18911,龙族崛起,,<3141;3001>,,,{7=10%;8=10%},
18912,头铁刚毅,,<2961;331;2611>,,,{1=12%},
18913,准神之力,,<2231;3541>,,,{7=10%;8=10%},
18914,飞翔渴望,,<3511;2891;351>,,,{14=500},
19011,钢筋铁骨,,<331;1501>,,,{7=10%;8=10%},
19012,某某科学,,<261;3021>,,,{1=12%},
19013,强身健体,,<1071;271;2631>,,,{7=10%;8=10%},
19014,神经网络,,<331;2591;2961>,,,{23=500},
19111,原始之力,,<1251;401;3501>,,,{7=10%;8=10%},
19112,岩石护身,,<491;1501;691>,,,{1=12%},
19113,永恒守护,,<1921;1931>,,,{7=10%;8=10%},
19114,溯源而战,,<2381;2241>,,,{23=500},
19211,冰冷一脉,,<721;3021;1851>,,,{7=10%;8=10%},
19212,隐秘冰族,,<1081;381;1861>,,,{1=12%},
19213,永恒守护,,<1911;1931>,,,{7=10%;8=10%},
19214,溯源而战,,<2381;2241>,,,{23=500},
19311,钢筋铁骨,,<1501;1901;2961>,,,{7=10%;8=10%},
19312,抱团头铁,,<331;571;2611>,,,{1=12%},
19313,永恒守护,,<1911;1921>,,,{7=10%;8=10%},
19314,溯源而战,,<2381;2241>,,,{23=500},
19411,超能军团,,<1391;2401;2841>,,,{7=10%;8=10%},
19412,龙系家族,,<751;1891;3591;4131>,,,{1=12%},
19413,誓约伙伴,,<721;701;341;2891>,,,{7=10%;8=10%},
19414,无限精灵,,<1951;1031;801;691>,,,{23=500},
19511,超能军团,,<261;1901;551>,,,{7=10%;8=10%},
19512,龙系家族,,<751;1891;3591;4131>,,,{1=12%},
19513,誓约伙伴,,<741;701;3511;51>,,,{7=10%;8=10%},
19514,无限精灵,,<1941;1031;801;691>,,,{14=500},
19611,命运对决,,<1971;91>,,,{7=15%;8=15%},
19612,海洋扩张,,<1241;1311;3301>,,,{1=20%},
19613,三界霸主,,<1981;2231>,,,{7=15%;8=15%},
19614,呼风唤雨,,<751;631>,,,{23=750},
19711,霸主之力,,<1981;1891>,,,{7=15%;8=15%},
19712,水来土掩,,<1961;1241;631>,,,{1=20%},
19713,火山之怒,,<1251;1231;1611>,,,{7=15%;8=15%},
19714,大陆创世,,<1251;1501;2591>,,,{23=750},
19811,霸主争夺,,<1961;1251>,,,{7=15%;8=15%},
19812,龙系崛起,,<1891;3141;3541>,,,{1=20%},
19813,领空制衡,,<1261;751;31>,,,{7=15%;8=15%},
19814,毁灭打击,,<1971;3001;1301>,,,{14=750},
19911,钢之意志,,<2351;3161;1501>,,,{7=15%;8=15%},
19912,超凡身躯,,<3641;1901;2401>,,,{1=20%},
19913,许愿同伴,,<1391;3351;861>,,,{7=15%;8=15%},
19914,千年彗星,,<1971;1841;1891;3171>,,,{23=750},
20111,草之誓约,,<281;781;2301>,,,{7=10%;8=10%},
20112,森林意志,,<1441;3281;1291>,,,{1=10%},
20113,冒险同伴,,<471;2611;3431>,,,{7=10%;8=10%},
20211,烈焰战场,,<1231;601;241;11>,,,{7=10%;8=10%},
20212,格斗高手,,<2241;2631;2481;3511>,,,{1=12%},
20213,神奥御三家,,<2031;2011>,,,{7=10%;8=10%},
20214,高深拳法,,<1301;271;461;231>,,,{14=500},
20311,水系新秀,,<641;3771;221>,,,{7=10%;8=10%},
20312,钢铁身躯,,<2241;2611>,,,{1=12%},
20313,收服之战,,<401;1231;91>,,,{7=10%;8=10%},
20314,三角情谊,,<591;891>,,,{14=500},
20411,原始组合,,<1251;1071>,,,{7=10%;8=10%},
20412,普通家庭,,<51;1441;471>,,,{1=12%},
20413,守护情谊,,<3541;2631;271>,,,{7=10%;8=10%},
20414,觉醒力量,,<261;711>,,,{14=500},
20711,雷电家族,,<51;3291;2301>,,,{7=10%;8=10%},
20712,自然之力,,<91;1081;3511>,,,{1=10%},
20713,电光意识,,<131;3281;2961>,,,{7=10%;8=10%},
21211,猫鼠派对,,<91;2071;2891>,,,{7=10%;8=10%},
