变量名,markID,level,addType,addScene,natureType,desc,attrType1,attrNum1,attrType2,attrNum2,attrType3,attrNum3,attrType4,attrNum4,attrType5,attrNum5,attrType6,attrNum6,__version
6012,61,450,3,,,所有精灵%s,1,0.40%,,,,,,,,,,,
6013,61,500,1,,,%s,24,500,,,,,,,,,,,
7001,71,20,1,,,所有基础属性%s,7,1%,8,1%,1,1%,9,1%,10,1%,13,1%,
7002,71,40,1,,,%s,1,3%,,,,,,,,,,,
7003,71,60,1,,,%s,14,300,15,300,,,,,,,,,
7004,71,80,2,,1,第一属性%s精灵所有基础属性%s,7,0.40%,8,0.40%,1,0.40%,9,0.40%,10,0.40%,13,0.40%,
7005,71,100,1,,,%s,7,3%,8,3%,,,,,,,,,
7006,71,150,3,,,所有精灵%s,1,0.40%,,,,,,,,,,,
7007,71,200,1,,,%s,17,300,19,300,,,,,,,,,
7008,71,250,1,,,%s,9,3%,10,3%,,,,,,,,,
7009,71,300,3,,,所有精灵%s,9,0.40%,10,0.40%,,,,,,,,,
7010,71,350,1,,,%s,11,300,12,300,,,,,,,,,
7011,71,400,1,,,%s,22,300,23,300,,,,,,,,,
7012,71,450,3,,,所有精灵%s,9,0.40%,10,0.40%,,,,,,,,,
7013,71,500,1,,,%s,24,500,,,,,,,,,,,
8001,81,20,1,,,所有基础属性%s,7,1%,8,1%,1,1%,9,1%,10,1%,13,1%,
8002,81,40,1,,,%s,1,3%,,,,,,,,,,,
8003,81,60,1,,,%s,14,300,15,300,,,,,,,,,
8004,81,80,2,,8,第一属性%s精灵所有基础属性%s,7,0.40%,8,0.40%,1,0.40%,9,0.40%,10,0.40%,13,0.40%,
8005,81,100,1,,,%s,7,3%,8,3%,,,,,,,,,
8006,81,150,3,,,所有精灵%s,9,0.40%,10,0.40%,,,,,,,,,
8007,81,200,1,,,%s,17,300,19,300,,,,,,,,,
8008,81,250,1,,,%s,9,3%,10,3%,,,,,,,,,
8009,81,300,3,,,所有精灵%s,7,0.40%,8,0.40%,,,,,,,,,
8010,81,350,1,,,%s,11,300,12,300,,,,,,,,,
8011,81,400,1,,,%s,22,300,23,300,,,,,,,,,
8012,81,450,3,,,所有精灵%s,1,0.40%,,,,,,,,,,,
8013,81,500,1,,,%s,24,500,,,,,,,,,,,
9001,91,20,1,,,所有基础属性%s,7,1%,8,1%,1,1%,9,1%,10,1%,13,1%,
9002,91,40,1,,,%s,1,3%,,,,,,,,,,,
9003,91,60,1,,,%s,14,300,15,300,,,,,,,,,
9004,91,80,2,,5,第一属性%s精灵所有基础属性%s,7,0.50%,8,0.50%,1,0.50%,9,0.50%,10,0.50%,13,0.50%,
9005,91,100,1,,,%s,7,3%,8,3%,,,,,,,,,
9006,91,150,3,,,所有精灵%s,9,0.50%,10,0.50%,,,,,,,,,
9007,91,200,1,,,%s,17,300,19,300,,,,,,,,,
9008,91,250,1,,,%s,9,3%,10,3%,,,,,,,,,
9009,91,300,3,,,所有精灵%s,7,0.50%,8,0.50%,,,,,,,,,
9010,91,350,1,,,%s,11,300,12,300,,,,,,,,,
9011,91,400,1,,,%s,22,300,23,300,,,,,,,,,
9012,91,450,3,,,所有精灵%s,1,0.50%,,,,,,,,,,,
9013,91,500,1,,,%s,24,500,,,,,,,,,,,
10001,101,20,1,,,所有基础属性%s,7,1%,8,1%,1,1%,9,1%,10,1%,13,1%,
10002,101,40,1,,,%s,1,3%,,,,,,,,,,,
10003,101,60,1,,,%s,14,300,15,300,,,,,,,,,
10004,101,80,2,,9,第一属性%s精灵所有基础属性%s,7,0.40%,8,0.40%,1,0.40%,9,0.40%,10,0.40%,13,0.40%,
10005,101,100,1,,,%s,7,3%,8,3%,,,,,,,,,
10006,101,150,3,,,所有精灵%s,9,0.40%,10,0.40%,,,,,,,,,
10007,101,200,1,,,%s,17,300,19,300,,,,,,,,,
10008,101,250,1,,,%s,9,3%,10,3%,,,,,,,,,
10009,101,300,3,,,所有精灵%s,7,0.40%,8,0.40%,,,,,,,,,
10010,101,350,1,,,%s,11,300,12,300,,,,,,,,,
10011,101,400,1,,,%s,22,300,23,300,,,,,,,,,
10012,101,450,3,,,所有精灵%s,7,0.40%,8,0.40%,,,,,,,,,
10013,101,500,1,,,%s,24,500,,,,,,,,,,,
11001,111,20,1,,,所有基础属性%s,7,1%,8,1%,1,1%,9,1%,10,1%,13,1%,
11002,111,40,1,,,%s,1,3%,,,,,,,,,,,
11003,111,60,1,,,%s,14,300,15,300,,,,,,,,,
11004,111,80,2,,8,第一属性%s精灵所有基础属性%s,7,0.40%,8,0.40%,1,0.40%,9,0.40%,10,0.40%,13,0.40%,
11005,111,100,1,,,%s,7,3%,8,3%,,,,,,,,,
11006,111,150,3,,,所有精灵%s,9,0.40%,10,0.40%,,,,,,,,,
11007,111,200,1,,,%s,17,300,19,300,,,,,,,,,
11008,111,250,1,,,%s,9,3%,10,3%,,,,,,,,,
11009,111,300,3,,,所有精灵%s,7,0.40%,8,0.40%,,,,,,,,,
11010,111,350,1,,,%s,11,300,12,300,,,,,,,,,
11011,111,400,1,,,%s,22,300,23,300,,,,,,,,,
11012,111,450,3,,,所有精灵%s,9,0.40%,10,0.40%,,,,,,,,,
11013,111,500,1,,,%s,24,500,,,,,,,,,,,
12001,121,20,1,,,所有基础属性%s,7,1%,8,1%,1,1%,9,1%,10,1%,13,1%,
12002,121,40,1,,,%s,1,3%,,,,,,,,,,,
12003,121,60,1,,,%s,14,300,15,300,,,,,,,,,
12004,121,80,2,,8,第一属性%s精灵所有基础属性%s,7,0.40%,8,0.40%,1,0.40%,9,0.40%,10,0.40%,13,0.40%,
12005,121,100,1,,,%s,7,3%,8,3%,,,,,,,,,
12006,121,150,3,,,所有精灵%s,7,0.40%,8,0.40%,,,,,,,,,
12007,121,200,1,,,%s,17,300,19,300,,,,,,,,,
12008,121,250,1,,,%s,9,3%,10,3%,,,,,,,,,
12009,121,300,3,,,所有精灵%s,1,0.40%,,,,,,,,,,,
12010,121,350,1,,,%s,11,300,12,300,,,,,,,,,
12011,121,400,1,,,%s,22,300,23,300,,,,,,,,,
12012,121,450,3,,,所有精灵%s,7,0.40%,8,0.40%,,,,,,,,,
12013,121,500,1,,,%s,24,500,,,,,,,,,,,
13001,131,20,1,,,所有基础属性%s,7,1%,8,1%,1,1%,9,1%,10,1%,13,1%,
13002,131,40,1,,,%s,1,3%,,,,,,,,,,,
13003,131,60,1,,,%s,14,300,15,300,,,,,,,,,
13004,131,80,2,,18,第一属性%s精灵所有基础属性%s,7,0.50%,8,0.50%,1,0.50%,9,0.50%,10,0.50%,13,0.50%,
13005,131,100,1,,,%s,7,3%,8,3%,,,,,,,,,
13006,131,150,3,,,所有精灵%s,9,0.50%,10,0.50%,,,,,,,,,
13007,131,200,1,,,%s,17,300,19,300,,,,,,,,,
13008,131,250,1,,,%s,9,3%,10,3%,,,,,,,,,
13009,131,300,3,,,所有精灵%s,7,0.50%,8,0.50%,,,,,,,,,
13010,131,350,1,,,%s,11,300,12,300,,,,,,,,,
13011,131,400,1,,,%s,22,300,23,300,,,,,,,,,
13012,131,450,3,,,所有精灵%s,1,0.50%,,,,,,,,,,,
13013,131,500,1,,,%s,24,500,,,,,,,,,,,
14201,143,20,1,,,所有基础属性%s,7,1%,8,1%,1,1%,9,1%,10,1%,13,1%,
14202,143,40,1,,,%s,1,3%,,,,,,,,,,,
14203,143,60,1,,,%s,14,300,15,300,,,,,,,,,
14204,143,80,2,,6,第一属性%s精灵所有基础属性%s,7,0.60%,8,0.60%,1,0.60%,9,0.60%,10,0.60%,13,0.60%,
14205,143,100,1,,,%s,7,3%,8,3%,,,,,,,,,
14206,143,150,3,,,所有精灵%s,1,0.60%,,,,,,,,,,,
14207,143,200,1,,,%s,17,300,19,300,,,,,,,,,
14208,143,250,1,,,%s,9,3%,10,3%,,,,,,,,,
14209,143,300,3,,,所有精灵%s,9,0.60%,10,0.60%,,,,,,,,,
14210,143,350,1,,,%s,11,300,12,300,,,,,,,,,
14211,143,400,1,,,%s,22,300,23,300,,,,,,,,,
14212,143,450,3,,,所有精灵%s,7,0.60%,8,0.60%,,,,,,,,,
14213,143,500,1,,,%s,24,500,,,,,,,,,,,
15001,151,20,1,,,所有基础属性%s,7,1%,8,1%,1,1%,9,1%,10,1%,13,1%,
15002,151,40,1,,,%s,1,3%,,,,,,,,,,,
15003,151,60,1,,,%s,14,300,15,300,,,,,,,,,
15004,151,80,2,,1,第一属性%s精灵所有基础属性%s,7,0.50%,8,0.50%,1,0.50%,9,0.50%,10,0.50%,13,0.50%,
15005,151,100,1,,,%s,7,3%,8,3%,,,,,,,,,
15006,151,150,3,,,所有精灵%s,9,0.50%,10,0.50%,,,,,,,,,
15007,151,200,1,,,%s,17,300,19,300,,,,,,,,,
15008,151,250,1,,,%s,9,3%,10,3%,,,,,,,,,
15009,151,300,3,,,所有精灵%s,7,0.50%,8,0.50%,,,,,,,,,
15010,151,350,1,,,%s,11,300,12,300,,,,,,,,,
15011,151,400,1,,,%s,22,300,23,300,,,,,,,,,
15012,151,450,3,,,所有精灵%s,9,0.50%,10,0.50%,,,,,,,,,
15013,151,500,1,,,%s,24,500,,,,,,,,,,,
16001,161,20,1,,,所有基础属性%s,7,1%,8,1%,1,1%,9,1%,10,1%,13,1%,
16002,161,40,1,,,%s,1,3%,,,,,,,,,,,
16003,161,60,1,,,%s,14,300,15,300,,,,,,,,,
16004,161,80,2,,8,第一属性%s精灵所有基础属性%s,7,0.60%,8,0.60%,1,0.60%,9,0.60%,10,0.60%,13,0.60%,
16005,161,100,1,,,%s,7,3%,8,3%,,,,,,,,,
16006,161,150,3,,,所有精灵%s,7,0.60%,8,0.60%,,,,,,,,,
16007,161,200,1,,,%s,17,300,19,300,,,,,,,,,
16008,161,250,1,,,%s,9,3%,10,3%,,,,,,,,,
16009,161,300,3,,,所有精灵%s,1,0.60%,,,,,,,,,,,
16010,161,350,1,,,%s,11,300,12,300,,,,,,,,,
16011,161,400,1,,,%s,22,300,23,300,,,,,,,,,
16012,161,450,3,,,所有精灵%s,9,0.60%,10,0.60%,,,,,,,,,
16013,161,500,1,,,%s,24,500,,,,,,,,,,,
17001,171,20,1,,,所有基础属性%s,7,1%,8,1%,1,1%,9,1%,10,1%,13,1%,
17002,171,40,1,,,%s,1,3%,,,,,,,,,,,
17003,171,60,1,,,%s,14,300,15,300,,,,,,,,,
17004,171,80,2,,4,第一属性%s精灵所有基础属性%s,7,0.40%,8,0.40%,1,0.40%,9,0.40%,10,0.40%,13,0.40%,
17005,171,100,1,,,%s,7,3%,8,3%,,,,,,,,,
17006,171,150,3,,,所有精灵%s,1,0.40%,,,,,,,,,,,
17007,171,200,1,,,%s,17,300,19,300,,,,,,,,,
17008,171,250,1,,,%s,9,3%,10,3%,,,,,,,,,
17009,171,300,3,,,所有精灵%s,9,0.40%,10,0.40%,,,,,,,,,
17010,171,350,1,,,%s,11,300,12,300,,,,,,,,,
17011,171,400,1,,,%s,22,300,23,300,,,,,,,,,
17012,171,450,3,,,所有精灵%s,9,0.40%,10,0.40%,,,,,,,,,
17013,171,500,1,,,%s,24,500,,,,,,,,,,,
19001,191,20,1,,,所有基础属性%s,7,1%,8,1%,1,1%,9,1%,10,1%,13,1%,
19002,191,40,1,,,%s,1,3%,,,,,,,,,,,
19003,191,60,1,,,%s,14,300,15,300,,,,,,,,,
19004,191,80,2,,12,第一属性%s精灵所有基础属性%s,7,0.40%,8,0.40%,1,0.40%,9,0.40%,10,0.40%,13,0.40%,
19005,191,100,1,,,%s,7,3%,8,3%,,,,,,,,,
19006,191,150,3,,,所有精灵%s,7,0.40%,8,0.40%,,,,,,,,,
19007,191,200,1,,,%s,17,300,19,300,,,,,,,,,
19008,191,250,1,,,%s,9,3%,10,3%,,,,,,,,,
19009,191,300,3,,,所有精灵%s,1,0.40%,,,,,,,,,,,
19010,191,350,1,,,%s,11,300,12,300,,,,,,,,,
19011,191,400,1,,,%s,22,300,23,300,,,,,,,,,
19012,191,450,3,,,所有精灵%s,9,0.40%,10,0.40%,,,,,,,,,
19013,191,500,1,,,%s,24,500,,,,,,,,,,,
21001,211,20,1,,,所有基础属性%s,7,1%,8,1%,1,1%,9,1%,10,1%,13,1%,
21002,211,40,1,,,%s,1,3%,,,,,,,,,,,
21003,211,60,1,,,%s,14,300,15,300,,,,,,,,,
21004,211,80,2,,1,第一属性%s精灵所有基础属性%s,7,0.50%,8,0.50%,1,0.50%,9,0.50%,10,0.50%,13,0.50%,
21005,211,100,1,,,%s,7,3%,8,3%,,,,,,,,,
21006,211,150,3,,,所有精灵%s,7,0.50%,8,0.50%,,,,,,,,,
21007,211,200,1,,,%s,17,300,19,300,,,,,,,,,
21008,211,250,1,,,%s,9,3%,10,3%,,,,,,,,,
21009,211,300,3,,,所有精灵%s,1,0.50%,,,,,,,,,,,
21010,211,350,1,,,%s,11,300,12,300,,,,,,,,,
21011,211,400,1,,,%s,22,300,23,300,,,,,,,,,
21012,211,450,3,,,所有精灵%s,1,0.50%,,,,,,,,,,,
21013,211,500,1,,,%s,24,500,,,,,,,,,,,
22001,221,20,1,,,所有基础属性%s,7,1%,8,1%,1,1%,9,1%,10,1%,13,1%,
22002,221,40,1,,,%s,1,3%,,,,,,,,,,,
22003,221,60,1,,,%s,14,300,15,300,,,,,,,,,
22004,221,80,2,,3,第一属性%s精灵所有基础属性%s,7,0.50%,8,0.50%,1,0.50%,9,0.50%,10,0.50%,13,0.50%,
22005,221,100,1,,,%s,7,3%,8,3%,,,,,,,,,
22006,221,150,3,,,所有精灵%s,7,0.50%,8,0.50%,,,,,,,,,
22007,221,200,1,,,%s,17,300,19,300,,,,,,,,,
22008,221,250,1,,,%s,9,3%,10,3%,,,,,,,,,
22009,221,300,3,,,所有精灵%s,1,0.50%,,,,,,,,,,,
22010,221,350,1,,,%s,11,300,12,300,,,,,,,,,
22011,221,400,1,,,%s,22,300,23,300,,,,,,,,,
22012,221,450,3,,,所有精灵%s,7,0.50%,8,0.50%,,,,,,,,,
22013,221,500,1,,,%s,24,500,,,,,,,,,,,
23001,231,20,1,,,所有基础属性%s,7,1%,8,1%,1,1%,9,1%,10,1%,13,1%,
23002,231,40,1,,,%s,1,3%,,,,,,,,,,,
23003,231,60,1,,,%s,14,300,15,300,,,,,,,,,
23004,231,80,2,,7,第一属性%s精灵所有基础属性%s,7,0.40%,8,0.40%,1,0.40%,9,0.40%,10,0.40%,13,0.40%,
23005,231,100,1,,,%s,7,3%,8,3%,,,,,,,,,
23006,231,150,3,,,所有精灵%s,7,0.40%,8,0.40%,,,,,,,,,
23007,231,200,1,,,%s,17,300,19,300,,,,,,,,,
23008,231,250,1,,,%s,9,3%,10,3%,,,,,,,,,
23009,231,300,3,,,所有精灵%s,1,0.40%,,,,,,,,,,,
23010,231,350,1,,,%s,11,300,12,300,,,,,,,,,
23011,231,400,1,,,%s,22,300,23,300,,,,,,,,,
23012,231,450,3,,,所有精灵%s,1,0.40%,,,,,,,,,,,
23013,231,500,1,,,%s,24,500,,,,,,,,,,,
24001,241,20,1,,,所有基础属性%s,7,1%,8,1%,1,1%,9,1%,10,1%,13,1%,
24002,241,40,1,,,%s,1,3%,,,,,,,,,,,
24003,241,60,1,,,%s,14,300,15,300,,,,,,,,,
24004,241,80,2,,2,第一属性%s精灵所有基础属性%s,7,0.60%,8,0.60%,1,0.60%,9,0.60%,10,0.60%,13,0.60%,
24005,241,100,1,,,%s,7,3%,8,3%,,,,,,,,,
24006,241,150,3,,,所有精灵%s,7,0.60%,8,0.60%,,,,,,,,,
24007,241,200,1,,,%s,17,300,19,300,,,,,,,,,
24008,241,250,1,,,%s,9,3%,10,3%,,,,,,,,,
24009,241,300,3,,,所有精灵%s,1,0.60%,,,,,,,,,,,
24010,241,350,1,,,%s,11,300,12,300,,,,,,,,,
24011,241,400,1,,,%s,22,300,23,300,,,,,,,,,
24012,241,450,3,,,所有精灵%s,7,0.60%,8,0.60%,,,,,,,,,
24013,241,500,1,,,%s,24,500,,,,,,,,,,,
25001,251,20,1,,,所有基础属性%s,7,1%,8,1%,1,1%,9,1%,10,1%,13,1%,
25002,251,40,1,,,%s,1,3%,,,,,,,,,,,
25003,251,60,1,,,%s,14,300,15,300,,,,,,,,,
25004,251,80,2,,3,第一属性%s精灵所有基础属性%s,7,0.60%,8,0.60%,1,0.60%,9,0.60%,10,0.60%,13,0.60%,
25005,251,100,1,,,%s,7,3%,8,3%,,,,,,,,,
25006,251,150,3,,,所有精灵%s,1,0.60%,,,,,,,,,,,
25007,251,200,1,,,%s,17,300,19,300,,,,,,,,,
25008,251,250,1,,,%s,9,3%,10,3%,,,,,,,,,
25009,251,300,3,,,所有精灵%s,9,0.60%,10,0.60%,,,,,,,,,
25010,251,350,1,,,%s,11,300,12,300,,,,,,,,,
25011,251,400,1,,,%s,22,300,23,300,,,,,,,,,
25012,251,450,3,,,所有精灵%s,9,0.60%,10,0.60%,,,,,,,,,
25013,251,500,1,,,%s,24,500,,,,,,,,,,,
26001,261,20,1,,,所有基础属性%s,7,1%,8,1%,1,1%,9,1%,10,1%,13,1%,
26002,261,40,1,,,%s,1,3%,,,,,,,,,,,
26003,261,60,1,,,%s,14,300,15,300,,,,,,,,,
26004,261,80,2,,11,第一属性%s精灵所有基础属性%s,7,0.60%,8,0.60%,1,0.60%,9,0.60%,10,0.60%,13,0.60%,
26005,261,100,1,,,%s,7,3%,8,3%,,,,,,,,,
26006,261,150,3,,,所有精灵%s,1,0.60%,,,,,,,,,,,
26007,261,200,1,,,%s,17,300,19,300,,,,,,,,,
26008,261,250,1,,,%s,9,3%,10,3%,,,,,,,,,
26009,261,300,3,,,所有精灵%s,9,0.60%,10,0.60%,,,,,,,,,
26010,261,350,1,,,%s,11,300,12,300,,,,,,,,,
26011,261,400,1,,,%s,22,300,23,300,,,,,,,,,
26012,261,450,3,,,所有精灵%s,7,0.60%,8,0.60%,,,,,,,,,
26013,261,500,1,,,%s,24,500,,,,,,,,,,,
27001,271,20,1,,,所有基础属性%s,7,1%,8,1%,1,1%,9,1%,10,1%,13,1%,
27002,271,40,1,,,%s,1,3%,,,,,,,,,,,
27003,271,60,1,,,%s,14,300,15,300,,,,,,,,,
27004,271,80,2,,7,第一属性%s精灵所有基础属性%s,7,0.50%,8,0.50%,1,0.50%,9,0.50%,10,0.50%,13,0.50%,
27005,271,100,1,,,%s,7,3%,8,3%,,,,,,,,,
27006,271,150,3,,,所有精灵%s,1,0.50%,,,,,,,,,,,
27007,271,200,1,,,%s,17,300,19,300,,,,,,,,,
27008,271,250,1,,,%s,9,3%,10,3%,,,,,,,,,
27009,271,300,3,,,所有精灵%s,9,0.50%,10,0.50%,,,,,,,,,
27010,271,350,1,,,%s,11,300,12,300,,,,,,,,,
27011,271,400,1,,,%s,22,300,23,300,,,,,,,,,
27012,271,450,3,,,所有精灵%s,7,0.50%,8,0.50%,,,,,,,,,
27013,271,500,1,,,%s,24,500,,,,,,,,,,,
28001,281,20,1,,,所有基础属性%s,7,1%,8,1%,1,1%,9,1%,10,1%,13,1%,
28002,281,40,1,,,%s,1,3%,,,,,,,,,,,
28003,281,60,1,,,%s,14,300,15,300,,,,,,,,,
28004,281,80,2,,4,第一属性%s精灵所有基础属性%s,7,0.50%,8,0.50%,1,0.50%,9,0.50%,10,0.50%,13,0.50%,
28005,281,100,1,,,%s,7,3%,8,3%,,,,,,,,,
28006,281,150,3,,,所有精灵%s,1,0.50%,,,,,,,,,,,
28007,281,200,1,,,%s,17,300,19,300,,,,,,,,,
28008,281,250,1,,,%s,9,3%,10,3%,,,,,,,,,
28009,281,300,3,,,所有精灵%s,9,0.50%,10,0.50%,,,,,,,,,
28010,281,350,1,,,%s,11,300,12,300,,,,,,,,,
28011,281,400,1,,,%s,22,300,23,300,,,,,,,,,
28012,281,450,3,,,所有精灵%s,1,0.50%,,,,,,,,,,,
28013,281,500,1,,,%s,24,500,,,,,,,,,,,
30001,301,20,1,,,所有基础属性%s,7,1%,8,1%,1,1%,9,1%,10,1%,13,1%,
30002,301,40,1,,,%s,1,3%,,,,,,,,,,,
30003,301,60,1,,,%s,14,300,15,300,,,,,,,,,
30004,301,80,2,,13,第一属性%s精灵所有基础属性%s,7,0.50%,8,0.50%,1,0.50%,9,0.50%,10,0.50%,13,0.50%,
30005,301,100,1,,,%s,7,3%,8,3%,,,,,,,,,
