变量名,name,_name,desc,unitIDs,activeType,skinFrameRes,markID,attrAddType,attrType1,attrNum1,attrType2,attrNum2,attrType3,attrNum3,attrType4,attrNum4,rank,costMap,extraItem,isOpen,languages,extraTip,sign,__version
109,街头滑板,,可通过活动获得,{2242=2243;2243=2245},,city/drawcard/draw/panel_card_h.png,2241,,7,2%,8,2%,24,100,,,,{rmb=3880},,TRUE,<cn;tw;en;en_us;en_eu;kr>,,,
110,时间侠盗,,可通过活动获得,{1281=1282},,city/drawcard/draw/panel_card_c.png,1281,,1,5%,16,300,,,,,,,,TRUE,<cn;tw;en;en_us;en_eu;kr>,,,
111,银霄战甲,,可通过活动获得,{1982=1984},,city/drawcard/draw/panel_card_r.png,1981,,7,5%,8,5%,14,500,,,,,,TRUE,<cn;tw;en;en_us;en_eu;kr>,,,
112,幽灵船长,,可通过活动获得,{393=395;394=396},,city/drawcard/draw/panel_card_h.png,391,,8,2%,24,100,,,,,,{rmb=2880},,TRUE,<cn;tw;en;en_us;en_eu;kr>,,,
113,魔法星使,,可通过活动获得,{1991=1992},,city/drawcard/draw/panel_card_c.png,1991,,1,5%,16,300,,,,,,,,TRUE,<cn;tw;en;en_us;en_eu;kr>,,,
114,圣诞老人,,可通过活动获得,{263=265;264=266},,city/drawcard/draw/panel_card_h.png,261,,90,100,13,1%,,,,,,{rmb=2880},,TRUE,<cn;tw;en;en_us;en_eu;kr>,,,
115,九色鹿鸣,,可通过活动获得,{3601=3603},,city/drawcard/draw/panel_card_c.png,3601,,1,5%,25,300,,,,,,,,TRUE,<cn;tw;en;en_us;en_eu;kr>,,,
116,霓虹闪电,,可通过活动获得,{4161=4162},,city/drawcard/draw/panel_card_c.png,4161,,7,5%,24,300,,,,,,,,TRUE,<cn;tw;en;en_us;en_eu;kr>,,,
117,圣翼红莲,,可通过活动获得,{7001=7002},,city/drawcard/draw/panel_card_h.png,7001,,8,2%,90,100,,,,,,{rmb=3880},,TRUE,<cn;tw;en;en_us;en_eu;kr>,,,
118,月下蔷薇,,可通过活动获得,{1394=1399;1397=1390},,city/drawcard/draw/panel_card_h.png,1391,,24,150,,,,,,,,{rmb=3880},,TRUE,<cn;en;tw;kr;en_us>,,,
119,胜利武装,,可通过活动获得,{2461=2463},,city/drawcard/draw/panel_card_c.png,2461,,13,3%,16,350,,,,,,,,TRUE,<cn;tw;en;en_us;en_eu;kr>,,,
120,烈焰机甲,,可通过活动获得,{1972=1973},,city/drawcard/draw/panel_card_r.png,1971,,9,5%,10,5%,16,500,,,,,,TRUE,<cn;tw;kr;en;en_us;en_eu>,,,
121,夜幕影忍,,可通过活动获得,{4121=4122},,city/drawcard/draw/panel_card_c.png,4121,,7,5%,22,300,,,,,,,,TRUE,<cn;tw;en;en_us;en_eu;kr>,,,
122,乐动星使,,可通过活动获得,{4111=4112},,city/drawcard/draw/panel_card_c.png,4111,,1,5%,25,300,,,,,,,,TRUE,<cn;tw;en;en_us;en_eu;kr>,,,
123,梦华秋月,,可通过活动获得,{2401=2402},,city/drawcard/draw/panel_card_h.png,2401,,1,2%,23,100,,,,,,{rmb=3880},,TRUE,<cn;tw;kr>,,,
124,甜心守护,,可通过活动获得,{4172=4174},,city/drawcard/draw/panel_card_c.png,4171,,9,5%,10,5%,17,300,,,,,,TRUE,<cn;tw;kr;en;en_us;en_eu>,,灵感来源：pzlu,
125,鱼咎于形,,可通过活动获得,{1962=1963},,city/drawcard/draw/panel_card_r.png,1961,,9,5%,10,5%,23,500,,,,,,TRUE,<cn;tw;kr;en;en_us;en_eu>,,,
126,歌剧魅影,,可通过活动获得,{2421=2424},,city/drawcard/draw/panel_card_c.png,2421,,1,5%,16,300,,,,,,,,TRUE,<cn;kr;tw;en;en_us;en_eu>,,,
127,阿拉丁,,可通过活动获得,{1813=1814},,city/drawcard/draw/panel_card_h.png,1811,,1,2%,13,1%,,,,,,{rmb=2880},,TRUE,<cn;kr;tw;en;en_us;en_eu>,,,
128,般若鬼武,,可通过活动获得,{7021=7022},,city/drawcard/draw/panel_card_c.png,7021,,8,5%,5,300,,,,,,,,TRUE,<cn;kr;tw;en;en_us;en_eu>,,,
129,暗曜磁暴,,可通过2022年圣诞活动获得,{4023=4123},,city/drawcard/draw/panel_card_c.png,4023,,9,5%,10,5%,16,300,,,,,,TRUE,<cn;kr;tw;en;en_us;en_eu>,,灵感来源：宇宙无敌暴龙神,
130,杀戮电锯,,可通过活动获得,{4081=4082},,city/drawcard/draw/panel_card_h.png,4081,,7,2%,14,100,,,,,,{rmb=3880},,TRUE,<cn;kr;tw;en;en_us;en_eu>,,,
131,煞行破邪,,可通过活动获得,{7031=7034},,city/drawcard/draw/panel_card_c.png,7031,,7,5%,24,300,,,,,,,,TRUE,<cn;kr;tw;en;en_us;en_eu>,,,
132,雷电祥云,,可通过活动获得,{731=732},,city/drawcard/draw/panel_card_h.png,731,,8,2%,5,100,,,,,,{rmb=3880},,TRUE,<cn;tw;kr;en;en_us;en_eu>,,,
133,偶像歌姬,,可通过活动获得,{3261=3265;3262=3266},,city/drawcard/draw/panel_card_c.png,3261,,13,3%,24,300,,,,,,,,TRUE,<cn;tw;kr;en;en_us;en_eu>,,灵感来源：Yoo_pon,
134,沙漠死神,,可通过活动获得,{4101=4102},,city/drawcard/draw/panel_card_c.png,4101,,8,5%,14,300,,,,,,,,TRUE,<cn;tw;kr;en;en_us;en_eu>,,,
135,月满花繁,,可通过活动获得,{4024=4124},,city/drawcard/draw/panel_card_c.png,4024,,1,5%,25,300,,,,,,,,TRUE,<cn;tw;kr;en;en_us;en_eu>,,,
136,誓约之剑,,可通过活动获得,{3632=3634},,city/drawcard/draw/panel_card_r.png,3631,,1,5%,17,500,,,,,,,,TRUE,<cn;tw;kr;en;en_us;en_eu>,,,
137,玄音余韵,,可通过活动获得,{4071=4072},,city/drawcard/draw/panel_card_h.png,4071,,1,2%,23,100,,,,,,{rmb=3880},,TRUE,<cn;tw;kr;en;en_us;en_eu>,,,
138,恶魔女王,,可通过活动获得,{7051=7053},,city/drawcard/draw/panel_card_c.png,7051,,8,5%,5,300,,,,,,,,TRUE,<cn;kr;en;en_us;en_eu;tw>,,,
139,星际追击,,可通过活动获得,{7041=7049},,city/drawcard/draw/panel_card_c.png,7041,,1,5%,25,300,,,,,,,,TRUE,<cn;tw;kr;en;en_us;en_eu>,,,
140,流夏清梦,,可通过活动获得,{7051=7055},,city/drawcard/draw/panel_card_c.png,7051,,8,5%,90,300,,,,,,,,TRUE,<cn;tw;kr;en;en_us;en_eu>,,,
141,太极如御,,可通过活动获得,{4601=4602},,city/drawcard/draw/panel_card_c.png,4601,,9,5%,10,5%,17,300,,,,,,TRUE,<cn;kr;tw;en;en_us>,,,
142,星际制裁者,,可通过活动获得,{762=759},,city/drawcard/draw/panel_card_r.png,761,,7,5%,8,5%,14,500,,,,,,TRUE,<cn;tw;kr;en;en_us;en_eu>,,,
143,摩诃伽罗,,可通过活动获得,{3642=3645},,city/drawcard/draw/panel_card_c.png,3641,,8,5%,24,300,,,,,,,,TRUE,<cn;tw;kr;en;en_us;en_eu>,,,
144,深渊祭坛,,可通过活动获得,{4141=4142},,city/drawcard/draw/panel_card_h.png,4141,,1,2%,23,100,,,,,,{rmb=3880},,TRUE,<cn;tw;kr;en;en_us;en_eu>,,,
145,沧海明珠,,可通过活动获得,{7071=7073},,city/drawcard/draw/panel_card_c.png,7071,,8,5%,18,300,,,,,,,,TRUE,<cn;kr;tw;en;en_us;en_eu>,,,
146,复仇魔女,,可通过活动获得,{3632=3639},,city/drawcard/draw/panel_card_r.png,3631,,9,5%,10,5%,16,500,,,,,,TRUE,<cn;kr;tw;en;en_us;en_eu>,,,
147,星际吞噬,,可通过活动获得,{3623=3626},,city/drawcard/draw/panel_card_c.png,3621,,1,5%,23,300,,,,,,,,TRUE,<cn;kr;tw;en;en_us;en_eu>,,灵感来源：Crystal,
148,皇家骑士,,可通过活动获得,{2411=2413},,city/drawcard/draw/panel_card_h.png,2411,,1,2%,13,2%,,,,,,{rmb=3880},,TRUE,<cn;kr;tw;en;en_us;en_eu>,,,
149,太极离火,,可通过活动获得,{4591=4592},,city/drawcard/draw/panel_card_c.png,4591,,7,5%,22,300,,,,,,,,TRUE,<cn;kr;en;en_us;en_eu;tw>,,,
150,幻梦试剂,,可通过活动获得,{992=993},,city/drawcard/draw/panel_card_h.png,991,,1,2%,27,100,,,,,,{rmb=3880},,TRUE,<cn;kr;en;en_us;en_eu;tw>,,,
151,恶魔侍卫,,可通过活动获得,{7061=7062},,city/drawcard/draw/panel_card_c.png,7061,,7,5%,18,300,,,,,,,,TRUE,<cn;tw;en;en_us;en_eu;kr>,,,
152,奶爸拳魂,,可通过活动获得,{4631=4633},,city/drawcard/draw/panel_card_c.png,4631,,1,5%,28,400,,,,,,,,TRUE,<cn;kr;en;en_us;en_eu;tw>,,,
153,次元骇客,,可通过活动获得,{763=767},,city/drawcard/draw/panel_card_r.png,761,,7,5%,8,5%,24,500,,,,,,TRUE,<cn;kr;en;tw;en_us>,,,
154,电音狂想,,可通过活动获得,{4061=4062},,city/drawcard/draw/panel_card_h.png,4061,,8,2%,14,100,,,,,,{rmb=3880},,TRUE,<cn;en;tw;kr;en_us>,,,
155,白羽圣骑,,可通过活动获得,{4682=4684},,city/drawcard/draw/panel_card_c.png,4682,,1,5%,27,300,,,,,,,,TRUE,<cn;kr;en;en_us;en_eu;tw>,,,
156,义海军魂,,可通过活动获得,{4161=4163},,city/drawcard/draw/panel_card_c.png,4161,,13,3%,24,300,,,,,,,,TRUE,<cn;kr;en;en_us;en_eu;tw>,,,
157,释天龙王,,可通过活动获得,{3243=3247},,city/drawcard/draw/panel_card_r.png,3242,,7,5%,8,5%,14,500,,,,,,TRUE,<cn;kr;en;en_us;en_eu;tw>,,,
158,多闻天王,,可通过活动获得,{3191=3192},,city/drawcard/draw/panel_card_h.png,3191,,8,2%,5,100,,,,,,{rmb=3880},,TRUE,<cn;kr;en;en_us;en_eu;tw>,,,
159,亢金龙,,可通过活动获得,{5391=5392},,city/drawcard/draw/panel_card_c.png,5391,,13,3%,24,300,,,,,,,,TRUE,<cn;kr;tw;en_us>,,,
160,幻海潮生,,可通过活动获得,{2421=2437},,city/drawcard/draw/panel_card_c.png,2421,,9,5%,10,5%,23,300,,,,,,TRUE,<cn;tw;kr>,,,
161,天命猴,,可通过活动获得,{2023=2024},,city/drawcard/draw/panel_card_h.png,2021,,7,2%,14,100,,,,,,,,TRUE,<cn;kr;tw;en_us>,,,
162,梵天烈焰,,可通过活动获得,{3242=3248},,city/drawcard/draw/panel_card_r.png,3242,,9,5%,10,5%,25,500,,,,,,TRUE,<cn;kr;en;en_us;en_eu;tw>,,,
163,持国天王,,可通过活动获得,{3201=3202},,city/drawcard/draw/panel_card_h.png,3201,,8,5%,22,300,,,,,,,,TRUE,<cn>,,,
164,竹林刀影,,可通过活动获得,{7141=7142},,city/drawcard/draw/panel_card_c.png,7141,,8,5%,24,300,,,,,,,,TRUE,<cn;tw;en_us;kr>,,,
165,虎先锋,,可通过活动获得,{3673=3674},,city/drawcard/draw/panel_card_h.png,3673,,7,2%,14,100,,,,,,,,TRUE,<cn>,,,
166,噬日星云,,可通过活动获得,{4103=4105},,city/drawcard/draw/panel_card_r.png,4103,,9,5%,10,5%,25,500,,,,,,TRUE,<cn;tw;en_us>,,,
167,烈焰枪魂,,可通过活动获得,{7081=7082},,city/drawcard/draw/panel_card_c.png,7081,,9,5%,10,5%,25,300,,,,,,TRUE,<cn>,,,
168,金杏花舞,,可通过活动获得,{3353=3354},,city/drawcard/draw/panel_card_h.png,3351,,1,2%,23,100,,,,,,{rmb=3880},,TRUE,<cn>,,,
169,血烬龙骸,,可通过活动获得,{4611=4612},,city/drawcard/draw/panel_card_c.png,4611,,9,5%,10,5%,23,500,,,,,,TRUE,<cn;en_us;tw;kr>,,,
170,数码镰影,,可通过活动获得,{7191=7192},,city/drawcard/draw/panel_card_c.png,7191,,7,5%,22,300,,,,,,,,TRUE,<cn>,,,
171,西部牛仔,,可通过活动获得,{4431=4433},,city/drawcard/draw/panel_card_h.png,4431,,1,2%,14,100,,,,,,,,TRUE,<cn>,,,
172,幽魂骑士,,可通过活动获得,{4683=4685},,city/drawcard/draw/panel_card_c.png,4683,,8,5%,22,300,,,,,,,,TRUE,<cn>,,,
173,血月伯爵,,可通过活动获得,{4104=4106},,city/drawcard/draw/panel_card_r.png,4103,,1,5%,23,500,,,,,,,,TRUE,<cn>,,,
174,青草收割者,,可通过活动获得,{4993=4994},,city/drawcard/draw/panel_card_h.png,4991,,9,3%,10,3%,,,,,,,,TRUE,<cn>,,,
175,赤色暴君,,可通过活动获得,{7201=7203},,city/drawcard/draw/panel_card_c.png,7201,,9,5%,10,5%,17,300,,,,,,TRUE,<cn>,,,
176,圣诞穿着,,可通过活动获得,{3832=3833},,city/drawcard/draw/panel_card_h.png,3831,,9,2%,14,100,,,,,,,,TRUE,<cn>,,,
177,赌城风云,,可通过活动获得,{7211=7212},,city/drawcard/draw/panel_card_c.png,7211,,7,5%,22,300,,,,,,,,TRUE,<cn>,,,
178,流焰织虹,,可通过活动获得,{312=313},,city/drawcard/draw/panel_card_h.png,311,,7,2%,14,100,,,,,,,,TRUE,<cn;kr;en_us;tw>,,,
179,天理鸣尊,,可通过活动获得,{7161=7162},,city/drawcard/draw/panel_card_c.png,7161,,9,5%,10,5%,23,300,,,,,,TRUE,<cn>,,,
180,掘金猎手,,可通过活动获得,{7231=7232},,city/drawcard/draw/panel_card_c.png,7231,,7,5%,22,300,,,,,,,,TRUE,<cn>,,,
