变量名,name,preTalentLevel,attrNum1,costID,roleLevel,attrAddDesc2,attrAddDesc1,attrDesc,levelUp,attrNum2,damageRelation1,damageRelation2,languages,attrType2,icon,preTalentID,attrType1,addType2,natureType2,natureType1,treeID,headIcon,addType1
204,进阶天赋,7,0.50%,2,45,,物攻增加,提升所有精灵的基础物攻百分比,,,,,,,city/develop/talent/icon_wg.png,200,7,,,,2,,3
205,进阶天赋,7,0.50%,3,45,,特攻增加,提升所有精灵的基础特攻百分比,,,,,,,city/develop/talent/icon_tg.png,204,8,,,,2,,3
206,进阶天赋,7,50,4,45,,暴击增加,提升所有精灵的基础暴击百分比,,,,,,,city/develop/talent/icon_bj.png,205,14,,,,2,,3
207,进阶天赋,7,50,2,45,,伤害减免增加,提升所有精灵的基础伤害减免百分比,,,,,,,city/develop/talent/icon_shjm.png,200,23,,,,2,,3
208,进阶天赋,7,50,3,45,,伤害加成增加,提升所有精灵的基础伤害加成百分比,,,,,,,city/develop/talent/icon_shjc.png,207,22,,,,2,,3
209,进阶天赋,7,0.50%,4,45,,速度增加,提升所有精灵的基础速度百分比,,,,,,,city/develop/talent/icon_sd.png,208,13,,,,2,,3
300,元素天赋,,0.50%,5,65,,生命增加,提升所有一般系精灵的生命,15,,,,,,city/develop/talent/icon_smz.png,,1,,,1,3,city/develop/talent/txt_yb.png,4
301,元素天赋,7,100,6,65,,一般系技能伤害加成增加,提升所有精灵一般系技能伤害加成,15,,,,,,city/develop/talent/icon_ysg.png,300,36,,,,3,city/develop/talent/txt_yb.png,3
302,元素天赋,7,100,7,65,,一般系技能伤害减免增加,提升所有精灵一般系技能伤害减免,15,,,,,,city/develop/talent/icon_shjm.png,301,54,,,,3,city/develop/talent/txt_yb.png,3
303,元素天赋,,0.50%,5,65,,生命增加,提升所有火系精灵的生命,15,,,,,,city/develop/talent/icon_smz.png,,1,,,2,3,city/develop/talent/txt_hx.png,4
304,元素天赋,7,100,6,65,,火系技能伤害加成增加,提升所有精灵火系技能伤害加成,15,,,,,,city/develop/talent/icon_ysg.png,303,37,,,,3,city/develop/talent/txt_hx.png,3
305,元素天赋,7,100,7,65,,火系技能伤害减免增加,提升所有精灵火系技能伤害减免,15,,,,,,city/develop/talent/icon_shjm.png,304,55,,,,3,city/develop/talent/txt_hx.png,3
306,元素天赋,,0.50%,5,65,,生命增加,提升所有水系精灵的生命,15,,,,,,city/develop/talent/icon_smz.png,,1,,,3,3,city/develop/talent/txt_sx.png,4
307,元素天赋,7,100,6,65,,水系技能伤害加成增加,提升所有精灵水系技能伤害加成,15,,,,,,city/develop/talent/icon_ysg.png,306,38,,,,3,city/develop/talent/txt_sx.png,3
308,元素天赋,7,100,7,65,,水系技能伤害减免增加,提升所有精灵水系技能伤害减免,15,,,,,,city/develop/talent/icon_shjm.png,307,56,,,,3,city/develop/talent/txt_sx.png,3
309,元素天赋,,0.50%,5,65,,生命增加,提升所有草系精灵的生命,15,,,,,,city/develop/talent/icon_smz.png,,1,,,4,3,city/develop/talent/txt_cx.png,4
310,元素天赋,7,100,6,65,,草系技能伤害加成增加,提升所有精灵草系技能伤害加成,15,,,,,,city/develop/talent/icon_ysg.png,309,39,,,,3,city/develop/talent/txt_cx.png,3
311,元素天赋,7,100,7,65,,草系技能伤害减免增加,提升所有精灵草系技能伤害减免,15,,,,,,city/develop/talent/icon_shjm.png,310,57,,,,3,city/develop/talent/txt_cx.png,3
312,元素天赋,,0.50%,5,65,,生命增加,提升所有电系精灵的生命,15,,,,,,city/develop/talent/icon_smz.png,,1,,,5,3,city/develop/talent/txt_dq.png,4
313,元素天赋,7,100,6,65,,电系技能伤害加成增加,提升所有精灵电系技能伤害加成,15,,,,,,city/develop/talent/icon_ysg.png,312,40,,,,3,city/develop/talent/txt_dq.png,3
314,元素天赋,7,100,7,65,,电系技能伤害减免增加,提升所有精灵电系技能伤害减免,15,,,,,,city/develop/talent/icon_shjm.png,313,58,,,,3,city/develop/talent/txt_dq.png,3
315,元素天赋,,0.50%,5,65,,生命增加,提升所有冰系精灵的生命,15,,,,,,city/develop/talent/icon_smz.png,,1,,,6,3,city/develop/talent/txt_bx.png,4
316,元素天赋,7,100,6,65,,冰系技能伤害加成增加,提升所有精灵冰系技能伤害加成,15,,,,,,city/develop/talent/icon_ysg.png,315,41,,,,3,city/develop/talent/txt_bx.png,3
317,元素天赋,7,100,7,65,,冰系技能伤害减免增加,提升所有精灵冰系技能伤害减免,15,,,,,,city/develop/talent/icon_shjm.png,316,59,,,,3,city/develop/talent/txt_bx.png,3
318,元素天赋,,0.50%,5,65,,生命增加,提升所有格斗系精灵的生命,15,,,,,,city/develop/talent/icon_smz.png,,1,,,7,3,city/develop/talent/txt_gd.png,4
319,元素天赋,7,100,6,65,,格斗系技能伤害加成增加,提升所有精灵格斗系技能伤害加成,15,,,,,,city/develop/talent/icon_ysg.png,318,42,,,,3,city/develop/talent/txt_gd.png,3
320,元素天赋,7,100,7,65,,格斗系技能伤害减免增加,提升所有精灵格斗系技能伤害减免,15,,,,,,city/develop/talent/icon_shjm.png,319,60,,,,3,city/develop/talent/txt_gd.png,3
321,元素天赋,,0.50%,5,65,,生命增加,提升所有毒系精灵的生命,15,,,,,,city/develop/talent/icon_smz.png,,1,,,8,3,city/develop/talent/txt_dx.png,4
322,元素天赋,7,100,6,65,,毒系技能伤害加成增加,提升所有精灵毒系技能伤害加成,15,,,,,,city/develop/talent/icon_ysg.png,321,43,,,,3,city/develop/talent/txt_dx.png,3
323,元素天赋,7,100,7,65,,毒系技能伤害减免增加,提升所有精灵毒系技能伤害减免,15,,,,,,city/develop/talent/icon_shjm.png,322,61,,,,3,city/develop/talent/txt_dx.png,3
324,元素天赋,,0.50%,5,65,,生命增加,提升所有地面系精灵的生命,15,,,,,,city/develop/talent/icon_smz.png,,1,,,9,3,city/develop/talent/txt_dm.png,4
325,元素天赋,7,100,6,65,,地面系技能伤害加成增加,提升所有精灵地面系技能伤害加成,15,,,,,,city/develop/talent/icon_ysg.png,324,44,,,,3,city/develop/talent/txt_dm.png,3
326,元素天赋,7,100,7,65,,地面系技能伤害减免增加,提升所有精灵地面系技能伤害减免,15,,,,,,city/develop/talent/icon_shjm.png,325,62,,,,3,city/develop/talent/txt_dm.png,3
327,元素天赋,,0.50%,5,65,,生命增加,提升所有飞行系精灵的生命,15,,,,,,city/develop/talent/icon_smz.png,,1,,,10,3,city/develop/talent/txt_fx.png,4
328,元素天赋,7,100,6,65,,飞行系技能伤害加成增加,提升所有精灵飞行系技能伤害加成,15,,,,,,city/develop/talent/icon_ysg.png,327,45,,,,3,city/develop/talent/txt_fx.png,3
329,元素天赋,7,100,7,65,,飞行系技能伤害减免增加,提升所有精灵飞行系技能伤害减免,15,,,,,,city/develop/talent/icon_shjm.png,328,63,,,,3,city/develop/talent/txt_fx.png,3
330,元素天赋,,0.50%,5,65,,生命增加,提升所有超能系精灵的生命,15,,,,,,city/develop/talent/icon_smz.png,,1,,,11,3,city/develop/talent/txt_cn.png,4
331,元素天赋,7,100,6,65,,超能系技能伤害加成增加,提升所有精灵超能系技能伤害加成,15,,,,,,city/develop/talent/icon_ysg.png,330,46,,,,3,city/develop/talent/txt_cn.png,3
332,元素天赋,7,100,7,65,,超能系技能伤害减免增加,提升所有精灵超能系技能伤害减免,15,,,,,,city/develop/talent/icon_shjm.png,331,64,,,,3,city/develop/talent/txt_cn.png,3
333,元素天赋,,0.50%,5,65,,生命增加,提升所有虫系精灵的生命,15,,,,,,city/develop/talent/icon_smz.png,,1,,,12,3,city/develop/talent/txt_cx1.png,4
334,元素天赋,7,100,6,65,,虫系技能伤害加成增加,提升所有精灵虫系技能伤害加成,15,,,,,,city/develop/talent/icon_ysg.png,333,47,,,,3,city/develop/talent/txt_cx1.png,3
335,元素天赋,7,100,7,65,,虫系技能伤害减免增加,提升所有精灵虫系技能伤害减免,15,,,,,,city/develop/talent/icon_shjm.png,334,65,,,,3,city/develop/talent/txt_cx1.png,3
336,元素天赋,,0.50%,5,65,,生命增加,提升所有岩石系精灵的生命,15,,,,,,city/develop/talent/icon_smz.png,,1,,,13,3,city/develop/talent/txt_ys1.png,4
337,元素天赋,7,100,6,65,,岩石系技能伤害加成增加,提升所有精灵岩石系技能伤害加成,15,,,,,,city/develop/talent/icon_ysg.png,336,48,,,,3,city/develop/talent/txt_ys1.png,3
338,元素天赋,7,100,7,65,,岩石系技能伤害减免增加,提升所有精灵岩石系技能伤害减免,15,,,,,,city/develop/talent/icon_shjm.png,337,66,,,,3,city/develop/talent/txt_ys1.png,3
339,元素天赋,,0.50%,5,65,,生命增加,提升所有幽灵系精灵的生命,15,,,,,,city/develop/talent/icon_smz.png,,1,,,14,3,city/develop/talent/txt_yl.png,4
340,元素天赋,7,100,6,65,,幽灵系技能伤害加成增加,提升所有精灵幽灵系技能伤害加成,15,,,,,,city/develop/talent/icon_ysg.png,339,49,,,,3,city/develop/talent/txt_yl.png,3
341,元素天赋,7,100,7,65,,幽灵系技能伤害减免增加,提升所有精灵幽灵系技能伤害减免,15,,,,,,city/develop/talent/icon_shjm.png,340,67,,,,3,city/develop/talent/txt_yl.png,3
342,元素天赋,,0.50%,5,65,,生命增加,提升所有龙系精灵的生命,15,,,,,,city/develop/talent/icon_smz.png,,1,,,15,3,city/develop/talent/txt_lx.png,4
343,元素天赋,7,100,6,65,,龙系技能伤害加成增加,提升所有精灵龙系技能伤害加成,15,,,,,,city/develop/talent/icon_ysg.png,342,50,,,,3,city/develop/talent/txt_lx.png,3
344,元素天赋,7,100,7,65,,龙系技能伤害减免增加,提升所有精灵龙系技能伤害减免,15,,,,,,city/develop/talent/icon_shjm.png,343,68,,,,3,city/develop/talent/txt_lx.png,3
345,元素天赋,,0.50%,5,65,,生命增加,提升所有恶系精灵的生命,15,,,,,,city/develop/talent/icon_smz.png,,1,,,16,3,city/develop/talent/txt_ex.png,4
346,元素天赋,7,100,6,65,,恶系技能伤害加成增加,提升所有精灵恶系技能伤害加成,15,,,,,,city/develop/talent/icon_ysg.png,345,51,,,,3,city/develop/talent/txt_ex.png,3
347,元素天赋,7,100,7,65,,恶系技能伤害减免增加,提升所有精灵恶系技能伤害减免,15,,,,,,city/develop/talent/icon_shjm.png,346,69,,,,3,city/develop/talent/txt_ex.png,3
348,元素天赋,,0.50%,5,65,,生命增加,提升所有钢系精灵的生命,15,,,,,,city/develop/talent/icon_smz.png,,1,,,17,3,city/develop/talent/txt_gx.png,4
349,元素天赋,7,100,6,65,,钢系技能伤害加成增加,提升所有精灵钢系技能伤害加成,15,,,,,,city/develop/talent/icon_ysg.png,348,52,,,,3,city/develop/talent/txt_gx.png,3
350,元素天赋,7,100,7,65,,钢系技能伤害减免增加,提升所有精灵钢系技能伤害减免,15,,,,,,city/develop/talent/icon_shjm.png,349,70,,,,3,city/develop/talent/txt_gx.png,3
351,元素天赋,,0.50%,5,65,,生命增加,提升所有妖精系精灵的生命,15,,,,,,city/develop/talent/icon_smz.png,,1,,,18,3,city/develop/talent/txt_yj.png,4
352,元素天赋,7,100,6,65,,妖精系技能伤害加成增加,提升所有精灵妖精系技能伤害加成,15,,,,,,city/develop/talent/icon_ysg.png,351,53,,,,3,city/develop/talent/txt_yj.png,3
353,元素天赋,7,100,7,65,,妖精系技能伤害减免增加,提升所有精灵妖精系技能伤害减免,15,,,,,,city/develop/talent/icon_shjm.png,352,71,,,,3,city/develop/talent/txt_yj.png,3
400,竞技场,,0.75%,9,75,,生命增加,提升精灵在竞技场内的生命,25,,,,,,city/develop/talent/icon_smz.png,,1,,2,2,4,,6
401,竞技场,7,40,10,75,伤害减免增加,伤害加成增加,提升精灵在竞技场内的战斗能力,25,40,,,,23,city/develop/talent/icon_shjc.png,400,22,6,2,2,4,,6
402,竞技场,7,40,11,75,必杀伤害减免增加,必杀伤害加成增加,提升精灵在竞技场内的战斗能力,25,40,,,,25,city/develop/talent/icon_shjm.png,401,24,6,2,2,4,,6
412,石英大会,,0.75%,9,75,,生命增加,提升精灵在石英大会内的生命,25,,,,,,city/develop/talent/icon_smz.png,,1,,6,6,4,,6
413,石英大会,7,40,10,75,伤害减免增加,伤害加成增加,提升精灵在石英大会内的战斗能力,25,40,,,,23,city/develop/talent/icon_shjc.png,412,22,6,6,6,4,,6
414,石英大会,7,40,11,75,必杀伤害减免增加,必杀伤害加成增加,提升精灵在石英大会内的战斗能力,25,40,,,,25,city/develop/talent/icon_shjm.png,413,24,6,6,6,4,,6
421,公会战,,0.75%,9,75,,生命增加,提升精灵在公会战内的生命,25,,,,,,city/develop/talent/icon_smz.png,,1,,9,9,4,,6
422,公会战,7,40,10,75,伤害减免增加,伤害加成增加,提升精灵在公会战内的战斗能力,25,40,,,,23,city/develop/talent/icon_shjc.png,421,22,6,9,9,4,,6
423,公会战,7,40,11,75,必杀伤害减免增加,必杀伤害加成增加,提升精灵在公会战内的战斗能力,25,40,,,,25,city/develop/talent/icon_shjm.png,422,24,6,9,9,4,,6
424,跨服石英大会,,0.75%,9,75,,生命增加,提升精灵在跨服石英大会内的生命,25,,,,,,city/develop/talent/icon_smz.png,,1,,10,10,4,,6
425,跨服石英大会,7,40,10,75,伤害减免增加,伤害加成增加,提升精灵在跨服石英大会内的战斗能力,25,40,,,,23,city/develop/talent/icon_shjc.png,424,22,6,10,10,4,,6
426,跨服石英大会,7,40,11,75,必杀伤害减免增加,必杀伤害加成增加,提升精灵在跨服石英大会内的战斗能力,25,40,,,,25,city/develop/talent/icon_shjm.png,425,24,6,10,10,4,,6
427,跨服竞技场,,0.75%,9,75,,生命增加,提升精灵在跨服竞技场内的生命,25,,,,,,city/develop/talent/icon_smz.png,,1,,12,12,4,,6
428,跨服竞技场,7,40,10,75,伤害减免增加,伤害加成增加,提升精灵在跨服竞技场内的战斗能力,25,40,,,,23,city/develop/talent/icon_shjc.png,427,22,6,12,12,4,,6
429,跨服竞技场,7,40,11,75,必杀伤害减免增加,必杀伤害加成增加,提升精灵在跨服竞技场内的战斗能力,25,40,,,,25,city/develop/talent/icon_shjm.png,428,24,6,12,12,4,,6
430,无限制赛,,0.75%,9,75,,生命增加,提升精灵在无限制赛内的生命,25,,,,,,city/develop/talent/icon_smz.png,,1,,13,13,4,,6
431,无限制赛,7,40,10,75,伤害减免增加,伤害加成增加,提升精灵在无限制赛内的战斗能力,25,40,,,,23,city/develop/talent/icon_shjc.png,430,22,6,13,13,4,,6
432,无限制赛,7,40,11,75,必杀伤害减免增加,必杀伤害加成增加,提升精灵在无限制赛内的战斗能力,25,40,,,,25,city/develop/talent/icon_shjm.png,431,24,6,13,13,4,,6
433,跨服商业街,,0.75%,9,75,,生命增加,提升精灵在跨服商业街内的生命,25,,,,,,city/develop/talent/icon_smz.png,,1,,17,17,4,,6
434,跨服商业街,7,40,10,75,伤害减免增加,伤害加成增加,提升精灵在跨服商业街内的战斗能力,25,40,,,,23,city/develop/talent/icon_shjc.png,433,22,6,17,17,4,,6
435,跨服商业街,7,40,11,75,必杀伤害减免增加,必杀伤害加成增加,提升精灵在跨服商业街内的战斗能力,25,40,,,,25,city/develop/talent/icon_shjm.png,434,24,6,17,17,4,,6
436,部屋大作战,,0.75%,9,75,,生命增加,提升精灵在部屋大作战内的生命,25,,,,,,city/develop/talent/icon_smz.png,,1,,22,22,4,,6
437,部屋大作战,7,40,10,75,伤害减免增加,伤害加成增加,提升精灵在部屋大作战内的战斗能力,25,40,,,,23,city/develop/talent/icon_shjc.png,436,22,6,22,22,4,,6
438,部屋大作战,7,40,11,75,必杀伤害减免增加,必杀伤害加成增加,提升精灵在部屋大作战内的战斗能力,25,40,,,,25,city/develop/talent/icon_shjm.png,437,24,6,22,22,4,,6
439,世界锦标赛,,0.75%,9,75,,生命增加,提升精灵在世界锦标赛内的生命,25,,,,,,city/develop/talent/icon_smz.png,,1,,23,23,4,,6
440,世界锦标赛,7,40,10,75,伤害减免增加,伤害加成增加,提升精灵在世界锦标赛内的战斗能力,25,40,,,,23,city/develop/talent/icon_shjc.png,439,22,6,23,23,4,,6
441,世界锦标赛,7,40,11,75,必杀伤害减免增加,必杀伤害加成增加,提升精灵在世界锦标赛内的战斗能力,25,40,,,,25,city/develop/talent/icon_shjm.png,440,24,6,23,23,4,,6
