变量名,gateID,_beizhu,itemID,itemCount,weightMin,weightMax,firstWeight
132,10408,(掉落物品1强化药剂)(普通4-07)(普通关卡),5006,,0.7,0.9,0.5
133,10408,(掉落物品2技能22)(普通4-07)(普通关卡),5001,,0.1,0.3,0.5
134,10408,(掉落物品3攻击21)(普通4-07)(普通关卡),5002,,0.1,0.3,0.5
136,10501,(掉落物品4防御21)(普通4-07)(普通关卡),,,0.7,0.9,0.5
137,10501,(掉落物品1强化药剂)(普通4-08)(普通关卡),5004,,0.7,0.9,0.5
141,10502,(掉落物品2技能22)(普通4-08)(普通关卡),,,0.7,0.9,0.5
142,10502,(掉落物品3攻击21)(普通4-08)(普通关卡),5004,,0.7,0.9,0.5
146,10503,(掉落物品4防御21)(普通4-08)(普通关卡),,,0.7,0.9,0.5
147,10503,(掉落物品1强化药剂)(普通5-01)(普通关卡),5004,,0.7,0.9,0.5
151,10504,(掉落物品2攻击22)(普通5-01)(普通关卡),,,0.7,0.9,0.5
152,10504,(掉落物品1强化药剂)(普通5-02)(普通关卡),5004,,0.7,0.9,0.5
156,10505,(掉落物品2攻击22)(普通5-02)(普通关卡),,,0.7,0.9,0.5
157,10505,(掉落物品1强化药剂)(普通5-03)(普通关卡),5005,,0.7,0.9,0.5
161,10506,(掉落物品2攻击22)(普通5-03)(普通关卡),,,0.7,0.9,0.5
162,10506,(掉落物品1强化药剂)(普通5-04)(普通关卡),5005,,0.7,0.9,0.5
166,10507,(掉落物品2攻击22)(普通5-04)(普通关卡),,,0.7,0.9,0.5
167,10507,(掉落物品1强化药剂)(普通5-05)(普通关卡),5005,,0.7,0.9,0.5
171,10508,(掉落物品2防御22)(普通5-05)(普通关卡),,,0.7,0.9,0.5
172,10508,(掉落物品1强化药剂)(普通5-06)(普通关卡),5006,,0.7,0.9,0.5
176,10509,(掉落物品2防御22)(普通5-06)(普通关卡),,,0.7,0.9,0.5
177,10509,(掉落物品1强化药剂)(普通5-07)(普通关卡),5006,,0.7,0.9,0.5
181,10510,(掉落物品2防御22)(普通5-07)(普通关卡),,,0.7,0.9,0.5
182,10510,(掉落物品1强化药剂)(普通5-08)(普通关卡),5006,,0.7,0.9,0.5
186,10601,(掉落物品2技能22)(普通5-08)(普通关卡),,,0.7,0.9,0.5
187,10601,(掉落物品1强化药剂)(普通5-09)(普通关卡),5007,,0.7,0.9,0.5
188,10601,(掉落物品2技能22)(普通5-09)(普通关卡),5005,,0.1,0.3,0.5
189,10601,(掉落物品1强化药剂)(普通5-10)(普通关卡),5006,,0.1,0.3,0.5
191,10602,(掉落物品2技能22)(普通5-10)(普通关卡),,,0.7,0.9,0.5
192,10602,(掉落物品1强化药剂)(普通6-01)(普通关卡),5007,,0.7,0.9,0.5
193,10602,(掉落物品2攻击31)(普通6-01)(普通关卡),5005,,0.1,0.3,0.5
194,10602,(掉落物品3防御22)(普通6-01)(普通关卡),5006,,0.1,0.3,0.5
196,10603,(掉落物品4技能22)(普通6-01)(普通关卡),,,0.7,0.9,0.5
197,10603,(掉落物品1强化药剂)(普通6-02)(普通关卡),5007,,0.7,0.9,0.5
198,10603,(掉落物品2攻击31)(普通6-02)(普通关卡),5005,,0.1,0.3,0.5
199,10603,(掉落物品3防御22)(普通6-02)(普通关卡),5006,,0.1,0.3,0.5
201,10604,(掉落物品4技能22)(普通6-02)(普通关卡),,,0.7,0.9,0.5
202,10604,(掉落物品1强化药剂)(普通6-03)(普通关卡),5007,,0.7,0.9,0.5
203,10604,(掉落物品2攻击31)(普通6-03)(普通关卡),5005,,0.1,0.3,0.5
204,10604,(掉落物品3防御22)(普通6-03)(普通关卡),5006,,0.1,0.3,0.5
206,10605,(掉落物品4技能22)(普通6-03)(普通关卡),,,0.7,0.9,0.5
207,10605,(掉落物品1强化药剂)(普通6-04)(普通关卡),5008,,0.7,0.9,0.5
208,10605,(掉落物品2攻击31)(普通6-04)(普通关卡),5006,,0.1,0.3,0.5
209,10605,(掉落物品3防御22)(普通6-04)(普通关卡),5004,,0.1,0.3,0.5
211,10606,(掉落物品4技能22)(普通6-04)(普通关卡),,,0.7,0.9,0.5
212,10606,(掉落物品1强化药剂)(普通6-05)(普通关卡),5008,,0.7,0.9,0.5
213,10606,(掉落物品2防御31)(普通6-05)(普通关卡),5006,,0.1,0.3,0.5
214,10606,(掉落物品3技能22)(普通6-05)(普通关卡),5004,,0.1,0.3,0.5
216,10607,(掉落物品4攻击22)(普通6-05)(普通关卡),,,0.7,0.9,0.5
217,10607,(掉落物品1强化药剂)(普通6-06)(普通关卡),5008,,0.7,0.9,0.5
218,10607,(掉落物品2防御31)(普通6-06)(普通关卡),5006,,0.1,0.3,0.5
219,10607,(掉落物品3技能22)(普通6-06)(普通关卡),5004,,0.1,0.3,0.5
221,10608,(掉落物品4攻击22)(普通6-06)(普通关卡),,,0.7,0.9,0.5
222,10608,(掉落物品1强化药剂)(普通6-07)(普通关卡),5009,,0.7,0.9,0.5
223,10608,(掉落物品2防御31)(普通6-07)(普通关卡),5004,,0.1,0.3,0.5
224,10608,(掉落物品3技能22)(普通6-07)(普通关卡),5005,,0.1,0.3,0.5
226,10609,(掉落物品4攻击22)(普通6-07)(普通关卡),,,0.7,0.9,0.5
227,10609,(掉落物品1强化药剂)(普通6-08)(普通关卡),5009,,0.7,0.9,0.5
228,10609,(掉落物品2技能31)(普通6-08)(普通关卡),5004,,0.1,0.3,0.5
229,10609,(掉落物品3攻击22)(普通6-08)(普通关卡),5005,,0.1,0.3,0.5
231,10610,(掉落物品4防御22)(普通6-08)(普通关卡),,,0.7,0.9,0.5
232,10610,(掉落物品1强化药剂)(普通6-09)(普通关卡),5009,,0.7,0.9,0.5
233,10610,(掉落物品2技能31)(普通6-09)(普通关卡),5004,,0.1,0.3,0.5
234,10610,(掉落物品3攻击22)(普通6-09)(普通关卡),5005,,0.1,0.3,0.5
236,10701,(掉落物品4防御22)(普通6-09)(普通关卡),,,0.7,0.9,0.5
237,10701,(掉落物品1强化药剂)(普通6-10)(普通关卡),5007,,0.7,0.9,0.5
238,10701,(掉落物品2技能31)(普通6-10)(普通关卡),5005,,0.1,0.3,0.5
241,10702,(掉落物品3攻击22)(普通6-10)(普通关卡),,,0.7,0.9,0.5
242,10702,(掉落物品4防御22)(普通6-10)(普通关卡),5007,,0.7,0.9,0.5
243,10702,(掉落物品1强化药剂)(普通7-01)(普通关卡),5005,,0.1,0.3,0.5
246,10703,(掉落物品2攻击31)(普通7-01)(普通关卡),,,0.7,0.9,0.5
247,10703,(掉落物品3防御22)(普通7-01)(普通关卡),5007,,0.7,0.9,0.5
248,10703,(掉落物品1强化药剂)(普通7-02)(普通关卡),5005,,0.1,0.3,0.5
251,10704,(掉落物品2攻击31)(普通7-02)(普通关卡),,,0.7,0.9,0.5
252,10704,(掉落物品3防御22)(普通7-02)(普通关卡),5007,,0.7,0.9,0.5
253,10704,(掉落物品1强化药剂)(普通7-03)(普通关卡),5005,,0.1,0.3,0.5
256,10705,(掉落物品2攻击31)(普通7-03)(普通关卡),,,0.7,0.9,0.5
257,10705,(掉落物品3防御22)(普通7-03)(普通关卡),5008,,0.7,0.9,0.5
258,10705,(掉落物品1强化药剂)(普通7-04)(普通关卡),5006,,0.1,0.3,0.5
261,10706,(掉落物品2攻击31)(普通7-04)(普通关卡),,,0.7,0.9,0.5
262,10706,(掉落物品3防御22)(普通7-04)(普通关卡),5008,,0.7,0.9,0.5
263,10706,(掉落物品1强化药剂)(普通7-05)(普通关卡),5006,,0.1,0.3,0.5
266,10707,(掉落物品2防御31)(普通7-05)(普通关卡),,,0.7,0.9,0.5
267,10707,(掉落物品3技能22)(普通7-05)(普通关卡),5008,,0.7,0.9,0.5
268,10707,(掉落物品1强化药剂)(普通7-06)(普通关卡),5006,,0.1,0.3,0.5
271,10708,(掉落物品2防御31)(普通7-06)(普通关卡),,,0.7,0.9,0.5
272,10708,(掉落物品3技能22)(普通7-06)(普通关卡),5009,,0.7,0.9,0.5
273,10708,(掉落物品1强化药剂)(普通7-07)(普通关卡),5004,,0.1,0.3,0.5
276,10709,(掉落物品2防御31)(普通7-07)(普通关卡),,,0.7,0.9,0.5
277,10709,(掉落物品3技能22)(普通7-07)(普通关卡),5009,,0.7,0.9,0.5
278,10709,(掉落物品1强化药剂)(普通7-08)(普通关卡),5004,,0.1,0.3,0.5
281,10710,(掉落物品2技能31)(普通7-08)(普通关卡),,,0.7,0.9,0.5
282,10710,(掉落物品3攻击22)(普通7-08)(普通关卡),5009,,0.7,0.9,0.5
283,10710,(掉落物品1强化药剂)(普通7-09)(普通关卡),5004,,0.1,0.3,0.5
286,10801,(掉落物品2技能31)(普通7-09)(普通关卡),,,0.7,0.9,0.5
287,10801,(掉落物品3攻击22)(普通7-09)(普通关卡),5010,,0.7,0.9,0.5
288,10801,(掉落物品1强化药剂)(普通7-10)(普通关卡),5008,,0.1,0.3,0.5
289,10801,(掉落物品2技能31)(普通7-10)(普通关卡),5003,,0.1,0.3,0.5
291,10802,(掉落物品3攻击22)(普通7-10)(普通关卡),,,0.7,0.9,0.5
292,10802,(掉落物品1强化药剂)(普通8-01)(普通关卡),5010,,0.7,0.9,0.5
293,10802,(掉落物品2攻击32)(普通8-01)(普通关卡),5008,,0.1,0.3,0.5
294,10802,(掉落物品3防御31)(普通8-01)(普通关卡),5003,,0.1,0.3,0.5
296,10803,(掉落物品4技能21)(普通8-01)(普通关卡),,,0.7,0.9,0.5
297,10803,(掉落物品1强化药剂)(普通8-02)(普通关卡),5010,,0.7,0.9,0.5
298,10803,(掉落物品2攻击32)(普通8-02)(普通关卡),5008,,0.1,0.3,0.5
299,10803,(掉落物品3防御31)(普通8-02)(普通关卡),5003,,0.1,0.3,0.5
301,10804,(掉落物品4技能21)(普通8-02)(普通关卡),,,0.7,0.9,0.5
302,10804,(掉落物品1强化药剂)(普通8-03)(普通关卡),5010,,0.7,0.9,0.5
303,10804,(掉落物品2攻击32)(普通8-03)(普通关卡),5008,,0.1,0.3,0.5
304,10804,(掉落物品3防御31)(普通8-03)(普通关卡),5003,,0.1,0.3,0.5
306,10805,(掉落物品4技能21)(普通8-03)(普通关卡),,,0.7,0.9,0.5
307,10805,(掉落物品1强化药剂)(普通8-04)(普通关卡),5011,,0.7,0.9,0.5
308,10805,(掉落物品2攻击32)(普通8-04)(普通关卡),5009,,0.1,0.3,0.5
309,10805,(掉落物品3防御31)(普通8-04)(普通关卡),5001,,0.1,0.3,0.5
311,10806,(掉落物品4技能21)(普通8-04)(普通关卡),,,0.7,0.9,0.5
312,10806,(掉落物品1强化药剂)(普通8-05)(普通关卡),5011,,0.7,0.9,0.5
313,10806,(掉落物品2防御32)(普通8-05)(普通关卡),5009,,0.1,0.3,0.5
314,10806,(掉落物品3技能31)(普通8-05)(普通关卡),5001,,0.1,0.3,0.5
316,10807,(掉落物品4攻击21)(普通8-05)(普通关卡),,,0.7,0.9,0.5
317,10807,(掉落物品1强化药剂)(普通8-06)(普通关卡),5011,,0.7,0.9,0.5
318,10807,(掉落物品2防御32)(普通8-06)(普通关卡),5009,,0.1,0.3,0.5
319,10807,(掉落物品3技能31)(普通8-06)(普通关卡),5001,,0.1,0.3,0.5
321,10808,(掉落物品4攻击21)(普通8-06)(普通关卡),,,0.7,0.9,0.5
322,10808,(掉落物品1强化药剂)(普通8-07)(普通关卡),5012,,0.7,0.9,0.5
323,10808,(掉落物品2防御32)(普通8-07)(普通关卡),5007,,0.1,0.3,0.5
324,10808,(掉落物品3技能31)(普通8-07)(普通关卡),5002,,0.1,0.3,0.5
326,10809,(掉落物品4攻击21)(普通8-07)(普通关卡),,,0.7,0.9,0.5
327,10809,(掉落物品1强化药剂)(普通8-08)(普通关卡),5012,,0.7,0.9,0.5
328,10809,(掉落物品2技能32)(普通8-08)(普通关卡),5007,,0.1,0.3,0.5
329,10809,(掉落物品3攻击31)(普通8-08)(普通关卡),5002,,0.1,0.3,0.5
331,10810,(掉落物品4防御21)(普通8-08)(普通关卡),,,0.7,0.9,0.5
332,10810,(掉落物品1强化药剂)(普通8-09)(普通关卡),5012,,0.7,0.9,0.5
333,10810,(掉落物品2技能32)(普通8-09)(普通关卡),5007,,0.1,0.3,0.5
334,10810,(掉落物品3攻击31)(普通8-09)(普通关卡),5002,,0.1,0.3,0.5
336,10901,(掉落物品4防御21)(普通8-09)(普通关卡),,,0.7,0.9,0.5
337,10901,(掉落物品1强化药剂)(普通8-10)(普通关卡),5010,,0.7,0.9,0.5
338,10901,(掉落物品2技能32)(普通8-10)(普通关卡),5008,,0.1,0.3,0.5
341,10902,(掉落物品3攻击31)(普通8-10)(普通关卡),,,0.7,0.9,0.5
342,10902,(掉落物品4防御21)(普通8-10)(普通关卡),5010,,0.7,0.9,0.5
343,10902,(掉落物品1强化药剂)(普通9-01)(普通关卡),5008,,0.1,0.3,0.5
346,10903,(掉落物品2攻击32)(普通9-01)(普通关卡),,,0.7,0.9,0.5
347,10903,(掉落物品3防御31)(普通9-01)(普通关卡),5010,,0.7,0.9,0.5
348,10903,(掉落物品1强化药剂)(普通9-02)(普通关卡),5008,,0.1,0.3,0.5
351,10904,(掉落物品2攻击32)(普通9-02)(普通关卡),,,0.7,0.9,0.5
352,10904,(掉落物品3防御31)(普通9-02)(普通关卡),5010,,0.7,0.9,0.5
353,10904,(掉落物品1强化药剂)(普通9-03)(普通关卡),5008,,0.1,0.3,0.5
356,10905,(掉落物品2攻击32)(普通9-03)(普通关卡),,,0.7,0.9,0.5
357,10905,(掉落物品3防御31)(普通9-03)(普通关卡),5011,,0.7,0.9,0.5
358,10905,(掉落物品1强化药剂)(普通9-04)(普通关卡),5009,,0.1,0.3,0.5
361,10906,(掉落物品2攻击32)(普通9-04)(普通关卡),,,0.7,0.9,0.5
362,10906,(掉落物品3防御31)(普通9-04)(普通关卡),5011,,0.7,0.9,0.5
363,10906,(掉落物品1强化药剂)(普通9-05)(普通关卡),5009,,0.1,0.3,0.5
366,10907,(掉落物品2防御32)(普通9-05)(普通关卡),,,0.7,0.9,0.5
367,10907,(掉落物品3技能31)(普通9-05)(普通关卡),5011,,0.7,0.9,0.5
368,10907,(掉落物品1强化药剂)(普通9-06)(普通关卡),5009,,0.1,0.3,0.5
371,10908,(掉落物品2防御32)(普通9-06)(普通关卡),,,0.7,0.9,0.5
372,10908,(掉落物品3技能31)(普通9-06)(普通关卡),5012,,0.7,0.9,0.5
373,10908,(掉落物品1强化药剂)(普通9-07)(普通关卡),5007,,0.1,0.3,0.5
376,10909,(掉落物品2防御32)(普通9-07)(普通关卡),,,0.7,0.9,0.5
377,10909,(掉落物品3技能31)(普通9-07)(普通关卡),5012,,0.7,0.9,0.5
378,10909,(掉落物品1强化药剂)(普通9-08)(普通关卡),5007,,0.1,0.3,0.5
381,10910,(掉落物品2技能32)(普通9-08)(普通关卡),,,0.7,0.9,0.5
382,10910,(掉落物品3攻击31)(普通9-08)(普通关卡),5012,,0.7,0.9,0.5
383,10910,(掉落物品1强化药剂)(普通9-09)(普通关卡),5007,,0.1,0.3,0.5
386,11001,(掉落物品2技能32)(普通9-09)(普通关卡),,,0.7,0.9,0.5
387,11001,(掉落物品3攻击31)(普通9-09)(普通关卡),5013,,0.7,0.9,0.5
388,11001,(掉落物品1强化药剂)(普通9-10)(普通关卡),5011,,0.1,0.3,0.5
389,11001,(掉落物品2技能32)(普通9-10)(普通关卡),5006,,0.1,0.3,0.5
391,11002,(掉落物品3攻击31)(普通9-10)(普通关卡),,,0.7,0.9,0.5
392,11002,(掉落物品1强化药剂)(普通10-01)(普通关卡),5013,,0.7,0.9,0.5
393,11002,(掉落物品2攻击33)(普通10-01)(普通关卡),5011,,0.1,0.3,0.5
394,11002,(掉落物品3防御32)(普通10-01)(普通关卡),5006,,0.1,0.3,0.5
396,11003,(掉落物品4技能22)(普通10-01)(普通关卡),,,0.7,0.9,0.5
397,11003,(掉落物品1强化药剂)(普通10-02)(普通关卡),5013,,0.7,0.9,0.5
398,11003,(掉落物品2攻击33)(普通10-02)(普通关卡),5011,,0.1,0.3,0.5
399,11003,(掉落物品3防御32)(普通10-02)(普通关卡),5006,,0.1,0.3,0.5
401,11004,(掉落物品4技能22)(普通10-02)(普通关卡),,,0.7,0.9,0.5
402,11004,(掉落物品1强化药剂)(普通10-03)(普通关卡),5013,,0.7,0.9,0.5
403,11004,(掉落物品2攻击33)(普通10-03)(普通关卡),5011,,0.1,0.3,0.5
404,11004,(掉落物品3防御32)(普通10-03)(普通关卡),5006,,0.1,0.3,0.5
406,11005,(掉落物品4技能22)(普通10-03)(普通关卡),,,0.7,0.9,0.5
407,11005,(掉落物品1强化药剂)(普通10-04)(普通关卡),5014,,0.7,0.9,0.5
408,11005,(掉落物品2攻击33)(普通10-04)(普通关卡),5012,,0.1,0.3,0.5
409,11005,(掉落物品3防御32)(普通10-04)(普通关卡),5004,,0.1,0.3,0.5
411,11006,(掉落物品4技能22)(普通10-04)(普通关卡),,,0.7,0.9,0.5
412,11006,(掉落物品1强化药剂)(普通10-05)(普通关卡),5014,,0.7,0.9,0.5
413,11006,(掉落物品2防御33)(普通10-05)(普通关卡),5012,,0.1,0.3,0.5
414,11006,(掉落物品3技能32)(普通10-05)(普通关卡),5004,,0.1,0.3,0.5
416,11007,(掉落物品4攻击22)(普通10-05)(普通关卡),,,0.7,0.9,0.5
417,11007,(掉落物品1强化药剂)(普通10-06)(普通关卡),5014,,0.7,0.9,0.5
418,11007,(掉落物品2防御33)(普通10-06)(普通关卡),5012,,0.1,0.3,0.5
419,11007,(掉落物品3技能32)(普通10-06)(普通关卡),5004,,0.1,0.3,0.5
421,11008,(掉落物品4攻击22)(普通10-06)(普通关卡),,,0.7,0.9,0.5
422,11008,(掉落物品1强化药剂)(普通10-07)(普通关卡),5015,,0.7,0.9,0.5
423,11008,(掉落物品2防御33)(普通10-07)(普通关卡),5010,,0.1,0.3,0.5
424,11008,(掉落物品3技能32)(普通10-07)(普通关卡),5005,,0.1,0.3,0.5
426,11009,(掉落物品4攻击22)(普通10-07)(普通关卡),,,0.7,0.9,0.5
427,11009,(掉落物品1强化药剂)(普通10-08)(普通关卡),5015,,0.7,0.9,0.5
428,11009,(掉落物品2技能33)(普通10-08)(普通关卡),5010,,0.1,0.3,0.5
429,11009,(掉落物品3攻击32)(普通10-08)(普通关卡),5005,,0.1,0.3,0.5
431,11010,(掉落物品4防御22)(普通10-08)(普通关卡),,,0.7,0.9,0.5
432,11010,(掉落物品1强化药剂)(普通10-09)(普通关卡),5015,,0.7,0.9,0.5
433,11010,(掉落物品2技能33)(普通10-09)(普通关卡),5010,,0.1,0.3,0.5
434,11010,(掉落物品3攻击32)(普通10-09)(普通关卡),5005,,0.1,0.3,0.5
436,11101,(掉落物品4防御22)(普通10-09)(普通关卡),,,0.7,0.9,0.5
437,11101,(掉落物品1强化药剂)(普通10-10)(普通关卡),5013,,0.7,0.9,0.5
438,11101,(掉落物品2技能33)(普通10-10)(普通关卡),5011,,0.1,0.3,0.5
441,11102,(掉落物品3攻击32)(普通10-10)(普通关卡),,,0.7,0.9,0.5
442,11102,(掉落物品4防御22)(普通10-10)(普通关卡),5013,,0.7,0.9,0.5
443,11102,(掉落物品1强化药剂)(普通11-01)(普通关卡),5011,,0.1,0.3,0.5
446,11103,(掉落物品2攻击33)(普通11-01)(普通关卡),,,0.7,0.9,0.5
447,11103,(掉落物品3防御32)(普通11-01)(普通关卡),5013,,0.7,0.9,0.5
448,11103,(掉落物品1强化药剂)(普通11-02)(普通关卡),5011,,0.1,0.3,0.5
451,11104,(掉落物品2攻击33)(普通11-02)(普通关卡),,,0.7,0.9,0.5
452,11104,(掉落物品3防御32)(普通11-02)(普通关卡),5013,,0.7,0.9,0.5
453,11104,(掉落物品1强化药剂)(普通11-03)(普通关卡),5011,,0.1,0.3,0.5
456,11105,(掉落物品2攻击33)(普通11-03)(普通关卡),,,0.7,0.9,0.5
457,11105,(掉落物品3防御32)(普通11-03)(普通关卡),5014,,0.7,0.9,0.5
458,11105,(掉落物品1强化药剂)(普通11-04)(普通关卡),5012,,0.1,0.3,0.5
461,11106,(掉落物品2攻击33)(普通11-04)(普通关卡),,,0.7,0.9,0.5
462,11106,(掉落物品3防御32)(普通11-04)(普通关卡),5014,,0.7,0.9,0.5
463,11106,(掉落物品1强化药剂)(普通11-05)(普通关卡),5012,,0.1,0.3,0.5
466,11107,(掉落物品2防御33)(普通11-05)(普通关卡),,,0.7,0.9,0.5
467,11107,(掉落物品3技能32)(普通11-05)(普通关卡),5014,,0.7,0.9,0.5
468,11107,(掉落物品1强化药剂)(普通11-06)(普通关卡),5012,,0.1,0.3,0.5
471,11108,(掉落物品2防御33)(普通11-06)(普通关卡),,,0.7,0.9,0.5
472,11108,(掉落物品3技能32)(普通11-06)(普通关卡),5015,,0.7,0.9,0.5
473,11108,(掉落物品1强化药剂)(普通11-07)(普通关卡),5010,,0.1,0.3,0.5
476,11109,(掉落物品2防御33)(普通11-07)(普通关卡),,,0.7,0.9,0.5
477,11109,(掉落物品3技能32)(普通11-07)(普通关卡),5015,,0.7,0.9,0.5
478,11109,(掉落物品1强化药剂)(普通11-08)(普通关卡),5010,,0.1,0.3,0.5
481,11110,(掉落物品2技能33)(普通11-08)(普通关卡),,,0.7,0.9,0.5
482,11110,(掉落物品3攻击32)(普通11-08)(普通关卡),5015,,0.7,0.9,0.5
