变量名,sceneName,sceneName_tw,sceneName_en,sceneName_vn,sceneName_kr,_beizhu,languages,monsters,boss,icon,gateType,sceneType,roundLimit,backMusic,backGround,bg_boss,bg_boss_pos,openLevel,desc,sceneCount,showLevel,sceneLevel,skillLevel,sceneLevelCorrect,demonCorrect,demonCorrectSelf,limitType,limitArg,firstAward,firstAwardShow,saodangAward,saodangAwardShow,lowestFightingPoint,gateDesc,gateDesc_tw,gateDesc_en,gateDesc_vn,gateDesc_kr
100008,第8关,第8關,Stage 8,Th? 8 Quan,???? 8,,,<{unitId=230741;level=23;advance=2};{unitId=230741;level=23;advance=2};{unitId=232483;level=23;advance=2};{unitId=232483;level=23;advance=2}>,<{unitId=251008;level=23;advance=3}>,config/portrait/jinglingtouxiang1/img_467_yzys@.png,,22,10,,battle/scene/bg_tower.jpg,,,,,,23,81,81,,,,5,<<1;0;5%>>,{gold=25000;451=30;rmb=100},<<gold;25000;1>;<451;30;1>;<rmb;100;1>>,{gold=2100;451=2;libs=<110;111>},<<gold;2100;0>;<451;1;1>;<452;1;1>>,,,,,,
100009,第9关,第9關,Stage 9,Th? 9 Quan,???? 9,,,<{unitId=230783;level=24;advance=2};{unitId=230783;level=24;advance=2};{unitId=230472;level=24;advance=2};{unitId=230472;level=24;advance=2}>,<{unitId=251009;level=24;advance=3}>,config/portrait/jinglingtouxiang1/img_463_dst@.png,,22,10,,battle/scene/bg_grass.jpg,,,,,,24,84,84,,,,5,<<27;0;5%>;<26;0;5%>>,{gold=25000;451=30;452=20},<<gold;25000;1>;<451;30;1>;<452;20;1>>,{gold=2100;451=2;libs=<110;111>},<<gold;2100;0>;<451;1;1>;<452;1;1>>,,,,,,
100010,第10关,第10關,Stage 10,Th? 10 Quan,???? 10,boss,,<{unitId=231071;level=25;advance=2};{unitId=231423;level=25;advance=2};{unitId=223303;level=25;advance=2};{unitId=223303;level=25;advance=2}>,<{unitId=251010;level=25;advance=3}>,config/portrait/jinglingtouxiang1/img_257_hyj@.png,,22,10,,battle/scene/bg_night.jpg,,,,,,25,87,87,,,,5,<<1;1;20%>;<13;0;20%>>,{gold=25000;451=30;501=1},<<gold;25000;1>;<451;30;1>;<501;1;1>>,{gold=2100;452=2;libs=<110;111;112>},<<gold;2100;0>;<451;1;1>;<452;1;1>>,,怪物全体双攻提升，光环单位中似乎蕴含着某种能力,怪物全體雙攻提升，光環單位中似乎蘊含著某種能力,"The monster's overall double attack is improved, and the halo unit seems to contain a certain ability",404404,"?? ???? ??&?? ?? ??? ????, ??? ??? ?? ??? ?? ? ??"
100011,第11关,第11關,Stage 11,Th? 11 Quan,???? 11,,,<{unitId=231172;level=26;advance=2};{unitId=233021;level=26;advance=2};{unitId=233293;level=26;advance=2};{unitId=233293;level=26;advance=2}>,<{unitId=251011;level=26;advance=3}>,config/portrait/jinglingtouxiang1/img_20_ld@.png,,22,10,,battle/scene/bg_sd.jpg,,,,,,26,90,90,,,,3,<<9;1;2%>;<10;1;2%>>,{gold=30000;451=30;452=20},<<gold;30000;1>;<451;30;1>;<452;20;1>>,{gold=2200;451=2;libs=<110;111>},<<gold;2200;0>;<451;1;1>;<452;1;1>>,,,,,,
100012,第12关,第12關,Stage 12,Th? 12 Quan,???? 12,,,<{unitId=230783;level=27;advance=2};{unitId=233021;level=27;advance=2};{unitId=230242;level=27;advance=2};{unitId=230242;level=27;advance=2}>,<{unitId=251012;level=27;advance=3}>,config/portrait/jinglingtouxiang1/img_59_fsg@.png,,22,10,,battle/scene/bg_tower.jpg,,,,,,27,93,93,,,,4,<<9;0;2%>;<10;0;2%>;<17;0;2%>>,{gold=30000;451=30;502=1},<<gold;30000;1>;<451;30;1>;<502;1;1>>,{gold=2200;451=2;libs=<110;111>},<<gold;2200;0>;<451;1;1>;<452;1;1>>,,,,,,
100013,第13关,第13關,Stage 13,Th? 13 Quan,???? 13,,,<{unitId=231221;level=28;advance=2};{unitId=231221;level=28;advance=2};{unitId=230731;level=28;advance=2};{unitId=230731;level=28;advance=2}>,<{unitId=251013;level=28;advance=3}>,config/portrait/jinglingtouxiang1/img_243_lg@.png,,22,10,,battle/scene/bg_grass.jpg,,,,,,28,96,96,,,,5,<<9;0;5%>;<10;0;5%>>,{gold=30000;451=30;rmb=100},<<gold;30000;1>;<451;30;1>;<rmb;100;1>>,{gold=2200;451=2;libs=<110;111>},<<gold;2200;0>;<451;1;1>;<452;1;1>>,,,,,,
100014,第14关,第14關,Stage 14,Th? 14 Quan,???? 14,,,<{unitId=231313;level=29;advance=2};{unitId=231313;level=29;advance=2};{unitId=230072;level=29;advance=2};{unitId=230072;level=29;advance=2}>,<{unitId=251014;level=29;advance=3}>,config/portrait/jinglingtouxiang1/img_18_dbn@.png,,22,10,,battle/scene/bg_night.jpg,,,,,,29,99,99,,,,5,<<9;0;5%>;<10;0;5%>;<22;0;5%>>,{gold=30000;451=30;452=20},<<gold;30000;1>;<451;30;1>;<452;20;1>>,{gold=2200;451=2;libs=<110;111>},<<gold;2200;0>;<451;1;1>;<452;1;1>>,,,,,,
100015,第15关,第15關,Stage 15,Th? 15 Quan,???? 15,boss,,<{unitId=230033;level=30;advance=2};{unitId=231313;level=30;advance=2};{unitId=220053;level=30;advance=2};{unitId=221241;level=30;advance=2}>,<{unitId=251015;level=30;advance=3}>,config/portrait/jinglingtouxiang1/img_658_jhrw@.png,,22,10,,battle/scene/bg_sd.jpg,,,,,,30,102,102,,,,5,<<9;1;10%>;<10;0;10%>;<13;0;10%>>,{gold=30000;451=30;519=1},<<gold;30000;1>;<451;30;1>;<519;1;1>>,{gold=2200;452=1;libs=<110;111;112>},<<gold;2200;0>;<451;1;1>;<452;1;1>>,,怪物攻击时有几率降低一定速度,怪物攻擊時有幾率降低一定速度,Monsters have a chance to reduce their speed when attacking,404404,???? ?? ? ?? ??? ???? ?? ???
100016,第16关,第16關,Stage 16,Th? 16 Quan,???? 16,,,<{unitId=231241;level=31;advance=2};{unitId=231241;level=31;advance=2};{unitId=220053;level=31;advance=2};{unitId=220053;level=31;advance=2}>,<{unitId=251016;level=31;advance=3}>,config/portrait/jinglingtouxiang1/img_22_dzq@.png,,22,10,,battle/scene/bg_tower.jpg,,,,,,31,105,105,,,,3,<<13;1;2%>>,{gold=35000;451=30;452=20},<<gold;35000;1>;<451;30;1>;<452;20;1>>,{gold=2300;451=2;libs=<110;111>},<<gold;2300;0>;<451;1;1>;<452;1;1>>,,,,,,
100017,第17关,第17關,Stage 17,Th? 17 Quan,???? 17,,,<{unitId=231503;level=32;advance=2};{unitId=231503;level=32;advance=2};{unitId=230731;level=32;advance=2};{unitId=230883;level=32;advance=2}>,<{unitId=251017;level=32;advance=3}>,config/portrait/jinglingtouxiang1/img_466_djms@.png,,22,10,,battle/scene/bg_grass.jpg,,,,,,32,108,108,,,,4,<<13;0;2%>;<24;0;2%>>,{gold=35000;451=30;502=1},<<gold;35000;1>;<451;30;1>;<502;1;1>>,{gold=2300;451=2;libs=<110;111>},<<gold;2300;0>;<451;1;1>;<452;1;1>>,,,,,,
100018,第18关,第18關,Stage 18,Th? 18 Quan,???? 18,,,<{unitId=230493;level=33;advance=2};{unitId=231423;level=33;advance=2};{unitId=231221;level=33;advance=2};{unitId=231221;level=33;advance=2}>,<{unitId=251018;level=33;advance=3}>,config/portrait/jinglingtouxiang1/img_145_sdn@.png,,22,10,,battle/scene/bg_night.jpg,,,,,,33,111,111,,,,5,<<9;0;5%>;<10;0;5%>>,{gold=35000;451=30;rmb=100},<<gold;35000;1>;<451;30;1>;<rmb;100;1>>,{gold=2300;451=2;libs=<110;111>},<<gold;2300;0>;<451;1;1>;<452;1;1>>,,,,,,
100019,第19关,第19關,Stage 19,Th? 19 Quan,???? 19,,,<{unitId=230793;level=34;advance=2};{unitId=230793;level=34;advance=2};{unitId=222483;level=34;advance=2};{unitId=222483;level=34;advance=2}>,<{unitId=251019;level=34;advance=3}>,config/portrait/jinglingtouxiang1/img_6_phl@.png,,22,10,,battle/scene/bg_sd.jpg,,,,,,34,114,114,,,,5,<<9;0;5%>;<10;0;5%>;<22;0;5%>>,{gold=35000;451=30;452=20},<<gold;35000;1>;<451;30;1>;<452;20;1>>,{gold=2300;451=2;libs=<110;111>},<<gold;2300;0>;<451;1;1>;<452;1;1>>,,,,,,
100020,第20关,第20關,Stage 20,Th? 20 Quan,???? 20,boss,,<{unitId=231813;level=35;advance=2};{unitId=233021;level=35;advance=2};{unitId=221393;level=35;advance=2};{unitId=220263;level=35;advance=2}>,<{unitId=251020;level=35;advance=3}>,config/portrait/jinglingtouxiang1/img_245_sj@.png,,22,10,,battle/scene/bg_tower.jpg,,,,,,35,117,117,,,,5,<<9;1;20%>;<10;0;20%>;<13;0;20%>>,{gold=35000;451=30;502=3},<<gold;35000;1>;<451;30;1>;<502;3;1>>,{gold=2300;452=2;libs=<110;111;112>},<<gold;2300;0>;<451;1;1>;<452;1;1>>,,怪物全体控制几率提高，怪物身上的护盾具有解控的作用,怪物全體控制幾率提高，怪物身上的護盾具有解控的作用,"The overall control chance of the monster is improved, and the shield on the monster has the function of decontrol",404404,"?? ???? ???? ????, ???? ??? ?? ??? ??? ??"
100021,第21关,第21關,Stage 21,Th? 21 Quan,???? 21,,,<{unitId=231172;level=36;advance=2};{unitId=231172;level=36;advance=2};{unitId=222683;level=36;advance=2};{unitId=222683;level=36;advance=2}>,<{unitId=251021;level=36;advance=3}>,config/portrait/jinglingtouxiang1/img_24_abg@.png,,22,10,,battle/scene/bg_grass.jpg,,,,,,36,121,121,,,,3,<<1;1;2%>>,{gold=40000;451=30;452=20},<<gold;40000;1>;<451;30;1>;<452;20;1>>,{gold=2400;451=2;libs=<110;111>},<<gold;2400;0>;<451;1;1>;<452;1;1>>,,,,,,
100022,第22关,第22關,Stage 22,Th? 22 Quan,???? 22,,,<{unitId=230333;level=37;advance=2};{unitId=230333;level=37;advance=2};{unitId=231271;level=37;advance=2};{unitId=231271;level=37;advance=2}>,<{unitId=251022;level=37;advance=3}>,config/portrait/jinglingtouxiang1/img_462_zbcg@.png,,22,10,,battle/scene/bg_night.jpg,,,,,,37,125,125,,,,4,<<1;0;2%>;<28;0;2%>>,{gold=40000;451=30;502=1},<<gold;40000;1>;<451;30;1>;<502;1;1>>,{gold=2400;451=2;libs=<110;111>},<<gold;2400;0>;<451;1;1>;<452;1;1>>,,,,,,
100023,第23关,第23關,Stage 23,Th? 23 Quan,???? 23,,,<{unitId=230883;level=38;advance=2};{unitId=221903;level=38;advance=2};{unitId=230883;level=38;advance=2};{unitId=232891;level=38;advance=2};{unitId=232891;level=38;advance=2}>,<{unitId=251023;level=38;advance=3}>,config/portrait/jinglingtouxiang1/img_181_dl@.png,,22,10,,battle/scene/bg_sd.jpg,,,,,,38,129,129,,,,5,<<7;0;5%>;<8;0;5%>>,{gold=40000;451=30;rmb=100},<<gold;40000;1>;<451;30;1>;<rmb;100;1>>,{gold=2400;451=2;libs=<110;111>},<<gold;2400;0>;<451;1;1>;<452;1;1>>,,,,,,
100024,第24关,第24關,Stage 24,Th? 24 Quan,???? 24,,,<{unitId=230793;level=39;advance=2};{unitId=220303;level=39;advance=2};{unitId=230793;level=39;advance=2};{unitId=232483;level=39;advance=2};{unitId=232483;level=39;advance=2}>,<{unitId=251024;level=39;advance=3}>,config/portrait/jinglingtouxiang1/img_157_hbs@.png,,22,10,,battle/scene/bg_tower.jpg,,,,,,39,133,133,,,,5,<<1;0;5%>;<22;0;5%>>,{gold=40000;451=30;452=20},<<gold;40000;1>;<451;30;1>;<452;20;1>>,{gold=2400;451=2;libs=<110;111>},<<gold;2400;0>;<451;1;1>;<452;1;1>>,,,,,,
100025,第25关,第25關,Stage 25,Th? 25 Quan,???? 25,boss,,<{unitId=231221;level=40;advance=2};{unitId=220333;level=40;advance=2};{unitId=230593;level=40;advance=2};{unitId=230883;level=40;advance=2};{unitId=230883;level=40;advance=2}>,<{unitId=251025;level=40;advance=3}>,config/portrait/jinglingtouxiang1/img_145_sdn@.png,,22,10,,battle/scene/bg_grass.jpg,,,,,,40,137,137,,,,5,<<1;1;10%>;<7;0;10%>;<8;0;10%>>,{gold=40000;451=30;519=1},<<gold;40000;1>;<451;30;1>;<519;1;1>>,{gold=2400;452=1;libs=<110;111;112>},<<gold;2400;0>;<451;1;1>;<452;1;1>>,,怪物攻击前会回复怒气，击杀光环单位会极大限制怒气恢复,怪物攻擊前會回復怒氣，擊殺光環單位會極大限制怒氣恢復,"Monsters will recover anger before attacking, killing aura units will greatly limit the recovery of anger",404404,"???? ?? ?? ??? ????, ??? ??? ???? ?? ?? ??? ?? ?????"
100026,第26关,第26關,Stage 26,Th? 26 Quan,???? 26,,,<{unitId=220783;level=41;advance=3};{unitId=230783;level=41;advance=3};{unitId=231503;level=41;advance=3};{unitId=231503;level=41;advance=3}>,<{unitId=251026;level=41;advance=4}>,config/portrait/jinglingtouxiang1/img_28_csw@.png,,22,10,,battle/scene/bg_night.jpg,,,,,,41,141,141,,,,3,<<7;1;2%>;<8;1;2%>>,{gold=45000;451=30;452=20},<<gold;45000;1>;<451;30;1>;<452;20;1>>,{gold=2500;451=2;libs=<110;111>},<<gold;2500;0>;<451;1;1>;<452;1;1>>,,,,,,
100027,第27关,第27關,Stage 27,Th? 27 Quan,???? 27,,,<{unitId=230552;level=42;advance=3};{unitId=220552;level=42;advance=3};{unitId=230552;level=42;advance=3};{unitId=232924;level=42;advance=3};{unitId=232923;level=42;advance=3}>,<{unitId=251027;level=42;advance=4}>,config/portrait/jinglingtouxiang1/img_130_bll@.png,,22,10,,battle/scene/bg_sd.jpg,,,,,,42,145,145,,,,4,<<7;0;2%>;<8;0;2%>;<14;0;2%>>,{gold=45000;451=30;502=1},<<gold;45000;1>;<451;30;1>;<502;1;1>>,{gold=2500;451=2;libs=<110;111>},<<gold;2500;0>;<451;1;1>;<452;1;1>>,,,,,,
100028,第28关,第28關,Stage 28,Th? 28 Quan,???? 28,,,<{unitId=231313;level=43;advance=3};{unitId=220632;level=43;advance=3};{unitId=231313;level=43;advance=3};{unitId=232723;level=43;advance=3};{unitId=232723;level=43;advance=3}>,<{unitId=251028;level=43;advance=4}>,config/portrait/jinglingtouxiang1/img_245_sj@.png,,22,10,,battle/scene/bg_tower.jpg,,,,,,43,149,149,,,,5,<<7;0;5%>;<8;0;5%>>,{gold=45000;451=30;rmb=100},<<gold;45000;1>;<451;30;1>;<rmb;100;1>>,{gold=2500;451=2;libs=<110;111>},<<gold;2500;0>;<451;1;1>;<452;1;1>>,,,,,,
100029,第29关,第29關,Stage 29,Th? 29 Quan,???? 29,,,<{unitId=230352;level=44;advance=3};{unitId=230352;level=44;advance=3};{unitId=220472;level=44;advance=3};{unitId=220472;level=44;advance=3}>,<{unitId=251029;level=44;advance=4}>,config/portrait/jinglingtouxiang1/img_500_yww@.png,,22,10,,battle/scene/bg_grass.jpg,,,,,,44,153,153,,,,5,<<1;0;5%>;<22;0;5%>>,{gold=45000;451=30;452=20},<<gold;45000;1>;<451;30;1>;<452;20;1>>,{gold=2500;451=2;libs=<110;111>},<<gold;2500;0>;<451;1;1>;<452;1;1>>,,,,,,
100030,第30关,第30關,Stage 30,Th? 30 Quan,???? 30,boss,,<{unitId=230303;level=45;advance=3};{unitId=220482;level=45;advance=3};{unitId=231443;level=45;advance=3};{unitId=231443;level=45;advance=3};{unitId=231443;level=45;advance=3}>,<{unitId=251030;level=45;advance=4}>,config/portrait/jinglingtouxiang1/img_462_zbcg@.png,,22,10,,battle/scene/bg_night.jpg,,,,,,45,157,157,,,,5,<<1;1;20%>;<7;0;20%>;<8;0;20%>>,{gold=45000;451=30;501=1},<<gold;45000;1>;<451;30;1>;<501;1;1>>,{gold=2500;452=2;libs=<110;111;112>},<<gold;2500;0>;<451;1;1>;<452;1;1>>,12872,光环会在若干回合后消失，击杀会对全体精灵添加易伤效果,光環會在若干回合後消失，擊殺會對全體精靈添加易傷效果,"The aura will disappear after several rounds, killing will add a vulnerable effect to all elves",404404,"???? ?? ?? ??? ????, ?? ? ?? ????? ?? ??? ????"
100031,第31关,第31關,Stage 31,Th? 31 Quan,???? 31,,,<{unitId=232683;level=46;advance=3};{unitId=230173;level=46;advance=3};{unitId=222683;level=46;advance=3};{unitId=220173;level=46;advance=3}>,<{unitId=251031;level=46;advance=4}>,config/portrait/jinglingtouxiang1/img_31_ndh@.png,,22,10,,battle/scene/bg_sd.jpg,,,,,,46,161,161,,,,3,<<9;1;2%>;<10;1;2%>>,{gold=50000;451=30;452=20},<<gold;50000;1>;<451;30;1>;<452;20;1>>,{gold=2600;451=2;libs=<110;111>},<<gold;2600;0>;<451;1;1>;<452;1;1>>,12872,,,,,
100032,第32关,第32關,Stage 32,Th? 32 Quan,???? 32,,,<{unitId=233143;level=47;advance=3};{unitId=233143;level=47;advance=3};{unitId=233303;level=47;advance=3};{unitId=233303;level=47;advance=3}>,<{unitId=251032;level=47;advance=4}>,config/portrait/jinglingtouxiang1/img_260_jzg@.png,,22,10,,battle/scene/bg_tower.jpg,,,,,,47,165,165,,,,4,<<9;0;2%>;<10;0;2%>;<17;0;2%>>,{gold=50000;451=30;502=1},<<gold;50000;1>;<451;30;1>;<502;1;1>>,{gold=2600;451=2;libs=<110;111>},<<gold;2600;0>;<451;1;1>;<452;1;1>>,12872,,,,,
100033,第33关,第33關,Stage 33,Th? 33 Quan,???? 33,,,<{unitId=231423;level=48;advance=3};{unitId=231423;level=48;advance=3};{unitId=223143;level=48;advance=3};{unitId=223143;level=48;advance=3}>,<{unitId=251033;level=48;advance=4}>,config/portrait/jinglingtouxiang1/img_658_jhrw@.png,,22,10,,battle/scene/bg_grass.jpg,,,,,,48,169,169,,,,5,<<9;0;5%>;<10;0;5%>>,{gold=50000;451=30;rmb=100},<<gold;50000;1>;<451;30;1>;<rmb;100;1>>,{gold=2600;451=2;libs=<110;111>},<<gold;2600;0>;<451;1;1>;<452;1;1>>,12872,,,,,
100034,第34关,第34關,Stage 34,Th? 34 Quan,???? 34,,,<{unitId=233511;level=49;advance=3};{unitId=233511;level=49;advance=3};{unitId=231612;level=49;advance=3};{unitId=231612;level=49;advance=3}>,<{unitId=251034;level=49;advance=4}>,config/portrait/jinglingtouxiang1/img_323_pht@.png,,22,10,,battle/scene/bg_night.jpg,,,,,,49,173,173,,,,5,<<9;0;5%>;<10;0;5%>;<24;0;5%>>,{gold=50000;451=30;452=20},<<gold;50000;1>;<451;30;1>;<452;20;1>>,{gold=2600;451=2;libs=<110;111>},<<gold;2600;0>;<451;1;1>;<452;1;1>>,12872,,,,,
100035,第35关,第35關,Stage 35,Th? 35 Quan,???? 35,boss,,<{unitId=233283;level=50;advance=3};{unitId=222302;level=50;advance=3};{unitId=230283;level=50;advance=3};{unitId=230783;level=50;advance=3};{unitId=232013;level=50;advance=3}>,<{unitId=251035;level=50;advance=4}>,config/portrait/jinglingtouxiang1/img_254_xyw@.png,,22,10,,battle/scene/bg_sd.jpg,,,,,,50,177,177,,,,5,<<9;1;10%>;<10;0;10%>;<7;0;10%>>,{gold=50000;451=30;519=1},<<gold;50000;1>;<451;30;1>;<519;1;1>>,{gold=2600;452=1;libs=<110;111;112>},<<gold;2600;0>;<451;1;1>;<452;1;1>>,17158,怪物全体暴击提升，光环单位被击杀消除暴击,怪物全體暴擊提升，光環單位被擊殺消除暴擊,"The crit of all monsters is increased, the aura unit is killed to eliminate the crit",404404,"?? ???? ???? ????, ??? ?? ?? ? ???? ????"
100036,第36关,第36關,Stage 36,Th? 36 Quan,???? 36,,,<{unitId=230113;level=51;advance=4};{unitId=220372;level=51;advance=4};{unitId=230113;level=51;advance=4};{unitId=230393;level=51;advance=4};{unitId=230393;level=51;advance=4}>,<{unitId=251036;level=51;advance=5}>,config/portrait/jinglingtouxiang1/img_34_ndw@.png,,22,10,,battle/scene/bg_tower.jpg,,,,,,51,181,181,,,,3,<<13;1;2%>>,{gold=55000;451=30;452=20},<<gold;55000;1>;<451;30;1>;<452;20;1>>,{gold=2700;451=2;libs=<110;111>},<<gold;2700;0>;<451;1;1>;<452;1;1>>,17158,,,,,
100037,第37关,第37關,Stage 37,Th? 37 Quan,???? 37,,,<{unitId=221303;level=52;advance=4};{unitId=230753;level=52;advance=4};{unitId=231071;level=52;advance=4};{unitId=231423;level=52;advance=4}>,<{unitId=251037;level=52;advance=5}>,config/portrait/jinglingtouxiang1/img_144_jdn@.png,,22,10,,battle/scene/bg_grass.jpg,,,,,,52,185,185,,,,4,<<13;0;2%>;<24;0;2%>>,{gold=55000;451=30;502=1},<<gold;55000;1>;<451;30;1>;<502;1;1>>,{gold=2700;451=2;libs=<110;111>},<<gold;2700;0>;<451;1;1>;<452;1;1>>,17158,,,,,
