变量名,_beizhu1,resPath,tintBlack,standbyTinblack
61,,koudai_beijing/senlin2.skel,TRUE,TRUE
62,,koudai_beijing/wutai2.skel,TRUE,TRUE
63,,koudai_beijing/wutai.skel,TRUE,TRUE
64,,koudai_beijing/guofeng.skel,TRUE,TRUE
65,,koudai_beijing/xuedi.skel,TRUE,TRUE
66,,koudai_beijing/fangjian.skel,TRUE,TRUE
67,,koudai_beijing/cloud.skel,TRUE,TRUE
68,,koudai_beijing/bingchuan2.skel,TRUE,TRUE
69,,koudai_beijing/bingchuan.skel,TRUE,TRUE
70,,koudai_beijing/yuzhou2.skel,TRUE,TRUE
71,,koudai_beijing/huoshan_mega.skel,TRUE,TRUE
72,,koudai_tudiyun/hero_tudiyun.skel,TRUE,TRUE
73,,koudai_jielaaola_pifu/hero_jielaaola_pifu.skel,TRUE,TRUE
74,,koudai_jielaaola_pifu/hero_jielaaola_hy_pifu.skel,TRUE,TRUE
75,,koudai_miniq/hero_miniq.skel,TRUE,TRUE
76,,koudai_huoyanji_mega/hero_huoyanji_mega.skel,TRUE,TRUE
77,,koudai_maxiaduo/hero_maxiaduo.skel,TRUE,
78,,koudai_biketini_pifu/hero_biketini_pifu.skel,TRUE,TRUE
79,,koudai_feiouna/hero_feiouna.skel,TRUE,TRUE
80,,koudai_manafei/hero_manafei.skel,TRUE,
81,,koudai_beijing/hailang.skel,TRUE,
82,,koudai_guladuomega_jijia/hero_guladuomega_jijia.skel,TRUE,
83,,koudai_gaiouka_mega/hero_gaiouka_mega.skel,TRUE,
84,,koudai_xiaozhibanjiaherenwa/hero_xiaozhibanjiaherenwa.skel,TRUE,
85,,koudai_zhiyujian/hero_zhiyujian.skel,TRUE,TRUE
86,,effect/dz_zhiwa.skel,TRUE,TRUE
87,,koudai_majiyana/hero_majiyana.skel,TRUE,
88,,koudai_ailuleiduo_mega/hero_ailuleiduo_mega.skel,TRUE,TRUE
89,,koudai_boerkainien/hero_boerkainien.skel,TRUE,
90,,koudai_boerkainien/yaosai.skel,TRUE,
91,,koudai_lunaiyala/hero_lunaiyala.skel,TRUE,
92,,frame/lunaiyala_txk.skel,TRUE,
93,,koudai_shinygengguimega/hero_shinygengguimega.skel,TRUE,
94,,koudai_wenxiangkedou/hero_wenxiangkedou.skel,TRUE,TRUE
95,,koudai_wenxiangjun/hero_wenxiangjun.skel,TRUE,TRUE
96,,koudai_wenxiangyongshi/hero_wenxiangyongshi.skel,TRUE,TRUE
97,,koudai_wenxiangwahuang/hero_wenxiangwahuang.skel,TRUE,TRUE
98,,koudai_wenxiangjun/hero_wenxiangjun_fan.skel,TRUE,TRUE
99,,koudai_dianxi_mega/hero_dianxi_mega.skel,TRUE,
100,,frame/dianxi_mega_txk.skel,TRUE,
101,,koudai_shanguangbanjilasi_mega/hero_shanguangbanjilasi_mega.skel,TRUE,
102,,koudai_leileishi/hero_leileishi.skel,TRUE,
103,,koudai_manafei_pifu/hero_manafei_pifu.skel,TRUE,
104,,frame/naikeluozima_tou.skel,TRUE,
105,,koudai_naikeluozima/hero_naikeluozima.skel,TRUE,
106,,koudai_yantuer/hero_yantuer.skel,TRUE,TRUE
107,,koudai_sgcjsnd/hero_sgsnd_mega.skel,TRUE,
108,,koudai_zangmarante/hero_zangmarante.skel,TRUE,
109,,frame/zmrt_txk.skel,TRUE,
110,,koudai_naikeluozima_pifu/hero_naikeluozima_pifu.skel,TRUE,
111,,koudai_sgcjalld/hero_sgcjalld.skel,TRUE,
112,,frame/kldo_tou.skel,TRUE,
113,,koudai_kailudiou_juewuxingtai/hero_kailudiou_juewuxingtai.skel,TRUE,
114,,koudai_qiyuanmenghuan_pf/hero_qiyuanmenghuan_pf.skel,TRUE,
115,,koudai_salude/hero_salude.skel,TRUE,
116,,koudai_chaomengmegay/hero_chaomengmegay.skel,TRUE,
117,,koudai_lgwhm/hero_lgwhm.skel,TRUE,
118,,koudai_baozoumegalieyaolusha/hero_baozoumegalieyaolusha.skel,TRUE,
119,,koudai_kailudiou_juewu_pifu/hero_kailudiou_juewu_pifu.skel,TRUE,
120,,koudai_kailudiou_juewu_pifu/hero_kailudiou_pifu_buff.skel,TRUE,
121,,koudai_jigeerde3/hero_jgedpf.skel,TRUE,
122,,koudai_jigeerde50/hero_jgedpf50.skel,TRUE,
123,,koudai_feiouna_pifu/hero_feiouna_pifu.skel,TRUE,
124,,koudai_laowenglong/hero_laowenglong.skel,TRUE,
125,,koudai_shinylukalioumega/hero_sglukalioumega.skel,TRUE,
126,,koudai_ailanpenhuolongx_mega/hero_ailanpenhuolongx_mega.skel,TRUE,
127,,koudai_chaomengmegay_pifu/hero_chaomengmegay_pifu.skel,TRUE,
128,,koudai_yanbaiqiuleimu/hero_yanbaiqiuleimu.skel,TRUE,
129,,koudai_sgcjbxw/hero_sgcjbxw.skel,TRUE,
130,,koudai_jiamianmegahuoyanji/hero_jiamianmegahuoyanji.skel,TRUE,
131,,koudai_wujitaina/hero_wujitaina.skel,TRUE,
132,,qishizhita/jietichoujiang.skel,TRUE,
133,,qishizhita/jietichoujiang_icon.skel,TRUE,
134,,effect/zhuzhan2.skel,TRUE,
135,,effect/juneizhuzhan.skel,TRUE,
136,,koudai_leiyanxi/hero_leiyanxi.skel,TRUE,
137,,koudai_sgcjxyw/hero_sgcjxyw.skel,TRUE,
138,,buff/leiyanxi/buff_leiyanxi.skel,TRUE,
139,,koudai_sgcjsndpf/hero_sgcjsndpf.skel,TRUE,
140,,koudai_sgcjsndpf/sgcjsndpf_buff.skel,TRUE,
141,,koudai_sgcjmwh/hero_sgcjmwh.skel,TRUE,
142,,koudai_sgcjmwh/ddbl.skel,TRUE,
143,,koudai_sgcjmwh/jdhd.skel,TRUE,
144,,koudai_lgwbmpf/hero_lgwbmpf.skel,TRUE,
145,,koudai_jielaaola_pifu2/hero_jielaaola_pifu2.skel,TRUE,
146,,koudai_anheiqiuleimu/hero_anheiqiuleimu.skel,TRUE,
147,,koudai_anheiqiuleimu_pifu/hero_anheiqiuleimu_pifu.skel,TRUE,
148,,koudai_leijiaileqi/hero_leijiaileqi.skel,TRUE,
149,,koudai_mldpf/hero_mldpf.skel,TRUE,
150,,koudai_yanbaiqiuleimu_pifu/hero_yanbaiqiuleimu_pifu.skel,TRUE,
151,,koudai_sgcjxyw_pifu/hero_sgcjxyw_pifu.skel,TRUE,
152,,koudai_xijianamegabaofeilong/hero_xijianamegabaofeilong.skel,TRUE,
153,,koudai_hhzz/hero_hhzz.skel,TRUE,
154,,koudai_hhzzpf/hero_hhzzpf.skel,TRUE,
155,,koudai_huajiefurenpf/hero_huajiefurenpf.skel,TRUE,
156,,koudai_cwhlkls/hero_cwhlkls.skel,TRUE,
157,,koudai_wujitaina_pifu/hero_wujitaina_pifu.skel,TRUE,
158,,koudai_fuxiaozhiyi/hero_fxzy.skel,TRUE,
159,,koudai_fxzypf/hero_fxzypf.skel,TRUE,
160,,koudai_cwhlkls_pifu/hero_cwhlkls_pifu.skel,TRUE,
