变量名,_beizhu,card,costCards,costItems,condition,routeCost,rules,specialUnitID,popRules,targetID,mergeRouteCost,hasBattle,type,mergeReq,req,languages,mergeCardID,mergeRecoverCost,specialData,mergeRelieveCost,showType
19610,,<1961;11>,,{501=50;521=200;3031=100;3121=80;gold=60000000},,,,,,,,,,,,,,,,,
19710,,<1971;11>,,{501=50;521=200;3031=100;3117=80;gold=60000000},,,,,,,,,,,,,,,,,
19810,,<1981;11>,,{501=50;521=200;3031=100;3110=80;gold=60000000},,,,,,,,,,,,,,,,,
22410,,<2242;12>,,{501=10;502=50;3030=60;3124=40;gold=5000000},,,,,,,,,,,,<cn;kr;tw;en;en_us;en_eu>,,,,,
23010,,<2302;12>,,{501=20;502=100;3030=150;3106=120;gold=10000000},,,,,,,,,,,,,,,,,
32420,,<<3241;12>;<3211;8>>,,{501=50;521=200;3031=70;3133=50;gold=60000000},,,<95201;95220>,3244,TRUE,,{501=30;521=80;3031=10;3133=30;gold=20000000},,3,<{nvalueSum=160;fightPoint=250000;star=12;goodFeel=360};{nvalueSum=100;fightPoint=100000;star=8;goodFeel=0}>,,<cn;kr;tw;en;en_us;en_eu>,3242,{501=5;521=30;gold=6000000;rmb=1500},{bgSpine=chaojinhua/hbl_dx.skel;bgSpine2=chaojinhua/hbl_dx2.skel;bottomRes=city/card/mega/img_cjh_bk.png;btnName=cardMergaBtn32420;spine=koudai_qiuleimu/hero_qiuleimu.skel},{},3
32430,,<<3241;12>;<3221;8>>,,{501=50;521=200;3031=70;3133=50;gold=60000000},,,<95201;95220>,3244,TRUE,,{501=30;521=80;3031=10;3133=30;gold=20000000},,3,<{nvalueSum=160;fightPoint=250000;star=12;goodFeel=360};{nvalueSum=100;fightPoint=100000;star=8;goodFeel=0}>,,<cn;kr;tw;en;en_us;en_eu>,3243,{501=5;521=30;gold=6000000;rmb=1500},{bgSpine=chaojinhua/hbl_dx.skel;bgSpine2=chaojinhua/hbl_dx2.skel;bottomRes=city/card/mega/img_cjh_bk.png;btnName=cardMergaBtn32430;spine=koudai_qiuleimu/hero_qiuleimu.skel},{},3
36310,,<3631;11>,,{501=50;521=200;3031=100;3127=80;gold=60000000},,,,,,,,,,,,<cn;kr;tw;en;en_us;en_eu>,,,{bgSpine=chaojinhua/zhuanshigongzhu_ronghe.skel;bgSpine2=chaojinhua/zhuanshigongzhu_ronghe.skel;bottomRes=city/card/mega/img_cjh_nklzm.png;btnName=megaBtnTitle;spine=koudai_dianxi/hero_dianxi.skel},,
41030,,<<4101;12>;<4023;8>>,,{501=50;521=200;3031=70;3134=50;gold=60000000},,,<95201;95220>,4109,TRUE,,{501=30;521=80;3031=10;3134=30;gold=20000000},,3,<{nvalueSum=160;fightPoint=250000;star=12;goodFeel=360};{nvalueSum=100;fightPoint=100000;star=8;goodFeel=0}>,,<cn>,4103,{501=5;521=30;gold=6000000;rmb=1500},{bgSpine=chaojinhua/nklzm_heti1.skel;bgSpine2=chaojinhua/nklzm_heti2.skel;bottomRes=city/card/mega/img_cjh_nklzm.png;btnName=cardMergaBtn41030;spine=koudai_naikeluozima/hero_naikeluozima.skel},{},3
41040,,<<4101;12>;<4024;8>>,,{501=50;521=200;3031=70;3134=50;gold=60000000},,,<95201;95220>,4109,TRUE,,{501=30;521=80;3031=10;3134=30;gold=20000000},,3,<{nvalueSum=160;fightPoint=250000;star=12;goodFeel=360};{nvalueSum=100;fightPoint=100000;star=8;goodFeel=0}>,,<cn>,4104,{501=5;521=30;gold=6000000;rmb=1500},{bgSpine=chaojinhua/nklzm_heti1.skel;bgSpine2=chaojinhua/nklzm_heti2.skel;bottomRes=city/card/mega/img_cjh_nklzm.png;btnName=cardMergaBtn41040;spine=koudai_naikeluozima/hero_naikeluozima.skel},{},3
70110,,<3303;12>,,{501=20;521=20;3031=10;3122=120;23301=50;gold=20000000},,,<127200;127204>,,,7011,,TRUE,1,,{fightPoint=200000;goodFeel=360;nvalueSum=160;star=12},,,,{btnName=megaTitle1},,1
71010,,<1304;12>,,{501=20;521=20;3031=10;3132=120;21301=50;gold=20000000},,,<127205;127208>,,,7101,,,1,,{fightPoint=200000;goodFeel=360;nvalueSum=160;star=12},<cn;kr;tw;en;en_us;en_eu>,,,{btnName=megaTitle3},,2
