变量名,name,_备注,feature,desc,showLevel,startLevel,startGate,startVip,languages,xxv,openDate,servers
329,道具手册,,propHandbook,隐藏显示,,10,,,<cn;kr;tw;en;en_us;en_eu>,,,
330,竞技场碾压5次,,pvpPass,隐藏显示,65,65,,,,,,
331,公会副本挑战3次,,uinonGateThreeTimes,隐藏显示,60,60,,,,,,
332,跨服竞技场,,crossArena,加锁,,58,,,<cn;kr;en;tw;en_us;en_eu>,,,
333,跨服竞技场战5次,,crossArenaPass,隐藏显示,65,65,,,<cn;kr;en;tw;en_us;en_eu>,,,
334,战斗手册,,battleManuals,隐藏显示,1,15,,,<cn;kr;en;tw;en_us;en_eu>,,,
336,vip贵宾,,vipDistinguished,,,1,,,<cn;tw;kr;en;en_us;en_eu>,,,
337,钓鱼,,fishing,,,65,,,<cn;kr;tw;en;en_us;en_eu>,,,
338,钓鱼捕捞,,catch,,90,90,,,<cn;kr;tw;en;en_us;en_eu>,,,
339,自动钓鱼,,autoFish,不可点击,,68,,,<cn;kr;tw;en;en_us;en_eu>,,,
341,对战竞技场,,onlineFight,,,55,,,<cn;kr;en;tw;en_us;en_eu>,,,
343,精灵评论,,cardComment,隐藏显示,35,35,,,<cn;kr;en;tw;en_us;en_eu>,,,
344,精灵发布评论,,cardPostComment,隐藏显示,50,50,,,<cn;kr;en;tw;en_us;en_eu>,,,
345,世界等级,,worldLevel,,50,50,,,<cn;kr;en;tw;en_us;en_eu>,,,
346,道馆挑战,,gym,,,68,,,<cn;kr;en;tw;en_us;en_eu>,,,
347,徽章,,badge,,65,68,,,<cn;kr;en;tw;en_us;en_eu>,,,
348,元素挑战踢人功能,,cloneBattleKick,锁住不开放,,1,,,<cn;kr;tw;en;en_us>,,,
349,单天赋重置,,singleTalentReset,,60,65,,,<cn;kr;en;tw;en_us;en_eu>,,,
350,预设队伍,,readyTeam,,35,40,,,<cn;kr;en;tw;en_us;en_eu>,,,
351,时装,,skin,,6,6,,,<cn;kr;en;tw;en_us;en_eu>,,,
352,跨服商业街,,crossMine,加锁,,55,,,<cn;kr;en;tw;en_us;en_eu>,,,
353,精灵问答,,unionQA,不可点击,,40,,,<cn;kr;en;tw;en_us;en_eu>,,,
354,日常小助手,,dailyAssistant,隐藏显示,75,75,,,<cn;kr;en;tw;en_us;en_eu>,,,
355,徽章快速点亮,,badgeOneKey,加锁;服务器也限制,72,75,,,<cn;kr;en;tw;en_us;en_eu>,,,
356,防欺诈提示,,preventFraud,隐藏显示,,1,,,<cn;tw>,,,
357,z觉醒,,zawake,,73,80,,,<cn;kr;en;tw;en_us;en_eu>,,,
358,狩猎地带,,hunting,,70,80,,,<cn;kr;en;tw;en_us;en_eu>,,,
359,进阶路线,,specialHunting,,70,83,,,<cn;kr;en;tw;en_us;en_eu>,,,
360,芯片,,chip,隐藏显示,75,80,,,<cn;kr;en;tw;en_us;en_eu>,,,
361,商店碎片满星提示,,fragShopMaxStar,隐藏显示,6,6,,,<cn;kr;en;tw;en_us;en_eu>,,,
362,芯片方案,,chipPlan,隐藏显示,80,85,,,<cn;kr;en;tw;en_us;en_eu>,,,
364,饰品快速升星,,starPotentialFast,隐藏显示,80,80,,,<cn;kr;en;tw;en_us;en_eu>,,,
365,饰品快速觉醒,,awakePotentialFast,隐藏显示,80,80,,,<cn;kr;en;tw;en_us;en_eu>,,,
366,芯片洗炼,,chipAdvance,隐藏显示,80,85,,,<cn;kr;en;tw;en_us;en_eu>,,,
368,芯片抽取提示,,ChipDrawTips,提示说明,75,75,,,,,,
369,金币极限模式,,goldLimitMode,,99,99,,,<cn;en;tw;kr;en_us>,,,
370,经验极限模式,,expLimitMode,,99,99,,,<cn;kr;en;tw;en_us;en_eu>,,,
371,分解界面满星精灵选择,,decompositionMaxStar,,23,23,,,<cn;kr;en;tw;en_us;en_eu>,,,
372,狩猎地带普通碾压,,huntingPass,,85,85,,,<cn;kr;en;tw;en_us;en_eu>,,,
373,狩猎地带进阶碾压,,specialHuntingPass,,90,90,,,<cn;kr;en;tw;en_us;en_eu>,,,
374,普通勇者挑战,,normalBraveChallenge,,85,85,,,<cn;kr;en;tw;en_us;en_eu>,,,
375,家园,,town,,77,77,,,<cn;kr;en;tw;en_us;en_eu>,,,
376,家园建筑升级立即完成,,buildingFinishAtOnce,,77,77,,,<cn;kr;en;tw;en_us;en_eu>,,,
377,邮件信息,,mailInfo,,,1,,,<cn>,,,
378,部屋大作战,,crossunionfight,,,50,,,<cn;kr;en;tw;en_us;en_eu>,,,
379,道馆扫荡,,gymPass,,80,80,,,<cn;kr;en;tw;en_us;en_eu>,,,
380,世界锦标赛,,crossSupremacy,加锁,68,75,,,<cn;kr;en;tw;en_us>,,,
381,努力值极限突破,,effortExtra,加锁,100,100,,,<cn;kr;en;tw;en_us;en_eu>,,,
382,世界锦标赛彩蛋,,crossSupremacyEvent,加锁,68,75,,,<cn;kr;en;tw;en_us>,,,
383,探险器科技核心,,explorerCoreExtra,加锁,85,85,,,<cn;kr;en;tw;en_us;en_eu>,,,
384,界面精简功能,,interfaceSimplification,加锁,70,70,,,<cn;kr;en;tw;en_us;en_eu>,,,
385,活跃度奖励一键领取,,livenessAward,,60,60,,,<cn;kr;en;tw;en_us;en_eu>,,,
386,勋章册,,medalCollection,加锁,55,60,,,<cn;kr;en;tw;en_us;en_eu>,,,
387,拟态对战,,mimicry,加锁,80,85,,,<cn;kr;en;tw;en_us>,,,
388,奇异陨石,,meteorite,加锁,80,85,,,<cn;kr;en;tw;en_us>,,,
389,家园探险一键领取奖励,,townAdventureOneKey,隐藏显示,90,90,,,<cn;kr;en;tw;en_us;en_eu>,,,
390,拟态对战快速挑战,,mimicryPass,,90,90,,,<cn;kr;en;tw;en_us;en_eu>,,,
391,家园预设队伍,,townReadyCard,,90,90,,,<cn;en;en_us;en_eu;kr;tw>,,,
392,潜能深化,,abilityExtra,,85,85,,,<cn;kr;en;tw;en_us;en_eu>,,,
393,狩猎一键直通,,huntingJump,,100,100,,,<cn;kr;en;tw;en_us;en_eu>,,,
394,宝可梦一键直通,,normalBraveChallengeJump,,95,95,,,<cn;kr;en;tw;en_us;en_eu>,,,
396,跨服商业街21点小游戏,,crossMineBlackjack,,,55,,,<cn;kr;en;tw;en_us;en_eu>,,,
397,家园资源一键领取,,townReceiveOnekey,,85,85,,,<cn;en;en_us;en_eu;kr;tw>,,,
398,派对飞镖小游戏,,partyDart,,77,77,,,<cn;kr;en;tw;en_us;en_eu>,,,
399,主城随从精灵,,followSprite,,70,70,,,<cn;kr;en;tw;en_us;en_eu>,,,
400,VIP 20,,vipLevel20,隐藏显示,,1,,,<cn;kr;tw;en;en_us>,,,
401,卡牌冒险,,autoChess,,80,82,,,<cn;kr;en;tw;en_us;en_eu>,,,
402,疾影驰斗,,crossUnionAdventure,,,55,,,<cn;kr;en;tw;en_us;en_eu>,,,
403,卡牌星级永久交换,,cardStarSwap,,75,78,,,<cn;kr;en;tw;en_us;en_eu>,,,
404,签到商店,,signInShop,,60,60,,,<cn;kr;en;tw;en_us;en_eu>,,20230601,
405,家园小屋评分,,townHomeScore,,77,77,,,<cn;kr;en;tw;en_us;en_eu>,,,
406,卡牌星级临时交换,,cardStarTemporarySwap,,75,75,,,<cn;kr;en;tw;en_us;en_eu>,,,
407,天气,,weather,,20,20,,,<cn;kr;en;tw;en_us;en_eu>,,,
408,团队纹章,,arms,,55,55,,,<cn;kr;en;tw;en_us;en_eu>,,,
409,加速器,,timeSpeeder,,60,60,,,<cn;tw;en;kr;en_us>,3,,
410,助战,,aid,,80,85,,,<cn;tw;en_us>,,,
411,派遣任务一键领奖,,dispatchTaskAwardOneKey,,65,65,,,<cn;kr;en;tw;en_us;en_eu>,,,
412,公会招募文本,,unionRecruit,加锁,,32,,,,,,
413,精灵试玩,,testPlay,,20,20,,,<cn;kr;en;tw;en_us;en_eu>,,,
414,以太无尽模式,,hellRandomTower,,85,85,,,<cn;kr;en;tw;en_us;en_eu>,,,
415,以太无尽模式直通,,hellRandomTowerJump,,85,85,,,<cn;kr;en;tw;en_us;en_eu>,,,
416,以太无尽模式碾压,,hellRandomTowerPass,,85,85,,,<cn;kr;en;tw;en_us;en_eu>,,,
417,家园消息管理,,townMananger,,77,77,,,<cn;kr;en;tw;en_us;en_eu>,,,
418,跨服聊天,,crossChat,加锁,63,65,,,<cn;en;tw;en_us;en_eu>,,,
419,精灵碎片一键合成,,cardFragOneKeyCompound,,40,40,,,<cn;kr;en;tw;en_us;en_eu>,,,
420,帷幕马戏团,,crossCircus,,,85,,,<cn;tw;en_us>,,,
421,家园样板间,,townHomeDemoSpace,,77,77,,,<cn;kr;en;tw;en_us;en_eu>,,,
422,家园拓展,,townHomeExpand,,77,77,,,<cn;kr;en;tw;en_us;en_eu>,,,
423,S精灵专属转化,,universalFragS,,,,,,<cn;kr;en;tw;en_us;en_eu>,,,
424,卡牌对决,,onlineAutoChess,,80,82,,,<cn>,,,
425,助战突破材料兑换,,aidMaterialSwitch,,80,85,,,<cn;tw;en_us>,,,
426,深渊冒险之路,,abyssEndlessTower,,85,90,,,<cn;kr;en;tw;en_us;en_eu>,,,
427,大神阵容推荐,,crossRecommend,,45,45,,,<cn;kr;en;en_us;tw>,,,
428,竞技玩法结算主场景展示,,playEndInfo,,40,40,,,<cn;kr;en;tw;en_us;en_eu>,,,
429,非好友切磋,,notFriendFight,,50,50,,,<cn>,,,
430,幻海星途,,randomMaze,,85,87,,,<cn>,,,
431,助战觉醒材料兑换,,aidAwakeMaterialSwitch,,80,85,,,<cn;tw;en_us>,,,
432,自走棋扫荡,,autoChessSaodang,,87,95,,,<cn;kr;en;tw;en_us;en_eu>,,,
433,新自选抽卡,,drawGroupUpCustom,,6,6,,,<cn>,,,
434,钻石抽卡-心愿单,,drawRmbCustom,,50,50,,,<cn>,,,
435,琉石一键升级,,emeraStrengthOnekey,,90,90,,,<cn>,,,
436,硫石,,emera,,85,87,,,<cn>,,,
437,材料转换,,itemSwitch,,80,80,,,<cn;tw;en_us>,,,
438,极巨巅峰,,crossArenaPeak,,,80,,,<cn>,,,
439,高品质精灵限制分解,,cardUnDecompose,,,1,,,<cn;tw;en_us>,,,
440,众神禁地碾压,,eliteChallengePass,,50,50,,,<cn>,,,
441,琉石铸型（合成）,,emeraRecast,,90,90,,,<cn>,,,
442,世界BOSS快速扫荡,,worldBossSweep,,70,70,,,<cn;tw;en_us;kr>,,,
443,道馆快速挑战,,gymQuickChallenge,,90,90,,,<cn;tw;en_us;kr>,,,
444,勇者挑战快速挑战,,braveChallengeQuickChallenge,,95,95,,,<cn;tw;en_us;kr>,,,
445,狩猎快速挑战,,huntingQuickChallenge,,90,90,,,<cn;tw;en_us;kr>,,,
446,IP登录限制,,ipLimit,,,,,,<cn>,,,
447,众神禁地,,eliteChallenge,,80,80,,,<cn>,,,
451,快速捕捉,,captureFast,,,1,,,<cn>,,,
452,陨石一键强化,,meteoriteOneKey,,90,90,,,<cn>,,,
453,z觉醒一键强化,,zawakeOneKey,,85,85,,,<cn>,,,
