变量名,name,name_tw,name_en,name_vn,name_kr,icon,desc,desc_tw,desc_en,desc_vn,desc_kr,openLv,noticeLv,type,goToPanel
9,每日任务,每日任務,Daily Quests,404404,?? ???,city/levelup/icon_rw_rk@.png,开启每日任务，获得奖励,開啟每日任務，獲得獎勵,Open daily quests and get rewards,404404,?? ???? ??? ??? ?????.,12,9,1,
10,训练特权,訓練特權,Training privilege,404404,?? ??,city/levelup/icon_mxzz_rk.png,提升训练特权，获得各种特权,提升訓練特權，獲得各種特權,Upgrade training privileges to gain various privileges,404404,?? ??? ?? ?? ??? ?????.,12,9,1,
11,个体值,個體值,Individual Value,Cá th? giá tr?,???,city/levelup/icon_yc_rk@.png,重置个体值，获取完美精灵,重置個體值，獲取完美精靈,Reset IV to get the perfect Pokémon,404404,??? ??? ?? ??? ???? ?????.,14,11,1,
12,竞技场,競技場,Arena,San thi ??u,???,city/levelup/icon_jj_rk@.png,竞技场开启，比拼实力的时候到了,競技場開啟，比拼實力的時候到了,"The Arena is open, it's time to test your strength!",404404,????? ??? ????.,15,12,1,
13,排行榜,排行榜,Leaderboard,B?ng x?p h?ng,?? ??,city/levelup/icon_ph_rk.png,排行榜开启，可以看看自己的实力排行,排行榜開啟，可以看看自己的實力排行,"Leaderboards are open, you can now view your rankings",404404,?? ???? ??? ??? ?????.,18,12,1,
14,活动副本,活動副本,Event dungeon,404404,??? ??,city/levelup/icon_mx_rk@.png,开启活动副本，快速获取资源,開啟活動副本，快速獲取資源,Unlock event dungeon to get resources quickly,404404,??? ???? ??? ??? ?????.,18,12,1,
15,公会,公會,union,C?ng h?i,??,city/levelup/icon_gh_rk@.png,公会开启，寻找自己的伙伴,公會開啟，尋找自己的夥伴,"union feature has open, find your companions now!",404404,??? ?? ???? ?? ???.,20,15,1,
16,继承,繼承,Inherit,K? th?a,??,city/levelup/icon_yc_rk@.png,可以继承性格和个体值呦,可以繼承性格和個體值呦,Nature and Individual values can be inherited,404404,??? ???? ??? ? ????.,22,18,1,
17,重生,重生,Revive,Trùng sinh,??,city/levelup/icon_yc_rk@.png,重生精灵，快速返还培养资源,重生精靈，快速返還培養資源,Reborn Pokémons to get training items quickly,404404,??? ?? ? ?? ?? ??? ?????.,23,18,1,
18,无尽之塔,無盡之塔,Endless Tower,404404,??? ?,city/levelup/icon_mx_rk@.png,无尽之塔开启，挑战没有极限,無盡之塔開啟，挑戰沒有極限,"Endless Tower is now open, let's dive into an endless challenge",404404,??? ??? ??? ??? ?????.,24,22,1,
19,努力值,努力值,Effort Value,C? g?ng giá tr?,???,city/levelup/icon_yc_rk@.png,提升努力值，增强属性,提升努力值，增強屬性,Increase Effort Value to enhance the Pokémon's stats,404404,???? ?? ??? ?????.,24,22,1,
20,好感度,好感度,Friendship ,?? thi?n c?m,???,city/levelup/icon_yc_rk@.png,赠送礼物，提升精灵好感度,贈送禮物，提升精靈好感度,Send gift to enhance friendship level with the Pokémon,404404,??? ?? ???? ???? ????.,25,23,1,
21,天赋,天賦,Talent,Thiên phú,??,city/levelup/icon_yc_rk@.png,天赋开启，强化实力,天賦開啟，強化實力,Activate talent to enhance your strength,404404,??? ?? ??? ?????.,27,24,1,
22,派遣,派遣,Dispatch,?i?u ??ng,??,city/levelup/icon_mx_rk@.png,派遣开启，轻松获取奖励,派遣開啟，輕鬆獲取獎勵,"Dispatch is open, giving you chances of getting rewards easily",404404,??? ??? ??? ?????.,30,25,1,
,,,,,,,,,,,,,,,
,精灵进阶,精靈進階,Pokémon Upgrade,404404,??? ??,city/levelup/icon_yc_rk@.png,精灵进阶，提升战斗力！,精靈進階，提升戰鬥力！,Evolve your Pokémon and increase your combat power!,"T?ng b?c Pokémon, t?ng POWER!",???? ???? ???? ????!,3,2,1,
,商店,商店,Shop,C?a hàng,??,city/levelup/icon_sd_rk.png,商店开启，珍贵道具任君采购,商店開啟，珍貴道具任君採購,"Shop is open, rare items are up for sales","Shop ?? m?, ??o c? quy giá mua s?m tu? thích",???? ??? ???? ??? ???.,12,10,1,
,排行榜,排行榜,Leaderboard,B?ng x?p h?ng,?? ??,city/levelup/icon_ty_rk@.png,排行榜开启，可以看看自己的实力排行,排行榜開啟，可以看看自己的實力排行,"Leaderboards are open, you can now view your rankings",404404,?? ???? ??? ??? ?????.,18,15,1,
,图鉴,圖鑒,Pokédex,?? giám,??,city/levelup/icon_tj_rk@.png,收集精灵，解锁图鉴，成为更强的训练家吧,收集精靈，解鎖圖鑒，成為更強的訓練家吧,Collect Pokémons and unlock Pokédex entries to become a strong trainer!,404404,???? ???? ??? ??? ?? ?? ????? ???.,10,6,2,handbook
,商店,商店,Shop,C?a hàng,??,city/levelup/icon_sd_rk.png,（测试配置）假装这里有个关于商店的描述,（測試配置）假裝這裡有個關於商店的描述,(Trial configuration) Pretend there's a description on shops here,(C?u hình Test) Gi? s? t?i ?ay có miêu t? Shop,(??? ??) ?? ?? ??,15,10,1,shop
,精灵背包,精靈背包,Pokémon bag,Tinh linh ba l?,??? ??,city/levelup/icon_bb_rk@.png,（测试配置）假装这里有个关于精灵背包的描述,（測試配置）假裝這裡有個關於精靈背包的描述,(Trial configuration) Pretend there's a description on Bag here,(C?u hình Test) Gi? s? t?i ?ay có miêu t? Túi Pokémon,(??? ??) ??? ?? ?? ??,20,15,1,cardBag
,图鉴,圖鑒,Pokédex,?? giám,??,city/levelup/icon_tj_rk@.png,收集精灵，解锁图鉴，成为更强的训练家吧,收集精靈，解鎖圖鑒，成為更強的訓練家吧,Collect Pokémons and unlock Pokédex entries to become a strong trainer!,404404,???? ???? ??? ??? ?? ?? ????? ???.,25,20,2,handbook
,点金,點金,Gold Touch,404404,????,city/levelup/icon_ty_rk@.png,没有金币怎么办，找喵喵就对了,沒有金幣怎麼辦，找喵喵就對了,Look for Meowth if you are short of coins!,"Kh?ng có Gold ph?i làm sao, tìm Meowth là ?úng r?i",??? ????? ??? ?????.,30,25,2,gainGold
,充值,儲值,Purchase,Na?p tiê?n,??,city/levelup/icon_ty_rk@.png,钻石花光了重置一波就好,鑽石花光了重置一波就好,Just perform a reset if you have used up the diamonds,H?t Diamond thì Reset là ???c,???? ???? ??????.,50,40,3,recharge
,个人形象,個人形象,Personal image,Cái hình ng??i t??ng,?? ???,city/levelup/icon_ty_rk@.png,不光精灵要多，也可以变换自己的形象哦,不光精靈要多，也可以變換自己的形象哦,"Besides catching more Pokémons, remember to change your image as well!","Kh?ng ch? thêm Pokémon, còn có th? thay ??i hình ?nh b?n than","""???? ?????, ??? ??? ??????.""",50,40,3,figure
,聊天,聊天,Chat,Chat,??,city/levelup/icon_ty_rk@.png,（测试配置）假装这里有个关于聊天的描述,（測試配置）假裝這裡有個關於聊天的描述,(Trial configuration) Pretend there's a description on chat here,(C?u hình Test) Gi? s? t?i ?ay có miêu t? Chat,(??? ??) ?? ?? ??,15,10,1,
