变量名,_beizhu,attrType,advance,randomRange1,cost1,randomRange2,cost2
44,物攻,7,8,<<<-13;13>;100>>,{451=6},<<<0;19>;100>>,{452=3}
45,物攻,7,9,<<<-13;10>;100>>,{451=6},<<<0;19>;100>>,{452=3}
46,物攻,7,10,<<<-13;10>;100>>,{451=6},<<<0;19>;100>>,{452=3}
47,物攻,7,11,<<<-13;8>;100>>,{451=6},<<<0;19>;100>>,{452=3}
48,物攻,7,12,<<<-13;7>;100>>,{451=6},<<<0;14>;85>;<<15;19>;15>>,{452=3}
49,物攻,7,13,<<<-13;7>;100>>,{451=6},<<<0;14>;85>;<<15;19>;15>>,{452=3}
50,物攻,7,14,<<<-13;7>;100>>,{451=6},<<<0;14>;85>;<<15;19>;15>>,{452=3}
51,物攻,7,15,<<<-13;7>;100>>,{451=6},<<<0;14>;85>;<<15;19>;15>>,{452=3}
52,物攻,7,16,<<<-13;7>;100>>,{451=6},<<<0;14>;85>;<<15;19>;15>>,{452=3}
53,物攻,7,17,<<<-13;7>;100>>,{451=6},<<<0;14>;85>;<<15;19>;15>>,{452=3}
54,物攻,7,18,<<<-13;7>;100>>,{451=6},<<<0;14>;85>;<<15;19>;15>>,{452=3}
55,物防,9,1,<<<-1;5>;100>>,{451=6},<<<1;8>;100>>,{452=3}
56,物防,9,2,<<<-1;5>;100>>,{451=6},<<<1;8>;100>>,{452=3}
57,物防,9,3,<<<-2;5>;100>>,{451=6},<<<1;8>;100>>,{452=3}
58,物防,9,4,<<<-2;5>;100>>,{451=6},<<<1;8>;100>>,{452=3}
59,物防,9,5,<<<-2;5>;100>>,{451=6},<<<0;8>;100>>,{452=3}
60,物防,9,6,<<<-2;5>;100>>,{451=6},<<<0;8>;100>>,{452=3}
61,物防,9,7,<<<-5;5>;100>>,{451=6},<<<0;8>;100>>,{452=3}
62,物防,9,8,<<<-5;5>;100>>,{451=6},<<<0;8>;100>>,{452=3}
63,物防,9,9,<<<-5;4>;100>>,{451=6},<<<0;8>;100>>,{452=3}
64,物防,9,10,<<<-5;4>;100>>,{451=6},<<<0;8>;100>>,{452=3}
65,物防,9,11,<<<-5;3>;100>>,{451=6},<<<0;8>;100>>,{452=3}
66,物防,9,12,<<<-5;-1>;60>;<<0;3>;40>>,{451=6},<<<0;5>;75>;<<6;8>;25>>,{452=3}
67,物防,9,13,<<<-5;-1>;60>;<<0;3>;40>>,{451=6},<<<0;5>;75>;<<6;8>;25>>,{452=3}
68,物防,9,14,<<<-5;-1>;60>;<<0;3>;40>>,{451=6},<<<0;5>;75>;<<6;8>;25>>,{452=3}
69,物防,9,15,<<<-5;-1>;60>;<<0;3>;40>>,{451=6},<<<0;5>;75>;<<6;8>;25>>,{452=3}
70,物防,9,16,<<<-5;-1>;60>;<<0;3>;40>>,{451=6},<<<0;5>;75>;<<6;8>;25>>,{452=3}
71,物防,9,17,<<<-5;-1>;60>;<<0;3>;40>>,{451=6},<<<0;5>;75>;<<6;8>;25>>,{452=3}
72,物防,9,18,<<<-5;-1>;60>;<<0;3>;40>>,{451=6},<<<0;5>;75>;<<6;8>;25>>,{452=3}
73,特攻,8,1,<<<-2;13>;100>>,{451=6},<<<3;19>;100>>,{452=3}
74,特攻,8,2,<<<-2;13>;100>>,{451=6},<<<3;19>;100>>,{452=3}
75,特攻,8,3,<<<-4;13>;100>>,{451=6},<<<2;19>;100>>,{452=3}
76,特攻,8,4,<<<-4;13>;100>>,{451=6},<<<2;19>;100>>,{452=3}
77,特攻,8,5,<<<-7;13>;100>>,{451=6},<<<0;19>;100>>,{452=3}
78,特攻,8,6,<<<-7;13>;100>>,{451=6},<<<0;19>;100>>,{452=3}
79,特攻,8,7,<<<-13;13>;100>>,{451=6},<<<0;19>;100>>,{452=3}
80,特攻,8,8,<<<-13;13>;100>>,{451=6},<<<0;19>;100>>,{452=3}
81,特攻,8,9,<<<-13;10>;100>>,{451=6},<<<0;19>;100>>,{452=3}
82,特攻,8,10,<<<-13;10>;100>>,{451=6},<<<0;19>;100>>,{452=3}
83,特攻,8,11,<<<-13;8>;100>>,{451=6},<<<0;19>;100>>,{452=3}
84,特攻,8,12,<<<-13;7>;100>>,{451=6},<<<0;14>;85>;<<15;19>;15>>,{452=3}
85,特攻,8,13,<<<-13;7>;100>>,{451=6},<<<0;14>;85>;<<15;19>;15>>,{452=3}
86,特攻,8,14,<<<-13;7>;100>>,{451=6},<<<0;14>;85>;<<15;19>;15>>,{452=3}
87,特攻,8,15,<<<-13;7>;100>>,{451=6},<<<0;14>;85>;<<15;19>;15>>,{452=3}
88,特攻,8,16,<<<-13;7>;100>>,{451=6},<<<0;14>;85>;<<15;19>;15>>,{452=3}
89,特攻,8,17,<<<-13;7>;100>>,{451=6},<<<0;14>;85>;<<15;19>;15>>,{452=3}
90,特攻,8,18,<<<-13;7>;100>>,{451=6},<<<0;14>;85>;<<15;19>;15>>,{452=3}
91,特防,10,1,<<<-1;5>;100>>,{451=6},<<<1;8>;100>>,{452=3}
92,特防,10,2,<<<-1;5>;100>>,{451=6},<<<1;8>;100>>,{452=3}
93,特防,10,3,<<<-2;5>;100>>,{451=6},<<<1;8>;100>>,{452=3}
94,特防,10,4,<<<-2;5>;100>>,{451=6},<<<1;8>;100>>,{452=3}
95,特防,10,5,<<<-2;5>;100>>,{451=6},<<<0;8>;100>>,{452=3}
96,特防,10,6,<<<-2;5>;100>>,{451=6},<<<0;8>;100>>,{452=3}
97,特防,10,7,<<<-5;5>;100>>,{451=6},<<<0;8>;100>>,{452=3}
98,特防,10,8,<<<-5;5>;100>>,{451=6},<<<0;8>;100>>,{452=3}
99,特防,10,9,<<<-5;4>;100>>,{451=6},<<<0;8>;100>>,{452=3}
100,特防,10,10,<<<-5;4>;100>>,{451=6},<<<0;8>;100>>,{452=3}
101,特防,10,11,<<<-5;3>;100>>,{451=6},<<<0;8>;100>>,{452=3}
102,特防,10,12,<<<-5;-1>;60>;<<0;3>;40>>,{451=6},<<<0;5>;75>;<<6;8>;25>>,{452=3}
103,特防,10,13,<<<-5;-1>;60>;<<0;3>;40>>,{451=6},<<<0;5>;75>;<<6;8>;25>>,{452=3}
104,特防,10,14,<<<-5;-1>;60>;<<0;3>;40>>,{451=6},<<<0;5>;75>;<<6;8>;25>>,{452=3}
105,特防,10,15,<<<-5;-1>;60>;<<0;3>;40>>,{451=6},<<<0;5>;75>;<<6;8>;25>>,{452=3}
106,特防,10,16,<<<-5;-1>;60>;<<0;3>;40>>,{451=6},<<<0;5>;75>;<<6;8>;25>>,{452=3}
107,特防,10,17,<<<-5;-1>;60>;<<0;3>;40>>,{451=6},<<<0;5>;75>;<<6;8>;25>>,{452=3}
108,特防,10,18,<<<-5;-1>;60>;<<0;3>;40>>,{451=6},<<<0;5>;75>;<<6;8>;25>>,{452=3}
