变量名,_beizhu,name,name_tw,name_kr,name_en,feature,goto,unionlevel,openseq,roundKey,roundState,icon,bg,txt,txt_tw,txt_en,txt_kr,sighid,startTime,startTimes,endTime,priority,serverday,reminder,spine,spineOffsets
21,,,,,,crossArenaPeak,crossArenaPeak,,<1;2;3;4;5;6;7>,cross_arena_peak_round,prepare192,,,积分赛竞猜,,,,21,,,,3000,45,1,cross_arena_peak/huodongtixing_jjdf.skel,
22,,,,,,crossArenaPeak,crossArenaPeak,,<1;2;3;4;5;6;7>,cross_arena_peak_round,battle192,,,积分赛激斗,,,,22,,,,3000,45,1,cross_arena_peak/huodongtixing_jjdf.skel,
23,,,,,,crossArenaPeak,crossArenaPeak,,<1;2;3;4;5;6;7>,cross_arena_peak_round,prepare64,,,64强竞猜,,,,23,,,,3000,45,1,cross_arena_peak/huodongtixing_jjdf.skel,
24,,,,,,crossArenaPeak,crossArenaPeak,,<1;2;3;4;5;6;7>,cross_arena_peak_round,battle64,,,64强激斗,,,,24,,,,3000,45,1,cross_arena_peak/huodongtixing_jjdf.skel,
25,,,,,,crossArenaPeak,crossArenaPeak,,<1;2;3;4;5;6;7>,cross_arena_peak_round,prepare32,,,32强竞猜,,,,25,,,,3000,45,1,cross_arena_peak/huodongtixing_jjdf.skel,
26,,,,,,crossArenaPeak,crossArenaPeak,,<1;2;3;4;5;6;7>,cross_arena_peak_round,battle32,,,32强激斗,,,,26,,,,3000,45,1,cross_arena_peak/huodongtixing_jjdf.skel,
27,,,,,,crossArenaPeak,crossArenaPeak,,<1;2;3;4;5;6;7>,cross_arena_peak_round,prepare16,,,16强竞猜,,,,27,,,,3000,45,1,cross_arena_peak/huodongtixing_jjdf.skel,
28,,,,,,crossArenaPeak,crossArenaPeak,,<1;2;3;4;5;6;7>,cross_arena_peak_round,battle16,,,16强激斗,,,,28,,,,3000,45,1,cross_arena_peak/huodongtixing_jjdf.skel,
29,,,,,,crossArenaPeak,crossArenaPeak,,<1;2;3;4;5;6;7>,cross_arena_peak_round,prepare8,,,8强竞猜,,,,29,,,,3000,45,1,cross_arena_peak/huodongtixing_jjdf.skel,
30,,,,,,crossArenaPeak,crossArenaPeak,,<1;2;3;4;5;6;7>,cross_arena_peak_round,battle8,,,8强激斗,,,,30,,,,3000,45,1,cross_arena_peak/huodongtixing_jjdf.skel,
31,,,,,,crossArenaPeak,crossArenaPeak,,<1;2;3;4;5;6;7>,cross_arena_peak_round,prepare4,,,4强竞猜,,,,31,,,,3000,45,1,cross_arena_peak/huodongtixing_jjdf.skel,
32,,,,,,crossArenaPeak,crossArenaPeak,,<1;2;3;4;5;6;7>,cross_arena_peak_round,battle4,,,4强激斗,,,,32,,,,3000,45,1,cross_arena_peak/huodongtixing_jjdf.skel,
33,,,,,,crossArenaPeak,crossArenaPeak,,<1;2;3;4;5;6;7>,cross_arena_peak_round,prepare2,,,冠位竞猜,,,,33,,,,3000,45,1,cross_arena_peak/huodongtixing_jjdf.skel,
34,,,,,,crossArenaPeak,crossArenaPeak,,<1;2;3;4;5;6;7>,cross_arena_peak_round,battle2,,,巅峰盛宴,,,,34,,,,3000,45,1,cross_arena_peak/huodongtixing_jjdf.skel,
