变量名,_beizhu,cardID,canDevelop,canDevelop2,heightAndWeight,isOpen,languages,attrType1,attrValue1,attrType2,attrValue2,__version
153,,153,,,<1;12>,,<cn;kr;en;en_us;en_eu;tw>,13,0.20%,,,
161,,161,,,<0.8;7.5>,,<cn;kr;en;en_us;en_eu;tw>,7,0.27%,,,
162,,162,,,<1.6;55>,,<cn;kr;en;en_us;en_eu;tw>,7,0.27%,,,
163,,163,,,<1.8;75>,,<cn;kr;en;en_us;en_eu;tw>,7,0.27%,,,
171,,171,,,<0.5;5.4>,,,8,0.13%,,,
172,,172,,,<0.8;8.6>,,,8,0.13%,,,
173,,173,,,<1.2;18.6>,,,8,0.13%,,,
191,,191,,,<1;30>,,,13,0.20%,,,
192,,192,,,<1.5;12.5>,,,13,0.20%,,,
211,,211,,,<0.4;4.2>,,,13,0.20%,,,
212,,212,,,<1;32>,,,13,0.20%,,,
221,,221,,,<0.8;19.6>,,<cn;kr;en;en_us;en_eu;tw>,8,0.30%,,,
222,,222,,,<1.7;76.6>,,<cn;kr;en;en_us;en_eu;tw>,8,0.30%,,,
231,,231,,,<0.5;28>,,,9,0.20%,,,
232,,232,,,<1;32>,,,9,0.20%,,,
241,,241,,,<0.7;19>,,,7,0.40%,,,
242,,242,,,<1.9;155>,,,7,0.40%,,,
251,,251,,,<0.6;12.4>,,<cn;kr;en;en_us;en_eu;tw>,1,0.18%,,,
252,,252,,,<1;20>,,<cn;kr;en;en_us;en_eu;tw>,1,0.18%,,,
253,,253,,,<1.3;54>,,<cn;kr;en;en_us;en_eu;tw>,1,0.18%,,,
254,,254,,,<1.1;33.9>,,<cn;kr;en;en_us;en_eu;tw>,1,0.18%,,,
261,,261,,,<0.9;19.5>,,,1,0.18%,,,
262,,262,,,<1.3;56.5>,,,1,0.18%,,,
263,,263,,,<1.5;48>,,,1,0.18%,,,
264,,264,,,<1.5;48>,,<cn;kr;en;en_us;en_eu;tw>,1,0.18%,,,
271,,271,,,<0.8;19.5>,,,7,0.20%,,,
272,,272,,,<1.5;70.5>,,,7,0.20%,,,
273,,273,,,<1.6;130>,,,7,0.20%,,,
281,,281,,,<0.7;4>,,,8,0.20%,,,
282,,282,,,<1;6.4>,,,8,0.20%,,,
283,,283,,,<1.7;15.5>,,,8,0.20%,,,
301,,301,,,<0.4;20>,,,9,0.20%,,,
302,,302,,,<1;105>,,,9,0.20%,,,
303,,303,,,<1.4;300>,,,9,0.20%,,,
311,,311,,,<1;30>,,<cn;kr;en_us;tw>,7,0.40%,,,
312,,312,,,<1.7;95>,,<cn;kr;en_us;tw>,7,0.40%,,,
321,,321,,,<1.2;36>,,<cn;tw;en;en_us;en_eu;kr>,10,0.27%,,,
323,,323,,,<2;79.5>,,<cn;tw;en;en_us;en_eu;kr>,10,0.27%,,,
331,,331,,,<0.3;6>,,,10,0.27%,,,
332,,332,,,<1;60>,,,10,0.27%,,,
333,,333,,,<1.2;180>,,,10,0.27%,,,
341,,341,,,<0.8;15>,,<cn;kr;en;en_us;en_eu;tw>,13,0.40%,,,
351,,351,,,<1.4;39.2>,,,1,0.15%,,,
352,,352,,,<1.8;85.2>,,,1,0.15%,,,
371,,371,,,<0.9;30>,,,9,0.30%,,,
372,,372,,,<1.2;30>,,,9,0.30%,,,
381,,381,,,<0.3;4>,,<cn;kr;en;en_us;en_eu;tw>,7,0.40%,,,
382,,382,,,<1.5;132.5>,,<cn;kr;en;en_us;en_eu;tw>,7,0.40%,,,
391,,391,,,<1.3;0.1>,,,13,0.27%,,,
392,,392,,,<1.6;0.1>,,,13,0.27%,,,
393,,393,,,<1.5;40.5>,,,13,0.27%,,,
394,,394,,,<1.5;40.5>,,<cn;kr;en;en_us;en_eu;tw>,13,0.27%,,,
401,,401,,,<8.8;210>,,,9,0.40%,,,
402,,402,,,<9.2;400>,,,9,0.40%,,,
403,,403,,,<10.5;740>,,<cn;kr;en;en_us;en_eu;tw>,9,0.40%,,,
411,,411,,,<1;32.4>,,<cn;tw;en_us>,10,0.40%,,,
412,,412,,,<1.6;75.6>,,<cn;tw;en_us>,10,0.40%,,,
431,,431,,,<0.5;10.4>,,<cn;kr;en;en_us;en_eu;tw>,8,0.40%,,,
432,,432,,,<1.2;66.6>,,<cn;kr;en;en_us;en_eu;tw>,8,0.40%,,,
441,,441,,,<0.4;2.5>,,<cn;kr;en;en_us;en_eu;tw>,8,0.40%,,,
442,,442,,,<2;120>,,<cn;kr;en;en_us;en_eu;tw>,8,0.40%,,,
451,,451,,,<0.4;6.5>,,,7,0.20%,,,
452,,452,,,<1;45>,,,7,0.20%,,,
461,,461,,,<0.7;21>,,,7,0.15%,,,
462,,462,,,<1.5;49.8>,,,7,0.15%,,,
463,,463,,,<1.4;50.2>,,,7,0.15%,,,
464,,464,,,<1.4;48>,,,7,0.15%,,,
471,,471,,,<1.2;65.5>,,,10,0.30%,,,
472,,472,,,<1.7;140>,,,10,0.30%,,,
481,,481,,,<0.6;1>,,,8,0.30%,,,
482,,482,,,<1.2;9.5>,,,8,0.30%,,,
491,,491,,,<1;115>,,,9,0.27%,,,
492,,492,,,<1.9;120>,,,9,0.27%,,,
493,,493,,,<2.4;282.8>,,,9,0.27%,,,
501,,501,,,<0.6;24.4>,,<cn;kr;en;en_us;en_eu;tw>,1,0.18%,,,
502,,502,,,<1.1;34.6>,,<cn;kr;en;en_us;en_eu;tw>,1,0.18%,,,
503,,503,,,<1.5;46.8>,,<cn;kr;en;en_us;en_eu;tw>,1,0.18%,,,
541,,541,,,<0.6;15>,,,1,0.15%,,,
542,,542,,,<1.3;39>,,,1,0.15%,,,
551,,551,,,<0.8;34.5>,,,8,0.30%,,,
552,,552,,,<1.1;80>,,,8,0.30%,,,
561,,561,,,<0.6;13>,,<cn;kr;en;en_us;en_eu;tw>,10,0.40%,,,
562,,562,,,<1.3;54.5>,,<cn;kr;en;en_us;en_eu;tw>,10,0.40%,,,
571,,571,,,<1.5;56>,,,7,0.40%,,,
572,,572,,,<1.8;118>,,,7,0.40%,,,
574,,574,,,<2;125>,,<cn;kr;tw;en;en_us;en_eu>,7,0.40%,,,
591,,591,,,<0.6;23.5>,,,8,0.27%,,,
592,,592,,,<1.1;30>,,,8,0.27%,,,
593,,593,,,<1.8;138.6>,,,8,0.27%,,,
601,,601,,,<0.7;21.4>,,,10,0.27%,,,
602,,602,,,<1.3;44.5>,,,10,0.27%,,,
603,,603,,,<1.6;68>,,,10,0.27%,,,
611,,611,,,<1.5;55>,,<cn;kr;tw;en;en_us;en_eu>,7,0.80%,,,
631,,631,,,<6.5;235>,,,7,0.80%,,,
632,,632,,,<6.5;305>,,<cn;kr;tw;en;en_us;en_eu>,7,0.80%,,,
641,,641,,,<2.5;220>,,<cn;kr;tw;en;en_us;en_eu>,1,0.55%,,,
691,,691,,,<0.5;11.5>,,,9,0.30%,,,
692,,692,,,<1.3;40.5>,,,9,0.30%,,,
701,,701,,,<1.8;59>,,<cn;tw;kr;en;en_us;en_eu>,13,0.80%,,,
702,,702,,,<2.1;79>,,<cn>,13,0.80%,,,
711,,711,,,<0.6;105>,,<cn;tw;kr;en;en_us;en_eu>,1,0.28%,,,
712,,712,,,<2.1;460>,,<cn;tw;kr;en;en_us;en_eu>,1,0.28%,,,
721,,721,,,<1.7;55.4>,,,13,0.80%,,,
731,,731,,,<1.6;52.6>,,,8,0.80%,,,
741,,741,,,<2;60>,,,8,0.80%,,,
751,,751,,,<1.8;3.3>,,,7,0.27%,,,
752,,752,,,<4;16.5>,,,7,0.27%,,,
753,,753,,TRUE,<2.2;210>,,,7,0.27%,,,
761,,761,,,<2;122>,,,8,1.00%,,,
762,,762,,,<2.3;127>,,<cn;tw;kr;en_us;en>,8,1.00%,,,
763,,763,,,<1.5;33>,,<cn;kr;tw;en_us;en>,8,1.00%,,,
771,,771,,,<0.4;4>,,,13,0.80%,,,
781,,781,,,<0.9;6.4>,,,1,0.13%,,,
782,,782,,,<1.2;15.8>,,,1,0.13%,,,
783,,783,,,<1.8;100.5>,,,1,0.13%,,,
791,,791,,,<0.5;7.9>,,,8,0.20%,,,
792,,792,,,<0.9;19>,,,8,0.20%,,,
793,,793,,,<1.7;79.5>,,,8,0.20%,,,
801,,801,,,<0.6;9.5>,,,7,0.20%,,,
802,,802,,,<1.1;25>,,,7,0.20%,,,
803,,803,,,<2.3;88.8>,,,7,0.20%,,,
861,,861,,,<0.3;1.5>,,<cn;kr;tw;en;en_us;en_eu>,10,0.27%,,,
862,,862,,,<0.6;3.2>,,<cn;kr;tw;en;en_us;en_eu>,10,0.27%,,,
863,,863,,,<1.5;38>,,<cn;kr;tw;en;en_us;en_eu>,10,0.27%,,,
881,,881,,,<0.6;7.8>,,,10,0.27%,,,
882,,882,,,<0.8;13.3>,,,10,0.27%,,,
883,,883,,,<1.4;61.5>,,,10,0.27%,,,
884,,884,,,<1.4;61.5>,,<cn;kr;tw;en;en_us;en_eu>,10,0.27%,,,
891,,891,,,<0.2;2>,,,8,0.13%,,,
892,,892,,,<0.4;8.5>,,,8,0.13%,,,
893,,893,,,<0.8;28.5>,,,8,0.13%,,,
901,,901,,,<0.5;15>,,<cn;kr;tw;en;en_us;en_eu>,9,0.40%,,,
902,,902,,,<1.2;38>,,<cn;kr;tw;en;en_us;en_eu>,9,0.40%,,,
971,,971,,,<0.7;1>,,<cn;kr;tw;en;en_us;en_eu>,8,0.40%,,,
972,,972,,,<0.9;4.4>,,<cn;kr;tw;en;en_us;en_eu>,8,0.40%,,,
991,,991,,,<0.6;14>,,<cn;kr;tw;en;en_us;en_eu>,1,0.28%,,,
992,,992,,,<1.3;28.5>,,<cn;kr;tw;en;en_us;en_eu>,1,0.28%,,,
1031,,1031,,,<1.1;64.8>,,<cn;kr;tw;en;en_us;en_eu>,1,0.28%,,,
1032,,1032,,,<2;42.5>,,<cn;kr;tw;en;en_us;en_eu>,1,0.28%,,,
1071,,1071,,,<1.5;54>,,,9,0.80%,,,
1072,,1072,,,<1.7;62.5>,,<cn;kr;en;tw;en_us;en_eu>,9,0.80%,,,
1081,,1081,,,<0.9;28>,,,8,0.40%,,,
1082,,1082,,,<1.1;34>,,,8,0.40%,,,
1111,,1111,,,<0.4;6.5>,,<cn>,1,0.18%,,,
1112,,1112,,,<1.1;55.8>,,<cn>,1,0.18%,,,
1113,,1113,,,<2.5;291>,,<cn>,1,0.18%,,,
1141,,1141,,,<0.9;16>,,<cn>,13,0.80%,,,
1171,,1171,,,<0.6;10.8>,,,1,0.28%,,,
1172,,1172,,,<1.4;35>,,,1,0.28%,,,
1173,,1173,,,<1.9;49.5>,,<cn;kr;en;tw;en_us;en_eu>,1,0.28%,,,
1221,,1221,,,<1.9;178>,,,13,0.80%,,,
1231,,1231,,,<2.1;198>,,,7,0.80%,,,
1241,,1241,,,<2;187>,,,10,0.80%,,,
1251,,1251,,,<0.6;72>,,,9,0.27%,,,
1252,,1252,,,<1.2;152>,,,9,0.27%,,,
1253,,1253,,,<2;202>,,,9,0.27%,,,
1254,,1254,,,<2;202>,,<cn>,9,0.27%,,,
1261,,1261,,,<5.2;216>,,,10,1.00%,,,
1271,,1271,,,<3.8;199>,,,7,1.00%,,,
1281,,1281,,,<0.6;5>,,<cn;kr;en;en_us;en_eu;tw>,1,0.70%,,,
1291,,1291,,,<0.5;5>,,,8,0.27%,,,
1292,,1292,,,<0.9;21.6>,,,8,0.27%,,,
1293,,1293,,,<1.7;52.2>,,,8,0.27%,,,
1294,,1294,,,<1.9;55.2>,,<cn;kr;tw>,8,0.27%,,,
1301,,1301,,,<0.4;2.5>,,,7,0.27%,,,
1302,,1302,,,<0.9;19.5>,,,7,0.27%,,,
1303,,1303,,TRUE,<1.9;52>,,,7,0.27%,,,
1304,,1304,,,<1.9;52>,,<cn;kr;tw;en;en_us;en_eu>,7,0.27%,,,
1311,,1311,,,<0.4;7.6>,,,1,0.18%,,,
1312,,1312,,,<0.7;28>,,,1,0.18%,,,
1313,,1313,,,<1.5;81.9>,,,1,0.18%,,,
1314,,1314,,,<1.5;81.9>,,<cn;kr;tw;en;en_us;en_eu>,1,0.18%,,,
1351,,1351,,,<0.5;2.6>,,,1,0.10%,,,
1352,,1352,,,<1.2;32.5>,,,1,0.10%,,,
1353,,1353,,,<1.5;55>,,,1,0.10%,,,
1391,,1391,,,<0.4;6.6>,,,1,0.14%,,,
1392,,1392,,,<0.8;20.2>,,,1,0.14%,,,
1393,,1393,,,<1.6;48.4>,,,1,0.14%,,,
1394,,1394,,,<1.6;52>,,,1,0.14%,,,
1396,,1396,,,<1.6;48.4>,,<cn;kr;en;en_us;en_eu;tw>,1,0.14%,,,
1397,,1397,,,<1.6;56.4>,,<cn;kr;en;en_us;en_eu;tw>,1,0.14%,,,
1411,,1411,,,<0.4;4.5>,,<cn;tw;en_us>,7,0.40%,,,
1412,,1412,,,<1.2;39.2>,,<cn;tw;en_us>,7,0.40%,,,
1421,,1421,,,<0.8;24>,,,7,0.27%,,,
1422,,1422,,,<1.4;46.5>,,,7,0.27%,,,
1423,,1423,,,<2;130.5>,,,7,0.27%,,,
1441,,1441,,,<0.6;16.3>,,,1,0.13%,,,
1442,,1442,,,<1;40.5>,,,1,0.13%,,,
1443,,1443,,,<1.5;84>,,,1,0.13%,,,
1481,,1481,,,<0.5;11>,,,9,0.60%,,,
1501,,1501,,,<0.4;60>,,,9,0.27%,,,
1502,,1502,,,<0.9;120>,,,9,0.27%,,,
1503,,1503,,,<2.1;360>,,,9,0.27%,,,
1504,,1504,,,<2.2;395>,,<cn;tw;kr;en;en_us;en_eu>,9,0.27%,,,
1511,,1511,,,<0.6;11.2>,,<cn>,7,0.30%,,,
1512,,1512,,,<1.3;31.5>,,<cn>,7,0.30%,,,
1611,,1611,,,<0.7;24>,,,10,0.30%,,,
1612,,1612,,,<1.9;220>,,,10,0.30%,,,
1641,,1641,,,<1.1;5>,,<cn;kr;en;en_us;en_eu;tw>,9,0.60%,,,
1651,,1651,,,<0.7;15>,,<cn;kr;en;en_us;en_eu;tw>,7,0.27%,,,
1652,,1652,,,<1.1;15.3>,,<cn;kr;en;en_us;en_eu;tw>,7,0.27%,,,
1653,,1653,,,<2;82>,,<cn;kr;en;en_us;en_eu;tw>,7,0.27%,,,
1671,,1671,,,<0.4;1.2>,,<cn;kr;en;en_us;en_eu;tw>,10,0.40%,,,
1672,,1672,,,<1.1;20.6>,,<cn;kr;en;en_us;en_eu;tw>,10,0.40%,,,
1771,,1771,,,<0.6;7.4>,,<cn;tw;kr;en;en_us;en_eu>,10,0.40%,,,
1772,,1772,,,<6.2;162>,,<cn;tw;kr;en;en_us;en_eu>,10,0.40%,,,
1801,,1801,,,<0.6;2.3>,,<cn;tw;kr;en;en_us;en_eu>,13,0.30%,,,
1802,,1802,,,<1.1;12.5>,,<cn;tw;kr;en;en_us;en_eu>,13,0.30%,,,
1803,,1803,,,<1.2;13>,,<cn;tw;kr;en;en_us;en_eu>,13,0.30%,,,
1811,,1811,,,<0.8;15>,,,1,0.18%,,,
1812,,1812,,,<1.6;30.6>,,,1,0.18%,,,
1813,,1813,,,<2.2;106>,,,1,0.18%,,,
1841,,1841,,,<1.2;47>,,,1,0.55%,,,
1851,,1851,,,<0.7;16.8>,,,8,0.20%,,,
1852,,1852,,,<1.5;256.5>,,,8,0.20%,,,
1853,,1853,,,<1.3;26.6>,,,8,0.20%,,,
1861,,1861,,,<0.8;39.5>,,,10,0.20%,,,
1862,,1862,,,<1.1;87.6>,,,10,0.20%,,,
1863,,1863,,,<1.4;150.6>,,,10,0.20%,,,
1891,,1891,,,<0.6;42.1>,,,8,0.27%,,,
1892,,1892,,,<1.1;110.5>,,,8,0.27%,,,
1893,,1893,,,<1.5;102.6>,,,8,0.27%,,,
1901,,1901,,,<0.6;95.2>,,,9,0.27%,,,
1902,,1902,,TRUE,<1.2;202.5>,,,9,0.27%,,,
1903,,1903,,TRUE,<1.6;550>,,,9,0.27%,,,
1911,,1911,,,<1.7;230>,,<cn;kr;en;en_us;en_eu;tw>,9,0.80%,,,
1921,,1921,,,<1.8;175>,,<cn;kr;en;en_us;en_eu;tw>,10,0.80%,,,
1931,,1931,,,<1.9;205>,,<cn;kr;en;en_us;en_eu;tw>,9,0.80%,,,
1941,,1941,,,<1.4;40>,,<cn;kr;en;en_us;en_eu;tw>,10,0.80%,,,
1951,,1951,,,<2;60>,,<cn;kr;en;en_us;en_eu;tw>,8,0.80%,,,
1961,,1961,,,<4.5;352>,,,8,1.00%,,,
1962,,1962,,,<9.8;430>,,<cn;kr;en;en_us;en_eu;tw>,8,1.00%,,,
1971,,1971,,,<3.5;950>,,,9,1.00%,,,
1972,,1972,,,<5;999.7>,,<cn;kr;tw;en;en_us;en_eu>,9,1.00%,,,
1981,,1981,,,<7;206.5>,,,13,1.00%,,,
1982,,1982,,,<7;206.5>,,<cn;kr;tw;en;en_us;en_eu>,13,1.00%,,,
1991,,1991,,,<0.3;1.1>,,<cn;kr;tw;en;en_us;en_eu>,13,1.00%,,,
2011,,2011,,,<0.4;10.2>,,,1,0.13%,,,
2012,,2012,,,<1.1;97>,,,1,0.13%,,,
2013,,2013,,,<2.2;310>,,,1,0.13%,,,
2021,,2021,,,<0.5;6.2>,,<cn;kr;tw;en;en_us;en_eu>,7,0.27%,,,
2022,,2022,,,<0.9;22>,,<cn;kr;tw;en;en_us;en_eu>,7,0.27%,,,
2023,,2023,,,<1.2;55>,,<cn;kr;tw;en;en_us;en_eu>,7,0.27%,,,
2031,,2031,,,<0.4;5.2>,,<cn;kr;en;en_us;en_eu;tw>,8,0.27%,,,
2032,,2032,,,<0.8;23>,,<cn;kr;en;en_us;en_eu;tw>,8,0.27%,,,
2033,,2033,,,<1.7;84.5>,,<cn;kr;en;en_us;en_eu;tw>,8,0.27%,,,
2041,,2041,,,<0.3;2>,,<cn;kr;en;en_us;en_eu;tw>,7,0.27%,,,
2042,,2042,,,<0.6;15.5>,,<cn;kr;en;en_us;en_eu;tw>,7,0.27%,,,
2043,,2043,,,<1.2;24.9>,,<cn;kr;en;en_us;en_eu;tw>,7,0.27%,,,
2071,,2071,,,<0.5;9.5>,,,7,0.20%,,,
2072,,2072,,,<0.9;30.5>,,,7,0.20%,,,
2073,,2073,,,<1.4;42>,,,7,0.20%,,,
2121,,2121,,,<0.4;3.9>,,<cn;kr;en;en_us;en_eu;tw>,9,0.60%,,,
2131,,2131,,,<0.7;29.5>,,<cn;kr;en;en_us;en_eu;tw>,13,0.40%,,,
2132,,2132,,,<1.1;33.5>,,<cn;kr;en;en_us;en_eu;tw>,13,0.40%,,,
2231,,2231,,,<0.7;20.5>,,<cn;kr;en;en_us;en_eu;tw>,10,0.27%,,,
2232,,2232,,,<1.4;56>,,<cn;kr;en;en_us;en_eu;tw>,10,0.27%,,,
2233,,2233,,,<1.9;95>,,<cn;kr;en;en_us;en_eu;tw>,10,0.27%,,,
2241,,2241,,,<0.7;20.2>,,,8,0.40%,,,
2242,,2242,,,<1.2;54>,,,8,0.40%,,,
2243,,2243,,,<1.3;57.5>,,<cn;kr;en;en_us;en_eu;tw>,8,0.40%,,,
2271,,2271,,,<0.7;23>,,,7,0.30%,,,
2272,,2272,,,<1.3;44.4>,,,7,0.30%,,,
2301,,2301,,,<1;50.5>,,,13,0.30%,,,
2302,,2302,,,<2.2;135.5>,,,13,0.30%,,,
2303,,2303,,,<2.2;135.5>,,<cn;kr;en;en_us;en_eu;tw>,13,0.30%,,,
2321,,2321,,,<0.3;0.3>,FALSE,<cn>,10,0.80%,,,
2331,,2331,,,<0.3;0.3>,,<cn;kr;tw;en;en_us;en_eu>,8,0.80%,,,
2341,,2341,,,<0.3;0.3>,FALSE,<cn>,13,0.80%,,,
2351,,2351,,,<5.4;683>,,<cn;kr;tw;en;en_us;en_eu>,9,1.00%,,,
2352,,2352,,,<7;850>,,<cn;tw;en_us>,9,1.00%,,,
2361,,2361,,,<4.2;336>,,<cn;kr;tw;en;en_us;en_eu>,10,1.00%,,,
2362,,2362,,,<6.3;660>,,<cn>,10,1.00%,,,
2371,,2371,,,<1.7;430>,,<cn;kr;tw;en;en_us;en_eu>,8,0.80%,,,
2381,,2381,,,<3.7;420>,,<cn;kr;tw;en;en_us;en_eu>,7,1.00%,,,
2391,,2391,,,<4.5;750>,,<cn;kr;tw;en;en_us;en_eu>,1,0.70%,,,
2401,,2401,,,<1.5;85.6>,,<cn;kr;tw;en;en_us;en_eu>,13,0.80%,,,
2411,,2411,,,<0.4;3.1>,,<cn;kr;tw;en;en_us;en_eu>,9,0.80%,,,
2421,,2421,,,<0.3;1.4>,,<cn;kr;tw;en;en_us;en_eu>,9,1.00%,,,
2431,,2431,,,<1.5;50.5>,,<cn;kr;tw;en;en_us;en_eu>,8,1.00%,,,
2441,,2441,,,<0.2;2.1>,,<cn;kr;tw;en;en_us;en_eu>,1,0.70%,,,
2442,,2442,,,<0.2;2.1>,,<cn;kr;tw;en;en_us;en_eu>,1,0.70%,,,
2461,,2461,,,<0.4;4>,,<cn;kr;en;en_us;en_eu;tw>,10,1.00%,,,
2471,,2471,,,<0.6;8.1>,,<cn;kr;en;en_us;en_eu;tw>,8,0.27%,,,
2472,,2472,,,<0.8;16>,,<cn;kr;en;en_us;en_eu;tw>,8,0.27%,,,
2473,,2473,,,<3.3;63>,,<cn;kr;en;en_us;en_eu;tw>,8,0.27%,,,
2481,,2481,,,<0.5;9.9>,,,7,0.20%,,,
2482,,2482,,,<1;55.5>,,,7,0.20%,,,
2483,,2483,,,<1.6;150>,,,7,0.20%,,,
2491,,2491,,,<0.5;5.9>,,,1,0.18%,,,
2492,,2492,,,<0.8;24.5>,,,1,0.18%,,,
2493,,2493,,,<1.5;94.6>,,,1,0.18%,,,
2591,,2591,,,<0.4;18>,,,9,0.20%,,,
2592,,2592,,,<0.9;102>,,,9,0.20%,,,
2593,,2593,,,<1.7;260>,,,9,0.20%,,,
2611,,2611,,,<0.3;8.5>,,,9,0.30%,,,
2612,,2612,,,<0.7;40.4>,,,9,0.30%,,,
2631,,2631,,,<0.6;12.5>,,,9,0.20%,,,
2632,,2632,,,<1.2;40>,,,9,0.20%,,,
2633,,2633,,,<1.4;87>,,,9,0.20%,,,
2681,,2681,,,<0.4;5.3>,,,1,0.13%,,,
2682,,2682,,,<1.2;58.5>,,,1,0.13%,,,
2683,,2683,,,<2.5;200.5>,,,1,0.13%,,,
2721,,2721,,,<0.7;15.2>,,,1,0.18%,,,
2722,,2722,,,<1;33.4>,,,1,0.18%,,,
2723,,2723,,,<1.5;96.3>,,,1,0.18%,,,
2801,,2801,,,<0.5;9.5>,,<cn>,7,0.40%,,,
2802,,2802,,,<1.4;32>,,<cn>,7,0.40%,,,
2821,,2821,,,<0.7;12.5>,,,1,0.28%,,,
2822,,2822,,,<1.6;81.1>,,,1,0.28%,,,
2831,,2831,,,<0.4;5.8>,,<cn;kr;en;en_us;en_eu;tw>,10,0.20%,,,
2832,,2832,,,<0.5;7.5>,,<cn;kr;en;en_us;en_eu;tw>,10,0.20%,,,
2841,,2841,,,<0.4;5.8>,,<cn;kr;en;en_us;en_eu;tw>,10,0.20%,,,
2842,,2842,,,<0.7;18>,,<cn;kr;en;en_us;en_eu;tw>,10,0.20%,,,
2843,,2843,,,<1.5;44>,,<cn;kr;en;en_us;en_eu;tw>,10,0.20%,,,
2871,,2871,,,<0.4;5.7>,,,1,0.13%,,,
2872,,2872,,,<1.1;41>,,,1,0.13%,,,
2873,,2873,,,<1.3;57.5>,,,1,0.13%,,,
2891,,2891,,,<0.4;5>,,,13,0.60%,,,
2921,,2921,,,<1.2;33>,,,1,0.20%,,,
2922,,2922,,,<1.2;33>,,,1,0.20%,,,
2923,,2923,,,<2.2;135>,,,1,0.20%,,,
2924,,2924,,,<2.2;135>,,,1,0.20%,,,
2961,,2961,,,<0.3;21>,,,9,0.20%,,,
2962,,2962,,,<0.6;51>,,,9,0.20%,,,
2963,,2963,,,<0.6;81>,,,9,0.20%,,,
2991,,2991,,,<0.3;3.1>,,<cn;kr;en;en_us;en_eu;tw>,10,0.27%,,,
2992,,2992,,,<0.6;13>,,<cn;kr;en;en_us;en_eu;tw>,10,0.27%,,,
2993,,2993,,,<1;34.3>,,<cn;kr;en;en_us;en_eu;tw>,10,0.27%,,,
3001,,3001,,,<0.6;18>,,,1,0.18%,,,
3002,,3002,,,<1;36>,,,1,0.18%,,,
3003,,3003,,,<1.8;105.5>,,,1,0.18%,,,
