变量名,name,languages,drawlanguages,name_tw,name_en,name_kr,icon,desc,desc_tw,desc_en,desc_kr,desc1,desc1_tw,desc1_en,desc1_kr,quality,type,donateType,universalFragID,decomposeGain,combID,combCount,stackMax,effBtn,pageTag,sellPrice,autoComb,produceGate1,produceGate2,produceGate3,produceGate4,produceGate5,produceGate6,produceGate7,produceDesc,produceDesc_tw,produceDesc_en,produceDesc_kr,isFinal,rebirthRMB,effect,sortType,sortValue,canCompound,__version
20171,走路草碎片,,,,,,config/portrait/jinglingtouxiang/img_43_zlc@.png,集齐%d个碎片可以合成#C0xE77421#走路草#C0x55504D#,,,,,,,,3,,,502,{coin5=2},171,20,,,,,,drawCard-gold,,,,,,,,,,,,,,,,,
20191,毛球碎片,,,,,,config/portrait/jinglingtouxiang/img_48_mq@.png,集齐%d个碎片可以合成#C0xE77421#毛球#C0x55504D#,,,,,,,,3,,,502,{coin5=2},191,20,,,,,,drawCard-gold,,,,,,,,,,,,,,,,,
20211,喵喵碎片,,,,,,config/portrait/jinglingtouxiang/img_52_mm@.png,集齐%d个碎片可以合成#C0xE77421#喵喵#C0x55504D#,,,,,,,,,,,502,{coin5=5},211,30,,,,,,drawCard-gold,22601,22801,,,,,,,,,,,,,,,
20221,可达鸭碎片,<cn;kr;en;en_us;en_eu;tw>,,,,,config/portrait/jinglingtouxiang/img_54_kdy@.png,集齐%d个碎片可以合成#C0xE77421#可达鸭#C0x55504D#,,,,,,,,,,,502,{coin5=5},221,30,,,,,,drawCard-gold,shop-12,22001,,,,,,,,,,,,,,,
20231,猴怪碎片,,,,,,config/portrait/jinglingtouxiang/img_56_hg@.png,集齐%d个碎片可以合成#C0xE77421#猴怪#C0x55504D#,,,,,,,,3,,,502,{coin5=2},231,20,,,,,,drawCard-gold,,,,,,,,,,,,,,,,,
20241,卡蒂狗碎片,,,,,,config/portrait/jinglingtouxiang/img_58_kdg@.png,集齐%d个碎片可以合成#C0xE77421#卡蒂狗#C0x55504D#,,,,,,,,5,,,502,{coin5=10},241,50,,,,,,shop-6,drawCard-gold,22002,,,,,,,,,,,{drawcard=huang_effect_loop},,,,
20251,蚊香蝌蚪碎片,<cn;kr;tw;en;en_us;en_eu>,,,,,config/portrait/jinglingtouxiang/img_60_wxkd@.png,集齐%d个碎片可以合成#C0xE77421#蚊香蝌蚪#C0x55504D#,,,,,,,,5,,,502,{coin5=10},251,50,,,,,,shop-4,22804,,,,,,,,,,,,{drawcard=huang_effect_loop},,,,
20261,凯西碎片,,,,,,config/portrait/jinglingtouxiang/img_63_kx@.png,集齐%d个碎片可以合成#C0xE77421#凯西#C0x55504D#,,,,,,,,5,,,502,{coin5=10},261,50,,,,,,20503,21403,drawCard-gold,,,,,,,,,,,{drawcard=huang_effect_loop},,,,
20271,腕力碎片,,,,,,config/portrait/jinglingtouxiang/img_66_wl@.png,集齐%d个碎片可以合成#C0xE77421#腕力#C0x55504D#,,,,,,,,,,,502,{coin5=5},271,30,,,,,,20302,21903,shop-2,drawCard-gold,,,,,,,,,,,,,,
20281,喇叭芽碎片,,,,,,config/portrait/jinglingtouxiang/img_69_lby@.png,集齐%d个碎片可以合成#C0xE77421#口呆花#C0x55504D#,,,,,,,,,,,502,{coin5=5},281,30,,,,,,20504,21904,drawCard-gold,,,,,,,,,,,,,,,
20301,小拳石碎片,,,,,,config/portrait/jinglingtouxiang/img_74_xqs@.png,集齐%d个碎片可以合成#C0xE77421#小拳石#C0x55504D#,,,,,,,,,,,502,{coin5=5},301,30,,,,,,20704,drawCard-gold,,,,,,,,,,,,,,,,
20311,小火马碎片,<cn;kr;en_us;tw>,,,,,config/portrait/jinglingtouxiang/img_77_xhm@.png,集齐%d个碎片可以合成#C0xE77421#小火马#C0x55504D#,,,,,,,,5,,,502,{coin5=10},311,50,,,,,,,,,,,,,,,,,,,{drawcard=huang_effect_loop},,,,
20321,呆呆兽碎片,<cn;tw;en;en_us;en_eu;kr>,,,,,config/portrait/jinglingtouxiang/img_79_dds@.png,集齐%d个碎片可以合成#C0xE77421#呆呆兽#C0x55504D#,,,,,,,,5,,,502,{coin5=10},321,50,,,,,,22605,shop-2,shop-19,,,,,,,,,,,{drawcard=huang_effect_loop},,,,
20331,小磁怪碎片,,,,,,config/portrait/jinglingtouxiang/img_81_xcg@.png,集齐%d个碎片可以合成#C0xE77421#小磁怪#C0x55504D#,,,,,,,,5,,,502,{coin5=10},331,50,,,,,,20203,21405,drawCard-gold,,,,,,,,,,,{drawcard=huang_effect_loop},,,,
20341,大葱鸭碎片,<cn;kr;en;en_us;en_eu;tw>,,,,,config/portrait/jinglingtouxiang/img_83_dcy@.png,集齐%d个碎片可以合成#C0xE77421#大葱鸭#C0x55504D#,,,,,,,,,,,502,{coin5=5},341,30,,,,,,drawCard-gold,shop-12,22101,,,,,,,,,,,,,,,
20351,嘟嘟碎片,,,,,,config/portrait/jinglingtouxiang/img_84_dd@.png,集齐%d个碎片可以合成#C0xE77421#嘟嘟#C0x55504D#,,,,,,,,3,,,502,{coin5=2},351,20,,,,,,drawCard-gold,,,,,,,,,,,,,,,,,
20371,臭泥碎片,,,,,,config/portrait/jinglingtouxiang/img_88_cn@.png,集齐%d个碎片可以合成#C0xE77421#臭泥#C0x55504D#,,,,,,,,,,,502,{coin5=5},371,30,,,,,,20701,shop-6,drawCard-gold,,,,,,,,,,,,,,,
20381,大舌贝碎片,<cn;kr;en;en_us;en_eu;tw>,<cn>,,,,config/portrait/jinglingtouxiang/img_90_dsb@.png,集齐%d个碎片可以合成#C0xE77421#大舌贝#C0x55504D#,,,,,,,,5,,,502,{coin5=10},381,50,,,,,,townSupermarket,22703,,,,,,,,,,,,{drawcard=huang_effect_loop},,,,
20391,鬼斯碎片,,,,,,config/portrait/jinglingtouxiang/img_92_gs@.png,集齐%d个碎片可以合成#C0xE77421#鬼斯#C0x55504D#,,,,,,,,5,,,502,{coin5=10},391,50,,,,,,20605,21805,drawCard-gold,,,,,,,,,,,{drawcard=huang_effect_loop},,,,
20401,大岩蛇碎片,,,,,,config/portrait/jinglingtouxiang/img_95_dys@.png,集齐%d个碎片可以合成#C0xE77421#大岩蛇#C0x55504D#,,,,,,,,5,,,502,{coin5=10},401,50,,,,,,21301,shop-6,drawCard-gold,,,,,,,,,,,{drawcard=huang_effect_loop},,,,
20411,催眠貘碎片,,,,,,config/portrait/jinglingtouxiang/img_96_cmm@.png,集齐%d个碎片可以合成#C0xE77421#催眠貘#C0x55504D#,,,,,,,,5,,,502,{coin5=10},411,50,,,,,,,,,,,,,,,,,,,{drawcard=huang_effect_loop},,,,
20431,霹雳电球碎片,<cn;kr;tw;en;en_us;en_eu>,,,,,config/portrait/jinglingtouxiang/img_100_pldq@.png,集齐%d个碎片可以合成#C0xE77421#霹雳电球#C0x55504D#,,,,,,,,5,,,502,{coin5=10},431,50,,,,,,23005,,,,,,,,,,,,,{drawcard=huang_effect_loop},,,,
20441,蛋蛋碎片,<cn;kr;en;en_us;en_eu;tw>,,,,,config/portrait/jinglingtouxiang/img_102_dd@.png,集齐%d个碎片可以合成#C0xE77421#蛋蛋#C0x55504D#,,,,,,,,5,,,502,{coin5=10},441,50,,,,,,22604,,,,,,,,,,,,,{drawcard=huang_effect_loop},,,,
20451,卡拉卡拉碎片,,,,,,config/portrait/jinglingtouxiang/img_104_klkl@.png,集齐%d个碎片可以合成#C0xE77421#卡拉卡拉#C0x55504D#,,,,,,,,3,,,502,{coin5=2},451,20,,,,,,drawCard-gold,,,,,,,,,,,,,,,,,
20461,无畏小子碎片,,,,,,config/portrait/jinglingtouxiang/img_236_wwxz@.png,集齐%d个碎片可以合成#C0xE77421#无畏小子#C0x55504D#,,,,,,,,,,,502,{coin5=5},461,30,,,,,,20501,drawCard-gold,,,,,,,,,,,,,,,,
20471,大舌头碎片,,,,,,config/portrait/jinglingtouxiang/img_108_dst@.png,集齐%d个碎片可以合成#C0xE77421#大舌头#C0x55504D#,,,,,,,,,,,502,{coin5=5},471,30,,,,,,20201,shop-2,drawCard-gold,,,,,,,,,,,,,,,
20481,瓦斯弹碎片,,,,,,config/portrait/jinglingtouxiang/img_109_wsd@.png,集齐%d个碎片可以合成#C0xE77421#瓦斯弹#C0x55504D#,,,,,,,,,,,502,{coin5=5},481,30,,,,,,20604,drawCard-gold,,,,,,,,,,,,,,,,
20491,独角犀牛碎片,,,,,,config/portrait/jinglingtouxiang/img_111_djxn@.png,集齐%d个碎片可以合成#C0xE77421#独角犀牛#C0x55504D#,,,,,,,,5,,,502,{coin5=10},491,50,,,,,,shop-2,drawCard-gold,22102,,,,,,,,,,,{drawcard=huang_effect_loop},,,,
20501,小福蛋碎片,<cn;kr;en;en_us;en_eu;tw>,<cn>,,,,config/portrait/jinglingtouxiang/img_440_xfd@.png,集齐%d个碎片可以合成#C0xE77421#小福蛋#C0x55504D#,,,,,,,,5,,,502,{coin5=10},501,50,,,,,,townSupermarket,22803,,,,,,,,,,,,{drawcard=huang_effect_loop},,,,
20541,角金鱼碎片,,,,,,config/portrait/jinglingtouxiang/img_118_jjy@.png,集齐%d个碎片可以合成#C0xE77421#角金鱼#C0x55504D#,,,,,,,,3,,,502,{coin5=2},541,20,,,,,,drawCard-gold,,,,,,,,,,,,,,,,,
20551,海星星碎片,,,,,,config/portrait/jinglingtouxiang/img_120_hxx@.png,集齐%d个碎片可以合成#C0xE77421#海星星#C0x55504D#,,,,,,,,,,,502,{coin5=5},551,30,,,,,,20802,drawCard-gold,shop-6,,,,,,,,,,,,,,,
20561,魔尼尼碎片,<cn;kr;en;en_us;en_eu;tw>,,,,,config/portrait/jinglingtouxiang/img_439_mnn@.png,集齐%d个碎片可以合成#C0xE77421#魔尼尼#C0x55504D#,,,,,,,,5,,,502,{coin5=10},561,50,,,,,,shop-9,22705,shop-19,,,,,,,,,,,{drawcard=huang_effect_loop},,,,
20571,飞天螳螂碎片,,,,,,config/portrait/jinglingtouxiang/img_123_fttl@.png,集齐%d个碎片可以合成#C0xE77421#飞天螳螂#C0x55504D#,,,,,,,,5,,,502,{coin5=10},571,50,,,,,,20603,21902,shop-4,drawCard-gold,,,,,,,,,,{drawcard=huang_effect_loop},,,,
20591,电击怪碎片,,,,,,config/portrait/jinglingtouxiang/img_239_djg@.png,集齐%d个碎片可以合成#C0xE77421#电击怪#C0x55504D#,,,,,,,,5,,,502,{coin5=10},591,50,,,,,,20703,21802,shop-4,drawCard-gold,,,,,,,,,,{drawcard=huang_effect_loop},,,,
20601,鸭嘴宝宝碎片,,,,,,config/portrait/jinglingtouxiang/img_240_yzbb@.png,集齐%d个碎片可以合成#C0xE77421#鸭嘴宝宝#C0x55504D#,,,,,,,,5,,,502,{coin5=10},601,50,,,,,,20404,21905,shop-4,drawCard-gold,,,,,,,,,,{drawcard=huang_effect_loop},,,,
20611,凯罗斯碎片,<cn;kr;tw;en;en_us;en_eu>,<cn>,,,,config/portrait/jinglingtouxiang/img_127_kls@.png,集齐%d个碎片可以合成#C0xE77421#凯罗斯#C0x55504D#,,,,,,,,5,,,502,{coin5=10},611,50,,,,,,townSupermarket,,,,,,,,,,,,,{drawcard=huang_effect_loop},,,,
20631,暴鲤龙碎片,,,,,,config/portrait/jinglingtouxiang/img_130_bll@.png,集齐%d个碎片可以合成#C0xE77421#暴鲤龙#C0x55504D#,,,,,,,,5,,,502,{coin5=10},631,50,,,,,,21003,shop-4,drawCard-gold,,,,,,,,,,,{drawcard=huang_effect_loop},,,,
20641,拉普拉斯碎片,<cn;kr;tw;en;en_us;en_eu>,<cn;kr;tw;en;en_us;en_eu>,,,,config/portrait/jinglingtouxiang/img_131_lpls@.png,集齐%d个碎片可以合成#C0xE77421#拉普拉斯#C0x55504D#,,,,,,,,5,,,502,{coin5=10},641,50,,,,,,shop-13,drawCard-gold,22403,,,,,,,,,,,{drawcard=huang_effect_loop},,,,
20691,化石盔碎片,,,,,,config/portrait/jinglingtouxiang/img_140_hsk@.png,集齐%d个碎片可以合成#C0xE77421#化石盔#C0x55504D#,,,,,,,,,,,502,{coin5=5},691,30,,,,,,21401,drawCard-gold,,,,,,,,,,,,,,,,
20701,化石翼龙碎片,<cn;kr;en;en_us;en_eu;tw>,<cn;kr;en;en_us;en_eu;tw>,,,,config/portrait/jinglingtouxiang/img_142_hsyl@.png,集齐%d个碎片可以合成#C0xE77421#化石翼龙#C0x55504D#,,,,,,,,5,,,502,{coin5=10},701,50,,,,,,22602,,,,,,,,,,,,,{drawcard=huang_effect_loop},,,,
20711,小卡比兽碎片,<cn;tw;kr;en;en_us;en_eu>,<cn;tw;kr;en;en_us;en_eu>,,,,config/portrait/jinglingtouxiang/img_446_xkbs@.png,集齐%d个碎片可以合成#C0xE77421#小卡比兽#C0x55504D#,,,,,,,,5,,,502,{coin5=10},711,50,,,,,,shop-7,drawCard-gold,,,,,,,,,,,,{drawcard=huang_effect_loop},,,,
20721,急冻鸟碎片,,,,,,config/portrait/jinglingtouxiang/img_144_jdn@.png,集齐%d个碎片可以合成#C0xE77421#急冻鸟#C0x55504D#,,,,,,,,5,,,502,{coin5=10},721,50,,,,,,shop-9,drawCard-gold,,,,,,,,,,,,{drawcard=huang_effect_loop},,,,
20731,闪电鸟碎片,,,,,,config/portrait/jinglingtouxiang/img_145_sdn@.png,集齐%d个碎片可以合成#C0xE77421#闪电鸟#C0x55504D#,,,,,,,,5,,,502,{coin5=10},731,50,,,,,,shop-2,drawCard-gold,,,,,,,,,,,,{drawcard=huang_effect_loop},,,,
20741,火焰鸟碎片,,,,,,config/portrait/jinglingtouxiang/img_146_hyn@.png,集齐%d个碎片可以合成#C0xE77421#火焰鸟#C0x55504D#,,,,,,,,5,,,502,{coin5=10},741,50,,,,,,shop-7,drawCard-gold,,,,,,,,,,,,{drawcard=huang_effect_loop},,,,
20751,快龙碎片,,,,,,config/portrait/jinglingtouxiang/img_149_kl@.png,集齐%d个碎片可以合成#C0xE77421#快龙#C0x55504D#,,,,,,,,5,,,502,{coin5=10},753,50,,,,,,shop-9,,,,,,,,,,,,,{drawcard=huang_effect_loop},,,,
20761,超梦碎片,,,,,,config/portrait/jinglingtouxiang/img_150_cm@.png,集齐%d个碎片可以合成#C0xE77421#超梦#C0x55504D#,,,,,,,,6,,0,521,{coin5=30},761,80,,,,,,,,,,,,,,,,,,,{drawcard=hong_effect_loop},,,,
20771,梦幻碎片,,,,,,config/portrait/jinglingtouxiang/img_151_mh@.png,集齐%d个碎片可以合成#C0xE77421#梦幻#C0x55504D#,,,,,,,,5,,,502,{coin5=10},771,50,,,,,,,,,,,,,,,,,,,{drawcard=huang_effect_loop},,,,
20781,菊草叶碎片,,,,,,config/portrait/jinglingtouxiang/img_152_jcy@.png,集齐%d个碎片可以合成#C0xE77421#菊草叶#C0x55504D#,,,,,,,,,,,502,{coin5=5},781,30,,,,,,20101,shop-6,drawCard-gold,,,,,,,,,,,,,,,
20791,火球鼠碎片,,,,,,config/portrait/jinglingtouxiang/img_155_hqs@.png,集齐%d个碎片可以合成#C0xE77421#火球鼠#C0x55504D#,,,,,,,,,,,502,{coin5=5},791,30,,,,,,20902,drawCard-gold,,,,,,,,,,,,,,,,
20801,小锯鳄碎片,,,,,,config/portrait/jinglingtouxiang/img_158_xje@.png,集齐%d个碎片可以合成#C0xE77421#小锯鳄#C0x55504D#,,,,,,,,,,,502,{coin5=5},801,30,,,,,,20602,drawCard-gold,,,,,,,,,,,,,,,,
20861,波克比碎片,<cn;kr;tw;en;en_us;en_eu>,,,,,config/portrait/jinglingtouxiang/img_175_bkb@.png,集齐%d个碎片可以合成#C0xE77421#波克比#C0x55504D#,,,,,,,,5,,,502,{coin5=10},861,50,,,,,,shop-17,22405,drawCard-gold,,,,,,,,,,,{drawcard=huang_effect_loop},,,,
20881,咩利羊碎片,,,,,,config/portrait/jinglingtouxiang/img_179_mly@.png,集齐%d个碎片可以合成#C0xE77421#咩利羊#C0x55504D#,,,,,,,,5,,,502,{coin5=10},881,50,,,,,,20903,21804,shop-6,drawCard-gold,,,,,,,,,,{drawcard=huang_effect_loop},,,,
20891,露力丽碎片,,,,,,config/portrait/jinglingtouxiang/img_298_lll@.png,集齐%d个碎片可以合成#C0xE77421#露力丽#C0x55504D#,,,,,,,,3,,,502,{coin5=2},891,20,,,,,,drawCard-gold,,,,,,,,,,,,,,,,,
20901,盆才怪碎片,<cn;kr;tw;en;en_us;en_eu>,,,,,config/portrait/jinglingtouxiang/img_438_pcg@.png,集齐%d个碎片可以合成#C0xE77421#盆才怪#C0x55504D#,,,,,,,,5,,,502,{coin5=10},901,50,,,,,,23002,,,,,,,,,,,,,{drawcard=huang_effect_loop},,,,
20971,梦妖碎片,,,,,,config/portrait/jinglingtouxiang/img_200_my@.png,集齐%d个碎片可以合成#C0xE77421#梦妖#C0x55504D#,,,,,,,,5,,,502,{coin5=10},971,50,,,,,,shop-15,,,,,,,,,,,,,{drawcard=huang_effect_loop},,,,
20991,小果然碎片,<cn;kr;tw;en;en_us;en_eu>,,,,,config/portrait/jinglingtouxiang/img_360_xgr@.png,集齐%d个碎片可以合成#C0xE77421#小果然#C0x55504D#,,,,,,,,5,,,502,{coin5=10},991,50,,,,,,shop-19,,,,,,,,,,,,,{drawcard=huang_effect_loop},,,,
21031,天蝎碎片,<cn;tw;kr;en;en_us;en_eu>,<cn;tw;kr;en;en_us;en_eu>,,,,config/portrait/jinglingtouxiang/img_207_tx@.png,集齐%d个碎片可以合成#C0xE77421#天蝎#C0x55504D#,,,,,,,,5,,,502,{coin5=10},1031,50,,,,,,shop-15,drawCard-gold,22503,,,,,,,,,,,{drawcard=huang_effect_loop},,,,
21071,赫拉克罗斯碎片,,,,,,config/portrait/jinglingtouxiang/img_214_hlkls@.png,集齐%d个碎片可以合成#C0xE77421#赫拉克罗斯#C0x55504D#,,,,,,,,5,,,502,{coin5=10},1071,50,,,,,,21205,shop-6,drawCard-gold,,,,,,,,,,,{drawcard=huang_effect_loop},,,,
21081,狃拉碎片,,,,,,config/portrait/jinglingtouxiang/img_215_nl@.png,集齐%d个碎片可以合成#C0xE77421#狃拉#C0x55504D#,,,,,,,,5,,,502,{coin5=10},1081,50,,,,,,shop-2,drawCard-gold,22204,,,,,,,,,,,{drawcard=huang_effect_loop},,,,
21111,小山猪碎片,<cn>,<cn>,,,,config/portrait/jinglingtouxiang/img_220_xsz@.png,集齐%d个碎片可以合成#C0xE77421#小山猪#C0x55504D#,,,,,,,,5,,,502,{coin5=10},1111,50,,,,,,,,,,,,,,,,,,,{drawcard=huang_effect_loop},,,,
21141,信使鸟碎片,<cn>,,,,,config/portrait/jinglingtouxiang/img_225_xsn@.png,集齐%d个碎片可以合成#C0xE77421#信使鸟#C0x55504D#,,,,,,,,5,,,502,{coin5=10},1141,50,,,,,,,,,,,,,,,,,,,{drawcard=huang_effect_loop},,,,
21171,戴鲁比碎片,,,,,,config/portrait/jinglingtouxiang/img_228_dlb@.png,集齐%d个碎片可以合成#C0xE77421#戴鲁比#C0x55504D#,,,,,,,,5,,,502,{coin5=10},1171,50,,,,,,21305,21704,shop-6,drawCard-gold,,,,,,,,,,{drawcard=huang_effect_loop},,,,
21221,雷公碎片,,,,,,config/portrait/jinglingtouxiang/img_243_lg@.png,集齐%d个碎片可以合成#C0xE77421#雷公#C0x55504D#,,,,,,,,5,,,502,{coin5=10},1221,50,,,,,,21402,drawCard-gold,,,,,,,,,,,,{drawcard=huang_effect_loop},,,,
21231,炎帝碎片,,,,,,config/portrait/jinglingtouxiang/img_244_yd@.png,集齐%d个碎片可以合成#C0xE77421#炎帝#C0x55504D#,,,,,,,,5,,,502,{coin5=10},1231,50,,,,,,21604,drawCard-gold,,,,,,,,,,,,{drawcard=huang_effect_loop},,,,
21241,水君碎片,,,,,,config/portrait/jinglingtouxiang/img_245_sj@.png,集齐%d个碎片可以合成#C0xE77421#水君#C0x55504D#,,,,,,,,5,,,502,{coin5=10},1241,50,,,,,,21504,drawCard-gold,,,,,,,,,,,,{drawcard=huang_effect_loop},,,,
21251,幼基拉斯碎片,,,,,,config/portrait/jinglingtouxiang/img_246_yjls@.png,集齐%d个碎片可以合成#C0xE77421#幼基拉斯#C0x55504D#,,,,,,,,5,,,502,{coin5=10},1251,50,,,,,,shop-7,drawCard-gold,21505,,,,,,,,,,,{drawcard=huang_effect_loop},,,,
21261,洛奇亚碎片,,,,,,config/portrait/jinglingtouxiang/img_249_lqy@.png,集齐%d个碎片可以合成#C0xE77421#洛奇亚#C0x55504D#,,,,,,,,6,,0,521,{coin5=30},1261,80,,,,,,shop-15,,,,,,,,,,,,,{drawcard=hong_effect_loop},,,,
