34,道馆1_难度1,80003,{11=1.1},10,<1.89;1.61>,<0.75;0.83>,<0.75;0.83>,<0.99;0.85>,<0.99;0.85>,<0.89;0.89>,,,,,,
35,道馆1_难度1,80003,{11=1.1},11,<1.89;1.61>,<0.75;0.83>,<0.75;0.83>,<0.99;0.85>,<0.99;0.85>,<0.89;0.89>,,,,,,
36,道馆1_难度1,80003,{11=1.1},12,<1.89;1.61>,<0.75;0.83>,<0.75;0.83>,<0.99;0.85>,<0.99;0.85>,<0.89;0.89>,,,,,,
37,道馆1_难度1,80004,,1,<1.4;1.19>,<0.55;0.62>,<0.55;0.62>,<0.74;0.63>,<0.74;0.63>,<0.87;0.87>,,,,,,
38,道馆1_难度1,80004,,2,<1.4;1.19>,<0.55;0.62>,<0.55;0.62>,<0.74;0.63>,<0.74;0.63>,<0.87;0.87>,,,,,,
39,道馆1_难度1,80004,,3,<1.4;1.19>,<0.55;0.62>,<0.55;0.62>,<0.74;0.63>,<0.74;0.63>,<0.87;0.87>,,,,,,
40,道馆1_难度1,80004,,4,<1.4;1.19>,<0.55;0.62>,<0.55;0.62>,<0.74;0.63>,<0.74;0.63>,<0.87;0.87>,,,,,,
41,道馆1_难度1,80004,,5,<1.4;1.19>,<0.55;0.62>,<0.55;0.62>,<0.74;0.63>,<0.74;0.63>,<0.87;0.87>,,,,,,
42,道馆1_难度1,80004,,6,<1.4;1.19>,<0.55;0.62>,<0.55;0.62>,<0.74;0.63>,<0.74;0.63>,<0.87;0.87>,,,,,,
43,道馆1_难度1,80004,,7,<1.4;1.19>,<0.55;0.62>,<0.55;0.62>,<0.74;0.63>,<0.74;0.63>,<0.87;0.87>,,,,,,
44,道馆1_难度1,80004,,8,<1.4;1.19>,<0.55;0.62>,<0.55;0.62>,<0.74;0.63>,<0.74;0.63>,<0.87;0.87>,,,,,,
45,道馆1_难度1,80004,,9,<1.4;1.19>,<0.55;0.62>,<0.55;0.62>,<0.74;0.63>,<0.74;0.63>,<0.87;0.87>,,,,,,
46,道馆1_难度1,80004,,10,<1.4;1.19>,<0.55;0.62>,<0.55;0.62>,<0.74;0.63>,<0.74;0.63>,<0.87;0.87>,,,,,,
47,道馆1_难度1,80004,,11,<1.4;1.19>,<0.55;0.62>,<0.55;0.62>,<0.74;0.63>,<0.74;0.63>,<0.87;0.87>,,,,,,
48,道馆1_难度1,80004,,12,<1.4;1.19>,<0.55;0.62>,<0.55;0.62>,<0.74;0.63>,<0.74;0.63>,<0.87;0.87>,,,,,,
49,道馆1_难度1,80005,,1,<1.4;1.19>,<0.55;0.62>,<0.55;0.62>,<0.74;0.63>,<0.74;0.63>,<0.87;0.87>,,,,,,
50,道馆1_难度1,80005,,2,<1.4;1.19>,<0.55;0.62>,<0.55;0.62>,<0.74;0.63>,<0.74;0.63>,<0.87;0.87>,,,,,,
51,道馆1_难度1,80005,,3,<1.4;1.19>,<0.55;0.62>,<0.55;0.62>,<0.74;0.63>,<0.74;0.63>,<0.87;0.87>,,,,,,
52,道馆1_难度1,80005,,4,<1.4;1.19>,<0.55;0.62>,<0.55;0.62>,<0.74;0.63>,<0.74;0.63>,<0.87;0.87>,,,,,,
53,道馆1_难度1,80005,,5,<1.4;1.19>,<0.55;0.62>,<0.55;0.62>,<0.74;0.63>,<0.74;0.63>,<0.87;0.87>,,,,,,
54,道馆1_难度1,80005,,6,<1.4;1.19>,<0.55;0.62>,<0.55;0.62>,<0.74;0.63>,<0.74;0.63>,<0.87;0.87>,,,,,,
55,道馆1_难度1,80005,,7,<1.4;1.19>,<0.55;0.62>,<0.55;0.62>,<0.74;0.63>,<0.74;0.63>,<0.87;0.87>,,,,,,
56,道馆1_难度1,80005,,8,<1.4;1.19>,<0.55;0.62>,<0.55;0.62>,<0.74;0.63>,<0.74;0.63>,<0.87;0.87>,,,,,,
57,道馆1_难度1,80005,,9,<1.4;1.19>,<0.55;0.62>,<0.55;0.62>,<0.74;0.63>,<0.74;0.63>,<0.87;0.87>,,,,,,
58,道馆1_难度1,80005,,10,<1.4;1.19>,<0.55;0.62>,<0.55;0.62>,<0.74;0.63>,<0.74;0.63>,<0.87;0.87>,,,,,,
59,道馆1_难度1,80005,,11,<1.4;1.19>,<0.55;0.62>,<0.55;0.62>,<0.74;0.63>,<0.74;0.63>,<0.87;0.87>,,,,,,
60,道馆1_难度1,80005,,12,<1.4;1.19>,<0.55;0.62>,<0.55;0.62>,<0.74;0.63>,<0.74;0.63>,<0.87;0.87>,,,,,,
61,道馆1_难度1,80006,,1,<1.4;1.19>,<0.55;0.62>,<0.55;0.62>,<0.74;0.63>,<0.74;0.63>,<0.87;0.87>,,,,,,
62,道馆1_难度1,80006,,2,<1.4;1.19>,<0.55;0.62>,<0.55;0.62>,<0.74;0.63>,<0.74;0.63>,<0.87;0.87>,,,,,,
63,道馆1_难度1,80006,,3,<1.4;1.19>,<0.55;0.62>,<0.55;0.62>,<0.74;0.63>,<0.74;0.63>,<0.87;0.87>,,,,,,
64,道馆1_难度1,80006,,4,<1.4;1.19>,<0.55;0.62>,<0.55;0.62>,<0.74;0.63>,<0.74;0.63>,<0.87;0.87>,,,,,,
65,道馆1_难度1,80006,,5,<1.4;1.19>,<0.55;0.62>,<0.55;0.62>,<0.74;0.63>,<0.74;0.63>,<0.87;0.87>,,,,,,
66,道馆1_难度1,80006,,6,<1.4;1.19>,<0.55;0.62>,<0.55;0.62>,<0.74;0.63>,<0.74;0.63>,<0.87;0.87>,,,,,,
67,道馆1_难度1,80006,,7,<1.4;1.19>,<0.55;0.62>,<0.55;0.62>,<0.74;0.63>,<0.74;0.63>,<0.87;0.87>,,,,,,
68,道馆1_难度1,80006,,8,<1.4;1.19>,<0.55;0.62>,<0.55;0.62>,<0.74;0.63>,<0.74;0.63>,<0.87;0.87>,,,,,,
69,道馆1_难度1,80006,,9,<1.4;1.19>,<0.55;0.62>,<0.55;0.62>,<0.74;0.63>,<0.74;0.63>,<0.87;0.87>,,,,,,
70,道馆1_难度1,80006,,10,<1.4;1.19>,<0.55;0.62>,<0.55;0.62>,<0.74;0.63>,<0.74;0.63>,<0.87;0.87>,,,,,,
71,道馆1_难度1,80006,,11,<1.4;1.19>,<0.55;0.62>,<0.55;0.62>,<0.74;0.63>,<0.74;0.63>,<0.87;0.87>,,,,,,
72,道馆1_难度1,80006,,12,<1.4;1.19>,<0.55;0.62>,<0.55;0.62>,<0.74;0.63>,<0.74;0.63>,<0.87;0.87>,,,,,,
73,道馆1_难度2,80011,{11=1.1},1,<1.68;1.43>,<0.66;0.74>,<0.66;0.74>,<0.88;0.76>,<0.88;0.76>,<0.88;0.88>,,,,,,
74,道馆1_难度2,80011,{11=1.1},2,<1.68;1.43>,<0.66;0.74>,<0.66;0.74>,<0.88;0.76>,<0.88;0.76>,<0.88;0.88>,,,,,,
75,道馆1_难度2,80011,{11=1.1},3,<1.68;1.43>,<0.66;0.74>,<0.66;0.74>,<0.88;0.76>,<0.88;0.76>,<0.88;0.88>,,,,,,
76,道馆1_难度2,80011,{11=1.1},4,<1.68;1.43>,<0.66;0.74>,<0.66;0.74>,<0.88;0.76>,<0.88;0.76>,<0.88;0.88>,,,,,,
77,道馆1_难度2,80011,{11=1.1},5,<1.68;1.43>,<0.66;0.74>,<0.66;0.74>,<0.88;0.76>,<0.88;0.76>,<0.88;0.88>,,,,,,
78,道馆1_难度2,80011,{11=1.1},6,<1.68;1.43>,<0.66;0.74>,<0.66;0.74>,<0.88;0.76>,<0.88;0.76>,<0.88;0.88>,,,,,,
79,道馆1_难度2,80011,{11=1.1},7,<1.68;1.43>,<0.66;0.74>,<0.66;0.74>,<0.88;0.76>,<0.88;0.76>,<0.88;0.88>,,,,,,
80,道馆1_难度2,80011,{11=1.1},8,<1.68;1.43>,<0.66;0.74>,<0.66;0.74>,<0.88;0.76>,<0.88;0.76>,<0.88;0.88>,,,,,,
81,道馆1_难度2,80011,{11=1.1},9,<1.68;1.43>,<0.66;0.74>,<0.66;0.74>,<0.88;0.76>,<0.88;0.76>,<0.88;0.88>,,,,,,
82,道馆1_难度2,80011,{11=1.1},10,<1.68;1.43>,<0.66;0.74>,<0.66;0.74>,<0.88;0.76>,<0.88;0.76>,<0.88;0.88>,,,,,,
83,道馆1_难度2,80011,{11=1.1},11,<1.68;1.43>,<0.66;0.74>,<0.66;0.74>,<0.88;0.76>,<0.88;0.76>,<0.88;0.88>,,,,,,
84,道馆1_难度2,80011,{11=1.1},12,<1.68;1.43>,<0.66;0.74>,<0.66;0.74>,<0.88;0.76>,<0.88;0.76>,<0.88;0.88>,,,,,,
85,道馆1_难度2,80012,{11=1.1},1,<1.68;1.43>,<0.66;0.74>,<0.66;0.74>,<0.88;0.76>,<0.88;0.76>,<0.88;0.88>,,,,,,
86,道馆1_难度2,80012,{11=1.1},2,<1.68;1.43>,<0.66;0.74>,<0.66;0.74>,<0.88;0.76>,<0.88;0.76>,<0.88;0.88>,,,,,,
87,道馆1_难度2,80012,{11=1.1},3,<1.68;1.43>,<0.66;0.74>,<0.66;0.74>,<0.88;0.76>,<0.88;0.76>,<0.88;0.88>,,,,,,
88,道馆1_难度2,80012,{11=1.1},4,<1.68;1.43>,<0.66;0.74>,<0.66;0.74>,<0.88;0.76>,<0.88;0.76>,<0.88;0.88>,,,,,,
89,道馆1_难度2,80012,{11=1.1},5,<1.68;1.43>,<0.66;0.74>,<0.66;0.74>,<0.88;0.76>,<0.88;0.76>,<0.88;0.88>,,,,,,
90,道馆1_难度2,80012,{11=1.1},6,<1.68;1.43>,<0.66;0.74>,<0.66;0.74>,<0.88;0.76>,<0.88;0.76>,<0.88;0.88>,,,,,,
91,道馆1_难度2,80012,{11=1.1},7,<1.68;1.43>,<0.66;0.74>,<0.66;0.74>,<0.88;0.76>,<0.88;0.76>,<0.88;0.88>,,,,,,
92,道馆1_难度2,80012,{11=1.1},8,<1.68;1.43>,<0.66;0.74>,<0.66;0.74>,<0.88;0.76>,<0.88;0.76>,<0.88;0.88>,,,,,,
93,道馆1_难度2,80012,{11=1.1},9,<1.68;1.43>,<0.66;0.74>,<0.66;0.74>,<0.88;0.76>,<0.88;0.76>,<0.88;0.88>,,,,,,
94,道馆1_难度2,80012,{11=1.1},10,<1.68;1.43>,<0.66;0.74>,<0.66;0.74>,<0.88;0.76>,<0.88;0.76>,<0.88;0.88>,,,,,,
95,道馆1_难度2,80012,{11=1.1},11,<1.68;1.43>,<0.66;0.74>,<0.66;0.74>,<0.88;0.76>,<0.88;0.76>,<0.88;0.88>,,,,,,
96,道馆1_难度2,80012,{11=1.1},12,<1.68;1.43>,<0.66;0.74>,<0.66;0.74>,<0.88;0.76>,<0.88;0.76>,<0.88;0.88>,,,,,,
97,道馆1_难度2,80013,{11=1.1},1,<1.68;1.43>,<0.66;0.74>,<0.66;0.74>,<0.88;0.76>,<0.88;0.76>,<0.88;0.88>,,,,,,
98,道馆1_难度2,80013,{11=1.1},2,<1.68;1.43>,<0.66;0.74>,<0.66;0.74>,<0.88;0.76>,<0.88;0.76>,<0.88;0.88>,,,,,,
99,道馆1_难度2,80013,{11=1.1},3,<1.68;1.43>,<0.66;0.74>,<0.66;0.74>,<0.88;0.76>,<0.88;0.76>,<0.88;0.88>,,,,,,
100,道馆1_难度2,80013,{11=1.1},4,<1.68;1.43>,<0.66;0.74>,<0.66;0.74>,<0.88;0.76>,<0.88;0.76>,<0.88;0.88>,,,,,,
101,道馆1_难度2,80013,{11=1.1},5,<1.68;1.43>,<0.66;0.74>,<0.66;0.74>,<0.88;0.76>,<0.88;0.76>,<0.88;0.88>,,,,,,
102,道馆1_难度2,80013,{11=1.1},6,<1.68;1.43>,<0.66;0.74>,<0.66;0.74>,<0.88;0.76>,<0.88;0.76>,<0.88;0.88>,,,,,,
103,道馆1_难度2,80013,{11=1.1},7,<1.68;1.43>,<0.66;0.74>,<0.66;0.74>,<0.88;0.76>,<0.88;0.76>,<0.88;0.88>,,,,,,
104,道馆1_难度2,80013,{11=1.1},8,<1.68;1.43>,<0.66;0.74>,<0.66;0.74>,<0.88;0.76>,<0.88;0.76>,<0.88;0.88>,,,,,,
105,道馆1_难度2,80013,{11=1.1},9,<1.68;1.43>,<0.66;0.74>,<0.66;0.74>,<0.88;0.76>,<0.88;0.76>,<0.88;0.88>,,,,,,
106,道馆1_难度2,80013,{11=1.1},10,<1.68;1.43>,<0.66;0.74>,<0.66;0.74>,<0.88;0.76>,<0.88;0.76>,<0.88;0.88>,,,,,,
107,道馆1_难度2,80013,{11=1.1},11,<1.68;1.43>,<0.66;0.74>,<0.66;0.74>,<0.88;0.76>,<0.88;0.76>,<0.88;0.88>,,,,,,
108,道馆1_难度2,80013,{11=1.1},12,<1.68;1.43>,<0.66;0.74>,<0.66;0.74>,<0.88;0.76>,<0.88;0.76>,<0.88;0.88>,,,,,,
109,道馆1_难度2,80014,,1,<1.68;1.43>,<0.66;0.74>,<0.66;0.74>,<0.88;0.76>,<0.88;0.76>,<0.88;0.88>,,,,,,
110,道馆1_难度2,80014,,2,<1.68;1.43>,<0.66;0.74>,<0.66;0.74>,<0.88;0.76>,<0.88;0.76>,<0.88;0.88>,,,,,,
111,道馆1_难度2,80014,,3,<1.68;1.43>,<0.66;0.74>,<0.66;0.74>,<0.88;0.76>,<0.88;0.76>,<0.88;0.88>,,,,,,
112,道馆1_难度2,80014,,4,<1.68;1.43>,<0.66;0.74>,<0.66;0.74>,<0.88;0.76>,<0.88;0.76>,<0.88;0.88>,,,,,,
113,道馆1_难度2,80014,,5,<1.68;1.43>,<0.66;0.74>,<0.66;0.74>,<0.88;0.76>,<0.88;0.76>,<0.88;0.88>,,,,,,
114,道馆1_难度2,80014,,6,<1.68;1.43>,<0.66;0.74>,<0.66;0.74>,<0.88;0.76>,<0.88;0.76>,<0.88;0.88>,,,,,,
115,道馆1_难度2,80014,,7,<1.68;1.43>,<0.66;0.74>,<0.66;0.74>,<0.88;0.76>,<0.88;0.76>,<0.88;0.88>,,,,,,
116,道馆1_难度2,80014,,8,<1.68;1.43>,<0.66;0.74>,<0.66;0.74>,<0.88;0.76>,<0.88;0.76>,<0.88;0.88>,,,,,,
117,道馆1_难度2,80014,,9,<1.68;1.43>,<0.66;0.74>,<0.66;0.74>,<0.88;0.76>,<0.88;0.76>,<0.88;0.88>,,,,,,
118,道馆1_难度2,80014,,10,<1.68;1.43>,<0.66;0.74>,<0.66;0.74>,<0.88;0.76>,<0.88;0.76>,<0.88;0.88>,,,,,,
119,道馆1_难度2,80014,,11,<1.68;1.43>,<0.66;0.74>,<0.66;0.74>,<0.88;0.76>,<0.88;0.76>,<0.88;0.88>,,,,,,
120,道馆1_难度2,80014,,12,<1.68;1.43>,<0.66;0.74>,<0.66;0.74>,<0.88;0.76>,<0.88;0.76>,<0.88;0.88>,,,,,,
121,道馆1_难度2,80015,,1,<1.68;1.43>,<0.66;0.74>,<0.66;0.74>,<0.88;0.76>,<0.88;0.76>,<0.88;0.88>,,,,,,
122,道馆1_难度2,80015,,2,<1.68;1.43>,<0.66;0.74>,<0.66;0.74>,<0.88;0.76>,<0.88;0.76>,<0.88;0.88>,,,,,,
123,道馆1_难度2,80015,,3,<1.68;1.43>,<0.66;0.74>,<0.66;0.74>,<0.88;0.76>,<0.88;0.76>,<0.88;0.88>,,,,,,
124,道馆1_难度2,80015,,4,<1.68;1.43>,<0.66;0.74>,<0.66;0.74>,<0.88;0.76>,<0.88;0.76>,<0.88;0.88>,,,,,,
125,道馆1_难度2,80015,,5,<1.68;1.43>,<0.66;0.74>,<0.66;0.74>,<0.88;0.76>,<0.88;0.76>,<0.88;0.88>,,,,,,
126,道馆1_难度2,80015,,6,<1.68;1.43>,<0.66;0.74>,<0.66;0.74>,<0.88;0.76>,<0.88;0.76>,<0.88;0.88>,,,,,,
127,道馆1_难度2,80015,,7,<1.68;1.43>,<0.66;0.74>,<0.66;0.74>,<0.88;0.76>,<0.88;0.76>,<0.88;0.88>,,,,,,
128,道馆1_难度2,80015,,8,<1.68;1.43>,<0.66;0.74>,<0.66;0.74>,<0.88;0.76>,<0.88;0.76>,<0.88;0.88>,,,,,,
129,道馆1_难度2,80015,,9,<1.68;1.43>,<0.66;0.74>,<0.66;0.74>,<0.88;0.76>,<0.88;0.76>,<0.88;0.88>,,,,,,
130,道馆1_难度2,80015,,10,<1.68;1.43>,<0.66;0.74>,<0.66;0.74>,<0.88;0.76>,<0.88;0.76>,<0.88;0.88>,,,,,,
131,道馆1_难度2,80015,,11,<1.68;1.43>,<0.66;0.74>,<0.66;0.74>,<0.88;0.76>,<0.88;0.76>,<0.88;0.88>,,,,,,
132,道馆1_难度2,80015,,12,<1.68;1.43>,<0.66;0.74>,<0.66;0.74>,<0.88;0.76>,<0.88;0.76>,<0.88;0.88>,,,,,,
133,道馆1_难度2,80016,,1,<1.68;1.43>,<0.66;0.74>,<0.66;0.74>,<0.88;0.76>,<0.88;0.76>,<0.88;0.88>,,,,,,
134,道馆1_难度2,80016,,2,<1.68;1.43>,<0.66;0.74>,<0.66;0.74>,<0.88;0.76>,<0.88;0.76>,<0.88;0.88>,,,,,,
135,道馆1_难度2,80016,,3,<1.68;1.43>,<0.66;0.74>,<0.66;0.74>,<0.88;0.76>,<0.88;0.76>,<0.88;0.88>,,,,,,
136,道馆1_难度2,80016,,4,<1.68;1.43>,<0.66;0.74>,<0.66;0.74>,<0.88;0.76>,<0.88;0.76>,<0.88;0.88>,,,,,,
137,道馆1_难度2,80016,,5,<1.68;1.43>,<0.66;0.74>,<0.66;0.74>,<0.88;0.76>,<0.88;0.76>,<0.88;0.88>,,,,,,
138,道馆1_难度2,80016,,6,<1.68;1.43>,<0.66;0.74>,<0.66;0.74>,<0.88;0.76>,<0.88;0.76>,<0.88;0.88>,,,,,,
139,道馆1_难度2,80016,,7,<1.68;1.43>,<0.66;0.74>,<0.66;0.74>,<0.88;0.76>,<0.88;0.76>,<0.88;0.88>,,,,,,
140,道馆1_难度2,80016,,8,<1.68;1.43>,<0.66;0.74>,<0.66;0.74>,<0.88;0.76>,<0.88;0.76>,<0.88;0.88>,,,,,,
141,道馆1_难度2,80016,,9,<1.68;1.43>,<0.66;0.74>,<0.66;0.74>,<0.88;0.76>,<0.88;0.76>,<0.88;0.88>,,,,,,
142,道馆1_难度2,80016,,10,<1.68;1.43>,<0.66;0.74>,<0.66;0.74>,<0.88;0.76>,<0.88;0.76>,<0.88;0.88>,,,,,,
143,道馆1_难度2,80016,,11,<1.68;1.43>,<0.66;0.74>,<0.66;0.74>,<0.88;0.76>,<0.88;0.76>,<0.88;0.88>,,,,,,
144,道馆1_难度2,80016,,12,<1.68;1.43>,<0.66;0.74>,<0.66;0.74>,<0.88;0.76>,<0.88;0.76>,<0.88;0.88>,,,,,,
145,道馆1_难度3,80021,{11=1},1,<2.02;1.71>,<0.8;0.89>,<0.8;0.89>,<1.06;0.91>,<1.06;0.91>,<0.9;0.9>,,,,,,
146,道馆1_难度3,80021,{11=1},2,<2.02;1.71>,<0.8;0.89>,<0.8;0.89>,<1.06;0.91>,<1.06;0.91>,<0.9;0.9>,,,,,,
147,道馆1_难度3,80021,{11=1},3,<2.02;1.71>,<0.8;0.89>,<0.8;0.89>,<1.06;0.91>,<1.06;0.91>,<0.9;0.9>,,,,,,
148,道馆1_难度3,80021,{11=1},4,<2.02;1.71>,<0.8;0.89>,<0.8;0.89>,<1.06;0.91>,<1.06;0.91>,<0.9;0.9>,,,,,,
149,道馆1_难度3,80021,{11=1},5,<2.02;1.71>,<0.8;0.89>,<0.8;0.89>,<1.06;0.91>,<1.06;0.91>,<0.9;0.9>,,,,,,
150,道馆1_难度3,80021,{11=1},6,<2.02;1.71>,<0.8;0.89>,<0.8;0.89>,<1.06;0.91>,<1.06;0.91>,<0.9;0.9>,,,,,,
151,道馆1_难度3,80021,{11=1},7,<2.02;1.71>,<0.8;0.89>,<0.8;0.89>,<1.06;0.91>,<1.06;0.91>,<0.9;0.9>,,,,,,
152,道馆1_难度3,80021,{11=1},8,<2.02;1.71>,<0.8;0.89>,<0.8;0.89>,<1.06;0.91>,<1.06;0.91>,<0.9;0.9>,,,,,,
153,道馆1_难度3,80021,{11=1},9,<2.02;1.71>,<0.8;0.89>,<0.8;0.89>,<1.06;0.91>,<1.06;0.91>,<0.9;0.9>,,,,,,
154,道馆1_难度3,80021,{11=1},10,<2.02;1.71>,<0.8;0.89>,<0.8;0.89>,<1.06;0.91>,<1.06;0.91>,<0.9;0.9>,,,,,,
155,道馆1_难度3,80021,{11=1},11,<2.02;1.71>,<0.8;0.89>,<0.8;0.89>,<1.06;0.91>,<1.06;0.91>,<0.9;0.9>,,,,,,
156,道馆1_难度3,80021,{11=1},12,<2.02;1.71>,<0.8;0.89>,<0.8;0.89>,<1.06;0.91>,<1.06;0.91>,<0.9;0.9>,,,,,,
157,道馆1_难度3,80022,{11=1.1},1,<2.02;1.71>,<0.8;0.89>,<0.8;0.89>,<1.31;1.21>,<1.31;1.21>,<0.9;0.9>,,,,,,
158,道馆1_难度3,80022,{11=1.1},2,<2.02;1.71>,<0.8;0.89>,<0.8;0.89>,<1.31;1.21>,<1.31;1.21>,<0.9;0.9>,,,,,,
159,道馆1_难度3,80022,{11=1.1},3,<2.02;1.71>,<0.8;0.89>,<0.8;0.89>,<1.31;1.21>,<1.31;1.21>,<0.9;0.9>,,,,,,
