变量名,_beizhu,fragID,cardID,languages
712,卡比兽,20711,712,
721,急冻鸟,20721,721,
731,闪电鸟,20731,731,
741,火焰鸟,20741,741,
751,迷你龙,20751,751,
752,哈克龙,20751,752,
753,快龙,20751,753,
761,超梦,20761,761,
771,梦幻,20771,771,
781,菊草叶,20781,781,
782,月桂叶,20781,782,
783,大竺葵,20781,783,
791,火球鼠,20791,791,
792,火岩鼠,20791,792,
793,火暴兽,20791,793,
801,小锯鳄,20801,801,
802,蓝鳄,20801,802,
803,大力鳄,20801,803,
881,咩利羊,20881,881,
882,茸茸羊,20881,882,
883,电龙,20881,883,
891,露力丽,20891,891,
892,玛力露,20891,892,
893,玛力露丽,20891,893,
1071,赫拉克罗斯,21071,1071,
1081,狃拉,21081,1081,
1082,玛狃拉,21081,1082,
1171,戴鲁比,21171,1171,
1172,黑鲁加,21171,1172,
1221,雷公,21221,1221,
1231,炎帝,21231,1231,
1241,水君,21241,1241,
1251,幼基拉斯,21251,1251,
1252,沙基拉斯,21251,1252,
1253,班吉拉斯,21251,1253,
1261,洛奇亚,21261,1261,
1271,凤王,21271,1271,
1291,木守宫,21291,1291,
1292,森林蜥蜴,21291,1292,
1293,蜥蜴王,21291,1293,
1301,火稚鸡,21301,1301,
1302,力壮鸡,21301,1302,
1303,火焰鸡,21301,1303,
1311,水跃鱼,21311,1311,
1312,沼跃鱼,21311,1312,
1313,巨沼怪,21311,1313,
1351,莲叶童子,21351,1351,
1352,莲帽小童,21351,1352,
1353,乐天河童,21351,1353,
1391,拉鲁拉丝,21391,1391,
1392,奇鲁莉安,21391,1392,
1393,沙奈朵,21391,1393,
1394,艾路雷朵,21391,1394,
1421,懒人獭,21421,1421,
1422,过动猿,21421,1422,
1423,请假王,21421,1423,
1441,咕妞妞,21441,1441,
1442,吼爆弹,21441,1442,
1443,爆音怪,21441,1443,
1501,可可多拉,21501,1501,
1502,可多拉,21501,1502,
1503,波士可多拉,21501,1503,
1611,呆火驼,21611,1611,
1612,喷火驼,21611,1612,
1811,夜巡灵,21811,1811,
1812,彷徨夜灵,21811,1812,
1813,黑夜魔灵,21811,1813,
1841,阿勃梭鲁,21841,1841,
1851,雪童子,21851,1851,
1852,冰鬼护,21851,1852,
1853,雪妖女,21851,1853,
1861,海豹球,21861,1861,
1862,海魔狮,21861,1862,
1863,帝牙海狮,21861,1863,
1891,宝贝龙,21891,1891,
1892,甲壳龙,21891,1892,
1893,暴飞龙,21891,1893,
1901,铁哑铃,21901,1901,
1902,金属怪,21901,1902,
1903,巨金怪,21901,1903,
1971,固拉多,21971,1971,
1981,裂空座,21981,1981,
2011,草苗龟,22011,2011,
2012,树林龟,22011,2012,
2013,土台龟,22011,2013,
2071,小猫怪,22071,2071,
2072,勒克猫,22071,2072,
2073,伦琴猫,22071,2073,
2231,圆陆鲨,22231,2231,
2232,尖牙陆鲨,22231,2232,
2233,烈咬陆鲨,22231,2233,
2241,利欧路,22241,2241,
2242,路卡利欧,22241,2242,
2271,不良蛙,22271,2271,
2272,毒骷蛙,22271,2272,
2301,雪笠怪,22301,2301,
2302,暴雪王,22301,2302,
2351,帝牙卢卡,22351,2351,
2481,暖暖猪,22481,2481,
2482,炒炒猪,22481,2482,
2483,炎武王,22481,2483,
2591,石丸子,22591,2591,
2592,地幔岩,22591,2592,
2593,庞岩怪,22591,2593,
2611,螺钉地鼠,22611,2611,
2612,龙头地鼠,22611,2612,
2631,搬运小匠,22631,2631,
2632,铁骨土人,22631,2632,
2633,修建老匠,22631,2633,
2681,百足蜈蚣,22681,2681,
2682,车轮球,22681,2682,
2683,蜈蚣王,22681,2683,
2721,黑眼鳄,22721,2721,
2722,混混鳄,22721,2722,
2723,流氓鳄,22721,2723,
2821,索罗亚,22821,2821,
2822,索罗亚克,22821,2822,
2841,哥德宝宝,22841,2841,
2842,哥德小童,22841,2842,
2843,哥德小姐,22841,2843,
2871,迷你冰,22871,2871,
2872,多多冰,22871,2872,
2873,双倍多多冰,22871,2873,
2891,电飞鼠,22891,2891,
2921,轻飘飘·雌,22921,2921,
2922,轻飘飘·雄,22921,2922,
2923,胖嘟嘟·雌,22921,2923,
2924,胖嘟嘟·雄,22921,2924,
2961,齿轮儿,22961,2961,
2962,齿轮组,22961,2962,
2963,齿轮怪,22961,2963,
3001,牙牙,23001,3001,
3002,斧牙龙,23001,3002,
3003,双斧战龙,23001,3003,
3011,喷嚏熊,23011,3011,
3012,冻原熊,23011,3012,
3021,几何雪花,23021,3021,
3141,单首龙,23141,3141,
3142,双首暴龙,23141,3142,
3143,三首恶龙,23141,3143,
3281,哈力栗,23281,3281,
3282,胖胖哈力,23281,3282,
3283,布里卡隆,23281,3283,
3291,火狐狸,23291,3291,
3292,长尾火狐,23291,3292,
3293,妖火红狐,23291,3293,
3301,呱呱泡蛙,23301,3301,
3302,呱头蛙,23301,3302,
3303,甲贺忍蛙,23301,3303,
3341,小狮狮,23341,3341,
3342,火炎狮,23341,3342,
3351,花蓓蓓,23351,3351,
3352,花叶蒂,23351,3352,
3353,花洁夫人,23351,3353,
3411,独剑鞘,23411,3411,
3412,双剑鞘,23411,3412,
3413,坚盾剑怪·盾牌,23411,3413,
3431,绵绵泡芙,23431,3431,
3432,胖甜妮,23431,3432,
3471,铁臂枪虾,23471,3471,
3472,钢炮臂虾,23471,3472,
3501,冰雪龙,23501,3501,
3502,冰雪巨龙,23501,3502,
3511,摔角鹰人,23511,3511,
3541,黏黏宝,23541,3541,
3542,黏美儿,23541,3542,
3543,黏美龙,23541,3543,
3561,小木灵,23561,3561,
3562,朽木妖,23561,3562,
3591,嗡蝠,23591,3591,
3592,音波龙,23591,3592,
3631,蒂安希,23631,3631,
3661,木木枭,23661,3661,
3662,投羽枭,23662,3662,
3663,狙射树枭,23663,3663,
