变量名,title,languages,showType,color,resBg,res,spineSize,type,sameId,kind,source,itemId,feature,rank,needNotice,alwaysDisplay,days,message,conditionDesc,condition1,conditionArg1_1,conditionArg1_2,conditionDesc2,condition2,conditionArg2_1,conditionArg2_2,attrNatureType1,attrType1,attrValue1,attrNatureType2,attrType2,attrValue2,attrNatureType3,attrType3,attrValue3,__version
13,精力充沛,,txt,<138;92;153>,config/title/img_purple@.png,config/title/jlcp@.png,,2,,,,,,,,,,,累积购买体力100次,26,100,,,,,,,1,500,,,,,,,
14,神秘旅人,,txt,<138;92;153>,config/title/img_purple@.png,config/title/smlr@.png,,2,,,,,,,,,,,累积通关剧情和困难关卡1000次,33,1000,,,,,,,7,150,,8,150,,,,
15,强迫症晚期,,txt,<138;92;153>,config/title/img_purple@.png,config/title/qpzwq@.png,,2,,,,,,,,,,,完成日常任务200次,70,200,,,,,,,9,80,,10,80,,,,
16,乐于奉献,,txt,<138;92;153>,config/title/img_purple@.png,config/title/lyfx@.png,,2,,,,,,,,,,,累积公会捐献150次,55,150,,,,,,,1,300,,,,,,,
17,最佳伙伴,,txt,<138;92;153>,config/title/img_purple@.png,config/title/zjhb@.png,,2,,,,,,,,,,,好友数量达到50,78,50,,,,,,,7,80,,8,80,,,,
18,挥金如土,,txt,<138;92;153>,config/title/img_purple@.png,config/title/hjrt@.png,,2,,,,,,,,,,,累积消费200000000金币,20,200000000,,,,,,,9,1%,,10,1%,,,,
19,蒂安希祝福,,txt,<138;92;153>,config/title/img_purple@.png,config/title/daxzf@.png,,2,,,,,,,,,,,累积消耗99999钻石,21,99999,,,,,,,7,1%,,8,1%,,,,
20,完美出勤,,txt,<138;92;153>,config/title/img_purple@.png,config/title/wmcq@.png,,2,,,,,,,,,,,累积签到99次,25,99,,,,,,,1,1000,,,,,,,
21,精工巧匠,,txt,<138;92;153>,config/title/img_purple@.png,config/title/jgqj@.png,,2,,,,,,,,,,,进行500次饰品升级,38,500,,,,,,,9,150,,10,150,,,,
22,修行强者,,txt,<138;92;153>,config/title/img_purple@.png,config/title/xxqz@.png,,99,,,,,,,,,,,战力值达到200000,6,200000,,,,,,,7,120,,8,120,,,,
23,幻影霸主,,pic,,config/title/img_red@.png,config/title/txt_hybz.png,,99,,,,,,,,,,,战力值达到800000,6,800000,,,,,,,7,1%,,8,1%,,,,
24,联盟冠军,,spine,,,title/lianmengguanjun.skel,<325;104>,,,,,,arena,<1;1>,,,1,#C0xFF5B545B#【竞技场冠军】#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B#上线了，快找他要签名吧～,竞技场第一名（每日晚9:00结算时）,,,,,,,,,14,100,,,,,,,
25,竞技主将,,spine,,,title/jingjizhujiang.skel,<254;104>,,,,,,arena,<2;2>,,,1,#C0xFF5B545B#【竞技场亚军】#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B#上线了，快找他要签名吧～,竞技场第二名（每日晚9:00结算时）,,,,,,,,,14,100,,,,,,,
26,对战达人,,spine,,,title/duizhandaren.skel,<254;104>,,,,,,arena,<3;3>,,,1,#C0xFF5B545B#【竞技场季军】#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B#上线了，快找他要签名吧～,竞技场第三名（每日晚9:00结算时）,,,,,,,,,14,100,,,,,,,
27,传奇饲育家,,spine,,,title/chuanqisiyujia.skel,<254;104>,,,,,,pokedex,<1;1>,,,1,#C0xFF5B545B#【收藏率首位第一】#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B#上线了，快找他要签名吧～,首次达到收藏率排行第一名（每日5:00结算时）,,,,,,,,,1,1%,,,,,,,
28,传奇探险家,,spine,,,title/chuanqitanxianjia.skel,<254;104>,,,,,,star,<1;1>,,,1,#C0xFF5B545B#【最强探险家】#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B#上线了，快找他要签名吧～,关卡星级排行第一名（每日5:00结算时）,,,,,,,,,7,1%,,8,1%,,,,
31,波导勇者,,spine,,,title/bodaoyongzhe.skel,<254;104>,99,,,,,,,,,,,贵族6获得,5,6,,,,,,,1,1%,,,,,,,
32,沧海王子,,spine,,,title/canghaiwangzi.skel,<254;104>,99,,,,,,,,,,,贵族10获得,5,10,,,,,,,9,1%,,10,1%,,,,
33,七夜之愿,,spine,,,title/qiyezhiyuan.skel,<254;104>,99,,,,,,,,,,,贵族15获得,5,15,,,,,,,7,1%,,8,1%,,,,
34,时空之主,,spine,,,title/shikongzhizhu.skel,<254;104>,99,,,,,,,,,,,贵族18获得,5,18,,,,,,,22,100,,23,100,,,,
35,精灵会员,,txt,<138;92;153>,config/title/img_purple@.png,,,99,,,,,monthcard,,,,30,,月卡获得,,,,,,,,,1,1%,,,,,,,
36,大师会员,,pic,<228;94;76>,config/title/img_red@.png,config/title/txt_dshy.png,,99,,,,,monthcard,,,,30,,月卡获得,,,,,,,,,7,1%,,8,1%,,,,
37,跨服战神,<cn;kr;en;tw;en_us;en_eu>,spine,,,title/kfjjc_kuafuzhanshen.skel,<254;104>,,41,,,,crossArena,<1;1>,,,7,#C0xFF5B545B#【跨服竞技场No.1】#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B#上线了，快找他要签名吧～,跨服竞技场第一（赛季中每日22:00结算时、季终结算时）,,,,,,,,,14,100,,,,,,,
38,超强勇者,<cn;kr;en;tw;en_us;en_eu>,spine,,,title/kfjjc_chaoqiangyongzhe.skel,<254;104>,,42,,,,crossArena,<2;2>,,,7,#C0xFF5B545B#【跨服竞技场No.2】#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B#上线了，快找他要签名吧～,跨服竞技场第二（赛季中每日22:00结算时、季终结算时）,,,,,,,,,14,100,,,,,,,
39,英勇斗士,<cn;kr;en;tw;en_us;en_eu>,spine,,,title/kfjjc_yingyongdoushi.skel,<254;104>,,43,,,,crossArena,<3;3>,,,7,#C0xFF5B545B#【跨服竞技场No.3】#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B#上线了，快找他要签名吧～,跨服竞技场第三（赛季中每日22:00结算时、季终结算时）,,,,,,,,,14,100,,,,,,,
40,石英霸主,<cn;kr;en;tw;en_us;en_eu>,spine,,,title/shiyingbazhu.skel,<254;104>,,,,,,crossCraft,<1;1>,,,7,#C0xFF5B545B#【跨服石英大会No.1】#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B#上线了，快找他要签名吧～,跨服石英大会第一（结算时获取，有效期内未能维持本服第一则称号提前失效）,,,,,,,,,15,200,,,,,,,
41,跨服战神,<cn;kr;en;tw;en_us;en_eu>,spine,,,title/kfjjc_kuafuzhanshen.skel,<254;104>,,,,,,crossArenaDaily,<1;1>,,,1,#C0xFF5B545B#【跨服竞技场No.1】#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B#上线了，快找他要签名吧～,跨服竞技场第一（赛季中每日22:00结算时、季终结算时）,,,,,,,,,14,100,,,,,,,
42,超强勇者,<cn;kr;en;tw;en_us;en_eu>,spine,,,title/kfjjc_chaoqiangyongzhe.skel,<254;104>,,,,,,crossArenaDaily,<2;2>,,,1,#C0xFF5B545B#【跨服竞技场No.2】#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B#上线了，快找他要签名吧～,跨服竞技场第二（赛季中每日22:00结算时、季终结算时）,,,,,,,,,14,100,,,,,,,
43,英勇斗士,<cn;kr;en;tw;en_us;en_eu>,spine,,,title/kfjjc_yingyongdoushi.skel,<254;104>,,,,,,crossArenaDaily,<3;3>,,,1,#C0xFF5B545B#【跨服竞技场No.3】#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B#上线了，快找他要签名吧～,跨服竞技场第三（赛季中每日22:00结算时、季终结算时）,,,,,,,,,14,100,,,,,,,
44,荣誉馆主,<cn;kr;en;tw;en_us;en_eu>,spine,,,title/rongyuguanzhu.skel,<254;104>,,,,,,gym,<1;1>,,,7,#C0xFF5B545B#【道馆荣誉馆主】#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B#上线了，快找他要签名吧～,道馆荣誉馆主（周日21:45点结算）,,,,,,,,,14,100,,,,,,,
45,跨服荣誉馆主,<cn;kr;en;tw;en_us;en_eu>,spine,,,title/kuafurongyuguanzhu.skel,<332;104>,,,,,,crossGym,<1;1>,,,7,#C0xFF5B545B#【跨服道馆荣誉馆主】#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B#上线了，快找他要签名吧～,跨服道馆荣誉馆主（周日21:45点结算）,,,,,,,,,14,100,,,,,,,
46,垂钓圣者,<cn;kr;en;tw;en_us;en_eu>,spine,,,title/chuidiaoshengzhe.skel,<254;104>,,,,,,crossFishing,<1;1>,,,14,,钓鱼大赛结算时第1名获得,,,,,,,,,16,100,,,,,,,
47,垂钓大师,<cn;kr;en;tw;en_us;en_eu>,spine,,,title/chuidiaodashi.skel,<254;104>,,,,,,crossFishing,<2;2>,,,14,,钓鱼大赛结算时第2名获得,,,,,,,,,16,100,,,,,,,
48,垂钓能手,<cn;kr;en;tw;en_us;en_eu>,spine,,,title/chuidiaonengshou.skel,<254;104>,,,,,,crossFishing,<3;3>,,,14,,钓鱼大赛结算时第3名获得,,,,,,,,,16,100,,,,,,,
49,对决之神,<cn;kr;en;tw;en_us;en_eu>,spine,,,title/ch_djzs.skel,<254;104>,,,,,,onlineFightUnlimited,<1;1>,,,7,#C0xFF5B545B#【对战竞技场无限制模式No.1】#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B#上线了，快找他要签名吧！,周结算、赛季结算时处于无限制赛模式第1名时获得,,,,,,,,,16,100,,,,,,,
50,对决大师,<cn;kr;en;tw;en_us;en_eu>,spine,,,title/ch_djds.skel,<254;104>,,,,,,onlineFightUnlimited,<2;2>,,,7,#C0xFF5B545B#【对战竞技场无限制模式No.2】#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B#上线了，快找他要签名吧！,周结算、赛季结算时处于无限制赛模式第2名时获得,,,,,,,,,16,100,,,,,,,
51,对决高手,<cn;kr;en;tw;en_us;en_eu>,spine,,,title/ch_djgs.skel,<254;104>,,,,,,onlineFightUnlimited,<3;3>,,,7,#C0xFF5B545B#【对战竞技场无限制模式No.3】#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B#上线了，快找他要签名吧！,周结算、赛季结算时处于无限制赛模式第3名时获得,,,,,,,,,16,100,,,,,,,
52,绝技之王,<cn;kr;en;tw;en_us;en_eu>,spine,,,title/ch_jjzw.skel,<254;104>,,,,,,onlineFightLimited,<1;1>,,,7,#C0xFF5B545B#【对战竞技场公平模式No.1】#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B#上线了，快找他要签名吧！,周结算、赛季结算时处于公平赛模式第1名时获得,,,,,,,,,16,100,,,,,,,
53,绝技大师,<cn;kr;en;tw;en_us;en_eu>,spine,,,title/ch_jjds.skel,<254;104>,,,,,,onlineFightLimited,<2;2>,,,7,#C0xFF5B545B#【对战竞技场公平模式No.2】#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B#上线了，快找他要签名吧！,周结算、赛季结算时处于公平赛模式第2名时获得,,,,,,,,,16,100,,,,,,,
54,绝技高手,<cn;kr;en;tw;en_us;en_eu>,spine,,,title/ch_jjgs.skel,<254;104>,,,,,,onlineFightLimited,<3;3>,,,7,#C0xFF5B545B#【对战竞技场公平模式No.3】#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B#上线了，快找他要签名吧！,周结算、赛季结算时处于公平赛模式第3名时获得,,,,,,,,,16,100,,,,,,,
55,百科全书,<cn;kr;en;tw;en_us;en_eu>,pic,,,config/title/txt_bkqs.png,,,,,,,unionQARole,<1;1>,,,7,,公会精灵问答个人积分排名结算第1名时获得,,,,,,,,,9,1%,,10,1%,,,,
56,攻略达人,<cn;kr;en;tw;en_us;en_eu>,pic,,,config/title/txt_gldr.png,,,,,,,unionQARole,<2;2>,,,7,,公会精灵问答个人积分排名结算第2名时获得,,,,,,,,,9,1%,,10,1%,,,,
57,答题爱好者,<cn;kr;en;tw;en_us;en_eu>,pic,,,config/title/txt_dtahz.png,,,,,,,unionQARole,<3;3>,,,7,,公会精灵问答个人积分排名结算第3名时获得,,,,,,,,,9,1%,,10,1%,,,,
58,商业巨鳄,<cn;kr;en;tw;en_us;en_eu>,pic,,,config/title/img_syje.png,,,61,,,,crossMine,<1;1>,,,7,#C0xFF5B545B#【跨服商业街No.1】#T{idx}-238-97##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B#上线了，快找他要签名吧～,跨服商业街第一（赛季中每日22:00结算时、季终结算时）,,,,,,,,,11,100,,12,100,,,,
59,商业大佬,<cn;kr;en;tw;en_us;en_eu>,pic,,,config/title/img_sydl.png,,,62,,,,crossMine,<2;2>,,,7,#C0xFF5B545B#【跨服商业街No.2】#T{idx}-240-96##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B#上线了，快找他要签名吧～,跨服商业街第二（赛季中每日22:00结算时、季终结算时）,,,,,,,,,11,100,,12,100,,,,
60,商业精英,<cn;kr;en;tw;en_us;en_eu>,pic,,,config/title/img_syjy.png,,,63,,,,crossMine,<3;3>,,,7,#C0xFF5B545B#【跨服商业街No.3】#T{idx}-244-72##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B#上线了，快找他要签名吧～,跨服商业街第三（赛季中每日22:00结算时、季终结算时）,,,,,,,,,11,100,,12,100,,,,
61,商业巨鳄,<cn;kr;en;tw;en_us;en_eu>,pic,,,config/title/img_syje.png,,,,,,,crossMineDaily,<1;1>,,,1,#C0xFF5B545B#【跨服商业街No.1】#T{idx}-238-97##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B#上线了，快找他要签名吧～,跨服商业街第一（赛季中每日22:00结算时、季终结算时）,,,,,,,,,11,100,,12,100,,,,
62,商业大佬,<cn;kr;en;tw;en_us;en_eu>,pic,,,config/title/img_sydl.png,,,,,,,crossMineDaily,<2;2>,,,1,#C0xFF5B545B#【跨服商业街No.2】#T{idx}-240-96##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B#上线了，快找他要签名吧～,跨服商业街第二（赛季中每日22:00结算时、季终结算时）,,,,,,,,,11,100,,12,100,,,,
63,商业精英,<cn;kr;en;tw;en_us;en_eu>,pic,,,config/title/img_syjy.png,,,,,,,crossMineDaily,<3;3>,,,1,#C0xFF5B545B#【跨服商业街No.3】#T{idx}-244-72##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B#上线了，快找他要签名吧～,跨服商业街第三（赛季中每日22:00结算时、季终结算时）,,,,,,,,,11,100,,12,100,,,,
64,天工大赏,<cn;kr;en;tw;en_us;en_eu>,pic,,,config/title/img_tgds.png,,,,,,,crossUnionFight,<1;1>,,,14,#C0xFF5B545B#【部屋大作战No.1】#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B#上线了，快找他要签名吧～,部屋大作战第一公会的参赛成员,,,,,,,,,17,100,,,,,,,
65,传说创造,<cn;kr;en;tw;en_us>,spine,,,title/chuanshuochuangzao.skel,<254;104>,,,,,,crossSupremacy,<1;10>,,,9999,#C0xFF5B545B#【世界锦标赛前10名】#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B#上线了，快找他要签名吧！,赛季结算时处于世界锦标赛全服排行榜第1-10名时获得,,,,,,,,,14,100,,16,100,,,,
66,逆境翻转,<cn;kr;en;tw;en_us>,spine,,,title/nijingfanzhuan.skel,<254;104>,,,,,,crossSupremacy,<11;20>,,,9999,#C0xFF5B545B#【世界锦标赛前11-20名】#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B#上线了，快找他要签名吧！,赛季结算时处于世界锦标赛全服排行榜第11-20名时获得,,,,,,,,,7,1%,,8,1%,,,,
67,顶尖强者,<cn;kr;en;tw;en_us>,spine,,,title/djqz.skel,<254;104>,,,,,,crossSupremacy,<21;30>,,,9999,#C0xFF5B545B#【世界锦标赛前21-30名】#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B#上线了，快找他要签名吧！,赛季结算时处于世界锦标赛全服排行榜第21-30名时获得,,,,,,,,,1,1%,,,,,,,
68,梦想·家,<cn;kr;en;tw;en_us;en_eu>,pic,,,config/title/img_mxj.png,,99,,,,2526,,,,,,,家园-超级市场内购买获得,,,,,,,,,1,1%,,,,,,,
69,玄青烈空,<cn;kr;tw>,spine,,,title/xuanqingliekong.skel,<254;104>,99,,,,2527,,,,,,,至尊1获得,5,19,,,,,,,22,100,,23,100,,,,
70,疾影乱舞,<cn;kr;en;tw;en_us;en_eu>,pic,,,config/title/img_jylw.png,,,,,,2528,,,,,,,可在疾影驰斗玩法商店内购买,,,,,,,,,7,120,,8,120,,,,
71,一骑绝尘,<cn;kr;en;tw;en_us;en_eu>,spine,,,title/yjjc.skel,<254;104>,,,,,,unionAdventure,<1;1>,,,64,,疾影驰斗第一公会的参赛成员,,,,,,,,,18,100,,,,,,,
72,卡牌王者,<cn;kr;en;tw;en_us;en_eu>,pic,,,config/title/img_kpwz.png,,,,,,,autoChess,<1;3>,,,30,#C0xFF5B545B#【卡牌冒险的王者】#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B#上线了，快找他要签名吧！,赛季结算时处于卡牌冒险总榜第1-3名时获得,,,,,,,,,15,100,,,,,,,
73,卡牌大师,<cn;kr;en;tw;en_us;en_eu>,pic,,,config/title/img_kpds.png,,,,,,,autoChess,<4;30>,,,30,#C0xFF5B545B#【卡牌冒险的大师】#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B#上线了，快找他要签名吧！,赛季结算时处于卡牌冒险总榜第4-30名时获得,,,,,,,,,19,100,,,,,,,
74,技压群雄,<cn>,pic,,,config/title/img_jyqx.png,,,,,,,onlineAutoChess,<1;1>,,,35,#C0xFF5B545B#【卡牌对决No.1】#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B#上线了，快找他要签名吧！,赛季结算时处于卡牌对决第1名时获得,,,,,,,,,16,100,,,,,,,
75,技高一筹,<cn>,pic,,,config/title/img_jgyc.png,,,,,,,onlineAutoChess,<2;2>,,,35,#C0xFF5B545B#【卡牌对决No.2】#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B#上线了，快找他要签名吧！,赛季结算时处于卡牌对决第2名时获得,,,,,,,,,16,100,,,,,,,
76,卓尔不群,<cn>,pic,,,config/title/img_zebq.png,,,,,,,onlineAutoChess,<3;3>,,,35,#C0xFF5B545B#【卡牌对决No.3】#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B#上线了，快找他要签名吧！,赛季结算时处于卡牌对决第3名时获得,,,,,,,,,16,100,,,,,,,
77,卡牌达人,<cn>,pic,,,config/title/img_kpdr.png,,,,,,2531,,,,,,#C0xFF5B545B#【卡牌对决No.3】#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B#上线了，快找他要签名吧！,可在卡牌对决玩法商店内购买,,,,,,,,,16,100,,,,,,,
78,弑神者,<cn>,spine,,,title/ssz.skel,<254;104>,,,,,,eliteChallenge,<1;3>,,,30,,众神禁地玩法结算时处于积分排行榜第1-3名时获得,,,,,,,,,7,1%,,8,1%,,,,
79,极天·破穹,<cn>,spine,,,title/jjdf_lkz.skel,<254;104>,,,,,,crossArenaPeak,<1;1>,,,35,#C0xFF5B545B#【极巨-破穹之首】#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B#破空而来，苍穹风云异变！,极巨巅峰荣获冠军席位获得,,,,,,,,,14,100,,,,,,,
80,极域·临渊,<cn>,spine,,,title/jjdf_gok.skel,<254;104>,,,,,,crossArenaPeak,<2;2>,,,35,#C0xFF5B545B#【极巨-临渊强者】#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B#踏海而来，海渊掀起狂潮！,极巨巅峰荣获亚军席位获得,,,,,,,,,14,100,,,,,,,
81,极峰·守岳,<cn>,spine,,,title/jjdf_gld.skel,<254;104>,,,,,,crossArenaPeak,<3;8>,,,35,#C0xFF5B545B#【极巨-守岳强者】#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B#碎地而来，大地龟裂震颤！,极巨巅峰荣获四强，八强席位获得,,,,,,,,,14,100,,,,,,,
901,初级捕捉者,,txt,<92;153;112>,config/title/img_green@.png,,,2,,,,,,,,,,,捕捉等级达到3,80,3,,,,,,,1,800,,,,,,,
902,高级捕捉者,,txt,<61;138;153>,config/title/img_blue@.png,,,2,,,,,,,,,,,捕捉等级达到7,80,7,,,,,,,9,80,,10,80,,,,
903,捕捉专家,,txt,<138;92;153>,config/title/img_purple@.png,,,2,,,,,,,,,,,捕捉等级达到11,80,11,,,,,,,1,1600,,,,,,,
904,传奇捕捉者,,txt,<228;94;76>,config/title/img_red@.png,,,2,,,,,,,,,,,捕捉等级达到14,80,14,,,,,,,9,1%,,10,1%,,,,
1000,圣诞快乐,<cn;kr>,pic,,,config/title/img_sdkl.png,,3,,,,2400,,,,,,,特殊活动获得,,,,,,,,,9,120,,10,120,,,,
1001,新春快乐,<cn>,pic,,,config/title/img_xckl.png,,3,,,,2401,,,,,,,特殊活动获得,,,,,,,,,7,80,,8,80,,,,
1002,通行证S1,<cn;kr;en;tw>,pic,,,config/title/img_txzs1.png,,3,,,,2402,,,,,,,特殊活动获得,,,,,,,,,7,120,,8,120,,,,
1003,劳动最光荣,<cn>,pic,,,config/title/img_ldzgr.png,,3,,,,2403,,,,,,,特殊活动获得,,,,,,,,,1,500,,,,,,,
1004,熊孩子,<cn;tw>,pic,,,config/title/img_xhz.png,,3,,,,2404,,,,,,,特殊活动获得,,,,,,,,,9,60,,10,60,,,,
1005,粽情端午,<cn;tw>,pic,,,config/title/img_zqdw.png,,3,,,,2405,,,,,,,特殊活动获得,,,,,,,,,7,100,,8,100,,,,
1006,月圆佳时,<cn;tw;kr>,pic,,,config/title/img_yyjs.png,,3,,,,2406,,,,,,,特殊活动获得,,,,,,,,,9,80,,10,80,,,,
1007,庆典见证者,<cn;tw;kr;en>,pic,,,config/title/img_qdjzz.png,,3,,,,2407,,,,,,,特殊活动获得,,,,,,,,,7,120,,8,120,,,,
1008,Skr小机灵鬼,<cn;tw;kr;en>,pic,,,config/title/img_wsj.png,,3,,,,2408,,,,,,,特殊活动获得,,,,,,,,,7,120,,8,120,,,,
1009,铃儿响叮当,<cn;tw;kr;en>,pic,,,config/title/img_lexdd.png,,3,,,,2409,,,,,,,特殊活动获得,,,,,,,,,9,80,,10,80,,,,
1010,一元复始,<cn;tw;kr;en>,pic,,,config/title/img_2021.png,,3,,,,2410,,,,,,,特殊活动获得,,,,,,,,,7,120,,8,120,,,,
1011,圆圆满满,<cn;tw;kr;en>,pic,,,config/title/img_yymm.png,,3,,,,2411,,,,,,,特殊活动获得,,,,,,,,,9,80,,10,80,,,,
1012,新年伊始,<cn;tw;kr;en>,pic,,,config/title/img_xnys.png,,3,,,,2412,,,,,,,特殊活动获得,,,,,,,,,7,120,,8,120,,,,
1013,撒粮专业户,<cn;tw;kr;en>,pic,,,config/title/img_qrj.png,,3,,,,2413,,,,,,,特殊活动获得,,,,,,,,,9,80,,10,80,,,,
1014,感恩有你,<cn;en;tw;kr;en_us>,pic,,,config/title/img_1zn.png,,3,,,,2414,,,,,,,特殊活动获得,,,,,,,,,7,120,,8,120,,,,
1015,勇者觉醒,<cn;tw;kr;en>,pic,,,config/title/img_yzjx.png,,3,,,,2415,,,,,,,特殊活动获得,,,,,,,,,9,80,,10,80,,,,
1016,打工人最可爱,<cn>,pic,,,config/title/icon_wy.png,,3,,,,2416,,,,,,,特殊活动获得,,,,,,,,,16,100,,,,,,,
1017,童心未泯,<cn>,pic,,,config/title/img_txwm.png,,3,,,,2417,,,,,,,特殊活动获得,,,,,,,,,7,120,,8,120,,,,
1018,放粽一夏,<cn;tw>,pic,,,config/title/img_dwj2.png,,3,,,,2418,,,,,,,特殊活动获得,,,,,,,,,9,80,,10,80,,,,
