变量名,drawType,_comment,drawTriggerType,drawTriggerTimes,weightStart,weightEnd,effectLimit,startCount,probInit,probStep,probLimit,probMiniTimes,probEffectInterval,lotteryType1,lotteryWeight1,lotteryType2,lotteryWeight2,lotteryType3,lotteryWeight3,lotteryType4,lotteryWeight4,lotteryType5,lotteryWeight5,lotteryType6,lotteryWeight6,lotteryType7,lotteryWeight7,lotteryType8,lotteryWeight8,lotteryType9,lotteryWeight9,lotteryType10,lotteryWeight10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,lucky_egg_rmb1_3336,扭蛋单抽,0,1,,,,,,,,,,{9004=1},50,{9002=1},330,{9003=1},150,{9001=1},470,,0,,0,,,,,,,,
132,lucky_egg_rmb10_3336,扭蛋十连,0,1,,,,,,,,,,{9004=1;9002=3;9003=1;9001=5},250,{9004=1;9002=3;9003=2;9001=4},350,{9004=1;9002=4;9003=1;9001=4},200,{9004=1;9002=4;9003=2;9001=3},100,{9004=1;9002=5;9003=1;9001=3},100,,0,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,lucky_egg_rmb1_100201,扭蛋单抽,0,1,,,,,,,,,,{9004=1},50,{9002=1},330,{9003=1},150,{9001=1},470,,0,,0,,,,,,,,
142,lucky_egg_rmb10_100201,扭蛋十连,0,1,,,,,,,,,,{9004=1;9002=3;9003=1;9001=5},250,{9004=1;9002=3;9003=2;9001=4},350,{9004=1;9002=4;9003=1;9001=4},200,{9004=1;9002=4;9003=2;9001=3},100,{9004=1;9002=5;9003=1;9001=3},100,,0,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,lucky_egg_rmb1_100202,扭蛋单抽,0,1,,,,,,,,,,{9004=1},50,{9002=1},330,{9003=1},150,{9001=1},470,,0,,0,,,,,,,,
152,lucky_egg_rmb10_100202,扭蛋十连,0,1,,,,,,,,,,{9004=1;9002=3;9003=1;9001=5},250,{9004=1;9002=3;9003=2;9001=4},350,{9004=1;9002=4;9003=1;9001=4},200,{9004=1;9002=4;9003=2;9001=3},100,{9004=1;9002=5;9003=1;9001=3},100,,0,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,lucky_egg_rmb1_100203,扭蛋单抽,0,1,,,,,,,,,,{9004=1},50,{9002=1},330,{9003=1},150,{9001=1},470,,0,,0,,,,,,,,
162,lucky_egg_rmb10_100203,扭蛋十连,0,1,,,,,,,,,,{9004=1;9002=3;9003=1;9001=5},250,{9004=1;9002=3;9003=2;9001=4},350,{9004=1;9002=4;9003=1;9001=4},200,{9004=1;9002=4;9003=2;9001=3},100,{9004=1;9002=5;9003=1;9001=3},100,,0,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,lucky_egg_rmb1_100204,扭蛋单抽,0,1,,,,,,,,,,{9004=1},50,{9002=1},330,{9003=1},150,{9001=1},470,,0,,0,,,,,,,,
172,lucky_egg_rmb10_100204,扭蛋十连,0,1,,,,,,,,,,{9004=1;9002=3;9003=1;9001=5},250,{9004=1;9002=3;9003=2;9001=4},350,{9004=1;9002=4;9003=1;9001=4},200,{9004=1;9002=4;9003=2;9001=3},100,{9004=1;9002=5;9003=1;9001=3},100,,0,,,,,,,,
