变量名,_mailType,tab,icon,sender,subject,content,attachs,special
15,每日登陆奖励,2,,小秘书,每日登陆奖励,亲爱的小伙伴:\n    感谢您今天的登陆，奖励已随邮件发送，请及时查收。\n    祝您游戏愉快!,{card=21},
16,每日登陆奖励,2,,小秘书,每日登陆奖励,亲爱的小伙伴:\n    感谢您今天的登陆，奖励已随邮件发送，请及时查收。\n    祝您游戏愉快!,{21002=30},
17,每日登陆奖励,2,,小秘书,封测延长登陆奖励,亲爱的小伙伴:\n    感谢您今天的登陆，奖励已随邮件发送，请及时查收。\n    祝您游戏愉快!,{21002=30;rmb=3000;gold=600000;vip=8},
18,每日登陆奖励,2,,小秘书,封测延长登陆奖励,亲爱的小伙伴:\n    感谢您今天的登陆，奖励已随邮件发送，请及时查收。\n    祝您游戏愉快!,{21002=30;rmb=3000;gold=600000;vip=9},
19,每日登陆奖励,2,,小秘书,封测延长登陆奖励,亲爱的小伙伴:\n    感谢您今天的登陆，奖励已随邮件发送，请及时查收。\n    祝您游戏愉快!,{21002=30;rmb=3000;gold=600000;vip=10},
20,公会副本通关邮件,2,,公会,公会副本通关奖励,亲爱的会员:\n    本公会的%s顺利通过%s(%s)第%s关，奖励已随邮件发送，请及时查收。望其他成员再接再厉，勇攀高峰。\n    祝您游戏愉快!,,
21,公会副本快速通关邮件,2,,公会,公会副本快速通关奖励,亲爱的会员:\n    干的漂亮！\n    本公会的%s快速通过%s(%s)第%s关，额外奖励已随邮件发送，请及时查收。望其他成员再创奇迹。\n    祝您游戏愉快!,,
22,测试充值返还邮件,2,,天女兽,删档测试充值双倍返还,#C0xffe672##F24#亲爱的驯兽师们:\n    \n   《数码宝贝大冒险》在你们的支持下，终于迎来了不删档测试。为了回馈曾与我们一起奋斗在数码世界的驯兽师们，现特此对您在删档期间的充值金额进行双倍返还（赠送钻石不在返还范围内，双倍返还只能在一区领取）。\n    被选召的孩子，开启冒险之旅吧！\n    《数码宝贝大冒险》运营组,,
23,中秋节每日登陆奖励,2,,小秘书,中秋节每日登陆奖励,亲爱的小伙伴:\n    感谢您今天的登陆，祝您中秋快乐，中秋节登录奖励已随邮件发送，请及时查收。\n    祝您游戏愉快!,{rmb=50;gold=100000;110=10},
24,世界BOSS个人结算奖励,2,,小秘书,世界BOSS个人结算奖励,亲爱的小伙伴:\n    您在世界BOSS挑战中的表现精彩绝伦，您今天在个人伤害排行榜的名次是第%d名，结算奖励已随邮件发送，请及时查收。\n    祝您游戏愉快!,,
25,世界BOSS公会结算奖励,2,,小秘书,世界BOSS公会结算奖励,亲爱的小伙伴:\n    您和您的公会伙伴们在世界BOSS挑战中的表现精彩绝伦，您所在公会在公会伤害排行榜的名次是第%d名，结算奖励已随邮件发送，请及时查收。\n    祝您游戏愉快!,,
26,世界BOSS全服结算奖励,2,,小秘书,世界BOSS全服结算奖励,亲爱的小伙伴:\n    您所在的服务器今日世界BOSS战斗中伤害量目标达成！奖励已随邮件发送，请及时查收。\n    祝您游戏愉快!,,
27,公会会长邮件,1,,公会管理中心,公会通知,,,
28,以太乐园奖励邮件,2,,以太管理员,以太乐园结算奖励,亲爱的小伙伴:\n    您在以太乐园中的表现精彩绝伦，截止到5：00，您的排名为第%d名，结算奖励已随邮件发送，请及时查收。\n    祝您勇攀高层!,,
29,全目标奖励邮件,2,,小秘书,全目标奖励邮件,亲爱的小伙伴:\n    您在活动中的表现精彩绝伦，截止活动结束，全目标奖励已随邮件发送，请及时查收。\n    祝您游戏愉快!,,
30,战力排行排位奖励邮件,2,,小秘书,战力排行排位奖励邮件,亲爱的小伙伴:\n    您在战力排行中的表现精彩绝伦，截止到今天21:30，排位奖励已随邮件发送，请及时查收。\n    祝您游戏愉快!,,
31,战力排行战力奖励邮件,2,,小秘书,战力排行战力奖励邮件,亲爱的小伙伴:\n    您在战力排行中的表现精彩绝伦，截止到今天21:30，战力奖励已随邮件发送，请及时查收。\n    祝您游戏愉快!,,
32,新手欢迎邮件,2,,亚古兽,欢迎您来到数码世界,亲爱的小伙伴:\n    欢迎您加入神秘有趣的数码世界，这是一点小礼物，希望能在今后的旅途中帮助到你。\n    祝您游戏愉快!,{rmb=188;gold=10000;11=50},
33,限时神兽排名奖励,2,,小秘书,限时神兽排名奖励,亲爱的小伙伴:\n    恭喜您在限时神兽活动中获得第%d名，这是为您发送的奖励，请注意查收。\n    祝您游戏愉快!,,TRUE
34,限时神兽排名积分不足奖励,2,,小秘书,限时神兽排名奖励,亲爱的小伙伴:\n    恭喜您在限时神兽活动中获得第%d名，由于积分未达到指定要求，这是为您发送的奖励，请注意查收。\n    祝您游戏愉快!,,TRUE
35,元素挑战完成奖励,2,,小秘书,元素挑战完成奖励,亲爱的小伙伴:\n    恭喜您所在的元素挑战队伍有%d人成功完成挑战，这是为您发送的奖励，请注意查收\n    祝您游戏愉快!,,
36,公会副本伤害排行奖励,2,,小秘书,公会副本伤害排行奖励,亲爱的小伙伴:\n    恭喜您在公会%s副本伤害排行中获得第%d名，贡献了%d点伤害，伤害排行奖励已随邮件发送，请及时查收。望其他成员再接再厉，勇攀高峰。\n    祝您游戏愉快!,,
37,公会副本额外奖励,2,,小秘书,公会副本额外奖励,亲爱的小伙伴:\n    您在公会%s副本中的表现精彩绝伦，BOSS特殊伤害随机奖励已随邮件发送，请及时查收。望其他成员再接再厉，勇攀高峰。\n    祝您游戏愉快!,,
38,石英大会战斗奖励,2,,小秘书,石英大会胜利奖励,亲爱的小伙伴:\n    您在石英大会中取得%d胜%d负，%d积分的战绩，战斗奖励已随邮件发送，请及时查收。\n    祝您游戏愉快!,,
39,石英大会排名奖励,2,,小秘书,石英大会排名奖励,亲爱的小伙伴:\n    恭喜您在石英大会中获得第%d名，排名奖励已随邮件发送，请及时查收。望再接再厉，勇攀高峰。\n    祝您游戏愉快!,,
40,石英大会下注冠军奖励,2,,小秘书,石英大会下注奖励,亲爱的小伙伴:\n    恭喜您在石英大会中成功预测%s夺冠，下注奖励已随邮件发送，请及时查收。\n    祝您游戏愉快!,,
41,石英大会下注八强奖励,2,,小秘书,石英大会下注返还,亲爱的小伙伴:\n    您所投注的%s在石英大会中进入八强，返还一半下注金额，请及时查收。\n    祝您游戏愉快!,,
42,石英大会下注结果,2,,小秘书,石英大会下注结果,亲爱的小伙伴:\n    您所投注的%s在石英大会中没有进入八强，非常遗憾!\n    祝您游戏愉快!,,
43,头衔获得,2,,小秘书,头衔获得,亲爱的小伙伴:\n    恭喜您夺得%s，快去称号簿里使用头衔吧!\n    竞技场每天21点重置头衔，跨服竞技场、跨服商业街赛季中每日22:00以及季终时重置头衔，钓鱼大赛每期23:00阶段，公会精灵问答每期周日24:00重置头衔，其他排行榜类每天5点重置头衔，请再接再励保持排名～,,
44,头衔连擂,2,,小秘书,头衔连擂,亲爱的小伙伴:\n    恭喜您成功连擂%s\n    祝您游戏愉快!,,
45,公会战预选赛报名奖励,2,,小秘书,公会战预选赛报名,亲爱的小伙伴:\n    这是您的公会战预选赛报名奖励!\n    祝您游戏愉快!,,
46,公会战诀赛报名奖励,2,,小秘书,公会战决赛报名,亲爱的小伙伴:\n    这是您的公会战决赛报名奖励!\n    祝您游戏愉快!,,
47,公会战胜利奖励,2,,小秘书,公会战胜利,亲爱的小伙伴:\n    您此次公会战胜利%d场，这是您的奖励（单日奖励上限为6个）!\n    祝您游戏愉快!,,
48,公会战公会排名奖励,2,,小秘书,公会战公会排名,亲爱的小伙伴:\n    您此次公会战所在的公会排名为第%d名，这是您的奖励!\n    祝您游戏愉快!,,
49,公会战下注冠军奖励,2,,小秘书,公会战下注奖励,亲爱的小伙伴:\n    恭喜您在公会战中成功预测%s夺冠，下注奖励已随邮件发送，请及时查收。\n    祝您游戏愉快!,,
50,公会战下注八强奖励,2,,小秘书,公会战下注返还,亲爱的小伙伴:\n    您所投注的%s在公会战中进入决赛，返还一半下注金额，请及时查收。\n    祝您游戏愉快!,,
51,公会战下注结果,2,,小秘书,公会战下注结果,亲爱的小伙伴:\n    您所投注的%s在公会中没有进入决赛，非常遗憾!\n    祝您游戏愉快!,,
52,新年祝福邮件,2,,小秘书,新年祝福邮件,奋斗的驯兽师们:\n     新年好。人间界新的一年来临了，我们这些脑残策划，所制作的这款无聊的游戏，也即将陪伴大家走过半年的时光。上线以来，我们无时无刻不在想着如何造（keng）福（hai）玩家，想法设法制造BUG，给玩家发福利。因为我们不忘初衷——如何在现世中，还原一个原汁原味的数码世界。所以，我们和其他那些粗制滥造的数码游戏不同，我们没有那么粗，在经费不足必须卖肾的情况下，也要把数码世界的细节刻画充分（开发组的肾已经不够用了）。\n    我们不要脸的说，希望目前市面上这款最精致的数码游戏，能陪你走过，这一年，下一年和每一年，去找回那“无限大的梦”。,{634=1},
53,2048游戏昨日结算金币,2,,小秘书,2048游戏昨日结算金币,亲爱的小伙伴:\n    你昨日2048游戏还有%d金币未结算，注意查收\n    祝您游戏愉快!,,
54,跨服石英大会战斗奖励,2,,小秘书,跨服石英大会战斗奖励,亲爱的小伙伴:\n    您在跨服石英大会中取得%d胜%d负，%d积分的战绩，战斗奖励已随邮件发送，请及时查收。\n    祝您游戏愉快!,,
55,跨服石英大会排名奖励,2,,小秘书,跨服石英大会排名奖励,亲爱的小伙伴:\n    恭喜您在跨服石英大会中获得第%d名，排名奖励已随邮件发送，请及时查收。望再接再厉，勇攀高峰。\n    祝您游戏愉快!,,
56,跨服石英大会预选赛全部押注成功奖励,2,,小秘书,跨服石英大会预选赛全部押注成功奖励,亲爱的小伙伴:\n    恭喜您，在跨服石英中成功预测全部预选赛种子选手，下注奖励已随邮件发送，请及时查收。\n    祝您游戏愉快!,,
57,跨服石英大会预选赛部分押注成功奖励,2,,小秘书,跨服石英大会预选赛部分押注成功奖励,亲爱的小伙伴:\n    恭喜您，在跨服石英中成功预测%d名预选赛种子选手，下注奖励已随邮件发送，请及时查收。\n    祝您游戏愉快!,,
58,跨服石英大会预选赛未押注成功返还奖励,2,,小秘书,跨服石英大会预选赛未押注成功返还奖励,亲爱的小伙伴:\n    本次预选赛预测失败%d名选手，这是押注失败的奖励补偿，已随邮件发送，请及时查收。\n    祝您游戏愉快!,,
59,跨服石英大会四强赛全部押注成功奖励,2,,小秘书,跨服石英大会四强赛全部押注成功奖励,亲爱的小伙伴:\n    恭喜您，在跨服石英中成功预测全部四强赛选手，下注奖励已随邮件发送，请及时查收。\n    祝您游戏愉快!,,
60,跨服石英大会四强赛部分押注成功奖励,2,,小秘书,跨服石英大会四强赛部分押注成功奖励,亲爱的小伙伴:\n    恭喜您，在跨服石英中成功预测%d名四强赛选手，下注奖励已随邮件发送，请及时查收。\n    祝您游戏愉快!,,
61,跨服石英大会四强赛未押注成功返还奖励,2,,小秘书,跨服石英大会四强赛未押注成功返还奖励,亲爱的小伙伴:\n    本次四强赛预测失败%d名选手，这是押注失败的奖励补偿，已随邮件发送，请及时查收。\n    祝您游戏愉快!,,
62,跨服石英大会冠军押注成功奖励,2,,小秘书,跨服石英大会冠军押注成功奖励,亲爱的小伙伴:\n    恭喜您，在跨服石英中成功预测冠军选手，下注奖励已随邮件发送，请及时查收。。\n    祝您游戏愉快!,,
63,跨服石英大会冠军押注失败奖励,2,,小秘书,跨服石英大会冠军押注失败奖励,亲爱的小伙伴:\n    很遗憾，在跨服石英中未成功预测冠军选手，补偿奖励已随邮件发送，请及时查收。\n    祝您游戏愉快!,,
64,跨服竞技场7日结算奖励,2,,小秘书,跨服竞技场7日结算奖励,亲爱的小伙伴:\n    恭喜您在跨服竞技场7日结算时位于%s第%d名，段位奖励已随邮件发送，请及时查收。望再接再厉，勇攀高峰。\n    祝您游戏愉快!,,
65,跨服竞技场结束结算奖励,2,,小秘书,跨服竞技场结束结算奖励,亲爱的小伙伴:\n    恭喜您在跨服竞技场季终结算时位于%s第%d名，段位奖励已随邮件发送，请及时查收。望再接再厉，勇攀高峰。\n    祝您游戏愉快!,,
66,钓鱼大赛排名奖励,2,,小秘书,钓鱼大赛排名奖励,亲爱的小伙伴:\n    恭喜您在钓鱼大赛中获得了第%d名，排名奖励已随邮件发送，请及时查收。\n    祝您游戏愉快!,,
67,钓鱼大赛自动钓鱼奖励补发,2,,小秘书,钓鱼大赛自动钓鱼奖励,亲爱的小伙伴:\n    您在本次钓鱼大赛中，自动钓鱼成功%d次，失败%d次，累积获得的奖励已随邮件发送，请及时查收。\n    祝您游戏愉快!,,
68,道馆本服荣誉馆主奖励,2,,小秘书,道馆本服荣誉馆主奖励,亲爱的小伙伴:\n    恭喜您在道馆结算时成为本服%s荣誉馆主，奖励已随邮件发送，请及时查收。望再接再厉，勇攀高峰。\n    祝您游戏愉快!,,
69,跨服道馆荣誉馆主奖励,2,,小秘书,跨服道馆荣誉馆主奖励,亲爱的小伙伴:\n    恭喜您在跨服道馆结算时成为%s荣誉馆主，奖励已随邮件发送，请及时查收。望再接再厉，勇攀高峰。\n    祝您游戏愉快!,,
70,跨服道馆荣誉馆员奖励,2,,小秘书,跨服道馆荣誉馆员奖励,亲爱的小伙伴:\n    恭喜您在跨服道馆结算时成为%s荣誉馆员，奖励已随邮件发送，请及时查收。望再接再厉，勇攀高峰。\n    祝您游戏愉快!,,
71,道馆副本通关奖励补发,2,,小秘书,道馆副本通关奖励补发,亲爱的小伙伴:\n    您有道馆副本通关奖励未领取，补发奖励已随邮件发送，请及时查收。望再接再厉，勇攀高峰。\n    祝您游戏愉快!,,
72,元素挑战被提出房间,2,,小秘书,元素挑战—请出通知,亲爱的小伙伴:\n    很遗憾的通知你，由于你加入了元素挑战房间但是很长时间内没有完成至少1次挑战，所以被请出了房间。,,
73,元素挑战通知投票,2,,小秘书,元素挑战—邀请投票,亲爱的小伙伴:\n    你所在的房间内有小伙伴发起了请出房主的投票，赶快去参与呀！这对于你是否能拿到房间内完成挑战人数达成奖励来说非常重要！\n    祝您游戏愉快!,,
74,元素挑战警告房主,2,,小秘书,元素挑战—被T警告,亲爱的小伙伴:\n    作为一房之主的你，因为当前没有完成至少1次挑战，受到了其他小伙伴的请出房间的投票，投票正在进行，现在还来得及，赶快前往房间完成挑战吧！,,
75,元素挑战新房主,2,,小秘书,元素挑战—新房主通知,亲爱的小伙伴:\n    你所在的挑战房间内前房主不作为，已被请出房间，现在你是新房主啦，快去邀请其他小伙伴来房间挑战吧，这对你们是否能够拿到所有完成挑战的人次奖励来说非常重要呀！\n    祝您游戏愉快!,,
76,以太乐园积分奖励迭代补发,2,,小秘书,以太乐园积分奖励未领补发,亲爱的小伙伴:\n    我们更新了积分奖励的内容，之前你有达成但却未领取的奖励查收附件如下，希望能在以太乐园中再看到你矫健的身姿！\n    祝您游戏愉快!,,
77,双十一中奖邮件,2,,小秘书,天降好运活动兑奖邮件,亲爱的小伙伴:\n    以下是你在天降好运活动中，参与的第%d场红包雨后获得的奖券兑奖信息：\n    奖券号码为%d号，兑奖情况为：%s \n    祝您游戏愉快!,,
78,跨服商业街日排行奖励,2,,小秘书,跨服商业街日结算奖励,亲爱的小伙伴:\n    恭喜您在跨服商业街日结算时处于排行榜第%d名，结算奖励已随邮件发送，请及时查收。请继续加油，早日成为金融巨鳄~ \n    祝您游戏愉快!,,
79,跨服商业街总排行奖励,2,,小秘书,跨服商业街总结算奖励,亲爱的小伙伴:\n    恭喜您在跨服商业街赛季结束时处于排行榜第%d名，赛季结算奖励已随邮件发送，请及时查收。下次，请一定要继续来玩呀~ \n    祝您游戏愉快!,,
80,跨服商业街服务器总排行奖励,2,,小秘书,跨服商业街服务器总结算奖励,亲爱的小伙伴:\n    恭喜您所在的服务器排名在跨服商业街赛季结束时处于第%d名，服务器排行的结算奖励已随邮件发送，请及时查收。下次，请一定要继续来玩呀~ \n    祝您游戏愉快!,,
81,跨服商业街 Boss 排行奖励,2,,小秘书,跨服商业街 Boss 结算奖励,亲爱的小伙伴:\n    恭喜您在跨服商业街BOSS战中总伤害排行榜处于第%d名，结算奖励已随邮件发送，请及时查收。感谢你为维护商业街和平所做的努力！ \n    祝您游戏愉快!,,
82,公会问答个人排名奖励,2,,小秘书,公会问答个人排名奖励,亲爱的小伙伴:\n    恭喜您在精灵问答中获得第%d名，排名奖励已随邮件发送，请及时查收。望再接再厉，勇攀高峰。\n    祝您游戏愉快!,,
83,公会问答公会排名奖励,2,,小秘书,公会问答公会排名奖励,亲爱的小伙伴:\n    恭喜您，您所在的公会在精灵问答中获得第%d名，排名奖励已随邮件发送，请及时查收。望集体参与，勇创新高。\n    祝您游戏愉快!,,
84,部屋大作战初赛排名奖励邮件,2,,小秘书,部屋大作战初赛排名奖励,亲爱的小伙伴:\n    您所属公会在部屋大作战材料初争中获得了第%d名，结算奖励已随邮件发送，请及时查收。\n    祝您游戏愉快!,,
85,部屋大作战决赛排名奖励邮件,2,,小秘书,部屋大作战决赛排名奖励,亲爱的小伙伴:\n    您所属的公会在部屋大作战冠军之争中取得第%d名，结算奖励已随邮件发送，请及时查收。\n    祝您游戏愉快!,,
86,部屋大作战初赛竞猜奖励邮件,2,,小秘书,部屋大作战初赛竞猜奖励,亲爱的小伙伴:\n    您在部屋大作战初赛竞猜中，竞猜成功了%s个，结算奖励已随邮件发送，请及时查收。\n    祝您游戏愉快!,,
87,部屋大作战决赛竞猜奖励邮件,2,,小秘书,部屋大作战决赛竞猜奖励,亲爱的小伙伴:\n    您在部屋大作战决赛竞猜中，竞猜成功了%s个，结算奖励已随邮件发送，请及时查收。\n    祝您游戏愉快!,,
88,部屋大作战初赛竞猜奖励邮件,2,,小秘书,部屋大作战初赛竞猜失败奖励,亲爱的小伙伴:\n    您在部屋大作战初赛竞猜中没有竞猜正确，以下是安慰奖，请再接再厉，结算奖励已随邮件发送，请及时查收。\n    祝您游戏愉快!,,
89,部屋大作战决赛竞猜奖励邮件,2,,小秘书,部屋大作战决赛竞猜失败奖励,亲爱的小伙伴:\n    您在部屋大作战决赛竞猜中没有竞猜正确，以下是安慰奖，请再接再厉，结算奖励已随邮件发送，请及时查收。\n    祝您游戏愉快!,,
90,,,,小秘书,世界锦标赛全服排行奖励,亲爱的小伙伴:\n   恭喜您在世界锦标赛赛季结束时处于全服排行榜第%d名，结算奖励已随邮件发送，请及时查收。\n    祝您游戏愉快!,,
91,,,,小秘书,世界锦标赛战区排行奖励,亲爱的小伙伴:\n    您战区第%d名，结算奖励已随邮件发送，请及时查收。\n    祝您游戏愉快!,,
92,,,,小秘书,世界锦标赛未领取的资源奖励,亲爱的小伙伴:\n    您在世界锦标赛未领取的奖励已随邮件发送，请及时查收。\n    祝您游戏愉快!,,
93,,,,小秘书,世界锦标赛段位奖励,亲爱的小伙伴:\n    恭喜您在世界锦标赛赛季结束时处于%s段位，段位结算奖励已随邮件发送，请及时查收。\n    祝您游戏愉快!,,
94,,,,小秘书,部屋大作战竞猜全部正确奖励,亲爱的小伙伴:\n    您在部屋大作战竞猜中全部竞猜正确，以下是额外奖励，请及时查收。\n    祝您游戏愉快!,,
95,,,,VIP组委会,vip礼包翻新补偿,尊敬的训练家:\n    vip礼包已翻新重置，因您之前购买过老版vip%s礼包，现补发补偿邮件，请注意查收\n,,
96,,,,小秘书,精灵消消乐,亲爱的小伙伴:\n    您在精灵消消乐内的积分排行是第%d名，为您颁发如下奖励，请注意查收 \n    祝您游戏愉快!,,
97,,,,小秘书,家园派对,亲爱的小伙伴:\n    您所在派对  %d【%s】参与人数达到%d位，为您颁发如下奖励，请注意查收 \n    祝您游戏愉快!,,
98,,,,小秘书,拟态对战,亲爱的小伙伴:\n    您在拟态对战内的积分排行是第%d名，为您颁发如下奖励，请注意查收 \n    祝您游戏愉快!,,
99,,,,小秘书,卡牌冒险,亲爱的小伙伴:\n    您在卡牌冒险的%s榜排行是第%d名，为您颁发如下奖励，请注意查收 \n    祝您游戏愉快!,,
,,,,,,,,
101,遗失精灵邮件,2,,精灵中心,遗失精灵邮件,亲爱的训练家:\n    在精灵中心发现了几只迷路的小家伙，请您及时领回~\n    祝您冒险愉快!,,
102,精灵月卡邮件,2,,小秘书,精灵月卡通知,亲爱的训练家:\n    这是今日的精灵月卡每日奖励，奖励已随邮件发送，请及时查收。\n    祝您游戏愉快!,,
103,大师月卡邮件,2,,小秘书,大师月卡通知,亲爱的训练家:\n   这是今日的大师月卡每日奖励，奖励已随邮件发送，请及时查收。\n    祝您游戏愉快!,,
104,运营活动奖励补发邮件,2,,小秘书,%s奖励补发,亲爱的训练家:\n    由于您在活动时间内未领取已完成的目标奖励，特此进行邮件补发奖励，以下为您未领取的活动奖励，请及时查收。\n    祝您游戏愉快!,,
105,同意入会申请,1,,联盟人事中心,您的入会申请已受理,亲爱的训练家:\n  %s通过了您的入会申请，快到公会和大家打个招呼吧。,,
106,新手欢迎邮件,2,,精灵联盟,欢迎您来到口袋精灵世界,亲爱的小伙伴:\n    欢迎您加入神秘有趣的口袋精灵世界，这是一点小礼物，希望能在今后的旅途中帮助到你。\n    祝您游戏愉快!,{rmb=50;gold=20000;11=50},
107,奖励邮件,2,,精灵联盟,奖励邮件,亲爱的小伙伴:\n    欢迎您加入神秘有趣的口袋精灵世界，这是一点小礼物，希望能在今后的旅途中帮助到你。\n    祝您游戏愉快!,{gold=10},
108,公会碎片赠予邮件,2,,联盟星愿办,有热心人帮您实现愿望了,有热心人%s赠送了您一个碎片哦，请注意查收~,,
109,实名注册奖励邮件,2,,小秘书,实名注册奖励邮件,亲爱的小伙伴:\n    欢迎您加入神秘有趣的口袋精灵世界，这是一点小礼物，希望能在今后的旅途中帮助到你。\n    祝您游戏愉快!,{gold=500000;rmb=150},
110,对战竞技场周结算有奖励,2,,小秘书,对战竞技场周结算,亲爱的小伙伴:\n    恭喜你在周结算时2个模式中积分最高的达到了%d分，以下是发放给你的周结算奖励，再接再厉呀！,,
111,对战竞技场周结算无奖励,2,,小秘书,对战竞技场周结算,亲爱的小伙伴:\n    虽然你在本次周结算中2个模式中积分最高达到%d分，但由于本周你没有达到至少参与%d场战斗（不论模式）的条件，所以与本周奖励失之交臂，下周可记得千万要积极来参加比赛呀！,,
112,对战竞技场赛季结算,2,,小秘书,对战竞技场赛季结算,亲爱的小伙伴:\n    本次赛季圆满结束啦！恭喜你在赛季结算时2个模式中排名最高达到%d名，以下是发放给你的赛季结算奖励，继续变强，我们下赛季见！,,
113,en第三方充值邮件,2,,,,,,
,,,,,,,,
120,探险器(独角爬行器)进阶消耗修复补偿,1,,精灵联盟,探险器(独角爬行器)进阶消耗下调补偿,亲爱的训练师:\n    感谢在游戏中发现了探险器（独角爬行器）进阶消耗偏高的问题，特此在更新调整后为您送回之前多消耗掉的那部分材料，希望能在今后的探险旅途中帮助到你。\n    祝您游戏愉快!,{},
121,石英银币转换成石英金币,1,,精灵联盟,石英银质徽章转换,亲爱的训练师:\n    您好，因石英货币优化，您原有的 %d 石英银质徽章，已自动被系统被转化为 %d 石英金质徽章。\n    祝您游戏愉快!,{},
122,跨服石英银币转换成跨服石英金币,1,,精灵联盟,跨服石英银币转换,亲爱的训练师:\n    您好，因货币优化，您原有的 %d 跨服石英银币，已自动被系统被转化为 %d 跨服石英金币。\n    祝您游戏愉快!,{},
123,重聚活动绑定冷却时间通知,1,,精灵联盟,重聚活动时间通知,亲爱的训练师:\n    您好，因与您绑定的回归玩家上线不积极等原因，影响了您的活动体验，因此在短暂的%d天CD之后，可快速再次以老玩家的身份参与重聚活动,,
,,,,,,,,
130,韩版--预约达1W?,2,,小秘书,404404,404404,{gold=50000;rmb=50;14=20},
131,韩版--预约达3W,2,,小秘书,404404,404404,{gold=100000;rmb=100;941=1},
132,韩版--预约达7W,2,,小秘书,404404,404404,{gold=150000;rmb=150;452=50},
133,韩版--预约达10W,2,,小秘书,404404,404404,{gold=200000;5000=30;503=5},
,,,,,,,,
,,,,,,,,
,开局福利,,,,,,,
134,完美口袋公益服,2,,完美口袋公益服,完美口袋公益服全精灵福利箱子,亲爱的小伙伴:\n    欢迎您加入完美口袋公益服！拥有全网独家更新能力，更新快，不拖拉，福利拉满。\n    1 全精灵免费送\n    2 上线登录就送 2000 代金券\n    3 实际充值返利五倍  充1得5\n    转游说明：所有版本转游 1:5 【比如其他服充值100元 转游到 本服充值10元即可获得50绑币】,{9000=2;9001=2},
135,完美口袋公益服,2,,完美口袋公益服,完美口袋公益服全精灵福利,亲爱的小伙伴:\n    欢迎您加入完美口袋公益服！拥有全网独家更新能力，更新快，不拖拉，福利拉满。\n    1 全精灵免费送\n    2 上线登录就送 2000 代金券\n    3 实际充值返利五倍  充1得5\n    转游说明：所有版本转游 1:5 【比如其他服充值100元 转游到 本服充值10元即可获得50绑币】,{9991=2;9992=5;9993=5;9994=5;9995=10;9996=2},
