变量名,name,suitID,suitNo,icon,quality,gemDescribe,heapLimit,decomposeReturn,strengthMax,strengthCostSeq,attrType1,attrNum1,attrType2,attrNum2,attrType3,attrNum3,attrType4,attrNum4,attrType5,attrNum5,desc,effect
40325,好战,3,5,config/item/gem/icon_9_lv_5.png,2,攻击向符石,9999,{529=20},,2,7,<200;203;206;209;212;215;218;221;224;227;232;235;238;242;245;248;251;254;258;261;268;271;275;278;282;285;288;292;295;299;308;312;315;319;322;326;330;333;337;340;360;364;368;372;376;380;384;388;392;396;420;424;429;433;438;442;446;451;455;460;488;493;498;502;507;512;517;522;526;531;564;569;574;580;585;590;595;600;606;611;648;654;659;665;670;676;682;687;693;698;740;746;752;758;764;770;776;782;788;794;840;846;853;859;866;872;878;885;891;898;948;955;962;968;975;982;989;996;1002;1009>,8,<200;203;206;209;212;215;218;221;224;227;232;235;238;242;245;248;251;254;258;261;268;271;275;278;282;285;288;292;295;299;308;312;315;319;322;326;330;333;337;340;360;364;368;372;376;380;384;388;392;396;420;424;429;433;438;442;446;451;455;460;488;493;498;502;507;512;517;522;526;531;564;569;574;580;585;590;595;600;606;611;648;654;659;665;670;676;682;687;693;698;740;746;752;758;764;770;776;782;788;794;840;846;853;859;866;872;878;885;891;898;948;955;962;968;975;982;989;996;1002;1009>,9,<140;142;144;146;148;151;153;155;157;159;162;165;167;169;171;174;176;178;180;183;188;190;192;195;197;200;202;204;207;209;216;218;221;223;226;228;231;233;236;238;252;255;258;260;263;266;269;272;274;277;294;297;300;303;306;309;312;316;319;322;342;345;348;352;355;358;362;365;368;372;395;398;402;406;409;413;417;420;424;428;454;458;461;465;469;473;477;481;485;489;518;522;526;531;535;539;543;547;552;556;588;592;597;601;606;610;615;619;624;628;664;668;673;678;683;687;692;697;702;706>,22,<13;13;13;13;13;15;15;15;15;15;16;16;16;16;16;18;18;18;18;18;19;19;19;19;19;21;21;21;21;21;22;22;22;22;22;24;24;24;24;24;25;25;25;25;25;26;26;26;26;26;28;28;28;28;28;29;29;29;29;29;31;31;31;31;31;32;32;32;32;32;34;34;34;34;34;35;35;35;35;35;36;36;36;36;36;38;38;38;38;38;39;39;39;39;39;41;41;41;41;41;42;42;42;42;42;44;44;44;44;44;45;45;45;45;45;47;47;47;47;47>,,,,
40326,好战,3,6,config/item/gem/icon_9_lv_6.png,2,攻击向符石,9999,{529=20},,2,7,<200;203;206;209;212;215;218;221;224;227;232;235;238;242;245;248;251;254;258;261;268;271;275;278;282;285;288;292;295;299;308;312;315;319;322;326;330;333;337;340;360;364;368;372;376;380;384;388;392;396;420;424;429;433;438;442;446;451;455;460;488;493;498;502;507;512;517;522;526;531;564;569;574;580;585;590;595;600;606;611;648;654;659;665;670;676;682;687;693;698;740;746;752;758;764;770;776;782;788;794;840;846;853;859;866;872;878;885;891;898;948;955;962;968;975;982;989;996;1002;1009>,8,<200;203;206;209;212;215;218;221;224;227;232;235;238;242;245;248;251;254;258;261;268;271;275;278;282;285;288;292;295;299;308;312;315;319;322;326;330;333;337;340;360;364;368;372;376;380;384;388;392;396;420;424;429;433;438;442;446;451;455;460;488;493;498;502;507;512;517;522;526;531;564;569;574;580;585;590;595;600;606;611;648;654;659;665;670;676;682;687;693;698;740;746;752;758;764;770;776;782;788;794;840;846;853;859;866;872;878;885;891;898;948;955;962;968;975;982;989;996;1002;1009>,10,<140;142;144;146;148;151;153;155;157;159;162;165;167;169;171;174;176;178;180;183;188;190;192;195;197;200;202;204;207;209;216;218;221;223;226;228;231;233;236;238;252;255;258;260;263;266;269;272;274;277;294;297;300;303;306;309;312;316;319;322;342;345;348;352;355;358;362;365;368;372;395;398;402;406;409;413;417;420;424;428;454;458;461;465;469;473;477;481;485;489;518;522;526;531;535;539;543;547;552;556;588;592;597;601;606;610;615;619;624;628;664;668;673;678;683;687;692;697;702;706>,23,<13;13;13;13;13;15;15;15;15;15;16;16;16;16;16;18;18;18;18;18;19;19;19;19;19;21;21;21;21;21;22;22;22;22;22;24;24;24;24;24;25;25;25;25;25;26;26;26;26;26;28;28;28;28;28;29;29;29;29;29;31;31;31;31;31;32;32;32;32;32;34;34;34;34;34;35;35;35;35;35;36;36;36;36;36;38;38;38;38;38;39;39;39;39;39;41;41;41;41;41;42;42;42;42;42;44;44;44;44;44;45;45;45;45;45;47;47;47;47;47>,,,,
40331,好战,3,1,config/item/gem/icon_9_l_1.png,3,攻击向符石,9999,{529=40},,3,7,<300;305;309;314;318;323;327;332;336;341;348;353;358;362;367;372;377;382;386;391;402;407;412;417;422;428;433;438;443;448;462;467;473;478;484;489;494;500;505;511;540;546;552;558;564;570;576;582;588;594;630;637;643;650;656;663;670;676;683;689;732;739;746;754;761;768;775;782;790;797;846;854;862;869;877;885;893;901;908;916;972;980;989;997;1006;1014;1022;1031;1039;1048;1110;1119;1128;1137;1146;1155;1164;1173;1182;1191;1260;1270;1279;1289;1298;1308;1318;1327;1337;1346;1422;1432;1442;1453;1463;1473;1483;1493;1504;1514>,8,<300;305;309;314;318;323;327;332;336;341;348;353;358;362;367;372;377;382;386;391;402;407;412;417;422;428;433;438;443;448;462;467;473;478;484;489;494;500;505;511;540;546;552;558;564;570;576;582;588;594;630;637;643;650;656;663;670;676;683;689;732;739;746;754;761;768;775;782;790;797;846;854;862;869;877;885;893;901;908;916;972;980;989;997;1006;1014;1022;1031;1039;1048;1110;1119;1128;1137;1146;1155;1164;1173;1182;1191;1260;1270;1279;1289;1298;1308;1318;1327;1337;1346;1422;1432;1442;1453;1463;1473;1483;1493;1504;1514>,14,<34;34;34;34;34;37;37;37;37;37;41;41;41;41;41;44;44;44;44;44;48;48;48;48;48;52;52;52;52;52;55;55;55;55;55;59;59;59;59;59;62;62;62;62;62;66;66;66;66;66;70;70;70;70;70;73;73;73;73;73;77;77;77;77;77;80;80;80;80;80;84;84;84;84;84;88;88;88;88;88;91;91;91;91;91;95;95;95;95;95;98;98;98;98;98;102;102;102;102;102;106;106;106;106;106;109;109;109;109;109;113;113;113;113;113;116;116;116;116;116>,,,,,,
40332,好战,3,2,config/item/gem/icon_9_l_2.png,3,攻击向符石,9999,{529=40},,3,7,<300;305;309;314;318;323;327;332;336;341;348;353;358;362;367;372;377;382;386;391;402;407;412;417;422;428;433;438;443;448;462;467;473;478;484;489;494;500;505;511;540;546;552;558;564;570;576;582;588;594;630;637;643;650;656;663;670;676;683;689;732;739;746;754;761;768;775;782;790;797;846;854;862;869;877;885;893;901;908;916;972;980;989;997;1006;1014;1022;1031;1039;1048;1110;1119;1128;1137;1146;1155;1164;1173;1182;1191;1260;1270;1279;1289;1298;1308;1318;1327;1337;1346;1422;1432;1442;1453;1463;1473;1483;1493;1504;1514>,8,<300;305;309;314;318;323;327;332;336;341;348;353;358;362;367;372;377;382;386;391;402;407;412;417;422;428;433;438;443;448;462;467;473;478;484;489;494;500;505;511;540;546;552;558;564;570;576;582;588;594;630;637;643;650;656;663;670;676;683;689;732;739;746;754;761;768;775;782;790;797;846;854;862;869;877;885;893;901;908;916;972;980;989;997;1006;1014;1022;1031;1039;1048;1110;1119;1128;1137;1146;1155;1164;1173;1182;1191;1260;1270;1279;1289;1298;1308;1318;1327;1337;1346;1422;1432;1442;1453;1463;1473;1483;1493;1504;1514>,15,<50;50;50;50;50;56;56;56;56;56;61;61;61;61;61;67;67;67;67;67;72;72;72;72;72;77;77;77;77;77;83;83;83;83;83;88;88;88;88;88;94;94;94;94;94;99;99;99;99;99;104;104;104;104;104;110;110;110;110;110;115;115;115;115;115;121;121;121;121;121;126;126;126;126;126;131;131;131;131;131;137;137;137;137;137;142;142;142;142;142;148;148;148;148;148;153;153;153;153;153;158;158;158;158;158;164;164;164;164;164;169;169;169;169;169;175;175;175;175;175>,,,,,,
40333,好战,3,3,config/item/gem/icon_9_l_3.png,3,攻击向符石,9999,{529=40},,3,1,<1512;1535;1557;1580;1603;1625;1648;1671;1693;1716;1754;1778;1802;1826;1851;1875;1899;1923;1947;1972;2026;2052;2077;2103;2129;2155;2180;2206;2232;2257;2328;2356;2383;2410;2437;2465;2492;2519;2546;2573;2722;2752;2782;2812;2843;2873;2903;2933;2964;2994;3175;3208;3242;3275;3308;3342;3375;3408;3441;3475;3689;3726;3762;3798;3834;3871;3907;3943;3980;4016;4264;4303;4342;4382;4421;4460;4500;4539;4578;4618;4899;4941;4984;5026;5068;5111;5153;5195;5238;5280;5594;5640;5685;5730;5776;5821;5867;5912;5957;6003;6350;6399;6447;6496;6544;6592;6641;6689;6737;6786;7167;7218;7270;7321;7373;7424;7475;7527;7578;7630>,7,<300;305;309;314;318;323;327;332;336;341;348;353;358;362;367;372;377;382;386;391;402;407;412;417;422;428;433;438;443;448;462;467;473;478;484;489;494;500;505;511;540;546;552;558;564;570;576;582;588;594;630;637;643;650;656;663;670;676;683;689;732;739;746;754;761;768;775;782;790;797;846;854;862;869;877;885;893;901;908;916;972;980;989;997;1006;1014;1022;1031;1039;1048;1110;1119;1128;1137;1146;1155;1164;1173;1182;1191;1260;1270;1279;1289;1298;1308;1318;1327;1337;1346;1422;1432;1442;1453;1463;1473;1483;1493;1504;1514>,8,<300;305;309;314;318;323;327;332;336;341;348;353;358;362;367;372;377;382;386;391;402;407;412;417;422;428;433;438;443;448;462;467;473;478;484;489;494;500;505;511;540;546;552;558;564;570;576;582;588;594;630;637;643;650;656;663;670;676;683;689;732;739;746;754;761;768;775;782;790;797;846;854;862;869;877;885;893;901;908;916;972;980;989;997;1006;1014;1022;1031;1039;1048;1110;1119;1128;1137;1146;1155;1164;1173;1182;1191;1260;1270;1279;1289;1298;1308;1318;1327;1337;1346;1422;1432;1442;1453;1463;1473;1483;1493;1504;1514>,11,<34;34;34;34;34;37;37;37;37;37;41;41;41;41;41;44;44;44;44;44;48;48;48;48;48;52;52;52;52;52;55;55;55;55;55;59;59;59;59;59;62;62;62;62;62;66;66;66;66;66;70;70;70;70;70;73;73;73;73;73;77;77;77;77;77;80;80;80;80;80;84;84;84;84;84;88;88;88;88;88;91;91;91;91;91;95;95;95;95;95;98;98;98;98;98;102;102;102;102;102;106;106;106;106;106;109;109;109;109;109;113;113;113;113;113;116;116;116;116;116>,12,<34;34;34;34;34;37;37;37;37;37;41;41;41;41;41;44;44;44;44;44;48;48;48;48;48;52;52;52;52;52;55;55;55;55;55;59;59;59;59;59;62;62;62;62;62;66;66;66;66;66;70;70;70;70;70;73;73;73;73;73;77;77;77;77;77;80;80;80;80;80;84;84;84;84;84;88;88;88;88;88;91;91;91;91;91;95;95;95;95;95;98;98;98;98;98;102;102;102;102;102;106;106;106;106;106;109;109;109;109;109;113;113;113;113;113;116;116;116;116;116>,,
40334,好战,3,4,config/item/gem/icon_9_l_4.png,3,攻击向符石,9999,{529=40},,3,1,<1512;1535;1557;1580;1603;1625;1648;1671;1693;1716;1754;1778;1802;1826;1851;1875;1899;1923;1947;1972;2026;2052;2077;2103;2129;2155;2180;2206;2232;2257;2328;2356;2383;2410;2437;2465;2492;2519;2546;2573;2722;2752;2782;2812;2843;2873;2903;2933;2964;2994;3175;3208;3242;3275;3308;3342;3375;3408;3441;3475;3689;3726;3762;3798;3834;3871;3907;3943;3980;4016;4264;4303;4342;4382;4421;4460;4500;4539;4578;4618;4899;4941;4984;5026;5068;5111;5153;5195;5238;5280;5594;5640;5685;5730;5776;5821;5867;5912;5957;6003;6350;6399;6447;6496;6544;6592;6641;6689;6737;6786;7167;7218;7270;7321;7373;7424;7475;7527;7578;7630>,7,<300;305;309;314;318;323;327;332;336;341;348;353;358;362;367;372;377;382;386;391;402;407;412;417;422;428;433;438;443;448;462;467;473;478;484;489;494;500;505;511;540;546;552;558;564;570;576;582;588;594;630;637;643;650;656;663;670;676;683;689;732;739;746;754;761;768;775;782;790;797;846;854;862;869;877;885;893;901;908;916;972;980;989;997;1006;1014;1022;1031;1039;1048;1110;1119;1128;1137;1146;1155;1164;1173;1182;1191;1260;1270;1279;1289;1298;1308;1318;1327;1337;1346;1422;1432;1442;1453;1463;1473;1483;1493;1504;1514>,8,<300;305;309;314;318;323;327;332;336;341;348;353;358;362;367;372;377;382;386;391;402;407;412;417;422;428;433;438;443;448;462;467;473;478;484;489;494;500;505;511;540;546;552;558;564;570;576;582;588;594;630;637;643;650;656;663;670;676;683;689;732;739;746;754;761;768;775;782;790;797;846;854;862;869;877;885;893;901;908;916;972;980;989;997;1006;1014;1022;1031;1039;1048;1110;1119;1128;1137;1146;1155;1164;1173;1182;1191;1260;1270;1279;1289;1298;1308;1318;1327;1337;1346;1422;1432;1442;1453;1463;1473;1483;1493;1504;1514>,90,<40;40;40;40;40;45;45;45;45;45;49;49;49;49;49;53;53;53;53;53;58;58;58;58;58;62;62;62;62;62;66;66;66;66;66;71;71;71;71;71;75;75;75;75;75;79;79;79;79;79;84;84;84;84;84;88;88;88;88;88;92;92;92;92;92;96;96;96;96;96;101;101;101;101;101;105;105;105;105;105;109;109;109;109;109;114;114;114;114;114;118;118;118;118;118;122;122;122;122;122;127;127;127;127;127;131;131;131;131;131;135;135;135;135;135;140;140;140;140;140>,,,,
40335,好战,3,5,config/item/gem/icon_9_l_5.png,3,攻击向符石,9999,{529=40},,3,7,<300;305;309;314;318;323;327;332;336;341;348;353;358;362;367;372;377;382;386;391;402;407;412;417;422;428;433;438;443;448;462;467;473;478;484;489;494;500;505;511;540;546;552;558;564;570;576;582;588;594;630;637;643;650;656;663;670;676;683;689;732;739;746;754;761;768;775;782;790;797;846;854;862;869;877;885;893;901;908;916;972;980;989;997;1006;1014;1022;1031;1039;1048;1110;1119;1128;1137;1146;1155;1164;1173;1182;1191;1260;1270;1279;1289;1298;1308;1318;1327;1337;1346;1422;1432;1442;1453;1463;1473;1483;1493;1504;1514>,8,<300;305;309;314;318;323;327;332;336;341;348;353;358;362;367;372;377;382;386;391;402;407;412;417;422;428;433;438;443;448;462;467;473;478;484;489;494;500;505;511;540;546;552;558;564;570;576;582;588;594;630;637;643;650;656;663;670;676;683;689;732;739;746;754;761;768;775;782;790;797;846;854;862;869;877;885;893;901;908;916;972;980;989;997;1006;1014;1022;1031;1039;1048;1110;1119;1128;1137;1146;1155;1164;1173;1182;1191;1260;1270;1279;1289;1298;1308;1318;1327;1337;1346;1422;1432;1442;1453;1463;1473;1483;1493;1504;1514>,9,<210;213;216;219;223;226;229;232;235;238;244;247;250;254;257;260;264;267;270;274;281;285;289;292;296;299;303;306;310;314;323;327;331;335;339;342;346;350;354;357;378;382;386;391;395;399;403;407;412;416;441;446;450;455;459;464;469;473;478;483;512;517;522;528;533;538;543;548;553;558;592;598;603;609;614;620;625;630;636;641;680;686;692;698;704;710;716;722;727;733;777;783;790;796;802;809;815;821;827;834;882;889;895;902;909;916;922;929;936;942;995;1003;1010;1017;1024;1031;1038;1045;1053;1060>,22,<20;20;20;20;20;22;22;22;22;22;24;24;24;24;24;27;27;27;27;27;29;29;29;29;29;31;31;31;31;31;33;33;33;33;33;35;35;35;35;35;37;37;37;37;37;40;40;40;40;40;42;42;42;42;42;44;44;44;44;44;46;46;46;46;46;48;48;48;48;48;50;50;50;50;50;53;53;53;53;53;55;55;55;55;55;57;57;57;57;57;59;59;59;59;59;61;61;61;61;61;63;63;63;63;63;66;66;66;66;66;68;68;68;68;68;70;70;70;70;70>,,,,
40336,好战,3,6,config/item/gem/icon_9_l_6.png,3,攻击向符石,9999,{529=40},,3,7,<300;305;309;314;318;323;327;332;336;341;348;353;358;362;367;372;377;382;386;391;402;407;412;417;422;428;433;438;443;448;462;467;473;478;484;489;494;500;505;511;540;546;552;558;564;570;576;582;588;594;630;637;643;650;656;663;670;676;683;689;732;739;746;754;761;768;775;782;790;797;846;854;862;869;877;885;893;901;908;916;972;980;989;997;1006;1014;1022;1031;1039;1048;1110;1119;1128;1137;1146;1155;1164;1173;1182;1191;1260;1270;1279;1289;1298;1308;1318;1327;1337;1346;1422;1432;1442;1453;1463;1473;1483;1493;1504;1514>,8,<300;305;309;314;318;323;327;332;336;341;348;353;358;362;367;372;377;382;386;391;402;407;412;417;422;428;433;438;443;448;462;467;473;478;484;489;494;500;505;511;540;546;552;558;564;570;576;582;588;594;630;637;643;650;656;663;670;676;683;689;732;739;746;754;761;768;775;782;790;797;846;854;862;869;877;885;893;901;908;916;972;980;989;997;1006;1014;1022;1031;1039;1048;1110;1119;1128;1137;1146;1155;1164;1173;1182;1191;1260;1270;1279;1289;1298;1308;1318;1327;1337;1346;1422;1432;1442;1453;1463;1473;1483;1493;1504;1514>,10,<210;213;216;219;223;226;229;232;235;238;244;247;250;254;257;260;264;267;270;274;281;285;289;292;296;299;303;306;310;314;323;327;331;335;339;342;346;350;354;357;378;382;386;391;395;399;403;407;412;416;441;446;450;455;459;464;469;473;478;483;512;517;522;528;533;538;543;548;553;558;592;598;603;609;614;620;625;630;636;641;680;686;692;698;704;710;716;722;727;733;777;783;790;796;802;809;815;821;827;834;882;889;895;902;909;916;922;929;936;942;995;1003;1010;1017;1024;1031;1038;1045;1053;1060>,23,<20;20;20;20;20;22;22;22;22;22;24;24;24;24;24;27;27;27;27;27;29;29;29;29;29;31;31;31;31;31;33;33;33;33;33;35;35;35;35;35;37;37;37;37;37;40;40;40;40;40;42;42;42;42;42;44;44;44;44;44;46;46;46;46;46;48;48;48;48;48;50;50;50;50;50;53;53;53;53;53;55;55;55;55;55;57;57;57;57;57;59;59;59;59;59;61;61;61;61;61;63;63;63;63;63;66;66;66;66;66;68;68;68;68;68;70;70;70;70;70>,,,,
40341,好战,3,1,config/item/gem/icon_9_z_1.png,4,攻击向符石,9999,{529=80},,4,7,<440;447;453;460;466;473;480;486;493;499;510;517;524;532;539;546;553;560;567;574;590;597;605;612;620;627;634;642;649;657;678;686;693;701;709;717;725;733;741;749;792;801;810;818;827;836;845;854;862;871;924;934;943;953;963;972;982;992;1001;1011;1074;1084;1095;1105;1116;1126;1137;1148;1158;1169;1241;1252;1264;1275;1287;1298;1309;1321;1332;1344;1426;1438;1450;1463;1475;1487;1500;1512;1524;1536;1628;1641;1654;1668;1681;1694;1707;1720;1734;1747;1848;1862;1876;1890;1904;1918;1932;1947;1961;1975;2086;2101;2116;2130;2145;2160;2175;2190;2205;2220>,8,<440;447;453;460;466;473;480;486;493;499;510;517;524;532;539;546;553;560;567;574;590;597;605;612;620;627;634;642;649;657;678;686;693;701;709;717;725;733;741;749;792;801;810;818;827;836;845;854;862;871;924;934;943;953;963;972;982;992;1001;1011;1074;1084;1095;1105;1116;1126;1137;1148;1158;1169;1241;1252;1264;1275;1287;1298;1309;1321;1332;1344;1426;1438;1450;1463;1475;1487;1500;1512;1524;1536;1628;1641;1654;1668;1681;1694;1707;1720;1734;1747;1848;1862;1876;1890;1904;1918;1932;1947;1961;1975;2086;2101;2116;2130;2145;2160;2175;2190;2205;2220>,14,<49;49;49;49;49;55;55;55;55;55;60;60;60;60;60;65;65;65;65;65;70;70;70;70;70;76;76;76;76;76;81;81;81;81;81;86;86;86;86;86;92;92;92;92;92;97;97;97;97;97;102;102;102;102;102;107;107;107;107;107;113;113;113;113;113;118;118;118;118;118;123;123;123;123;123;128;128;128;128;128;134;134;134;134;134;139;139;139;139;139;144;144;144;144;144;150;150;150;150;150;155;155;155;155;155;160;160;160;160;160;165;165;165;165;165;171;171;171;171;171>,,,,,,{drawcard=zi_effect_loop}
40342,好战,3,2,config/item/gem/icon_9_z_2.png,4,攻击向符石,9999,{529=80},,4,7,<440;447;453;460;466;473;480;486;493;499;510;517;524;532;539;546;553;560;567;574;590;597;605;612;620;627;634;642;649;657;678;686;693;701;709;717;725;733;741;749;792;801;810;818;827;836;845;854;862;871;924;934;943;953;963;972;982;992;1001;1011;1074;1084;1095;1105;1116;1126;1137;1148;1158;1169;1241;1252;1264;1275;1287;1298;1309;1321;1332;1344;1426;1438;1450;1463;1475;1487;1500;1512;1524;1536;1628;1641;1654;1668;1681;1694;1707;1720;1734;1747;1848;1862;1876;1890;1904;1918;1932;1947;1961;1975;2086;2101;2116;2130;2145;2160;2175;2190;2205;2220>,8,<440;447;453;460;466;473;480;486;493;499;510;517;524;532;539;546;553;560;567;574;590;597;605;612;620;627;634;642;649;657;678;686;693;701;709;717;725;733;741;749;792;801;810;818;827;836;845;854;862;871;924;934;943;953;963;972;982;992;1001;1011;1074;1084;1095;1105;1116;1126;1137;1148;1158;1169;1241;1252;1264;1275;1287;1298;1309;1321;1332;1344;1426;1438;1450;1463;1475;1487;1500;1512;1524;1536;1628;1641;1654;1668;1681;1694;1707;1720;1734;1747;1848;1862;1876;1890;1904;1918;1932;1947;1961;1975;2086;2101;2116;2130;2145;2160;2175;2190;2205;2220>,15,<74;74;74;74;74;82;82;82;82;82;90;90;90;90;90;98;98;98;98;98;106;106;106;106;106;114;114;114;114;114;121;121;121;121;121;129;129;129;129;129;137;137;137;137;137;145;145;145;145;145;153;153;153;153;153;161;161;161;161;161;169;169;169;169;169;177;177;177;177;177;185;185;185;185;185;193;193;193;193;193;201;201;201;201;201;209;209;209;209;209;216;216;216;216;216;224;224;224;224;224;232;232;232;232;232;240;240;240;240;240;248;248;248;248;248;256;256;256;256;256>,,,,,,{drawcard=zi_effect_loop}
40343,好战,3,3,config/item/gem/icon_9_z_3.png,4,攻击向符石,9999,{529=80},,4,1,<2218;2251;2285;2318;2351;2384;2418;2451;2484;2517;2573;2608;2644;2679;2715;2750;2786;2821;2857;2892;2972;3010;3048;3085;3123;3161;3198;3236;3274;3311;3416;3456;3496;3535;3575;3615;3655;3695;3735;3775;3992;4037;4081;4125;4170;4214;4259;4303;4347;4392;4658;4707;4755;4804;4853;4902;4951;4999;5048;5097;5412;5465;5518;5572;5625;5678;5731;5785;5838;5891;6255;6312;6370;6428;6485;6543;6601;6658;6716;6774;7186;7248;7311;7373;7435;7497;7559;7621;7683;7745;8207;8273;8340;8406;8473;8539;8606;8672;8739;8805;9316;9387;9458;9529;9600;9670;9741;9812;9883;9954;10513;10589;10664;10740;10815;10890;10966;11041;11117;11192>,7,<440;447;453;460;466;473;480;486;493;499;510;517;524;532;539;546;553;560;567;574;590;597;605;612;620;627;634;642;649;657;678;686;693;701;709;717;725;733;741;749;792;801;810;818;827;836;845;854;862;871;924;934;943;953;963;972;982;992;1001;1011;1074;1084;1095;1105;1116;1126;1137;1148;1158;1169;1241;1252;1264;1275;1287;1298;1309;1321;1332;1344;1426;1438;1450;1463;1475;1487;1500;1512;1524;1536;1628;1641;1654;1668;1681;1694;1707;1720;1734;1747;1848;1862;1876;1890;1904;1918;1932;1947;1961;1975;2086;2101;2116;2130;2145;2160;2175;2190;2205;2220>,8,<440;447;453;460;466;473;480;486;493;499;510;517;524;532;539;546;553;560;567;574;590;597;605;612;620;627;634;642;649;657;678;686;693;701;709;717;725;733;741;749;792;801;810;818;827;836;845;854;862;871;924;934;943;953;963;972;982;992;1001;1011;1074;1084;1095;1105;1116;1126;1137;1148;1158;1169;1241;1252;1264;1275;1287;1298;1309;1321;1332;1344;1426;1438;1450;1463;1475;1487;1500;1512;1524;1536;1628;1641;1654;1668;1681;1694;1707;1720;1734;1747;1848;1862;1876;1890;1904;1918;1932;1947;1961;1975;2086;2101;2116;2130;2145;2160;2175;2190;2205;2220>,11,<49;49;49;49;49;55;55;55;55;55;60;60;60;60;60;65;65;65;65;65;70;70;70;70;70;76;76;76;76;76;81;81;81;81;81;86;86;86;86;86;92;92;92;92;92;97;97;97;97;97;102;102;102;102;102;107;107;107;107;107;113;113;113;113;113;118;118;118;118;118;123;123;123;123;123;128;128;128;128;128;134;134;134;134;134;139;139;139;139;139;144;144;144;144;144;150;150;150;150;150;155;155;155;155;155;160;160;160;160;160;165;165;165;165;165;171;171;171;171;171>,12,<49;49;49;49;49;55;55;55;55;55;60;60;60;60;60;65;65;65;65;65;70;70;70;70;70;76;76;76;76;76;81;81;81;81;81;86;86;86;86;86;92;92;92;92;92;97;97;97;97;97;102;102;102;102;102;107;107;107;107;107;113;113;113;113;113;118;118;118;118;118;123;123;123;123;123;128;128;128;128;128;134;134;134;134;134;139;139;139;139;139;144;144;144;144;144;150;150;150;150;150;155;155;155;155;155;160;160;160;160;160;165;165;165;165;165;171;171;171;171;171>,,{drawcard=zi_effect_loop}
40344,好战,3,4,config/item/gem/icon_9_z_4.png,4,攻击向符石,9999,{529=80},,4,1,<2218;2251;2285;2318;2351;2384;2418;2451;2484;2517;2573;2608;2644;2679;2715;2750;2786;2821;2857;2892;2972;3010;3048;3085;3123;3161;3198;3236;3274;3311;3416;3456;3496;3535;3575;3615;3655;3695;3735;3775;3992;4037;4081;4125;4170;4214;4259;4303;4347;4392;4658;4707;4755;4804;4853;4902;4951;4999;5048;5097;5412;5465;5518;5572;5625;5678;5731;5785;5838;5891;6255;6312;6370;6428;6485;6543;6601;6658;6716;6774;7186;7248;7311;7373;7435;7497;7559;7621;7683;7745;8207;8273;8340;8406;8473;8539;8606;8672;8739;8805;9316;9387;9458;9529;9600;9670;9741;9812;9883;9954;10513;10589;10664;10740;10815;10890;10966;11041;11117;11192>,7,<440;447;453;460;466;473;480;486;493;499;510;517;524;532;539;546;553;560;567;574;590;597;605;612;620;627;634;642;649;657;678;686;693;701;709;717;725;733;741;749;792;801;810;818;827;836;845;854;862;871;924;934;943;953;963;972;982;992;1001;1011;1074;1084;1095;1105;1116;1126;1137;1148;1158;1169;1241;1252;1264;1275;1287;1298;1309;1321;1332;1344;1426;1438;1450;1463;1475;1487;1500;1512;1524;1536;1628;1641;1654;1668;1681;1694;1707;1720;1734;1747;1848;1862;1876;1890;1904;1918;1932;1947;1961;1975;2086;2101;2116;2130;2145;2160;2175;2190;2205;2220>,8,<440;447;453;460;466;473;480;486;493;499;510;517;524;532;539;546;553;560;567;574;590;597;605;612;620;627;634;642;649;657;678;686;693;701;709;717;725;733;741;749;792;801;810;818;827;836;845;854;862;871;924;934;943;953;963;972;982;992;1001;1011;1074;1084;1095;1105;1116;1126;1137;1148;1158;1169;1241;1252;1264;1275;1287;1298;1309;1321;1332;1344;1426;1438;1450;1463;1475;1487;1500;1512;1524;1536;1628;1641;1654;1668;1681;1694;1707;1720;1734;1747;1848;1862;1876;1890;1904;1918;1932;1947;1961;1975;2086;2101;2116;2130;2145;2160;2175;2190;2205;2220>,90,<59;59;59;59;59;65;65;65;65;65;72;72;72;72;72;78;78;78;78;78;84;84;84;84;84;91;91;91;91;91;97;97;97;97;97;103;103;103;103;103;110;110;110;110;110;116;116;116;116;116;122;122;122;122;122;129;129;129;129;129;135;135;135;135;135;142;142;142;142;142;148;148;148;148;148;154;154;154;154;154;161;161;161;161;161;167;167;167;167;167;173;173;173;173;173;180;180;180;180;180;186;186;186;186;186;192;192;192;192;192;199;199;199;199;199;205;205;205;205;205>,,,,{drawcard=zi_effect_loop}
