43,{gold=13800;529=115},{gold=20700;529=173},{gold=30360;529=253},{gold=69000;529=575},{gold=46920;529=391},{gold=13800;529=115}
44,{gold=13800;529=115},{gold=20700;529=173},{gold=30360;529=253},{gold=69000;529=575},{gold=46920;529=391},{gold=13800;529=115}
45,{gold=13800;529=115},{gold=20700;529=173},{gold=30360;529=253},{gold=69000;529=575},{gold=46920;529=391},{gold=13800;529=115}
46,{gold=14400;529=120},{gold=21600;529=180},{gold=31680;529=264},{gold=72000;529=600},{gold=48960;529=408},{gold=14400;529=120}
47,{gold=14400;529=120},{gold=21600;529=180},{gold=31680;529=264},{gold=72000;529=600},{gold=48960;529=408},{gold=14400;529=120}
48,{gold=14400;529=120},{gold=21600;529=180},{gold=31680;529=264},{gold=72000;529=600},{gold=48960;529=408},{gold=14400;529=120}
49,{gold=14400;529=120},{gold=21600;529=180},{gold=31680;529=264},{gold=72000;529=600},{gold=48960;529=408},{gold=14400;529=120}
50,{gold=15000;529=125},{gold=22500;529=188},{gold=33000;529=275},{gold=75000;529=625},{gold=51000;529=425},{gold=15000;529=125}
51,{gold=15000;529=125},{gold=22500;529=188},{gold=33000;529=275},{gold=75000;529=625},{gold=51000;529=425},{gold=15000;529=125}
52,{gold=15000;529=125},{gold=22500;529=188},{gold=33000;529=275},{gold=75000;529=625},{gold=51000;529=425},{gold=15000;529=125}
53,{gold=15600;529=130},{gold=23400;529=195},{gold=34320;529=286},{gold=78000;529=650},{gold=53040;529=442},{gold=15600;529=130}
54,{gold=15600;529=130},{gold=23400;529=195},{gold=34320;529=286},{gold=78000;529=650},{gold=53040;529=442},{gold=15600;529=130}
55,{gold=15600;529=130},{gold=23400;529=195},{gold=34320;529=286},{gold=78000;529=650},{gold=53040;529=442},{gold=15600;529=130}
56,{gold=16200;529=135},{gold=24300;529=203},{gold=35640;529=297},{gold=81000;529=675},{gold=55080;529=459},{gold=16200;529=135}
57,{gold=16200;529=135},{gold=24300;529=203},{gold=35640;529=297},{gold=81000;529=675},{gold=55080;529=459},{gold=16200;529=135}
58,{gold=16800;529=140},{gold=25200;529=210},{gold=36960;529=308},{gold=84000;529=700},{gold=57120;529=476},{gold=16800;529=140}
59,{gold=16800;529=140},{gold=25200;529=210},{gold=36960;529=308},{gold=84000;529=700},{gold=57120;529=476},{gold=16800;529=140}
60,{gold=16800;529=140},{gold=25200;529=210},{gold=36960;529=308},{gold=84000;529=700},{gold=57120;529=476},{gold=16800;529=140}
61,{gold=17400;529=145},{gold=26100;529=218},{gold=38280;529=319},{gold=87000;529=725},{gold=59160;529=493},{gold=17400;529=145}
62,{gold=17400;529=145},{gold=26100;529=218},{gold=38280;529=319},{gold=87000;529=725},{gold=59160;529=493},{gold=17400;529=145}
63,{gold=18000;529=150},{gold=27000;529=225},{gold=39600;529=330},{gold=90000;529=750},{gold=61200;529=510},{gold=18000;529=150}
64,{gold=18000;529=150},{gold=27000;529=225},{gold=39600;529=330},{gold=90000;529=750},{gold=61200;529=510},{gold=18000;529=150}
65,{gold=18000;529=150},{gold=27000;529=225},{gold=39600;529=330},{gold=90000;529=750},{gold=61200;529=510},{gold=18000;529=150}
66,{gold=18600;529=155},{gold=27900;529=233},{gold=40920;529=341},{gold=93000;529=775},{gold=63240;529=527},{gold=18600;529=155}
67,{gold=18600;529=155},{gold=27900;529=233},{gold=40920;529=341},{gold=93000;529=775},{gold=63240;529=527},{gold=18600;529=155}
68,{gold=19200;529=160},{gold=28800;529=240},{gold=42240;529=352},{gold=96000;529=800},{gold=65280;529=544},{gold=19200;529=160}
69,{gold=19200;529=160},{gold=28800;529=240},{gold=42240;529=352},{gold=96000;529=800},{gold=65280;529=544},{gold=19200;529=160}
70,{gold=19800;529=165},{gold=29700;529=248},{gold=43560;529=363},{gold=99000;529=825},{gold=67320;529=561},{gold=19800;529=165}
71,{gold=19800;529=165},{gold=29700;529=248},{gold=43560;529=363},{gold=99000;529=825},{gold=67320;529=561},{gold=19800;529=165}
72,{gold=20400;529=170},{gold=30600;529=255},{gold=44880;529=374},{gold=102000;529=850},{gold=69360;529=578},{gold=20400;529=170}
73,{gold=21000;529=175},{gold=31500;529=263},{gold=46200;529=385},{gold=105000;529=875},{gold=71400;529=595},{gold=21000;529=175}
74,{gold=21600;529=180},{gold=32400;529=270},{gold=47520;529=396},{gold=108000;529=900},{gold=73440;529=612},{gold=21600;529=180}
75,{gold=22800;529=190},{gold=34200;529=285},{gold=50160;529=418},{gold=114000;529=950},{gold=77520;529=646},{gold=22800;529=190}
76,{gold=24000;529=200},{gold=36000;529=300},{gold=52800;529=440},{gold=120000;529=1000},{gold=81600;529=680},{gold=24000;529=200}
77,{gold=26400;529=220},{gold=39600;529=330},{gold=58080;529=484},{gold=132000;529=1100},{gold=89760;529=748},{gold=26400;529=220}
78,{gold=26400;529=220},{gold=39600;529=330},{gold=58080;529=484},{gold=132000;529=1100},{gold=89760;529=748},{gold=26400;529=220}
79,{gold=28800;529=240},{gold=43200;529=360},{gold=63360;529=528},{gold=144000;529=1200},{gold=97920;529=816},{gold=28800;529=240}
80,{gold=28800;529=240},{gold=43200;529=360},{gold=63360;529=528},{gold=144000;529=1200},{gold=97920;529=816},{gold=28800;529=240}
81,{gold=31200;529=260},{gold=46800;529=390},{gold=68640;529=572},{gold=156000;529=1300},{gold=106080;529=884},{gold=31200;529=260}
82,{gold=33600;529=280},{gold=50400;529=420},{gold=73920;529=616},{gold=168000;529=1400},{gold=114240;529=952},{gold=33600;529=280}
83,{gold=33600;529=280},{gold=50400;529=420},{gold=73920;529=616},{gold=168000;529=1400},{gold=114240;529=952},{gold=33600;529=280}
84,{gold=36000;529=300},{gold=54000;529=450},{gold=79200;529=660},{gold=180000;529=1500},{gold=122400;529=1020},{gold=36000;529=300}
85,{gold=38400;529=320},{gold=57600;529=480},{gold=84480;529=704},{gold=192000;529=1600},{gold=130560;529=1088},{gold=38400;529=320}
86,{gold=40800;529=340},{gold=61200;529=510},{gold=89760;529=748},{gold=204000;529=1700},{gold=138720;529=1156},{gold=40800;529=340}
87,{gold=43200;529=360},{gold=64800;529=540},{gold=95040;529=792},{gold=216000;529=1800},{gold=146880;529=1224},{gold=43200;529=360}
88,{gold=45600;529=380},{gold=68400;529=570},{gold=100320;529=836},{gold=228000;529=1900},{gold=155040;529=1292},{gold=45600;529=380}
89,{gold=48000;529=400},{gold=72000;529=600},{gold=105600;529=880},{gold=240000;529=2000},{gold=163200;529=1360},{gold=48000;529=400}
90,{gold=50400;529=420},{gold=75600;529=630},{gold=110880;529=924},{gold=252000;529=2100},{gold=171360;529=1428},{gold=50400;529=420}
91,{gold=52800;529=440},{gold=79200;529=660},{gold=116160;529=968},{gold=264000;529=2200},{gold=179520;529=1496},{gold=52800;529=440}
92,{gold=55200;529=460},{gold=82800;529=690},{gold=121440;529=1012},{gold=276000;529=2300},{gold=187680;529=1564},{gold=55200;529=460}
93,{gold=57600;529=480},{gold=86400;529=720},{gold=126720;529=1056},{gold=288000;529=2400},{gold=195840;529=1632},{gold=57600;529=480}
94,{gold=60000;529=500},{gold=90000;529=750},{gold=132000;529=1100},{gold=300000;529=2500},{gold=204000;529=1700},{gold=60000;529=500}
95,{gold=64800;529=540},{gold=97200;529=810},{gold=142560;529=1188},{gold=324000;529=2700},{gold=220320;529=1836},{gold=64800;529=540}
96,{gold=67200;529=560},{gold=100800;529=840},{gold=147840;529=1232},{gold=336000;529=2800},{gold=228480;529=1904},{gold=67200;529=560}
97,{gold=69600;529=580},{gold=104400;529=870},{gold=153120;529=1276},{gold=348000;529=2900},{gold=236640;529=1972},{gold=69600;529=580}
98,{gold=74400;529=620},{gold=111600;529=930},{gold=163680;529=1364},{gold=372000;529=3100},{gold=252960;529=2108},{gold=74400;529=620}
99,{gold=76800;529=640},{gold=115200;529=960},{gold=168960;529=1408},{gold=384000;529=3200},{gold=261120;529=2176},{gold=76800;529=640}
100,{gold=79200;529=660},{gold=118800;529=990},{gold=174240;529=1452},{gold=396000;529=3300},{gold=269280;529=2244},{gold=79200;529=660}
101,{gold=79800;529=665},{gold=119700;529=998},{gold=175560;529=1463},{gold=399000;529=3325},{gold=271320;529=2261},{gold=79800;529=665}
102,{gold=80400;529=670},{gold=120600;529=1005},{gold=176880;529=1474},{gold=402000;529=3350},{gold=273360;529=2278},{gold=80400;529=670}
103,{gold=81000;529=675},{gold=121500;529=1013},{gold=178200;529=1485},{gold=405000;529=3375},{gold=275400;529=2295},{gold=81000;529=675}
104,{gold=81600;529=680},{gold=122400;529=1020},{gold=179520;529=1496},{gold=408000;529=3400},{gold=277440;529=2312},{gold=81600;529=680}
105,{gold=82200;529=685},{gold=123300;529=1028},{gold=180840;529=1507},{gold=411000;529=3425},{gold=279480;529=2329},{gold=82200;529=685}
106,{gold=82800;529=690},{gold=124200;529=1035},{gold=182160;529=1518},{gold=414000;529=3450},{gold=281520;529=2346},{gold=82800;529=690}
107,{gold=83400;529=695},{gold=125100;529=1043},{gold=183480;529=1529},{gold=417000;529=3475},{gold=283560;529=2363},{gold=83400;529=695}
108,{gold=84000;529=700},{gold=126000;529=1050},{gold=184800;529=1540},{gold=420000;529=3500},{gold=285600;529=2380},{gold=84000;529=700}
109,{gold=84600;529=705},{gold=126900;529=1058},{gold=186120;529=1551},{gold=423000;529=3525},{gold=287640;529=2397},{gold=84600;529=705}
110,{gold=85200;529=710},{gold=127800;529=1065},{gold=187440;529=1562},{gold=426000;529=3550},{gold=289680;529=2414},{gold=85200;529=710}
111,{gold=85800;529=715},{gold=128700;529=1073},{gold=188760;529=1573},{gold=429000;529=3575},{gold=291720;529=2431},{gold=85800;529=715}
112,{gold=86400;529=720},{gold=129600;529=1080},{gold=190080;529=1584},{gold=432000;529=3600},{gold=293760;529=2448},{gold=86400;529=720}
113,{gold=87000;529=725},{gold=130500;529=1088},{gold=191400;529=1595},{gold=435000;529=3625},{gold=295800;529=2465},{gold=87000;529=725}
114,{gold=87600;529=730},{gold=131400;529=1095},{gold=192720;529=1606},{gold=438000;529=3650},{gold=297840;529=2482},{gold=87600;529=730}
115,{gold=88200;529=735},{gold=132300;529=1103},{gold=194040;529=1617},{gold=441000;529=3675},{gold=299880;529=2499},{gold=88200;529=735}
116,{gold=88800;529=740},{gold=133200;529=1110},{gold=195360;529=1628},{gold=444000;529=3700},{gold=301920;529=2516},{gold=88800;529=740}
117,{gold=89400;529=745},{gold=134100;529=1118},{gold=196680;529=1639},{gold=447000;529=3725},{gold=303960;529=2533},{gold=89400;529=745}
118,{gold=90000;529=750},{gold=135000;529=1125},{gold=198000;529=1650},{gold=450000;529=3750},{gold=306000;529=2550},{gold=90000;529=750}
119,{gold=90600;529=755},{gold=135900;529=1133},{gold=199320;529=1661},{gold=453000;529=3775},{gold=308040;529=2567},{gold=90600;529=755}
120,{gold=91200;529=760},{gold=136800;529=1140},{gold=200640;529=1672},{gold=456000;529=3800},{gold=310080;529=2584},{gold=91200;529=760}
