变量名,_name,targetType,skillTarget,input,process,targetFormula,specialChoose,targetLimit,fixPos,buffList,buffLifeRound,buffProb,buffLevel,buffValue1,effectEventID,extraArgs,__version
5233,,1,11,,,,,,,<51222>,<self:flagZ3() and 999 or 3>,<1>,,<target:speed()*((target:natureIntersection(list(10)) ) and 0.2 or 0.1)>,,,
5261,,1,14,,,,,,,<51223;51224>,<2;2>,"<1;moreEqualThan(self:star(),8) and 1 or 0>",,<self:speed()*(0.05+skillLevel*0.0005-0.0005);self:damage()*(0.05+skillLevel*0.0005-0.0005)>,,,
5311,,,,,,,,,,,,,,,5311,,
5312,,1,14,,,,,,,<51225>,<2>,<self:flagZ1() and 1 or 0>,,<self:speed()*0.05>,,,
5321,,,,,,,,,,,,,,,5321,,
5322,,,,,,,,,,<51221>,<2>,<1>,,<-target:speed()*0.2>,,,
5323,,,,,,,,,,<51226>,<2>,"<self:flagZ2() and less(self:speed(),target:speed()) and 1 or 0>",,<-target:speed()*0.2>,,,
5331,,,,,,,,,,,,,,,5331,,
5332,,1,11,,,,,,,<51222>,<self:flagZ3() and 999 or 3>,<1>,,<target:speed()*((target:natureIntersection(list(10)) ) and 0.2 or 0.1)>,,,
5361,,1,14,,,,,,,<51223;51224>,<2;2>,"<1;moreEqualThan(self:star(),8) and 1 or 0>",,<self:speed()*(0.05+skillLevel*0.0005-0.0005);self:damage()*(0.05+skillLevel*0.0005-0.0005)>,,,
5411,,,,,,,,,,,,,,,5411,,
5412,,1,14,,,,,,,<54111>,<2>,<1>,,<self:speed()*(self:flagZ1() and 0.3 or 0.2)>,,,
5421,,,,,,,,,,,,,,,5421,,
5422,,,3,,,,,,,<54121;54122>,<self:flagZ2() and 3 or 2;self:flagZ2() and 3 or 2>,<1;1>,,<-target:speed()*0.2;-2000>,,,
5431,,,,,,,,,,,,,,,5431,,
5432,,,,enemyForce|nodead,useOtherProcess(5431),,,,,<54131;54134;54135>,<1;1;self:flagZ3() and 2 or 1>,"<self:hasBuff(54161) and 1 or 0;moreE(self:star(),11) and 1 or 0;moreE(self:star(),11) and target:hasBuff(54134) and 1 or 0>",,<self:getBuffOverlayCount(54161)*self:specialDamage();0;<1>>,5432,,
5433,,1,14,,,,,,,<54133;54132>,<2;1>,"<moreE(self:getBuffOverlayCount(54161),3) and 1 or 0;1>",,<<1;1;1>;0>,,,
5461,,1,14,,,,,,,<54165;54161;54161>,<999;999;999>,"<1;moreE(self:star(),6) and moreE(countObjByNatureExit(self:force(),10),3) and  1 or 0;self:flagZ4() and 1 or 0>",,<0;0;0>,,,
6111,,,,,,,,,,,,,,,6111,,
6121,,,,,,,,,,,,,,,6121,,
6122,,,,,,,,,,<61221;61223>,<999;999>,<1;1>,,"<-min(target:defence()*0.05,self:defence()*0.4);-min(target:damage()*0.05,self:damage()*0.4)>",,,
6131,,,,,,,,,,,,,,,6131,,
6132,,1,14,,,,,,,<61225>,<1>,<1>,,<90000>,,,
6133,,1,14,,,,,,,<61226>,<1>,<1>,,"<moreEqualThan(self:star(),11) and -2000 or -3000>",,,
6161,,1,14,,,,,,,<61227>,<999>,<1>,,"<(5+skillLevel*0.15-0.15+(moreEqualThan(self:star(),8) and 0.05 or 0))*100>",,,
6211,,,,,,,,,,,,,,,6211,,
6221,,,,,,,,,,,,,,,6221,,
6222,,,,,,,,,,<61221;61223>,<999;999>,<1;1>,,"<-min(target:defence()*0.05,self:defence()*0.4);-min(target:damage()*0.05,self:damage()*0.4)>",,,
6231,,,,,,,,,,,,,,,6231,,
6232,,1,14,,,,,,,<61225>,<1>,<1>,,<90000>,,,
6233,,1,14,,,,,,,<61226>,<1>,<1>,,"<moreEqualThan(self:star(),11) and -2000 or -3000>",,,
6261,,1,14,,,,,,,<61227>,<999>,<1>,,"<(5+skillLevel*0.15-0.15+(moreEqualThan(self:star(),8) and 0.05 or 0))*100>",,,
6425,,,,,,,,,,,,,,,198411,,
7111,,,,,,,,,,,,,,,7111,,
7121,,,,,,,,,,,,,,,7121,,
7122,,1,14,,,,,,,<71221>,<2>,<1>,,<self:speed()*0.1>,,,
7131,,,,,,,,,,,,,,,7131,,
7132,,1,14,,,,,,,<71222;71223>,<1;1>,<1;1>,,"<-self:defence()*(moreEqualThan(self:star(),11) and 0.1 or 0.3);-self:specialDefence()*(moreEqualThan(self:star(),11) and 0.1 or 0.3)>",,,
7161,,1,14,,,,,,,<71224>,<999>,<1>,,"<(20+skillLevel*0.1-0.1+(moreEqualThan(self:star(),8) and 0.1 or 0))*100>",,,
7211,,,,,,,,,,,,,,,7211,,
7221,,,,,,,,,,,,,,,7221,,
7222,,1,14,,,,,,,<71221>,<2>,<1>,,<self:speed()*0.1>,,,
7231,,,,,,,,,,,,,,,7231,,
7232,,1,14,,,,,,,<71222;71223>,<1;1>,<1;1>,,"<-self:defence()*(moreEqualThan(self:star(),11) and 0.1 or 0.3);-self:specialDefence()*(moreEqualThan(self:star(),11) and 0.1 or 0.3)>",,,
7261,,1,14,,,,,,,<71224>,<999>,<1>,,"<(20+skillLevel*0.1-0.1+(moreEqualThan(self:star(),8) and 0.1 or 0))*100>",,,
8111,,,,,,,,,,,,,,,8111,,
8121,,,,,,,,,,,,,,,8121,,
8122,,,,,,,,,,<81221>,<2>,<1>,,<-target:damage()*0.1>,,,
8131,,,,,,,,,,,,,,,8131,,
8132,,,,,,,,,,,,,,,8132,,
8133,,1,14,,,,,,,<81225>,<1>,"<moreEqualThan(self:star(),11) and 1 or 0>",,<self:damage()*0.2>,,,
8134,,,,,,,,,,<81222>,<1>,"<moreThan(self:damage(),target:damage()) and 1 or 0>",,<0>,,,
8161,,,11,,,,,,,<81224>,<3>,"<moreThan(self:damage(),target:damage()) and 1 or 0>",,<-target:damage()*(8+skillLevel*0.12-0.12)*0.01>,,,
