变量名,level_start,level_end,monsterIDs1,monsterIDs2,monsterIDs3,weight,fightgo_val_start,fightgo_val_end,grade,eliteCards,advanceEnd,advanceStart,attrFix,cards1,cards2,cards3,levelEnd,levelStart,starEnd,starStart
默认值,,,,,,0,,,0,<193;343;163;353;133>,0,0,1,<>,<>,<>,0,0,0,0
ID,等级下限,等级上限,队伍1,队伍2,队伍3,随机权重,先手值上限,先手值下限,段位,精英卡牌,advanceEnd,advanceStart,attrFix,cards1,cards2,cards3,levelEnd,levelStart,starEnd,starStart
69,,,,,,10,,,18,<>,17,16,,<3293;62;3472;123;2483;1612>,<552;803;2924;113;2843;173>,<3012;44;2612;303;462;3012>,74,72,11,10
70,,,,,,10,,,18,<>,17,16,,<283;2593;352;3012;23;552>,<472;793;133;3012;192;2272>,<3012;3012;123;2303;153;3562>,74,72,11,10
71,,,,,,10,,,18,<>,18,17,,<13;2483;542;93;3562;3012>,<3012;2073;2963;462;232;2924>,<3012;793;783;1612;133;102>,74,72,11,10
72,,,,,,10,,,18,<>,18,17,,<2302;692;303;222;1852;173>,<62;3012;893;102;113;2891>,<462;123;1802;3;3012;2612>,74,72,11,10
73,,,,,,10,,,18,<>,18,17,,<93;3012;692;192;1852;44>,<3283;232;41;352;3012;3012>,<283;783;542;2633;3012;482>,74,72,11,10
74,,,,,,10,,,18,<>,18,17,,<153;2683;341;2272;2612;542>,<222;3012;82;3562;2303;372>,<472;2891;1863;893;41;173>,74,72,11,10
75,,,,,,10,,,18,<>,18,17,,<3342;2963;3472;793;2013;552>,<3;13;2483;44;463;123>,<3012;1612;41;113;2593;2272>,74,72,11,10
76,,,,,,10,,,18,<>,19,18,,<352;2303;1612;2013;102;2302>,<123;2483;472;462;3012;232>,<3012;41;23;113;273;542>,74,72,12,11
77,,,,,,10,,,18,<>,19,18,,<803;3432;3342;2612;173;3012>,<464;783;452;341;542;463>,<2963;3012;1853;82;303;552>,74,72,12,11
78,,,,,,10,,,18,<>,19,18,,<1863;3342;33;783;123;372>,<2873;482;1612;2891;41;303>,<93;173;3012;2843;462;2013>,74,72,12,11
79,,,,,,10,,,18,<>,19,18,,<552;341;113;3012;1802;2923>,<2873;93;472;33;2302;3012>,<783;793;3;2924;803;452>,74,72,12,11
80,,,,,,10,,,18,<>,19,18,,<3012;3562;41;3;2633;3012>,<1353;3012;2873;2013;1612;2272>,<1863;283;222;102;1443;53>,74,72,12,11
81,,,,,,10,,,18,<>,19,18,,<62;3012;803;2612;793;463>,<23;123;2483;2302;113;3012>,<2923;3012;341;303;1443;192>,74,72,12,11
82,,,,,,10,,,18,<>,19,18,,<273;352;2924;62;2303;23>,<2683;2073;3;372;1852;133>,<552;153;3012;2633;3012;464>,74,72,12,11
83,,,,,,10,,,18,<>,19,18,,<41;102;2013;3342;3012;1853>,<372;2963;72;3;3012;1863>,<452;173;472;1852;542;352>,74,72,12,11
84,,,,,,10,,,18,<>,19,18,,<3342;3012;783;1443;2683;893>,<1353;692;472;803;1853;173>,<222;2303;1612;2073;372;133>,74,72,12,11
85,,,,,,10,,,18,<>,19,18,,<192;93;3012;482;552;1353>,<3283;2073;283;33;893;41>,<2272;372;2924;82;1852;3012>,74,72,12,11
86,,,,,,10,,,18,<>,19,18,,<463;133;3012;2593;1852;2612>,<13;793;2843;482;3012;352>,<3012;62;41;3012;2633;3>,74,72,12,11
87,,,,,,10,,,18,<>,19,18,,<232;2924;463;3012;1612;93>,<3012;3012;1802;41;23;2483>,<542;2683;352;552;3562;2891>,74,72,12,11
88,,,,,,10,,,18,<>,19,18,,<2612;3283;41;692;452;464>,<2963;2924;3012;3012;3562;2683>,<13;72;1443;2013;44;463>,74,72,12,11
89,,,,,,10,,,18,<>,19,18,,<3293;2683;1852;222;133;1863>,<173;372;3;1353;542;41>,<102;72;2924;341;462;1612>,74,72,12,11
90,,,,,,10,,,18,<>,19,18,,<41;1443;452;3012;692;153>,<803;82;3562;542;2272;352>,<113;2593;2302;2963;133;232>,74,72,12,11
91,,,,,,10,,,18,<>,19,18,,<2303;1443;102;1353;3012;783>,<452;153;41;2593;3;3012>,<2873;133;3012;2633;893;1863>,74,72,12,11
92,,,,,,10,,,18,<>,19,18,,<452;372;542;1353;3012;53>,<2013;41;2073;1853;803;2923>,<352;472;462;283;2593;133>,74,72,12,11
93,,,,,,10,,,18,<>,19,18,,<2013;472;3012;102;2683;3012>,<2073;2303;232;3012;2924;2272>,<372;93;692;2963;464;23>,74,72,12,11
94,,,,,,10,,,18,<>,19,18,,<113;3342;1852;173;542;273>,<2013;3012;2873;1863;222;783>,<1612;41;2272;62;692;2302>,74,72,12,11
95,,,,,,10,,,18,<>,19,18,,<783;1353;341;3012;113;1802>,<1443;2683;3012;3012;273;463>,<2272;2924;793;3012;3;552>,74,72,12,11
96,,,,,,10,,,18,<>,19,18,,<303;2843;2891;2924;133;273>,<192;452;1852;2963;2923;3>,<33;232;482;1443;893;3012>,74,72,12,11
97,,,,,,10,,,18,<>,19,18,,<793;113;692;123;472;893>,<2593;1612;173;82;44;3562>,<341;2633;3012;153;2303;1353>,74,72,12,11
98,,,,,,10,,,18,<>,19,18,,<13;803;1612;62;352;3012>,<82;273;53;2633;542;464>,<2013;72;2303;1853;2891;1802>,74,72,12,11
99,,,,,,10,,,18,<>,19,18,,<192;133;72;13;472;23>,<2923;2891;1852;41;2843;463>,<783;2483;3012;1802;3;1853>,74,72,12,11
100,,,,,,10,,,18,<>,19,18,,<53;2073;2303;93;173;222>,<41;1853;3012;472;2272;3>,<133;273;3012;2593;2683;692>,74,72,12,11
101,,,,,,10,,,17,<>,19,18,,<102;303;1853;33;1353;82>,<3012;2303;1612;2963;3012;1863>,<2924;3012;1802;3012;1852;41>,74,72,12,11
102,,,,,,10,,,17,<>,19,18,,<3012;542;1612;3;372;2923>,<2303;2483;462;464;893;2013>,<341;23;1853;2633;192;283>,74,72,12,11
103,,,,,,10,,,17,<>,19,18,,<552;2891;341;173;2612;2873>,<3012;452;1863;123;482;542>,<192;44;53;2302;2013;3012>,74,72,12,11
104,,,,,,10,,,17,<>,19,18,,<2683;341;352;3432;1443;232>,<2924;123;2633;173;44;23>,<3562;2891;2873;93;3012;482>,74,72,12,11
105,,,,,,10,,,17,<>,19,18,,<82;113;2013;2633;283;1353>,<893;1863;222;153;803;72>,<2873;2073;352;2302;133;41>,74,72,12,11
106,,,,,,10,,,17,<>,19,18,,<2483;1443;3342;1863;2633;2924>,<273;13;2302;372;352;41>,<3012;3012;1853;893;3012;341>,74,72,12,11
107,,,,,,10,,,17,<>,19,18,,<273;2891;3472;3012;482;82>,<464;2843;2963;41;452;463>,<352;3562;3012;542;153;102>,74,72,12,11
108,,,,,,10,,,17,<>,19,18,,<482;692;452;793;2923;472>,<123;33;3012;82;372;2302>,<41;1443;133;2633;2483;3012>,74,72,12,11
109,,,,,,10,,,17,<>,19,18,,<303;2633;793;463;2612;542>,<173;452;113;3012;352;1443>,<2303;192;2963;783;464;3>,74,72,12,11
110,,,,,,10,,,17,<>,19,18,,<53;341;102;3562;463;173>,<2843;3012;1353;3012;113;13>,<3012;472;2302;2683;303;123>,74,72,12,11
111,,,,,,10,,,17,<>,19,18,,<2302;173;273;2483;33;222>,<113;2013;2683;3012;2923;3562>,<1353;3012;1853;341;552;2963>,74,72,12,11
112,,,,,,10,,,17,<>,19,18,,<2483;2963;3472;793;3012;102>,<13;303;33;1353;3;232>,<273;3012;123;452;3012;153>,74,72,12,11
113,,,,,,10,,,17,<>,19,18,,<3472;2891;463;3;793;3012>,<341;72;153;2013;93;452>,<2873;62;102;44;2683;2963>,74,72,12,11
114,,,,,,10,,,17,<>,19,18,,<3562;2612;133;2272;13;482>,<3012;1852;3012;232;2483;452>,<2073;102;44;552;1802;464>,74,72,12,11
115,,,,,,10,,,17,<>,19,18,,<53;3562;123;2963;33;352>,<44;542;113;3;2483;82>,<1863;133;793;783;303;2843>,74,72,12,11
116,,,,,,10,,,17,<>,19,18,,<23;542;2612;783;2272;123>,<192;33;13;464;93;41>,<1353;1612;3012;3;3012;692>,74,72,12,11
117,,,,,,10,,,17,<>,19,18,,<222;341;2593;2963;23;3293>,<803;1863;472;82;372;133>,<783;2302;3012;2073;542;3012>,74,72,12,11
118,,,,,,10,,,17,<>,19,18,,<2923;33;1612;44;1443;283>,<783;1802;2013;2303;3012;542>,<2843;463;464;1863;93;3012>,74,72,12,11
119,,,,,,10,,,17,<>,19,18,,<123;1802;303;41;783;542>,<803;102;2963;2683;33;3012>,<552;352;452;3012;3562;1853>,74,72,12,11
120,,,,,,10,,,17,<>,19,18,,<2924;3562;3012;2873;2963;692>,<472;462;1353;2593;283;552>,<3012;23;2303;2843;2612;2683>,74,72,12,11
121,,,,,,10,,,17,<>,19,18,,<341;3293;1443;93;2873;482>,<1612;783;41;3;1353;3012>,<2612;2923;692;462;3012;2013>,74,72,12,11
122,,,,,,10,,,17,<>,19,18,,<113;2612;33;3012;93;1852>,<2302;173;803;2873;153;482>,<2891;1863;552;13;273;82>,74,72,12,11
123,,,,,,10,,,17,<>,19,18,,<462;153;1852;173;2891;123>,<542;62;23;2612;463;2483>,<2303;102;3012;1863;303;2272>,74,72,12,11
124,,,,,,10,,,17,<>,19,18,,<113;2891;23;1852;33;133>,<303;2593;893;283;542;3562>,<2843;173;1353;3012;482;2683>,74,72,12,11
125,,,,,,10,,,17,<>,19,18,,<44;2924;803;372;341;1863>,<2073;452;2683;1852;13;123>,<2963;1802;93;1853;482;2633>,74,72,12,11
126,,,,,,10,,,17,<>,19,18,,<192;2843;3472;2873;13;692>,<123;341;93;3012;352;44>,<2073;2683;2013;482;82;552>,74,72,12,11
127,,,,,,10,,,17,<>,19,18,,<464;222;452;2633;93;472>,<303;2843;341;3562;2963;173>,<41;3;2683;2891;3012;463>,74,72,12,11
128,,,,,,10,,,17,<>,19,18,,<3;192;102;3012;3283;3012>,<2302;23;3012;3012;2843;2923>,<3012;82;1863;783;303;133>,74,72,12,11
129,,,,,,10,,,17,<>,19,18,,<44;53;482;2843;33;2923>,<1353;113;783;793;3012;222>,<372;1852;13;153;3012;23>,74,72,12,11
130,,,,,,10,,,17,<>,19,18,,<72;482;23;3432;303;2483>,<2612;352;82;2013;273;2302>,<153;2963;283;33;2891;3012>,74,72,12,11
131,,,,,,10,,,17,<>,19,18,,<893;352;113;273;3293;462>,<472;2302;2593;173;82;2483>,<93;2073;123;2303;452;153>,74,72,12,11
132,,,,,,10,,,17,<>,19,18,,<1853;1852;893;2013;464;273>,<222;2923;1353;53;2683;13>,<3012;482;1443;3012;552;3012>,74,72,12,11
133,,,,,,10,,,17,<>,19,18,,<2593;341;803;464;2923;283>,<102;1852;452;2843;192;1353>,<482;153;2683;3012;783;2303>,74,72,12,11
134,,,,,,10,,,17,<>,19,18,,<62;192;3293;283;2612;1353>,<542;793;462;2633;893;2013>,<232;41;303;372;133;2873>,74,72,12,11
135,,,,,,10,,,17,<>,19,18,,<3012;2923;72;2633;2013;41>,<153;2683;222;173;44;1443>,<62;2483;3012;3012;53;3012>,74,72,12,11
136,,,,,,10,,,17,<>,19,18,,<2923;113;232;482;3012;303>,<173;462;2302;783;3012;793>,<2483;23;2963;13;3012;542>,74,72,12,11
137,,,,,,10,,,17,<>,19,18,,<2843;3472;352;72;2303;2633>,<222;3012;893;552;3012;2924>,<692;2873;3;1353;41;482>,74,72,12,11
138,,,,,,10,,,17,<>,19,18,,<2073;3293;102;2963;2923;33>,<1443;1852;41;173;1863;341>,<2013;82;2612;3012;23;3012>,74,72,12,11
139,,,,,,10,,,17,<>,19,18,,<2483;3502;3012;3342;472;2013>,<783;2302;803;23;13;352>,<341;82;2683;3012;1802;93>,74,72,12,11
140,,,,,,10,,,17,<>,19,18,,<692;472;123;2073;803;2633>,<2924;463;41;3012;3012;222>,<3012;3012;352;82;2303;1612>,74,72,12,11
141,,,,,,10,,,17,<>,19,18,,<3562;283;3012;472;44;273>,<41;464;352;2303;2873;82>,<2483;2073;552;192;542;482>,74,72,12,11
142,,,,,,10,,,17,<>,19,18,,<173;2302;123;3432;1443;2843>,<3;482;2633;3012;2272;3012>,<1852;3012;3012;41;93;33>,74,72,12,11
143,,,,,,10,,,17,<>,19,18,,<2073;463;232;93;133;3012>,<783;123;1612;803;341;1802>,<283;893;2843;482;3012;793>,74,72,12,11
144,,,,,,10,,,17,<>,19,18,,<2923;2924;462;463;1852;2963>,<153;552;192;3;1353;2843>,<3012;542;232;273;41;62>,74,72,12,11
145,,,,,,10,,,17,<>,19,18,,<341;283;3012;1852;53;352>,<2891;3012;2612;2843;1853;44>,<23;2272;1802;133;82;2633>,74,72,12,11
146,,,,,,10,,,17,<>,19,18,,<123;2272;893;13;222;102>,<2303;2073;93;783;72;3012>,<1802;192;3012;2593;3012;303>,74,72,12,11
147,,,,,,10,,,17,<>,19,18,,<1353;2683;3342;62;464;552>,<153;462;1863;1802;482;2633>,<192;542;273;44;72;472>,74,72,12,11
148,,,,,,10,,,17,<>,19,18,,<23;2633;13;3012;3012;2013>,<2891;2963;33;44;2683;3012>,<3012;2483;3012;352;192;783>,74,72,12,11
149,,,,,,10,,,17,<>,19,18,,<222;192;464;3283;102;783>,<2302;3012;2073;341;2593;44>,<1852;2013;283;3012;2923;2303>,74,72,12,11
150,,,,,,10,,,17,<>,19,18,,<23;3012;692;93;1853;2633>,<452;2963;1802;44;3012;2923>,<123;3562;2924;783;1863;222>,74,72,12,11
151,,,,,,10,,,16,<>,19,18,,<41;44;2073;2483;552;283>,<53;2923;352;1353;482;153>,<452;3012;1612;803;2013;33>,74,72,12,11
152,,,,,,10,,,16,<>,19,18,,<93;2483;2843;1802;1612;2013>,<793;13;133;1863;2963;273>,<72;2303;41;173;2593;44>,74,72,12,11
153,,,,,,10,,,16,<>,19,18,,<464;482;72;3012;783;341>,<472;1612;2303;133;192;2302>,<3562;3012;462;2923;1353;2013>,74,72,12,11
154,,,,,,10,,,16,<>,19,18,,<1353;303;793;552;2593;2891>,<463;123;2483;803;2013;2073>,<23;44;113;2924;3012;2612>,74,72,12,11
155,,,,,,10,,,16,<>,19,18,,<692;283;2891;222;3293;803>,<2923;1802;113;2593;1852;893>,<1443;1612;33;462;352;552>,74,72,12,11
156,,,,,,10,,,16,<>,19,18,,<463;82;3012;2303;13;341>,<3012;3;2923;3012;2963;3012>,<2272;464;472;2483;1853;2593>,74,72,12,11
157,,,,,,10,,,16,<>,19,18,,<463;3562;72;341;62;2013>,<173;1863;464;3012;783;2483>,<13;1852;3012;352;2073;53>,74,72,12,11
158,,,,,,10,,,16,<>,19,18,,<1863;803;1612;173;2073;341>,<2843;3562;41;2013;372;783>,<133;2612;113;3012;273;2633>,74,72,12,11
159,,,,,,10,,,16,<>,19,18,,<803;1863;102;2073;222;13>,<23;2593;372;173;2843;2683>,<2013;341;1852;82;93;1853>,74,72,12,11
160,,,,,,10,,,16,<>,19,18,,<2924;2633;2963;153;222;2923>,<232;2302;1863;2073;372;462>,<23;173;3012;283;2891;1612>,74,72,12,11
161,,,,,,10,,,16,<>,19,18,,<2483;53;552;3283;173;1852>,<2873;472;232;3012;893;283>,<341;542;372;3012;3012;2612>,74,72,12,11
162,,,,,,10,,,16,<>,19,18,,<2891;463;2483;464;113;1353>,<2303;222;462;82;482;93>,<44;2843;2302;472;2593;1443>,74,72,12,11
163,,,,,,10,,,16,<>,19,18,,<1802;552;3;3012;472;352>,<173;102;2612;53;783;72>,<3012;2843;462;3562;3012;2963>,74,72,12,11
164,,,,,,10,,,16,<>,19,18,,<3293;464;102;462;542;41>,<2873;113;13;2891;2683;82>,<153;2593;2843;2013;3012;133>,74,72,12,11
165,,,,,,10,,,16,<>,19,18,,<123;1853;2683;542;2633;1802>,<2302;23;472;222;3012;273>,<62;3012;303;2963;793;1353>,74,72,12,11
166,,,,,,10,,,16,<>,19,18,,<3511;1853;3293;2272;3012;2683>,<2013;102;44;303;2302;793>,<222;2873;2303;3;1863;1852>,74,72,12,11
167,,,,,,10,,,16,<>,19,18,,<2303;2873;341;692;13;2013>,<2073;3012;3562;2612;2633;803>,<173;3012;452;303;2483;62>,74,72,12,11
168,,,,,,10,,,16,<>,19,18,,<23;123;222;3012;82;793>,<2013;893;13;3;3012;2483>,<93;2923;783;2633;463;1852>,74,72,12,11
169,,,,,,10,,,16,<>,19,18,,<2303;102;173;2483;303;153>,<3283;2963;123;464;341;283>,<1852;2891;1853;372;2073;2013>,74,72,12,11
