变量名,range,award,flag,version
1004,4,{3064=1;coin15=370000;gold=5400000;rmb=1600},1,2
1005,5,{3064=1;coin15=360000;gold=5200000;rmb=1500},1,2
1006,6,{3064=1;coin15=350000;gold=5000000;rmb=1400},1,2
1007,7,{3064=1;coin15=340000;gold=4800000;rmb=1300},1,2
1008,8,{3064=1;coin15=330000;gold=4600000;rmb=1200},1,2
1009,9,{3064=1;coin15=320000;gold=4400000;rmb=1100},1,2
1010,10,{3064=1;coin15=310000;gold=4200000;rmb=1000},1,2
1011,12,{3065=1;coin15=300000;gold=4000000;rmb=950},1,2
1012,15,{3065=1;coin15=290000;gold=3800000;rmb=900},1,2
1013,20,{3065=1;coin15=280000;gold=3600000;rmb=850},1,2
1014,30,{3065=1;coin15=270000;gold=3400000;rmb=800},1,2
1015,40,{3065=1;coin15=260000;gold=3200000;rmb=750},1,2
1016,50,{3065=1;coin15=250000;gold=3000000;rmb=700},1,2
1017,70,{3066=1;coin15=240000;gold=2800000;rmb=650},1,2
1018,100,{3066=1;coin15=230000;gold=2600000;rmb=600},1,2
1019,150,{3066=1;coin15=220000;gold=2500000;rmb=550},1,2
1020,200,{3066=1;coin15=210000;gold=2400000;rmb=500},1,2
1021,300,{coin15=200000;gold=2300000;rmb=480},1,2
1022,400,{coin15=190000;gold=2200000;rmb=460},1,2
1023,500,{coin15=180000;gold=2100000;rmb=440},1,2
1024,700,{coin15=170000;gold=2000000;rmb=420},1,2
1025,1000,{coin15=160000;gold=1900000;rmb=400},1,2
1026,2000,{coin15=150000;gold=1800000;rmb=380},1,2
1027,3000,{coin15=140000;gold=1700000;rmb=360},1,2
1028,4000,{coin15=130000;gold=1600000;rmb=340},1,2
1029,5000,{coin15=120000;gold=1500000;rmb=320},1,2
1030,7000,{coin15=110000;gold=1400000;rmb=300},1,2
1031,10000,{coin15=100000;gold=1300000;rmb=290},1,2
1032,999999,{coin15=90000;gold=1200000;rmb=260},1,2
1101,1,{gold=10000},,2
1102,2,{gold=10000},,2
1103,3,{gold=10000},,2
1104,4,{gold=10000},,2
1105,5,{gold=10000},,2
1106,6,{gold=10000},,2
1107,7,{gold=10000},,2
1108,8,{gold=10000},,2
1109,9,{gold=10000},,2
1110,10,{gold=10000},,2
1111,12,{gold=10000},,2
1112,15,{gold=10000},,2
1113,20,{gold=10000},,2
1114,30,{gold=10000},,2
1115,40,{gold=10000},,2
1116,50,{gold=10000},,2
1117,70,{gold=10000},,2
1118,100,{gold=10000},,2
1119,150,{gold=10000},,2
1120,200,{gold=10000},,2
1121,300,{gold=10000},,2
1122,400,{gold=10000},,2
1123,500,{gold=10000},,2
1124,700,{gold=10000},,2
1125,1000,{gold=10000},,2
1126,2000,{gold=10000},,2
1127,3000,{gold=10000},,2
1128,4000,{gold=10000},,2
1129,5000,{gold=10000},,2
1130,7000,{gold=10000},,2
1131,10000,{gold=10000},,2
1132,999999,{gold=10000},,2
2001,1,{3067=1;coin15=400000;gold=6000000;rmb=2000},1,3
2002,2,{3067=1;coin15=390000;gold=5800000;rmb=1800},1,3
2003,3,{3067=1;coin15=380000;gold=5600000;rmb=1700},1,3
2004,4,{3067=1;coin15=370000;gold=5400000;rmb=1600},1,3
2005,5,{3067=1;coin15=360000;gold=5200000;rmb=1500},1,3
2006,6,{3067=1;coin15=350000;gold=5000000;rmb=1400},1,3
2007,7,{3067=1;coin15=340000;gold=4800000;rmb=1300},1,3
2008,8,{3067=1;coin15=330000;gold=4600000;rmb=1200},1,3
2009,9,{3067=1;coin15=320000;gold=4400000;rmb=1100},1,3
2010,10,{3067=1;coin15=310000;gold=4200000;rmb=1000},1,3
2011,12,{3068=1;coin15=300000;gold=4000000;rmb=950},1,3
2012,15,{3068=1;coin15=290000;gold=3800000;rmb=900},1,3
2013,20,{3068=1;coin15=280000;gold=3600000;rmb=850},1,3
2014,30,{3068=1;coin15=270000;gold=3400000;rmb=800},1,3
2015,40,{3068=1;coin15=260000;gold=3200000;rmb=750},1,3
2016,50,{3068=1;coin15=250000;gold=3000000;rmb=700},1,3
2017,70,{3069=1;coin15=240000;gold=2800000;rmb=650},1,3
2018,100,{3069=1;coin15=230000;gold=2600000;rmb=600},1,3
2019,150,{3069=1;coin15=220000;gold=2500000;rmb=550},1,3
2020,200,{3069=1;coin15=210000;gold=2400000;rmb=500},1,3
2021,300,{coin15=200000;gold=2300000;rmb=480},1,3
2022,400,{coin15=190000;gold=2200000;rmb=460},1,3
2023,500,{coin15=180000;gold=2100000;rmb=440},1,3
2024,700,{coin15=170000;gold=2000000;rmb=420},1,3
2025,1000,{coin15=160000;gold=1900000;rmb=400},1,3
2026,2000,{coin15=150000;gold=1800000;rmb=380},1,3
2027,3000,{coin15=140000;gold=1700000;rmb=360},1,3
2028,4000,{coin15=130000;gold=1600000;rmb=340},1,3
2029,5000,{coin15=120000;gold=1500000;rmb=320},1,3
2030,7000,{coin15=110000;gold=1400000;rmb=300},1,3
2031,10000,{coin15=100000;gold=1300000;rmb=290},1,3
2032,999999,{coin15=90000;gold=1200000;rmb=260},1,3
2101,1,{gold=10000},,3
2102,2,{gold=10000},,3
2103,3,{gold=10000},,3
2104,4,{gold=10000},,3
2105,5,{gold=10000},,3
2106,6,{gold=10000},,3
2107,7,{gold=10000},,3
2108,8,{gold=10000},,3
2109,9,{gold=10000},,3
2110,10,{gold=10000},,3
2111,12,{gold=10000},,3
2112,15,{gold=10000},,3
2113,20,{gold=10000},,3
2114,30,{gold=10000},,3
2115,40,{gold=10000},,3
2116,50,{gold=10000},,3
2117,70,{gold=10000},,3
2118,100,{gold=10000},,3
2119,150,{gold=10000},,3
2120,200,{gold=10000},,3
2121,300,{gold=10000},,3
2122,400,{gold=10000},,3
2123,500,{gold=10000},,3
2124,700,{gold=10000},,3
2125,1000,{gold=10000},,3
2126,2000,{gold=10000},,3
2127,3000,{gold=10000},,3
2128,4000,{gold=10000},,3
2129,5000,{gold=10000},,3
2130,7000,{gold=10000},,3
2131,10000,{gold=10000},,3
2132,999999,{gold=10000},,3
3001,1,{3070=1;coin15=400000;gold=6000000;rmb=2000},1,4
3002,2,{3070=1;coin15=390000;gold=5800000;rmb=1800},1,4
3003,3,{3070=1;coin15=380000;gold=5600000;rmb=1700},1,4
3004,4,{3070=1;coin15=370000;gold=5400000;rmb=1600},1,4
3005,5,{3070=1;coin15=360000;gold=5200000;rmb=1500},1,4
3006,6,{3070=1;coin15=350000;gold=5000000;rmb=1400},1,4
3007,7,{3070=1;coin15=340000;gold=4800000;rmb=1300},1,4
3008,8,{3070=1;coin15=330000;gold=4600000;rmb=1200},1,4
3009,9,{3070=1;coin15=320000;gold=4400000;rmb=1100},1,4
3010,10,{3070=1;coin15=310000;gold=4200000;rmb=1000},1,4
3011,12,{3071=1;coin15=300000;gold=4000000;rmb=950},1,4
3012,15,{3071=1;coin15=290000;gold=3800000;rmb=900},1,4
3013,20,{3071=1;coin15=280000;gold=3600000;rmb=850},1,4
3014,30,{3071=1;coin15=270000;gold=3400000;rmb=800},1,4
3015,40,{3071=1;coin15=260000;gold=3200000;rmb=750},1,4
3016,50,{3071=1;coin15=250000;gold=3000000;rmb=700},1,4
3017,70,{3072=1;coin15=240000;gold=2800000;rmb=650},1,4
3018,100,{3072=1;coin15=230000;gold=2600000;rmb=600},1,4
3019,150,{3072=1;coin15=220000;gold=2500000;rmb=550},1,4
3020,200,{3072=1;coin15=210000;gold=2400000;rmb=500},1,4
3021,300,{coin15=200000;gold=2300000;rmb=480},1,4
3022,400,{coin15=190000;gold=2200000;rmb=460},1,4
3023,500,{coin15=180000;gold=2100000;rmb=440},1,4
3024,700,{coin15=170000;gold=2000000;rmb=420},1,4
3025,1000,{coin15=160000;gold=1900000;rmb=400},1,4
3026,2000,{coin15=150000;gold=1800000;rmb=380},1,4
3027,3000,{coin15=140000;gold=1700000;rmb=360},1,4
3028,4000,{coin15=130000;gold=1600000;rmb=340},1,4
3029,5000,{coin15=120000;gold=1500000;rmb=320},1,4
3030,7000,{coin15=110000;gold=1400000;rmb=300},1,4
3031,10000,{coin15=100000;gold=1300000;rmb=290},1,4
3032,999999,{coin15=90000;gold=1200000;rmb=260},1,4
3101,1,{gold=10000},,4
3102,2,{gold=10000},,4
3103,3,{gold=10000},,4
3104,4,{gold=10000},,4
3105,5,{gold=10000},,4
3106,6,{gold=10000},,4
3107,7,{gold=10000},,4
3108,8,{gold=10000},,4
3109,9,{gold=10000},,4
3110,10,{gold=10000},,4
3111,12,{gold=10000},,4
3112,15,{gold=10000},,4
3113,20,{gold=10000},,4
3114,30,{gold=10000},,4
3115,40,{gold=10000},,4
3116,50,{gold=10000},,4
3117,70,{gold=10000},,4
3118,100,{gold=10000},,4
3119,150,{gold=10000},,4
3120,200,{gold=10000},,4
3121,300,{gold=10000},,4
3122,400,{gold=10000},,4
3123,500,{gold=10000},,4
3124,700,{gold=10000},,4
3125,1000,{gold=10000},,4
3126,2000,{gold=10000},,4
3127,3000,{gold=10000},,4
3128,4000,{gold=10000},,4
3129,5000,{gold=10000},,4
3130,7000,{gold=10000},,4
3131,10000,{gold=10000},,4
3132,999999,{gold=10000},,4
4001,1,{3073=1;coin15=400000;gold=6000000;rmb=2000},1,5
4002,2,{3073=1;coin15=390000;gold=5800000;rmb=1800},1,5
4003,3,{3073=1;coin15=380000;gold=5600000;rmb=1700},1,5
4004,4,{3073=1;coin15=370000;gold=5400000;rmb=1600},1,5
4005,5,{3073=1;coin15=360000;gold=5200000;rmb=1500},1,5
4006,6,{3073=1;coin15=350000;gold=5000000;rmb=1400},1,5
4007,7,{3073=1;coin15=340000;gold=4800000;rmb=1300},1,5
4008,8,{3073=1;coin15=330000;gold=4600000;rmb=1200},1,5
4009,9,{3073=1;coin15=320000;gold=4400000;rmb=1100},1,5
4010,10,{3073=1;coin15=310000;gold=4200000;rmb=1000},1,5
4011,12,{3074=1;coin15=300000;gold=4000000;rmb=950},1,5
4012,15,{3074=1;coin15=290000;gold=3800000;rmb=900},1,5
4013,20,{3074=1;coin15=280000;gold=3600000;rmb=850},1,5
4014,30,{3074=1;coin15=270000;gold=3400000;rmb=800},1,5
4015,40,{3074=1;coin15=260000;gold=3200000;rmb=750},1,5
4016,50,{3074=1;coin15=250000;gold=3000000;rmb=700},1,5
4017,70,{3075=1;coin15=240000;gold=2800000;rmb=650},1,5
4018,100,{3075=1;coin15=230000;gold=2600000;rmb=600},1,5
4019,150,{3075=1;coin15=220000;gold=2500000;rmb=550},1,5
4020,200,{3075=1;coin15=210000;gold=2400000;rmb=500},1,5
4021,300,{coin15=200000;gold=2300000;rmb=480},1,5
4022,400,{coin15=190000;gold=2200000;rmb=460},1,5
4023,500,{coin15=180000;gold=2100000;rmb=440},1,5
4024,700,{coin15=170000;gold=2000000;rmb=420},1,5
4025,1000,{coin15=160000;gold=1900000;rmb=400},1,5
4026,2000,{coin15=150000;gold=1800000;rmb=380},1,5
4027,3000,{coin15=140000;gold=1700000;rmb=360},1,5
4028,4000,{coin15=130000;gold=1600000;rmb=340},1,5
4029,5000,{coin15=120000;gold=1500000;rmb=320},1,5
4030,7000,{coin15=110000;gold=1400000;rmb=300},1,5
4031,10000,{coin15=100000;gold=1300000;rmb=290},1,5
4032,999999,{coin15=90000;gold=1200000;rmb=260},1,5
4101,1,{gold=10000},,5
4102,2,{gold=10000},,5
4103,3,{gold=10000},,5
4104,4,{gold=10000},,5
4105,5,{gold=10000},,5
4106,6,{gold=10000},,5
4107,7,{gold=10000},,5
4108,8,{gold=10000},,5
4109,9,{gold=10000},,5
4110,10,{gold=10000},,5
4111,12,{gold=10000},,5
4112,15,{gold=10000},,5
4113,20,{gold=10000},,5
4114,30,{gold=10000},,5
4115,40,{gold=10000},,5
4116,50,{gold=10000},,5
4117,70,{gold=10000},,5
4118,100,{gold=10000},,5
4119,150,{gold=10000},,5
4120,200,{gold=10000},,5
4121,300,{gold=10000},,5
4122,400,{gold=10000},,5
4123,500,{gold=10000},,5
4124,700,{gold=10000},,5
4125,1000,{gold=10000},,5
4126,2000,{gold=10000},,5
4127,3000,{gold=10000},,5
4128,4000,{gold=10000},,5
4129,5000,{gold=10000},,5
4130,7000,{gold=10000},,5
4131,10000,{gold=10000},,5
4132,999999,{gold=10000},,5
5001,1,{3076=1;coin15=400000;gold=6000000;rmb=2000},1,6
5002,2,{3076=1;coin15=390000;gold=5800000;rmb=1800},1,6
5003,3,{3076=1;coin15=380000;gold=5600000;rmb=1700},1,6
5004,4,{3076=1;coin15=370000;gold=5400000;rmb=1600},1,6
5005,5,{3076=1;coin15=360000;gold=5200000;rmb=1500},1,6
5006,6,{3076=1;coin15=350000;gold=5000000;rmb=1400},1,6
5007,7,{3076=1;coin15=340000;gold=4800000;rmb=1300},1,6
5008,8,{3076=1;coin15=330000;gold=4600000;rmb=1200},1,6
5009,9,{3076=1;coin15=320000;gold=4400000;rmb=1100},1,6
5010,10,{3076=1;coin15=310000;gold=4200000;rmb=1000},1,6
5011,12,{3077=1;coin15=300000;gold=4000000;rmb=950},1,6
5012,15,{3077=1;coin15=290000;gold=3800000;rmb=900},1,6
5013,20,{3077=1;coin15=280000;gold=3600000;rmb=850},1,6
5014,30,{3077=1;coin15=270000;gold=3400000;rmb=800},1,6
5015,40,{3077=1;coin15=260000;gold=3200000;rmb=750},1,6
5016,50,{3077=1;coin15=250000;gold=3000000;rmb=700},1,6
5017,70,{3078=1;coin15=240000;gold=2800000;rmb=650},1,6
5018,100,{3078=1;coin15=230000;gold=2600000;rmb=600},1,6
5019,150,{3078=1;coin15=220000;gold=2500000;rmb=550},1,6
5020,200,{3078=1;coin15=210000;gold=2400000;rmb=500},1,6
5021,300,{coin15=200000;gold=2300000;rmb=480},1,6
5022,400,{coin15=190000;gold=2200000;rmb=460},1,6
5023,500,{coin15=180000;gold=2100000;rmb=440},1,6
5024,700,{coin15=170000;gold=2000000;rmb=420},1,6
5025,1000,{coin15=160000;gold=1900000;rmb=400},1,6
5026,2000,{coin15=150000;gold=1800000;rmb=380},1,6
5027,3000,{coin15=140000;gold=1700000;rmb=360},1,6
5028,4000,{coin15=130000;gold=1600000;rmb=340},1,6
5029,5000,{coin15=120000;gold=1500000;rmb=320},1,6
5030,7000,{coin15=110000;gold=1400000;rmb=300},1,6
5031,10000,{coin15=100000;gold=1300000;rmb=290},1,6
5032,999999,{coin15=90000;gold=1200000;rmb=260},1,6
5101,1,{gold=10000},,6
5102,2,{gold=10000},,6
5103,3,{gold=10000},,6
5104,4,{gold=10000},,6
5105,5,{gold=10000},,6
5106,6,{gold=10000},,6
5107,7,{gold=10000},,6
5108,8,{gold=10000},,6
5109,9,{gold=10000},,6
5110,10,{gold=10000},,6
5111,12,{gold=10000},,6
5112,15,{gold=10000},,6
5113,20,{gold=10000},,6
5114,30,{gold=10000},,6
5115,40,{gold=10000},,6
5116,50,{gold=10000},,6
5117,70,{gold=10000},,6
5118,100,{gold=10000},,6
5119,150,{gold=10000},,6
5120,200,{gold=10000},,6
5121,300,{gold=10000},,6
5122,400,{gold=10000},,6
5123,500,{gold=10000},,6
5124,700,{gold=10000},,6
5125,1000,{gold=10000},,6
5126,2000,{gold=10000},,6
5127,3000,{gold=10000},,6
5128,4000,{gold=10000},,6
5129,5000,{gold=10000},,6
5130,7000,{gold=10000},,6
5131,10000,{gold=10000},,6
5132,999999,{gold=10000},,6
6001,1,{3079=1;coin15=400000;gold=6000000;rmb=2000},1,7
6002,2,{3079=1;coin15=390000;gold=5800000;rmb=1800},1,7
6003,3,{3079=1;coin15=380000;gold=5600000;rmb=1700},1,7
6004,4,{3079=1;coin15=370000;gold=5400000;rmb=1600},1,7
6005,5,{3079=1;coin15=360000;gold=5200000;rmb=1500},1,7
6006,6,{3079=1;coin15=350000;gold=5000000;rmb=1400},1,7
6007,7,{3079=1;coin15=340000;gold=4800000;rmb=1300},1,7
6008,8,{3079=1;coin15=330000;gold=4600000;rmb=1200},1,7
6009,9,{3079=1;coin15=320000;gold=4400000;rmb=1100},1,7
6010,10,{3079=1;coin15=310000;gold=4200000;rmb=1000},1,7
6011,12,{3080=1;coin15=300000;gold=4000000;rmb=950},1,7
6012,15,{3080=1;coin15=290000;gold=3800000;rmb=900},1,7
6013,20,{3080=1;coin15=280000;gold=3600000;rmb=850},1,7
6014,30,{3080=1;coin15=270000;gold=3400000;rmb=800},1,7
6015,40,{3080=1;coin15=260000;gold=3200000;rmb=750},1,7
6016,50,{3080=1;coin15=250000;gold=3000000;rmb=700},1,7
6017,70,{3081=1;coin15=240000;gold=2800000;rmb=650},1,7
6018,100,{3081=1;coin15=230000;gold=2600000;rmb=600},1,7
6019,150,{3081=1;coin15=220000;gold=2500000;rmb=550},1,7
6020,200,{3081=1;coin15=210000;gold=2400000;rmb=500},1,7
6021,300,{coin15=200000;gold=2300000;rmb=480},1,7
6022,400,{coin15=190000;gold=2200000;rmb=460},1,7
6023,500,{coin15=180000;gold=2100000;rmb=440},1,7
6024,700,{coin15=170000;gold=2000000;rmb=420},1,7
6025,1000,{coin15=160000;gold=1900000;rmb=400},1,7
6026,2000,{coin15=150000;gold=1800000;rmb=380},1,7
6027,3000,{coin15=140000;gold=1700000;rmb=360},1,7
6028,4000,{coin15=130000;gold=1600000;rmb=340},1,7
6029,5000,{coin15=120000;gold=1500000;rmb=320},1,7
6030,7000,{coin15=110000;gold=1400000;rmb=300},1,7
6031,10000,{coin15=100000;gold=1300000;rmb=290},1,7
6032,999999,{coin15=90000;gold=1200000;rmb=260},1,7
6101,1,{gold=10000},,7
6102,2,{gold=10000},,7
6103,3,{gold=10000},,7
6104,4,{gold=10000},,7
6105,5,{gold=10000},,7
6106,6,{gold=10000},,7
6107,7,{gold=10000},,7
6108,8,{gold=10000},,7
6109,9,{gold=10000},,7
6110,10,{gold=10000},,7
6111,12,{gold=10000},,7
6112,15,{gold=10000},,7
6113,20,{gold=10000},,7
6114,30,{gold=10000},,7
6115,40,{gold=10000},,7
6116,50,{gold=10000},,7
6117,70,{gold=10000},,7
6118,100,{gold=10000},,7
6119,150,{gold=10000},,7
6120,200,{gold=10000},,7
6121,300,{gold=10000},,7
6122,400,{gold=10000},,7
6123,500,{gold=10000},,7
6124,700,{gold=10000},,7
6125,1000,{gold=10000},,7
6126,2000,{gold=10000},,7
6127,3000,{gold=10000},,7
6128,4000,{gold=10000},,7
6129,5000,{gold=10000},,7
6130,7000,{gold=10000},,7
6131,10000,{gold=10000},,7
6132,999999,{gold=10000},,7
7001,1,{3082=1;coin15=400000;gold=6000000;rmb=2000},1,8
7002,2,{3082=1;coin15=390000;gold=5800000;rmb=1800},1,8
7003,3,{3082=1;coin15=380000;gold=5600000;rmb=1700},1,8
7004,4,{3082=1;coin15=370000;gold=5400000;rmb=1600},1,8
7005,5,{3082=1;coin15=360000;gold=5200000;rmb=1500},1,8
7006,6,{3082=1;coin15=350000;gold=5000000;rmb=1400},1,8
7007,7,{3082=1;coin15=340000;gold=4800000;rmb=1300},1,8
7008,8,{3082=1;coin15=330000;gold=4600000;rmb=1200},1,8
7009,9,{3082=1;coin15=320000;gold=4400000;rmb=1100},1,8
7010,10,{3082=1;coin15=310000;gold=4200000;rmb=1000},1,8
7011,12,{3083=1;coin15=300000;gold=4000000;rmb=950},1,8
7012,15,{3083=1;coin15=290000;gold=3800000;rmb=900},1,8
7013,20,{3083=1;coin15=280000;gold=3600000;rmb=850},1,8
7014,30,{3083=1;coin15=270000;gold=3400000;rmb=800},1,8
7015,40,{3083=1;coin15=260000;gold=3200000;rmb=750},1,8
7016,50,{3083=1;coin15=250000;gold=3000000;rmb=700},1,8
7017,70,{3084=1;coin15=240000;gold=2800000;rmb=650},1,8
7018,100,{3084=1;coin15=230000;gold=2600000;rmb=600},1,8
7019,150,{3084=1;coin15=220000;gold=2500000;rmb=550},1,8
7020,200,{3084=1;coin15=210000;gold=2400000;rmb=500},1,8
7021,300,{coin15=200000;gold=2300000;rmb=480},1,8
7022,400,{coin15=190000;gold=2200000;rmb=460},1,8
7023,500,{coin15=180000;gold=2100000;rmb=440},1,8
7024,700,{coin15=170000;gold=2000000;rmb=420},1,8
7025,1000,{coin15=160000;gold=1900000;rmb=400},1,8
7026,2000,{coin15=150000;gold=1800000;rmb=380},1,8
7027,3000,{coin15=140000;gold=1700000;rmb=360},1,8
7028,4000,{coin15=130000;gold=1600000;rmb=340},1,8
7029,5000,{coin15=120000;gold=1500000;rmb=320},1,8
7030,7000,{coin15=110000;gold=1400000;rmb=300},1,8
7031,10000,{coin15=100000;gold=1300000;rmb=290},1,8
7032,999999,{coin15=90000;gold=1200000;rmb=260},1,8
7101,1,{gold=10000},,8
7102,2,{gold=10000},,8
7103,3,{gold=10000},,8
7104,4,{gold=10000},,8
7105,5,{gold=10000},,8
7106,6,{gold=10000},,8
7107,7,{gold=10000},,8
7108,8,{gold=10000},,8
7109,9,{gold=10000},,8
7110,10,{gold=10000},,8
7111,12,{gold=10000},,8
7112,15,{gold=10000},,8
7113,20,{gold=10000},,8
7114,30,{gold=10000},,8
7115,40,{gold=10000},,8
7116,50,{gold=10000},,8
7117,70,{gold=10000},,8
7118,100,{gold=10000},,8
7119,150,{gold=10000},,8
7120,200,{gold=10000},,8
7121,300,{gold=10000},,8
7122,400,{gold=10000},,8
7123,500,{gold=10000},,8
7124,700,{gold=10000},,8
7125,1000,{gold=10000},,8
7126,2000,{gold=10000},,8
7127,3000,{gold=10000},,8
7128,4000,{gold=10000},,8
7129,5000,{gold=10000},,8
7130,7000,{gold=10000},,8
7131,10000,{gold=10000},,8
7132,999999,{gold=10000},,8
8001,1,{3085=1;coin15=400000;gold=6000000;rmb=2000},1,9
8002,2,{3085=1;coin15=390000;gold=5800000;rmb=1800},1,9
8003,3,{3085=1;coin15=380000;gold=5600000;rmb=1700},1,9
8004,4,{3085=1;coin15=370000;gold=5400000;rmb=1600},1,9
8005,5,{3085=1;coin15=360000;gold=5200000;rmb=1500},1,9
8006,6,{3085=1;coin15=350000;gold=5000000;rmb=1400},1,9
8007,7,{3085=1;coin15=340000;gold=4800000;rmb=1300},1,9
8008,8,{3085=1;coin15=330000;gold=4600000;rmb=1200},1,9
8009,9,{3085=1;coin15=320000;gold=4400000;rmb=1100},1,9
8010,10,{3085=1;coin15=310000;gold=4200000;rmb=1000},1,9
8011,12,{3086=1;coin15=300000;gold=4000000;rmb=950},1,9
8012,15,{3086=1;coin15=290000;gold=3800000;rmb=900},1,9
8013,20,{3086=1;coin15=280000;gold=3600000;rmb=850},1,9
8014,30,{3086=1;coin15=270000;gold=3400000;rmb=800},1,9
8015,40,{3086=1;coin15=260000;gold=3200000;rmb=750},1,9
8016,50,{3086=1;coin15=250000;gold=3000000;rmb=700},1,9
8017,70,{3087=1;coin15=240000;gold=2800000;rmb=650},1,9
8018,100,{3087=1;coin15=230000;gold=2600000;rmb=600},1,9
8019,150,{3087=1;coin15=220000;gold=2500000;rmb=550},1,9
8020,200,{3087=1;coin15=210000;gold=2400000;rmb=500},1,9
8021,300,{coin15=200000;gold=2300000;rmb=480},1,9
8022,400,{coin15=190000;gold=2200000;rmb=460},1,9
8023,500,{coin15=180000;gold=2100000;rmb=440},1,9
8024,700,{coin15=170000;gold=2000000;rmb=420},1,9
8025,1000,{coin15=160000;gold=1900000;rmb=400},1,9
8026,2000,{coin15=150000;gold=1800000;rmb=380},1,9
8027,3000,{coin15=140000;gold=1700000;rmb=360},1,9
8028,4000,{coin15=130000;gold=1600000;rmb=340},1,9
8029,5000,{coin15=120000;gold=1500000;rmb=320},1,9
8030,7000,{coin15=110000;gold=1400000;rmb=300},1,9
8031,10000,{coin15=100000;gold=1300000;rmb=290},1,9
8032,999999,{coin15=90000;gold=1200000;rmb=260},1,9
8101,1,{gold=10000},,9
8102,2,{gold=10000},,9
8103,3,{gold=10000},,9
8104,4,{gold=10000},,9
8105,5,{gold=10000},,9
8106,6,{gold=10000},,9
8107,7,{gold=10000},,9
8108,8,{gold=10000},,9
8109,9,{gold=10000},,9
8110,10,{gold=10000},,9
8111,12,{gold=10000},,9
8112,15,{gold=10000},,9
8113,20,{gold=10000},,9
8114,30,{gold=10000},,9
8115,40,{gold=10000},,9
8116,50,{gold=10000},,9
8117,70,{gold=10000},,9
8118,100,{gold=10000},,9
8119,150,{gold=10000},,9
8120,200,{gold=10000},,9
8121,300,{gold=10000},,9
8122,400,{gold=10000},,9
8123,500,{gold=10000},,9
8124,700,{gold=10000},,9
8125,1000,{gold=10000},,9
8126,2000,{gold=10000},,9
8127,3000,{gold=10000},,9
8128,4000,{gold=10000},,9
8129,5000,{gold=10000},,9
