变量名,unitID,name,name_tw,name_en,name_vn,name_kr,group,weight,speed,stamina,staminaCost,staminaRecovery,sprintRandom,sprintInterval,sprintMultiple,sprintTime
26,552,Starmie,Starmie,Starmie,Starmie,Starmie,7,,481,145,1.5,1,35,14,,16
27,3772,Toxapex,Toxapex,Toxapex,Toxapex,Toxapex,7,,502,140,1.5,1,32,15,,15
28,3303,Greninja,Greninja,Greninja,Greninja,Greninja,7,,536,135,1.5,1,30,16,,14
29,2822,Zoroark,Zoroark,Zoroark,Zoroark,Zoroark,8,,500,150,1.5,1,38,12,,18
30,2432,Darkrai,Darkrai,Darkrai,Darkrai,Darkrai,8,,560,145,1.5,1,35,14,,16
31,2723,Krookodile,Krookodile,Krookodile,Krookodile,Krookodile,8,,590,140,1.5,1,32,15,,15
32,1082,Weavile,Weavile,Weavile,Weavile,Weavile,8,,630,135,1.5,1,30,16,,14
33,131,Cleffa,Cleffa,Cleffa,Cleffa,Cleffa,9,,375,150,1.5,1,38,12,,18
34,151,Igglybuff,Igglybuff,Igglybuff,Igglybuff,Igglybuff,9,,420,145,1.5,1,35,14,,16
35,3431,Swirlix,Swirlix,Swirlix,Swirlix,Swirlix,9,,443,140,1.5,1,32,15,,15
36,471,Lickitung,Lickitung,Lickitung,Lickitung,Lickitung,9,,473,135,1.5,1,30,16,,14
37,1253,Tyranitar,Tyranitar,Tyranitar,Tyranitar,Tyranitar,10,,375,150,1.5,1,38,12,,18
38,1503,Aggron,Aggron,Aggron,Aggron,Aggron,10,,420,145,1.5,1,35,14,,16
39,712,Snorlax,Snorlax,Snorlax,Snorlax,Snorlax,10,,443,140,1.5,1,32,15,,15
40,1423,Slaking,Slaking,Slaking,Slaking,Slaking,10,,473,135,1.5,1,30,16,,14
41,2442,Shaymin - Sky,Shaymin - Sky,Shaymin - Sky,Shaymin (Dạng Bầu Trời),Shaymin - Sky,11,,598,150,1.5,1,38,12,,18
42,3211,Reshiram,Reshiram,Reshiram,Reshiram,Reshiram,11,,672,145,1.5,1,35,14,,16
43,3221,Zekrom,Zekrom,Zekrom,Zekrom,Zekrom,11,,708,140,1.5,1,32,15,,15
44,3241,Kyurem,Kyurem,Kyurem,Kyurem,Kyurem,11,,756,135,1.5,1,30,16,,14
45,1221,Raikou,Raikou,Raikou,Raikou,Raikou,12,,500,150,1.5,1,38,12,,18
46,1231,Entei,Entei,Entei,Entei,Entei,12,,560,145,1.5,1,35,14,,16
47,1241,Suicune,Suicune,Suicune,Suicune,Suicune,12,,590,140,1.5,1,32,15,,15
48,7001,Ash's Pikachu,Ash's Pikachu,Ash's Pikachu,Pikachu của Ash,Ash's Pikachu,12,,630,135,1.5,1,30,16,,14
49,1911,Regirock,Regirock,Regirock,Regirock,Regirock,13,,500,150,1.5,1,38,12,,18
50,1921,Regice,Regice,Regice,Regice,Regice,13,,560,145,1.5,1,35,14,,16
51,1931,Registeel,Registeel,Registeel,Registeel,Registeel,13,,590,140,1.5,1,32,15,,15
52,2381,Regigigas,Regigigas,Regigigas,Regigigas,Regigigas,13,,630,135,1.5,1,30,16,,14
53,9001,Ditto - Purple,Ditto - Purple,Ditto - Purple,Ditto (Tím),Ditto - Purple,14,,375,150,1.5,1,38,12,,18
54,9002,Ditto - Orange,Ditto - Orange,Ditto - Orange,Ditto (Cam),Ditto - Orange,14,,420,145,1.5,1,35,14,,16
55,9003,Ditto - Red,Ditto - Red,Ditto - Red,Ditto (Đỏ),Ditto - Red,14,,443,140,1.5,1,32,15,,15
56,221,Psyduck,Psyduck,Psyduck,Psyduck,Psyduck,14,,473,135,1.5,1,30,16,,14
57,1982,Mega Rayquaza,Mega Rayquaza,Mega Rayquaza,Mega Rayquaza,Mega Rayquaza,15,,598,150,1.5,1,38,12,,18
58,2351,Dialga,Dialga,Dialga,Dialga,Dialga,15,,672,145,1.5,1,35,14,,16
59,2361,Palkia,Palkia,Palkia,Palkia,Palkia,15,,708,140,1.5,1,32,15,,15
60,2391,Giratina,Giratina,Giratina,Giratina,Giratina,15,,756,135,1.5,1,30,16,,14
