变量名,sortValue,showUnable,vipStart,endDate,beginDate,regainHour,exchangeLimit,limitTimes,limitType,group,itemMap,costMap,levelRange,languages
1035,,,,,,,,8,4,,{8335=1},{coin18=50},,
1036,,,,,,,,8,4,,{8336=1},{coin18=50},,
1037,,,,,,,,8,4,,{8337=1},{coin18=50},,
1038,,,,,,,,8,4,,{8338=1},{coin18=50},,
1039,,,,,,,,8,4,,{8339=1},{coin18=50},,
1040,,,,,,,,8,4,,{8340=1},{coin18=50},,
1041,,,,,,,,8,4,,{8341=1},{coin18=50},,
1042,,,,,,,,8,4,,{8342=1},{coin18=50},,
1043,,,,,,,,8,4,,{8343=1},{coin18=50},,
1044,,,,,,,,8,4,,{8344=1},{coin18=50},,
1101,,,,,,,,8,4,,{8401=1},{coin18=200},,
1102,,,,,,,,8,4,,{8402=1},{coin18=200},,
1103,,,,,,,,8,4,,{8403=1},{coin18=200},,
1104,,,,,,,,8,4,,{8404=1},{coin18=200},,
1105,,,,,,,,8,4,,{8405=1},{coin18=200},,
1106,,,,,,,,8,4,,{8406=1},{coin18=200},,
1107,,,,,,,,8,4,,{8407=1},{coin18=200},,
1108,,,,,,,,8,4,,{8408=1},{coin18=200},,
1109,,,,,,,,8,4,,{8409=1},{coin18=200},,
1110,,,,,,,,8,4,,{8410=1},{coin18=200},,
1111,,,,,,,,8,4,,{8411=1},{coin18=200},,
1112,,,,,,,,8,4,,{8412=1},{coin18=200},,
1113,,,,,,,,8,4,,{8413=1},{coin18=200},,
1114,,,,,,,,8,4,,{8414=1},{coin18=200},,
1115,,,,,,,,8,4,,{8415=1},{coin18=200},,
1116,,,,,,,,8,4,,{8416=1},{coin18=200},,
1117,,,,,,,,8,4,,{8417=1},{coin18=200},,
1118,,,,,,,,8,4,,{8418=1},{coin18=200},,
1119,,,,,,,,8,4,,{8419=1},{coin18=200},,
1120,,,,,,,,8,4,,{8420=1},{coin18=200},,
1121,,,,,,,,8,4,,{8421=1},{coin18=200},,
1122,,,,,,,,8,4,,{8422=1},{coin18=200},,
1123,,,,,,,,8,4,,{8423=1},{coin18=200},,
1124,,,,,,,,8,4,,{8424=1},{coin18=200},,
1125,,,,,,,,8,4,,{8425=1},{coin18=200},,
1126,,,,,,,,8,4,,{8426=1},{coin18=200},,
1127,,,,,,,,8,4,,{8427=1},{coin18=200},,
1128,,,,,,,,8,4,,{8428=1},{coin18=200},,
1129,,,,,,,,8,4,,{8429=1},{coin18=200},,
1130,,,,,,,,8,4,,{8430=1},{coin18=200},,
1131,,,,,,,,8,4,,{8431=1},{coin18=200},,
1132,,,,,,,,8,4,,{8432=1},{coin18=200},,
1133,,,,,,,,8,4,,{8433=1},{coin18=200},,
1134,,,,,,,,8,4,,{8434=1},{coin18=200},,
1135,,,,,,,,8,4,,{8435=1},{coin18=200},,
1136,,,,,,,,8,4,,{8436=1},{coin18=200},,
1137,,,,,,,,8,4,,{8437=1},{coin18=200},,
1138,,,,,,,,8,4,,{8438=1},{coin18=200},,
1139,,,,,,,,8,4,,{8439=1},{coin18=200},,
1140,,,,,,,,8,4,,{8440=1},{coin18=200},,
1201,,,,,,,,5,4,,{8501=1},{coin18=500},,
1202,,,,,,,,5,4,,{8502=1},{coin18=500},,
1203,,,,,,,,5,4,,{8503=1},{coin18=500},,
1204,,,,,,,,5,4,,{8504=1},{coin18=500},,
1205,,,,,,,,5,4,,{8505=1},{coin18=500},,
1206,,,,,,,,5,4,,{8506=1},{coin18=500},,
1207,,,,,,,,5,4,,{8507=1},{coin18=500},,
1208,,,,,,,,5,4,,{8508=1},{coin18=500},,
1209,,,,,,,,5,4,,{8509=1},{coin18=500},,
1210,,,,,,,,5,4,,{8510=1},{coin18=500},,
1211,,,,,,,,5,4,,{8511=1},{coin18=500},,
1212,,,,,,,,5,4,,{8512=1},{coin18=500},,
1213,,,,,,,,5,4,,{8513=1},{coin18=500},,
1214,,,,,,,,5,4,,{8514=1},{coin18=500},,
1301,,,,,,,,2,4,,{8601=1},{coin18=2500},,
1302,,,,,,,,2,4,,{8602=1},{coin18=2500},,
1303,,,,,,,,2,4,,{8603=1},{coin18=2500},,
1304,,,,,,,,2,4,,{8604=1},{coin18=2500},,
1305,,,,,,,,2,4,,{8605=1},{coin18=2500},,
1306,,,,,,,,2,4,,{8606=1},{coin18=2500},,
1307,,,,,,,,2,4,,{8607=1},{coin18=2500},,
1308,,,,,,,,2,4,,{8608=1},{coin18=2500},,
1309,,,,,,,,2,4,,{8609=1},{coin18=2500},,
1310,,,,,,,,2,4,,{8610=1},{coin18=2500},,
1311,,,,,,,,2,4,,{8611=1},{coin18=2500},,
1312,,,,,,,,2,4,,{8612=1},{coin18=2500},,
1313,,,,,,,,2,4,,{8613=1},{coin18=2500},,
1314,,,,,,,,2,4,,{8614=1},{coin18=2500},,
