变量名,attrType1,symbolGroupType,attrNum2,extraAttrNum2,extraAttrsType2,starSeqID,attrType2,extraAttrsType1,extraAttrNum1,attrNum1,name,sort,power,totemGroup1,symbolPosition,nature
134,1,1,,,,,,,,180,釜炎,5,1,<8337;8418>,<3;6>,
135,7,1,54,,,,8,,,54,茵郁,47,1,<8335;8415>,<1;4>,
136,9,1,28,,,,10,,,33,水静,16,1,<8310;8414>,<3;6>,
137,1,1,,,,,,,,180,绿岭,16,1,<8332;8402>,<5;7>,
138,7,1,54,,,,8,,,54,琉璃,43,1,<8326;8428>,<3;6>,
139,9,1,28,,,,10,,,33,暮水,65,1,<8303;8440>,<3;6>,
140,1,1,,,,,,,,180,彩幽,18,1,<8304;8426>,<5;7>,
141,7,1,54,,,,8,,,54,双叶,75,1,<8310;8417>,<3;6>,
142,9,1,28,,,,10,,,33,真砂,13,1,<8338;8416>,<1;4>,
143,1,1,,,,,,,,180,祝庆,35,1,<8324;8440>,<1;4>,
144,7,1,54,,,,8,,,54,黑金,59,1,<8312;8435>,<5;7>,
145,9,1,28,,,,10,,,33,百代,72,1,<8322;8420>,<3;6>,
146,1,1,,,,,,,,180,家缘,4,1,<8317;8413>,<3;6>,
147,7,1,22,,,,8,,,22,帷幕,96,1,<8305;8340>,<2;3>,
148,9,1,12,,,,10,,,14,湿原,67,1,<8334;8332>,<5;7>,
149,1,1,,,,,,,,72,神和,9,1,<8344;8301>,<1;4>,
150,7,1,22,,,,8,,,22,水脉,54,1,<8306;8309>,<5;7>,
151,9,1,12,,,,10,,,14,雪峰,32,1,<8342;8336>,<1;4>,
152,1,1,,,,,,,,72,切锋,16,1,<8344;8312>,<5;7>,
153,7,1,22,,,,8,,,22,滨海,23,1,<8331;8307>,<3;6>,
154,9,1,12,,,,10,,,14,鹿子,12,1,<8337;8318>,<5;7>,
155,1,1,,,,,,,,72,唐草,22,1,<8339;8327>,<2;3>,
156,7,1,22,,,,8,,,22,三曜,71,1,<8313;8314>,<5;7>,
157,9,1,12,,,,10,,,14,七宝,55,1,<8339;8338>,<1;4>,
158,1,1,,,,,,,,72,飞云,26,1,<8318;8344>,<3;6>,
159,7,1,22,,,,8,,,22,雷文,51,1,<8321;8308>,<1;4>,
160,9,1,12,,,,10,,,14,帆巴,65,1,<8320;8329>,<2;3>,
161,1,1,,,,,,,,72,吹寄,28,1,<8330;8315>,<2;3>,
162,7,1,22,,,,8,,,22,雪花,26,1,<8337;8322>,<2;3>,
163,9,1,12,,,,10,,,14,金轮,70,1,<8327;8322>,<5;7>,
164,1,1,,,,,,,,72,双龙,24,1,<8318;8331>,<2;3>,
165,7,1,22,,,,8,,,22,笼目,59,1,<8344;8342>,<3;6>,
166,9,1,12,,,,10,,,14,涟漪,5,1,<8316;8337>,<3;6>,
167,1,1,,,,,,,,72,桧扇,66,1,<8313;8342>,<3;6>,
168,7,1,22,,,,8,,,22,算木,27,1,<8328;8323>,<1;4>,
169,9,1,12,,,,10,,,14,立涌,30,1,<8306;8343>,<3;6>,
170,1,1,,,,,,,,72,朝香,34,1,<8302;8321>,<2;3>,
171,7,1,22,,,,8,,,22,名水,66,1,<8312;8342>,<3;6>,
172,9,1,12,,,,10,,,14,白檀,68,1,<8326;8342>,<3;6>,
173,1,1,,,,,,,,72,古木,87,1,<8327;8333>,<1;4>,
174,7,1,22,,,,8,,,22,古香,20,1,<8327;8315>,<5;7>,
175,9,1,12,,,,10,,,14,遥香,99,1,<8340;8336>,<3;6>,
176,9,1,148,119,10,,10,9,120,149,石香,69,2,<8301;8513;8512>,<1;2;3>,<14;8;3>
177,1,1,,,,,,1,461,576,娑罗,14,2,<8334;8422;8505>,<1;2;3>,<13;17;6>
178,7,1,173,138,8,,8,7,138,173,比翼,82,2,<8305;8429;8506>,<2;5;7>,<12;4;9>
179,9,1,0.28%,80,10,,10,9,84,0.28%,密阿雷,27,2,<8315;8406;8506>,<3;5;7>,<11;16;1>
180,1,1,,,,,,1,259,324,香薰,99,1,<8307;8418;8430>,<2;5;7>,<15;18;2>
181,9,1,50,41,10,,10,9,48,59,风絮,9,1,<8334;8430;8423>,<1;2;3>,<12;4;9>
182,7,1,97,77,8,,8,7,77,97,百刻,42,1,<8326;8437;8427>,<1;2;3>,<13;17;6>
183,7,1,97,77,8,,8,7,77,97,连理,49,1,<8305;8423;8417>,<1;2;3>,<10;7;5>
184,1,1,,,,,,1,259,324,映雪,19,1,<8315;8421;8427>,<1;2;4>,<13;17;6>
185,1,1,,,,,,1,173,216,闪耀,88,1,<8314;8344;8403>,<1;2;3>,<10;7;5>
186,7,1,1.13%,491,8,,8,7,491,1.13%,镜穴,38,3,<8324;8407;8417;8613>,<1;2;3;4>,<12;4;9>
187,9,1,0.33%,98,10,,10,9,105,0.33%,蔚蓝,17,2,<8315;8420;8426;8504>,<4;5;6;7>,<10;7;5>
188,1,1,,,,,,1,374,468,冰结,2,2,<8333;8404;8405;8419>,<4;5;6;7>,<14;8;3>
189,9,1,56,46,10,,10,9,54,66,奥乐,38,2,<8304;8302;8404;8403>,<3;5;6;7>,<10;7;5>
190,7,1,551,441,8,,8,7,441,551,利利,29,3,<8311;8336;8330;8601>,<3;5;6;7>,<11;16;1>
191,7,1,44,36,8,,8,7,36,44,慷待,57,1,<8341;8338;8312;8316>,<1;2;4;7>,<15;18;2>
192,7,1,335,267,8,,8,7,267,335,欧哈纳,42,3,<8312;8416;8440;8511;8504>,<1;2;3;4;6>,<15;18;2>
193,9,1,143,116,10,,10,9,126,156,可霓,46,3,<8314;8439;8412;8427;8502>,<1;2;3;5;7>,<15;18;2>
194,92,1,67,855,8,,93,7,855,67,卡璞,48,5,<8315;8317;8339;8612;8614>,<1;2;3;5;7>,<14;8;3>
195,1,1,,,,,,1,1584,1980,魂魄,20,3,<8343;8332;8334;8409;8602>,<1;3;5;6;7>,<14;8;3>
196,13,1,,,,,,7,475,29,马利埃,71,3,<8307;8305;8331;8412;8614>,<1;2;3;5;7>,<13;17;6>
197,1,1,,,,,,1,346,432,葱郁,57,2,<8332;8307;8333;8304;8407;8414>,<1;3;4;5;6;7>,<10;7;5>
198,7,1,0.35%,165,8,,8,7,165,0.35%,美乐,74,2,<8319;8332;8330;8310;8415;8502>,<1;2;3;4;5;7>,<13;17;6>
199,9,1,1.15%,287,10,,10,9,294,1.15%,克拉,82,4,<8333;8303;8319;8340;8427;8603>,<1;2;3;4;6;7>,<15;18;2>
200,1,1,,,,,,1,87,108,反转,82,1,<8302;8340;8305>,<2;5;7>,<11;16;1>
201,1,1,,,,,,1,87,108,化朗,85,1,<8302;8330;8322>,<1;2;4>,<14;8;3>
202,9,1,18,15,10,,10,9,18,21,木杆,78,1,<8328;8327;8319>,<3;5;7>,<15;18;2>
203,9,1,34,28,10,,10,9,33,40,机擎,39,1,<8317;8305;8438>,<1;2;3>,<13;17;6>
204,7,1,65,52,8,,8,7,52,65,草露,86,1,<8335;8304;8403>,<3;5;7>,<15;18;2>
205,1,1,,,,,,1,173,216,拳关,72,1,<8337;8311;8435>,<3;5;7>,<14;8;3>
206,1,1,,,,,,1,259,324,溯传,11,1,<8306;8420;8422>,<1;2;3>,<14;8;3>
207,1,1,,,,,,1,259,324,舞姿,33,1,<8326;8437;8421>,<1;2;4>,<14;8;3>
208,1,1,,,,,,1,173,216,战竞,37,1,<8330;8326;8422>,<1;2;3>,<14;8;3>
209,1,1,,,,,,7,36,144,宫门,63,1,<8343;8313;8338;8342>,<1;2;3;4>,<13;17;6>
210,1,1,,,,,,,,1728,冻凝,60,2,<8602>,<1>,
211,7,1,518,,,,8,,,518,微寐,39,2,<8603>,<6>,
1101,9,2,311,,,,10,,,311,花之礼,42,2,<8601>,<4>,
1102,9,2,22,,,,10,,,26,胆量,32,1,<8401>,<2>,
1103,1,2,,,,,,,,144,梦魇,59,1,<8402>,<1>,
1104,7,2,43,,,,8,,,43,友情防守,71,1,<8403>,<6>,
1105,1,2,,,,,,,,36,再生力,13,1,<8325>,<4>,
1106,7,2,11,,,,8,,,11,奇迹,74,1,<8326>,<1>,
1107,9,2,6,,,,10,,,7,幻觉,23,1,<8327>,<6>,
1108,1,2,,,,,,,,36,变身者,83,1,<8328>,<6>,
1109,7,2,11,,,,8,,,11,涡轮火焰,48,1,<8329>,<1>,
1110,9,2,6,,,,10,,,7,正义之心,100,1,<8330>,<6>,
1111,1,2,,,,,,,,36,胜利之星,39,1,<8331>,<4>,
1112,7,2,11,,,,8,,,11,芳香幕,94,1,<8332>,<2>,
1113,9,2,6,,,,10,,,7,花幕,58,1,<8333>,<4>,
1114,1,2,,,,,,,,36,变换自如,82,1,<8334>,<1>,
1115,7,2,11,,,,8,,,11,兆级电压,7,1,<8335>,<6>,
1116,9,2,6,,,,10,,,7,强壮之颚,106,1,<8336>,<6>,
1117,1,2,,,,,,,,36,好胜,35,1,<8337>,<4>,
1118,7,2,11,,,,8,,,11,疾风之翼,26,1,<8338>,<1>,
1119,9,2,6,,,,10,,,7,共生,21,1,<8339>,<6>,
1120,9,2,333,,,,10,,,337,硬爪,76,3,<8411;8614>,<3;6>,
1121,7,2,0.25%,,,,8,,,0.25%,亲子爱,28,2,<8430;8502>,<5;7>,
1122,9,2,0.25%,,,,10,,,0.25%,妖精气场,19,2,<8413;8503>,<3;6>,
1123,1,2,,,,,,,,540,气场破坏,99,2,<8440;8503>,<2;3>,
1124,1,2,,,,,,,,288,始源之海,29,1,<8430;8414>,<2;3>,
1125,7,2,86,,,,8,,,86,终结之地,91,1,<8419;8421>,<5;7>,
1126,9,2,44,,,,10,,,52,德尔塔气流,80,1,<8433;8426>,<2;3>,
1127,7,2,130,,,,8,,,130,持久力,92,1,<8312;8514>,<5;7>,
1128,9,2,0.23%,,,,10,,,0.23%,界限盾壳,66,1,<8343;8514>,<5;7>,
1129,7,2,54,,,,8,,,54,钢能力者,73,1,<8314;8407>,<3;6>,
1130,9,2,28,,,,10,,,33,怒火冲天,2,1,<8326;8429>,<1;4>,
1131,1,2,,,,,,,,180,拨雪,55,1,<8339;8420>,<1;4>,
1132,7,2,54,,,,8,,,54,画皮,92,1,<8319;8406>,<2;3>,
1133,9,2,28,,,,10,,,33,群聚形变,6,1,<8328;8408>,<5;7>,
1134,1,2,,,,,,,,180,腐蚀,108,1,<8309;8432>,<3;6>,
1135,7,2,54,,,,8,,,54,绝对睡眠,30,1,<8339;8420>,<5;7>,
1136,9,2,28,,,,10,,,33,女王威严,38,1,<8307;8412>,<1;4>,
1137,1,2,,,,,,,,180,魂心,10,1,<8337;8439>,<5;7>,
1138,7,2,54,,,,8,,,54,棱镜装甲,19,1,<8320;8414>,<3;6>,
1139,9,2,28,,,,10,,,33,不挠之剑,22,1,<8318;8424>,<1;4>,
1140,1,2,,,,,,,,180,不屈之盾,35,1,<8323;8410>,<5;7>,
1141,7,2,54,,,,8,,,54,自由者,66,1,<8322;8423>,<2;3>,
1142,9,2,28,,,,10,,,33,镜甲,106,1,<8333;8412>,<2;3>,
1143,1,2,,,,,,,,180,除障,11,1,<8336;8415>,<3;6>,
1144,7,2,54,,,,8,,,54,灭亡之躯,15,1,<8306;8411>,<1;4>,
1145,9,2,28,,,,10,,,33,幽魂,94,1,<8327;8408>,<5;7>,
1146,1,2,,,,,,,,180,钢之意志,,1,<8331;8423>,<3;6>,
1147,7,2,54,,,,8,,,54,恶臭,110,1,<8343;8412>,<2;3>,
1148,9,2,28,,,,10,,,33,降雨,62,1,<8330;8433>,<3;6>,
1149,1,2,,,,,,,,180,蓄电,94,1,<8343;8425>,<1;4>,
1150,7,2,54,,,,8,,,54,异毒电场,58,1,<8303;8418>,<5;7>,
1151,9,2,28,,,,10,,,33,沙尘漫天,27,1,<8302;8425>,<1;4>,
1152,1,2,,,,,,,,180,天道七星,,1,<8327;8406>,<1;4>,
1153,1,2,,,,,,,,72,沙隐,109,1,<8328;8340>,<5;7>,
1154,7,2,22,,,,8,,,22,液金熔击,14,1,<8323;8317>,<3;6>,
1155,9,2,12,,,,10,,,14,激漩泡涡,10,1,<8313;8321>,<2;3>,
1156,1,2,,,,,,,,72,百火焚野,,1,<8306;8313>,<2;3>,
1157,7,2,22,,,,8,,,22,幸福圆满,106,1,<8342;8301>,<3;6>,
1158,9,2,12,,,,10,,,14,劣化衰变,71,1,<8332;8341>,<2;3>,
1159,1,2,,,,,,,,72,旋风袭卷,106,1,<8319;8339>,<1;4>,
1160,7,2,22,,,,8,,,22,钢铁阵法,39,1,<8303;8310>,<5;7>,
1161,9,2,12,,,,10,,,14,地狱灭焰,97,1,<8305;8337>,<5;7>,
1162,1,2,,,,,,,,72,蝶影蛊惑,,1,<8315;8316>,<3;6>,
1163,7,2,22,,,,8,,,22,万雷轰顶,108,1,<8304;8343>,<5;7>,
1164,9,2,12,,,,10,,,14,会心一击,14,1,<8312;8342>,<1;4>,
1165,1,2,,,,,,,,72,幻影幽魂,34,1,<8341;8335>,<3;6>,
1166,7,2,22,,,,8,,,22,极光旋律,79,1,<8309;8315>,<2;3>,
1167,9,2,12,,,,10,,,14,岩阵以待,44,1,<8323;8306>,<1;4>,
1168,1,2,,,,,,,,72,热情拥抱,56,1,<8304;8312>,<3;6>,
1169,7,2,22,,,,8,,,22,炎石喷发,54,1,<8335;8336>,<3;6>,
1170,9,2,12,,,,10,,,14,睡魔降临,102,1,<8319;8318>,<1;4>,
1171,1,2,,,,,,,,72,琼浆玉液,84,1,<8321;8301>,<2;3>,
1172,7,2,22,,,,8,,,22,天谴雷诛,22,1,<8343;8323>,<2;3>,
1173,9,2,12,,,,10,,,14,柔软,27,1,<8340;8316>,<5;7>,
1174,1,2,,,,,,,,72,加速,18,1,<8324;8303>,<1;4>,
1175,7,2,22,,,,8,,,22,迟钝,49,1,<8308;8343>,<5;7>,
1176,9,2,12,,,,10,,,14,引火,97,1,<8301;8338>,<2;3>,
1177,1,2,,,,,,,,72,踩影,64,1,<8341;8316>,<2;3>,
1178,7,2,22,,,,8,,,22,神奇守护,31,1,<8313;8326>,<1;4>,
1179,9,2,12,,,,10,,,14,漂浮,26,1,<8331;8327>,<3;6>,
1180,1,2,,,,,,,,72,恒净,63,1,<8317;8325>,<1;4>,
1181,7,2,22,,,,8,,,22,自然,14,1,<8327;8332>,<5;7>,
1182,9,2,12,,,,10,,,14,天恩,16,1,<8301;8340>,<2;3>,
1183,1,2,,,,,,,,72,悠游自如,60,1,<8332;8312>,<2;3>,
1184,7,2,22,,,,8,,,22,精神力,83,1,<8325;8333>,<2;3>,
1185,7,2,756,604,8,,8,7,604,756,熔岩铠甲,104,4,<8506;8501;8611>,<1;2;4>,<11;16;1>
1186,1,2,,,,,,1,1814,2268,水幕,87,4,<8405;8509;8613>,<2;5;7>,<15;18;2>
1187,9,2,164,132,10,,10,9,135,168,磁力,21,2,<8417;8513;8501>,<1;2;4>,<13;17;6>
1188,7,2,604,482,8,,8,7,482,604,雨盘,35,3,<8434;8438;8608>,<1;2;4>,<10;7;5>
1189,7,2,0.30%,163,8,,8,7,163,0.30%,扬沙,24,2,<8410;8426;8502>,<3;5;7>,<15;18;2>
1190,9,2,0.30%,93,10,,10,9,99,0.30%,压迫感,52,2,<8436;8432;8510>,<1;2;3>,<13;17;6>
1191,7,2,648,518,8,,8,7,518,648,火焰之躯,104,3,<8304;8507;8609>,<3;5;7>,<10;7;5>
1192,1,2,,,,,,1,1526,1908,锐力目光,83,3,<8321;8422;8612>,<1;2;3>,<11;16;1>
1193,7,2,0.28%,138,8,,8,7,138,0.28%,怪力,47,2,<8302;8411;8501>,<3;5;7>,<11;16;1>
1194,1,2,,,,,,1,461,0.28%,懒惰,40,2,<8342;8411;8505>,<1;2;4>,<10;7;5>
1195,9,2,50,41,10,,10,9,48,59,活力,108,1,<8314;8407;8414>,<1;2;3>,<11;16;1>
1196,7,2,97,77,8,,8,7,77,97,迷人之躯,14,1,<8326;8429;8406>,<3;5;7>,<12;4;9>
1197,1,2,,,,,,1,259,324,阴晴不定,52,1,<8324;8407;8436>,<1;2;3>,<10;7;5>
1198,7,2,97,77,8,,8,7,77,97,污泥浆,85,1,<8333;8410;8424>,<1;2;3>,<11;16;1>
1199,9,2,34,28,10,,10,9,33,40,茂盛,87,1,<8322;8339;8419>,<3;5;7>,<12;4;9>
1200,7,2,65,52,8,,8,7,52,65,猛火,22,1,<8301;8305;8432>,<2;5;7>,<10;7;5>
1201,7,2,65,52,8,,8,7,52,65,激流,69,1,<8343;8329;8419>,<2;5;7>,<12;4;9>
1202,1,2,,,,,,1,173,216,虫之预感,43,1,<8324;8335;8405>,<2;5;7>,<12;4;9>
1203,1,2,,,,,,1,87,108,日照,73,1,<8325;8309;8339>,<3;5;7>,<10;7;5>
1204,1,2,,,,,,1,87,108,干劲,99,1,<8325;8326;8323>,<3;5;7>,<12;4;9>
1205,9,2,18,15,10,,10,9,18,21,沙穴,54,1,<8303;8332;8323>,<2;5;7>,<12;4;9>
1206,9,2,1.30%,342,10,,10,9,348,1.30%,破格,72,4,<8413;8431;8509;8610>,<4;5;6;7>,<14;8;3>
1207,1,2,,,,,,1,864,0.50%,不屈之心,94,3,<8435;8425;8509;8503>,<1;2;4;7>,<14;8;3>
1208,1,2,,,,,,1,1815,1.30%,气闸,72,4,<8331;8317;8324;8311;8512;8613>,<1;2;3;5;6;7>,<13;17;6>
1209,14,2,69,889,8,,16,7,889,69,太阳之力,91,5,<8320;8312;8319;8425;8604;8606>,<1;2;3;5;6;7>,<15;18;2>
1210,9,2,84,69,10,,10,9,81,99,蹒跚,53,2,<8341;8327;8307;8432;8431;8404>,<1;2;3;4;5;7>,<12;4;9>
2101,1,3,,,,,,,,396,断头钳,88,1,<8501>,<2>,
2102,7,3,119,,,,8,,,119,头锤,96,1,<8502>,<2>,
2103,9,3,71,,,,10,,,71,乱击,2,1,<8503>,<2>,
2104,1,3,,,,,,,,396,舍身冲撞,51,1,<8504>,<1>,
2105,7,3,119,,,,8,,,119,吼叫,19,1,<8505>,<4>,
2106,9,3,22,,,,10,,,26,音爆,36,1,<8404>,<1>,
2107,1,3,,,,,,,,144,地狱翻滚,105,1,<8405>,<2>,
2108,7,3,43,,,,8,,,43,仿效,23,1,<8406>,<4>,
2109,9,3,22,,,,10,,,26,超级吸取,90,1,<8407>,<2>,
2110,1,3,,,,,,,,144,巨兽斩,38,1,<8408>,<1>,
2111,7,3,43,,,,8,,,43,无极光束,55,1,<8409>,<6>,
2112,9,3,22,,,,10,,,26,反射壁,4,1,<8410>,<1>,
2113,1,3,,,,,,,,144,大字爆炎,48,1,<8411>,<4>,
2114,7,3,43,,,,8,,,43,火箭头锤,30,1,<8412>,<1>,
2115,9,3,22,,,,10,,,26,尖刺加农炮,62,1,<8413>,<2>,
2116,1,3,,,,,,,,144,蟹钳锤,24,1,<8414>,<6>,
2117,7,3,43,,,,8,,,43,棱角化,46,1,<8415>,<6>,
2118,9,3,22,,,,10,,,26,三连踢,9,1,<8416>,<1>,
2119,1,3,,,,,,,,144,心之眼,51,1,<8417>,<4>,
2120,7,3,43,,,,8,,,43,气旋攻击,44,1,<8418>,<4>,
2121,9,3,22,,,,10,,,26,腹鼓,53,1,<8419>,<4>,
2122,1,3,,,,,,,,144,同命,22,1,<8420>,<2>,
2123,7,3,43,,,,8,,,43,点到为止,66,1,<8421>,<6>,
2124,9,3,22,,,,10,,,26,虚张声势,12,1,<8422>,<4>,
2125,1,3,,,,,,,,36,钢翼,48,1,<8340>,<1>,
2126,7,3,11,,,,8,,,11,震级,108,1,<8341>,<6>,
2127,9,3,6,,,,10,,,7,铁尾,65,1,<8342>,<2>,
2128,1,3,,,,,,,,36,借力摔,4,1,<8343>,<2>,
2129,7,3,11,,,,8,,,11,觉醒力量,12,1,<8344>,<1>,
2130,7,3,162,,,,8,,,162,十字劈,42,2,<8408;8510>,<3;6>,
2131,1,3,,,,,,,,288,镜面反射,76,1,<8422;8420>,<1;4>,
2132,7,3,86,,,,8,,,86,预知未来,97,1,<8424;8411>,<3;6>,
2133,9,3,44,,,,10,,,52,弹跳,100,1,<8431;8422>,<2;3>,
2134,1,3,,,,,,,,288,挑衅,43,1,<8417;8421>,<5;7>,
2135,7,3,86,,,,8,,,86,喷火,82,1,<8418;8410>,<3;6>,
2136,9,3,44,,,,10,,,52,爆炸烈焰,48,1,<8435;8434>,<3;6>,
2137,7,3,529,,,,8,,,529,银色旋风,91,3,<8330;8604>,<3;6>,
2138,7,3,54,,,,8,,,54,金属音,73,1,<8322;8409>,<3;6>,
2139,9,3,28,,,,10,,,33,铁壁,87,1,<8314;8434>,<3;6>,
2140,1,3,,,,,,,,180,精神突进,108,1,<8308;8436>,<5;7>,
2141,7,3,54,,,,8,,,54,佯攻,47,1,<8302;8417>,<1;4>,
2142,9,3,28,,,,10,,,33,点穴,104,1,<8308;8404>,<2;3>,
2143,1,3,,,,,,,,180,急速折返,76,1,<8313;8436>,<3;6>,
2144,7,3,54,,,,8,,,54,近身战,11,1,<8329;8413>,<2;3>,
2145,9,3,28,,,,10,,,33,以牙还牙,48,1,<8328;8439>,<3;6>,
2146,1,3,,,,,,,,180,恶意追击,61,1,<8309;8403>,<2;3>,
2147,7,3,54,,,,8,,,54,终极冲击,43,1,<8316;8408>,<5;7>,
2148,9,3,28,,,,10,,,33,戏法空间,10,1,<8316;8430>,<3;6>,
2149,1,3,,,,,,,,180,十字毒刃,39,1,<8312;8418>,<3;6>,
2150,7,3,54,,,,8,,,54,铁头,95,1,<8317;8426>,<1;4>,
2151,9,3,28,,,,10,,,33,尖石攻击,93,1,<8307;8434>,<2;3>,
2152,1,3,,,,,,,,180,制裁光砾,36,1,<8334;8421>,<3;6>,
2153,7,3,54,,,,8,,,54,攻击指令,27,1,<8311;8430>,<3;6>,
2154,9,3,28,,,,10,,,33,双刃头锤,31,1,<8335;8428>,<5;7>,
2155,1,3,,,,,,,,180,二连击,82,1,<8314;8429>,<5;7>,
2156,7,3,54,,,,8,,,54,熔岩风暴,75,1,<8328;8405>,<3;6>,
2157,9,3,12,,,,10,,,14,暗黑洞,8,1,<8307;8302>,<5;7>,
2158,1,3,,,,,,,,72,暗影潜袭,61,1,<8312;8321>,<3;6>,
2159,7,3,22,,,,8,,,22,磨爪,71,1,<8318;8305>,<5;7>,
2160,9,3,12,,,,10,,,14,广域防守,76,1,<8338;8342>,<5;7>,
2161,1,3,,,,,,,,72,力量平分,14,1,<8306;8337>,<1;4>,
2162,7,3,22,,,,8,,,22,奇妙空间,36,1,<8340;8332>,<3;6>,
2163,9,3,12,,,,10,,,14,身体轻量化,19,1,<8342;8321>,<3;6>,
2164,1,3,,,,,,,,72,重磅冲撞,86,1,<8311;8329>,<2;3>,
2165,7,3,22,,,,8,,,22,浸水,19,1,<8330;8338>,<2;3>,
2166,9,3,12,,,,10,,,14,盘蜷,69,1,<8321;8339>,<5;7>,
2167,1,3,,,,,,,,72,欺诈,21,1,<8308;8339>,<5;7>,
2168,7,3,22,,,,8,,,22,逐步击破,17,1,<8341;8307>,<2;3>,
2169,9,3,12,,,,10,,,14,清除之烟,,1,<8303;8334>,<3;6>,
2170,1,3,,,,,,,,72,治愈波动,104,1,<8343;8303>,<1;4>,
2171,7,3,22,,,,8,,,22,杂技,34,1,<8316;8315>,<1;4>,
2172,9,3,12,,,,10,,,14,镜面属性,91,1,<8322;8316>,<5;7>,
2173,1,3,,,,,,,,72,搏命,17,1,<8329;8311>,<1;4>,
2174,7,3,22,,,,8,,,22,炼狱,60,1,<8333;8311>,<3;6>,
2175,1,3,,,,,,1,547,0.30%,伏特替换,71,2,<8401;8440;8514>,<3;5;7>,<11;16;1>
2176,1,3,,,,,,1,663,828,电网,50,2,<8344;8503;8506>,<1;2;3>,<10;7;5>
2177,9,3,339,272,10,,10,9,276,344,疯狂伏特,102,3,<8325;8403;8607>,<2;5;7>,<12;4;9>
2178,1,3,,,,,,1,259,324,直冲钻,105,1,<8320;8411;8407>,<2;5;7>,<12;4;9>
2179,9,3,50,41,10,,10,9,48,59,疯狂滚压,6,1,<8312;8427;8432>,<3;5;7>,<14;8;3>
2180,1,3,,,,,,1,259,324,暗黑爆破,81,1,<8319;8410;8412>,<3;5;7>,<11;16;1>
2181,9,3,50,41,10,,10,9,48,59,精神击破,90,1,<8319;8402;8423>,<2;5;7>,<15;18;2>
2182,9,3,323,259,10,,10,9,261,325,战吼,62,3,<8308;8334;8608>,<1;2;3>,<10;7;5>
2183,7,3,540,432,8,,8,7,432,540,颠倒,90,3,<8322;8304;8614>,<2;5;7>,<12;4;9>
2184,1,3,,,,,,1,375,468,输电,44,2,<8340;8322;8503>,<1;2;4>,<11;16;1>
2185,9,3,34,28,10,,10,9,33,40,爆音波,28,1,<8302;8332;8415>,<1;2;3>,<11;16;1>
2186,7,3,65,52,8,,8,7,52,65,王者盾牌,25,1,<8330;8326;8422>,<1;2;4>,<11;16;1>
2187,7,3,65,52,8,,8,7,52,65,密语,29,1,<8331;8308;8425>,<1;2;3>,<14;8;3>
