变量名,exchangeLimit,goods,cost,__version,shopID
416,5,{talent_point=1},{540=250},,5
417,5,{902=5},{540=150},,5
418,10,{851=10},{540=100},,5
419,10,{850=20},{540=100},,5
420,30,{gold=100000},{540=100},,5
501,10,{21291=3},{540=150},,6
502,10,{21251=3},{540=150},,6
503,10,{23141=3},{540=150},,6
504,10,{22821=3},{540=200},,6
505,10,{23661=3},{540=200},,6
506,10,{23841=3},{540=200},,6
507,10,{23961=3},{540=300},,6
508,10,{22411=3},{540=300},,6
509,10,{5000=10},{540=100},,6
510,10,{930=10},{540=100},,6
511,3,{502=1},{540=400},,6
512,,{501=1},{540=600},,6
513,3,{519=1},{540=200},,6
514,3,{503=1},{540=200},,6
515,3,{520=1},{540=200},,6
516,5,{talent_point=1},{540=250},,6
517,5,{902=5},{540=150},,6
518,10,{851=10},{540=100},,6
519,10,{850=20},{540=100},,6
520,30,{gold=100000},{540=100},,6
601,10,{22401=3},{540=150},,7
602,10,{22991=3},{540=150},,7
603,10,{20261=3},{540=150},,7
604,10,{21771=3},{540=200},,7
605,10,{23671=3},{540=200},,7
606,10,{22021=3},{540=200},,7
607,10,{23191=3},{540=300},,7
608,10,{23201=3},{540=300},,7
609,10,{5000=10},{540=100},,7
610,10,{930=10},{540=100},,7
611,3,{502=1},{540=400},,7
612,,{501=1},{540=600},,7
613,3,{519=1},{540=200},,7
614,3,{503=1},{540=200},,7
615,3,{520=1},{540=200},,7
616,5,{talent_point=1},{540=250},,7
617,5,{902=5},{540=150},,7
618,10,{851=10},{540=100},,7
619,10,{850=20},{540=100},,7
620,30,{gold=100000},{540=100},,7
701,10,{21391=3},{540=150},,8
702,10,{21421=3},{540=150},,8
703,10,{21501=3},{540=150},,8
704,10,{20251=3},{540=200},,8
705,10,{22491=3},{540=200},,8
706,10,{23231=3},{540=200},,8
707,10,{22371=3},{540=300},,8
708,10,{24151=3},{540=300},,8
709,10,{24031=3},{540=300},,8
710,10,{5000=10},{540=100},,8
711,10,{930=10},{540=100},,8
712,3,{502=1},{540=400},,8
713,,{501=1},{540=600},,8
714,3,{519=1},{540=200},,8
715,3,{503=1},{540=200},,8
716,3,{520=1},{540=200},,8
717,5,{talent_point=1},{540=250},,8
718,5,{902=5},{540=150},,8
719,10,{851=10},{540=100},,8
720,10,{850=20},{540=100},,8
721,30,{gold=100000},{540=100},,8
801,10,{22721=3},{540=150},,9
802,10,{20491=3},{540=150},,9
803,10,{22031=3},{540=150},,9
804,10,{24191=3},{540=200},,9
805,10,{24431=3},{540=200},,9
806,10,{22131=3},{540=200},,9
807,10,{24141=3},{540=300},,9
808,10,{24061=3},{540=300},,9
809,10,{20991=3},{540=300},,9
810,10,{5000=10},{540=100},,9
811,10,{930=10},{540=100},,9
812,3,{502=1},{540=400},,9
813,,{501=1},{540=600},,9
814,3,{519=1},{540=200},,9
815,3,{503=1},{540=200},,9
816,3,{520=1},{540=200},,9
817,5,{talent_point=1},{540=250},,9
818,5,{902=5},{540=150},,9
819,10,{851=10},{540=100},,9
820,10,{850=20},{540=100},,9
821,30,{gold=100000},{540=100},,9
901,10,{23001=3},{540=150},,10
902,10,{20881=3},{540=150},,10
903,10,{23351=3},{540=150},,10
904,10,{24561=3},{540=200},,10
905,10,{24181=3},{540=200},,10
906,10,{20901=3},{540=200},,10
907,10,{24051=3},{540=300},,10
908,10,{24041=3},{540=300},,10
909,10,{24621=3},{540=300},,10
910,10,{5000=10},{540=100},,10
911,10,{930=10},{540=100},,10
912,3,{502=1},{540=400},,10
913,,{501=1},{540=600},,10
914,3,{519=1},{540=200},,10
915,3,{503=1},{540=200},,10
916,3,{520=1},{540=200},,10
917,5,{talent_point=1},{540=250},,10
918,5,{902=5},{540=150},,10
919,10,{851=10},{540=100},,10
920,10,{850=20},{540=100},,10
921,30,{gold=100000},{540=100},,10
1001,10,{20401=3},{540=150},,11
1002,10,{20611=3},{540=150},,11
1003,10,{20631=3},{540=150},,11
1004,10,{24651=3},{540=200},,11
1005,10,{22041=3},{540=200},,11
1006,10,{24201=3},{540=200},,11
1007,10,{24623=3},{540=300},,11
1008,10,{24012=3},{540=300},,11
1009,10,{24091=3},{540=300},,11
1010,10,{5000=10},{540=100},,11
1011,10,{930=10},{540=100},,11
1012,3,{502=1},{540=400},,11
1013,,{501=1},{540=600},,11
1014,3,{519=1},{540=200},,11
1015,3,{503=1},{540=200},,11
1016,3,{520=1},{540=200},,11
1017,5,{talent_point=1},{540=250},,11
1018,5,{902=5},{540=150},,11
1019,10,{851=10},{540=100},,11
1020,10,{850=20},{540=100},,11
1021,30,{gold=100000},{540=100},,11
1101,10,{21891=3},{540=150},,12
1102,10,{21251=3},{540=150},,12
1103,10,{22821=3},{540=150},,12
1104,10,{20901=3},{540=200},,12
1105,10,{20431=3},{540=200},,12
1106,10,{24301=3},{540=200},,12
1107,10,{22331=3},{540=300},,12
1108,10,{24671=3},{540=300},,12
1109,10,{23051=3},{540=300},,12
1110,10,{5000=10},{540=100},,12
1111,10,{930=10},{540=100},,12
1112,3,{502=1},{540=400},,12
1113,,{501=1},{540=600},,12
1114,3,{519=1},{540=200},,12
1115,3,{503=1},{540=200},,12
1116,3,{520=1},{540=200},,12
1117,5,{talent_point=1},{540=250},,12
1118,5,{902=5},{540=150},,12
1119,10,{851=10},{540=100},,12
1120,10,{850=20},{540=100},,12
1121,30,{gold=100000},{540=100},,12
