变量名,_beizhu,type,needFrags,needSpecialFrags,costItemFrag,needCards,needSpecialCards,costItemCard,cardConvertNum,roriFrags,roriCards,__version
50221,,2,,<<20221;1>>,{gold=10000},,<221;9001>,{gold=300000},30,,,
50231,,2,,<<20231;1>>,{gold=10000},,<231>,{gold=200000},20,,,
50241,,2,,<<20241;1>;<502;1>;<544;1>>,{gold=15000},,<241;9002>,{gold=750000},50,,,
50251,,2,,<<20251;1>;<502;1>;<544;1>>,{gold=15000},,<251;9002>,{gold=750000},50,,,
50261,,2,,<<20261;1>;<502;1>;<544;1>>,{gold=15000},,<261;9002>,{gold=750000},50,,,
50271,,2,,<<20271;1>>,{gold=10000},,<271;9001>,{gold=300000},30,,,
50281,,2,,<<20281;1>>,{gold=10000},,<281;9001>,{gold=300000},30,,,
50301,,2,,<<20301;1>>,{gold=10000},,<301;9001>,{gold=300000},30,,,
50311,,2,,<<20311;1>;<502;1>;<544;1>>,{gold=15000},,<311;9002>,{gold=750000},50,,,
50321,,2,,<<20321;1>;<502;1>;<544;1>>,{gold=15000},,<321;9002>,{gold=750000},50,,,
50331,,2,,<<20331;1>;<502;1>;<544;1>>,{gold=15000},,<331;9002>,{gold=750000},50,,,
50341,,2,,<<20341;1>>,{gold=10000},,<341;9001>,{gold=300000},30,,,
50351,,2,,<<20351;1>>,{gold=10000},,<351>,{gold=200000},20,,,
50371,,2,,<<20371;1>>,{gold=10000},,<371;9001>,{gold=300000},30,,,
50381,,2,,<<20381;1>;<502;1>;<544;1>>,{gold=15000},,<381;9002>,{gold=750000},50,,,
50391,,2,,<<20391;1>;<502;1>;<544;1>>,{gold=15000},,<391;9002>,{gold=750000},50,,,
50401,,2,,<<20401;1>;<502;1>;<544;1>>,{gold=15000},,<401;9002>,{gold=750000},50,,,
50411,,2,,<<20411;1>;<502;1>;<544;1>>,{gold=15000},,<411;9002>,{gold=750000},50,,,
50431,,2,,<<20431;1>;<502;1>;<544;1>>,{gold=15000},,<431;9002>,{gold=750000},50,,,
50441,,2,,<<20441;1>;<502;1>;<544;1>>,{gold=15000},,<441;9002>,{gold=750000},50,,,
50451,,2,,<<20451;1>>,{gold=10000},,<451>,{gold=200000},20,,,
50461,,2,,<<20461;1>>,{gold=10000},,<461;9001>,{gold=300000},30,,,
50471,,2,,<<20471;1>>,{gold=10000},,<471;9001>,{gold=300000},30,,,
50481,,2,,<<20481;1>>,{gold=10000},,<481;9001>,{gold=300000},30,,,
50491,,2,,<<20491;1>;<502;1>;<544;1>>,{gold=15000},,<491;9002>,{gold=750000},50,,,
50501,,2,,<<20501;1>;<502;1>;<544;1>>,{gold=15000},,<501;9002>,{gold=750000},50,,,
50541,,2,,<<20541;1>>,{gold=10000},,<541>,{gold=200000},20,,,
50551,,2,,<<20551;1>>,{gold=10000},,<551;9001>,{gold=300000},30,,,
50561,,2,,<<20561;1>;<502;1>;<544;1>>,{gold=15000},,<561;9002>,{gold=750000},50,,,
50571,,2,,<<20571;1>;<502;1>;<544;1>>,{gold=15000},,<571;9002>,{gold=750000},50,,,
50591,,2,,<<20591;1>;<502;1>;<544;1>>,{gold=15000},,<591;9002>,{gold=750000},50,,,
50601,,2,,<<20601;1>;<502;1>;<544;1>>,{gold=15000},,<601;9002>,{gold=750000},50,,,
50611,,2,,<<20611;1>;<502;1>;<544;1>>,{gold=15000},,<611;9002>,{gold=750000},50,,,
50631,,2,,<<20631;1>;<502;1>;<544;1>>,{gold=15000},,<631;9002>,{gold=750000},50,,,
50641,,2,,<<20641;1>;<502;1>;<544;1>>,{gold=15000},,<641;9002>,{gold=750000},50,,,
50691,,2,,<<20691;1>>,{gold=10000},,<691;9001>,{gold=300000},30,,,
50701,,2,,<<20701;1>;<502;1>;<544;1>>,{gold=15000},,<701;9002>,{gold=750000},50,,,
50711,,2,,<<20711;1>;<502;1>;<544;1>>,{gold=15000},,<711;9002>,{gold=750000},50,,,
50721,,2,,<<20721;1>;<502;1>;<544;1>>,{gold=15000},,<721;9002>,{gold=750000},50,,,
50731,,2,,<<20731;1>;<502;1>;<544;1>>,{gold=15000},,<731;9002>,{gold=750000},50,,,
50741,,2,,<<20741;1>;<502;1>;<544;1>>,{gold=15000},,<741;9002>,{gold=750000},50,,,
50751,,2,,<<20751;1>;<502;1>;<544;1>>,{gold=15000},,<751;9002>,{gold=750000},50,,,
50761,,2,,<<20761;1>;<521;1>>,{gold=20000},,<761;9003>,{gold=1600000},80,,,
50771,,2,,<<20771;1>;<502;1>;<544;1>>,{gold=15000},,<771;9002>,{gold=750000},50,,,
50781,,2,,<<20781;1>>,{gold=10000},,<781;9001>,{gold=300000},30,,,
50791,,2,,<<20791;1>>,{gold=10000},,<791;9001>,{gold=300000},30,,,
50801,,2,,<<20801;1>>,{gold=10000},,<801;9001>,{gold=300000},30,,,
50861,,2,,<<20861;1>;<502;1>;<544;1>>,{gold=15000},,<861;9002>,{gold=750000},50,,,
50881,,2,,<<20881;1>;<502;1>;<544;1>>,{gold=15000},,<881;9002>,{gold=750000},50,,,
50891,,2,,<<20891;1>>,{gold=10000},,<891>,{gold=200000},20,,,
50971,,2,,<<20971;1>;<502;1>;<544;1>>,{gold=15000},,<971;9002>,{gold=750000},50,,,
50991,,2,,<<20991;1>;<502;1>;<544;1>>,{gold=15000},,<991;9002>,{gold=750000},50,,,
51031,,2,,<<21031;1>;<502;1>;<544;1>>,{gold=15000},,<1031;9002>,{gold=750000},50,,,
51071,,2,,<<21071;1>;<502;1>;<544;1>>,{gold=15000},,<1071;9002>,{gold=750000},50,,,
51081,,2,,<<21081;1>;<502;1>;<544;1>>,{gold=15000},,<1081;9002>,{gold=750000},50,,,
51111,,2,,<<21111;1>;<502;1>;<544;1>>,{gold=15000},,<1111;9002>,{gold=750000},50,,,
51141,,2,,<<21141;1>;<502;1>;<544;1>>,{gold=15000},,<1141;9002>,{gold=750000},50,,,
51171,,2,,<<21171;1>;<502;1>;<544;1>>,{gold=15000},,<1171;9002>,{gold=750000},50,,,
51221,,2,,<<21221;1>;<502;1>;<544;1>>,{gold=15000},,<1221;9002>,{gold=750000},50,,,
51231,,2,,<<21231;1>;<502;1>;<544;1>>,{gold=15000},,<1231;9002>,{gold=750000},50,,,
51241,,2,,<<21241;1>;<502;1>;<544;1>>,{gold=15000},,<1241;9002>,{gold=750000},50,,,
51251,,2,,<<21251;1>;<502;1>;<544;1>>,{gold=15000},,<1251;9002>,{gold=750000},50,,,
51261,,2,,<<21261;1>;<521;1>>,{gold=20000},,<1261;9003>,{gold=1600000},80,,,
51271,,2,,<<21271;1>;<521;1>>,{gold=20000},,<1271;9003>,{gold=1600000},80,,,
51281,,2,,<<21281;1>;<521;1>>,{gold=20000},,<1281;9003>,{gold=1600000},80,,,
51291,,2,,<<21291;1>;<502;1>;<544;1>>,{gold=15000},,<1291;9002>,{gold=750000},50,,,
51301,,2,,<<21301;1>;<502;1>;<544;1>>,{gold=15000},,<1301;9002>,{gold=750000},50,,,
51311,,2,,<<21311;1>;<502;1>;<544;1>>,{gold=15000},,<1311;9002>,{gold=750000},50,,,
51351,,2,,<<21351;1>>,{gold=10000},,<1351>,{gold=200000},20,,,
51391,,2,,<<21391;1>;<502;1>;<544;1>>,{gold=15000},,<1391;9002>,{gold=750000},50,,,
51411,,2,,<<21411;1>;<502;1>;<544;1>>,{gold=15000},,<1411;9002>,{gold=750000},50,,,
51421,,2,,<<21421;1>;<502;1>;<544;1>>,{gold=15000},,<1421;9002>,{gold=750000},50,,,
51441,,2,,<<21441;1>>,{gold=10000},,<1441;9001>,{gold=300000},30,,,
51481,,2,,<<21481;1>>,{gold=10000},,<1481;9001>,{gold=300000},30,,,
51501,,2,,<<21501;1>;<502;1>;<544;1>>,{gold=15000},,<1501;9002>,{gold=750000},50,,,
51511,,2,,<<21511;1>>,{gold=10000},,<1511;9001>,{gold=300000},30,,,
51611,,2,,<<21611;1>>,{gold=10000},,<1611;9001>,{gold=300000},30,,,
51641,,2,,<<21641;1>>,{gold=10000},,<1641;9001>,{gold=300000},30,,,
51651,,2,,<<21651;1>;<502;1>;<544;1>>,{gold=15000},,<1651;9002>,{gold=750000},50,,,
51771,,2,,<<21771;1>;<502;1>;<544;1>>,{gold=15000},,<1771;9002>,{gold=750000},50,,,
51801,,2,,<<21801;1>>,{gold=10000},,<1801;9001>,{gold=300000},30,,,
51811,,2,,<<21811;1>;<502;1>;<544;1>>,{gold=15000},,<1811;9002>,{gold=750000},50,,,
51841,,2,,<<21841;1>;<502;1>;<544;1>>,{gold=15000},,<1841;9002>,{gold=750000},50,,,
51851,,2,,<<21851;1>>,{gold=10000},,<1851;9001>,{gold=300000},30,,,
51861,,2,,<<21861;1>>,{gold=10000},,<1861;9001>,{gold=300000},30,,,
51891,,2,,<<21891;1>;<502;1>;<544;1>>,{gold=15000},,<1891;9002>,{gold=750000},50,,,
51901,,2,,<<21901;1>;<502;1>;<544;1>>,{gold=15000},,<1901;9002>,{gold=750000},50,,,
51911,,2,,<<21911;1>;<502;1>;<544;1>>,{gold=15000},,<1911;9002>,{gold=750000},50,,,
51921,,2,,<<21921;1>;<502;1>;<544;1>>,{gold=15000},,<1921;9002>,{gold=750000},50,,,
51931,,2,,<<21931;1>;<502;1>;<544;1>>,{gold=15000},,<1931;9002>,{gold=750000},50,,,
51941,,2,,<<21941;1>;<502;1>;<544;1>>,{gold=15000},,<1941;9002>,{gold=750000},50,,,
51951,,2,,<<21951;1>;<502;1>;<544;1>>,{gold=15000},,<1951;9002>,{gold=750000},50,,,
51961,,2,,<<21961;1>;<521;1>>,{gold=20000},,<1961;9003>,{gold=1600000},80,,,
51971,,2,,<<21971;1>;<521;1>>,{gold=20000},,<1971;9003>,{gold=1600000},80,,,
51981,,2,,<<21981;1>;<521;1>>,{gold=20000},,<1981;9003>,{gold=1600000},80,,,
51991,,2,,<<21991;1>;<521;1>>,{gold=20000},,<1991;9003>,{gold=1600000},80,,,
52011,,2,,<<22011;1>>,{gold=10000},,<2011;9001>,{gold=300000},30,,,
52021,,2,,<<22021;1>;<502;1>;<544;1>>,{gold=15000},,<2021;9002>,{gold=750000},50,,,
52031,,2,,<<22031;1>;<502;1>;<544;1>>,{gold=15000},,<2031;9002>,{gold=750000},50,,,
52041,,2,,<<22041;1>;<502;1>;<544;1>>,{gold=15000},,<2041;9002>,{gold=750000},50,,,
52071,,2,,<<22071;1>>,{gold=10000},,<2071;9001>,{gold=300000},30,,,
52121,,2,,<<22121;1>>,{gold=10000},,<2121;9001>,{gold=300000},30,,,
52131,,2,,<<22131;1>;<502;1>;<544;1>>,{gold=15000},,<2131;9002>,{gold=750000},50,,,
52231,,2,,<<22231;1>;<502;1>;<544;1>>,{gold=15000},,<2231;9002>,{gold=750000},50,,,
52241,,2,,<<22241;1>;<502;1>;<544;1>>,{gold=15000},,<2241;9002>,{gold=750000},50,,,
52271,,2,,<<22271;1>>,{gold=10000},,<2271;9001>,{gold=300000},30,,,
52301,,2,,<<22301;1>>,{gold=10000},,<2301;9001>,{gold=300000},30,,,
52351,,2,,<<22351;1>;<521;1>>,{gold=20000},,<2351;9003>,{gold=1600000},80,,,
52352,,2,,<<22352;1>;<521;1>>,{gold=20000},,<2352;9003>,{gold=1600000},80,,,
52361,,2,,<<22361;1>;<521;1>>,{gold=20000},,<2361;9003>,{gold=1600000},80,,,
52362,,2,,<<22362;1>;<521;1>>,{gold=20000},,<2362;9003>,{gold=1600000},80,,,
52371,,2,,<<22371;1>;<502;1>;<544;1>>,{gold=15000},,<2371;9002>,{gold=750000},50,,,
52381,,2,,<<22381;1>;<521;1>>,{gold=20000},,<2381;9003>,{gold=1600000},80,,,
52391,,2,,<<22391;1>;<521;1>>,{gold=20000},,<2391;9003>,{gold=1600000},80,,,
52401,,2,,<<22401;1>;<502;1>;<544;1>>,{gold=15000},,<2401;9002>,{gold=750000},50,,,
52411,,2,,<<22411;1>;<502;1>;<544;1>>,{gold=15000},,<2411;9002>,{gold=750000},50,,,
52421,,2,,<<22421;1>;<521;1>>,{gold=20000},,<2421;9003>,{gold=1600000},80,,,
52431,,2,,<<22431;1>;<521;1>>,{gold=20000},,<2431;9003>,{gold=1600000},80,,,
52441,,2,,<<22441;1>;<521;1>>,{gold=20000},,<2441;9003>,{gold=1600000},80,,,
52461,,2,,<<22461;1>;<521;1>>,{gold=20000},,<2461;9003>,{gold=1600000},80,,,
52471,,2,,<<22471;1>;<502;1>;<544;1>>,{gold=15000},,<2471;9002>,{gold=750000},50,,,
52481,,2,,<<22481;1>>,{gold=10000},,<2481;9001>,{gold=300000},30,,,
52491,,2,,<<22491;1>;<502;1>;<544;1>>,{gold=15000},,<2491;9002>,{gold=750000},50,,,
52591,,2,,<<22591;1>>,{gold=10000},,<2591;9001>,{gold=300000},30,,,
52611,,2,,<<22611;1>>,{gold=10000},,<2611;9001>,{gold=300000},30,,,
52631,,2,,<<22631;1>>,{gold=10000},,<2631;9001>,{gold=300000},30,,,
52681,,2,,<<22681;1>>,{gold=10000},,<2681;9001>,{gold=300000},30,,,
52721,,2,,<<22721;1>;<502;1>;<544;1>>,{gold=15000},,<2721;9002>,{gold=750000},50,,,
52801,,2,,<<22801;1>;<502;1>;<544;1>>,{gold=15000},,<2801;9002>,{gold=750000},50,,,
52821,,2,,<<22821;1>;<502;1>;<544;1>>,{gold=15000},,<2821;9002>,{gold=750000},50,,,
52831,,2,,<<22831;1>>,{gold=10000},,<2831;9001>,{gold=300000},30,,,
52841,,2,,<<22841;1>>,{gold=10000},,<2841;9001>,{gold=300000},30,,,
52871,,2,,<<22871;1>>,{gold=10000},,<2871;9001>,{gold=300000},30,,,
52891,,2,,<<22891;1>>,{gold=10000},,<2891;9001>,{gold=300000},30,,,
52921,,2,,<<22921;1>>,{gold=10000},,<2921;9001>,{gold=300000},30,,,
52922,,2,,<<22922;1>>,{gold=10000},,<2922;9001>,{gold=300000},30,,,
52961,,2,,<<22961;1>>,{gold=10000},,<2961;9001>,{gold=300000},30,,,
52991,,2,,<<22991;1>;<502;1>;<544;1>>,{gold=15000},,<2991;9002>,{gold=750000},50,,,
53001,,2,,<<23001;1>;<502;1>;<544;1>>,{gold=15000},,<3001;9002>,{gold=750000},50,,,
53011,,2,,<<23011;1>>,{gold=10000},,<3011;9001>,{gold=300000},30,,,
53021,,2,,<<23021;1>;<502;1>;<544;1>>,{gold=15000},,<3021;9002>,{gold=750000},50,,,
53051,,2,,<<23051;1>;<502;1>;<544;1>>,{gold=15000},,<3051;9002>,{gold=750000},50,,,
53141,,2,,<<23141;1>;<502;1>;<544;1>>,{gold=15000},,<3141;9002>,{gold=750000},50,,,
53151,,2,,<<23151;1>;<502;1>;<544;1>>,{gold=15000},,<3151;9002>,{gold=750000},50,,,
53161,,2,,<<23161;1>;<502;1>;<544;1>>,{gold=15000},,<3161;9002>,{gold=750000},50,,,
53171,,2,,<<23171;1>;<502;1>;<544;1>>,{gold=15000},,<3171;9002>,{gold=750000},50,,,
53181,,2,,<<23181;1>;<502;1>;<544;1>>,{gold=15000},,<3181;9002>,{gold=750000},50,,,
53191,,2,,<<23191;1>;<502;1>;<544;1>>,{gold=15000},,<3191;9002>,{gold=750000},50,,,
53201,,2,,<<23201;1>;<502;1>;<544;1>>,{gold=15000},,<3201;9002>,{gold=750000},50,,,
53211,,2,,<<23211;1>;<521;1>>,{gold=20000},,<3211;9003>,{gold=1600000},80,,,
53221,,2,,<<23221;1>;<521;1>>,{gold=20000},,<3221;9003>,{gold=1600000},80,,,
53231,,2,,<<23231;1>;<502;1>;<544;1>>,{gold=15000},,<3231;9002>,{gold=750000},50,,,
53241,,2,,<<23241;1>;<521;1>>,{gold=20000},,<3241;9003>,{gold=1600000},80,,,
53251,,2,,<<23251;1>;<502;1>;<544;1>>,{gold=15000},,<3251;9002>,{gold=750000},50,,,
53261,,2,,<<23261;1>;<521;1>>,{gold=20000},,<3261;9003>,{gold=1600000},80,,,
53271,,2,,<<23271;1>;<521;1>>,{gold=20000},,<3271;9003>,{gold=1600000},80,,,
53281,,2,,<<23281;1>>,{gold=10000},,<3281;9001>,{gold=300000},30,,,
53291,,2,,<<23291;1>>,{gold=10000},,<3291;9001>,{gold=300000},30,,,
53301,,2,,<<23301;1>;<502;1>;<544;1>>,{gold=15000},,<3301;9002>,{gold=750000},50,,,
53341,,2,,<<23341;1>>,{gold=10000},,<3341;9001>,{gold=300000},30,,,
53351,,2,,<<23351;1>;<502;1>;<544;1>>,{gold=15000},,<3351;9002>,{gold=750000},50,,,
53411,,2,,<<23411;1>;<502;1>;<544;1>>,{gold=15000},,<3411;9002>,{gold=750000},50,,,
53431,,2,,<<23431;1>>,{gold=10000},,<3431;9001>,{gold=300000},30,,,
53471,,2,,<<23471;1>>,{gold=10000},,<3471;9001>,{gold=300000},30,,,
53501,,2,,<<23501;1>>,{gold=10000},,<3501;9001>,{gold=300000},30,,,
53511,,2,,<<23511;1>>,{gold=10000},,<3511;9001>,{gold=300000},30,,,
53541,,2,,<<23541;1>;<502;1>;<544;1>>,{gold=15000},,<3541;9002>,{gold=750000},50,,,
53561,,2,,<<23561;1>>,{gold=10000},,<3561>,{gold=200000},20,,,
53571,,2,,<<23571;1>;<502;1>;<544;1>>,{gold=15000},,<3571;9002>,{gold=750000},50,,,
53591,,2,,<<23591;1>;<502;1>;<544;1>>,{gold=15000},,<3591;9002>,{gold=750000},50,,,
53601,,2,,<<23601;1>;<521;1>>,{gold=20000},,<3601;9003>,{gold=1600000},80,,,
53611,,2,,<<23611;1>;<521;1>>,{gold=20000},,<3611;9003>,{gold=1600000},80,,,
53621,,2,,<<23621;1>;<521;1>>,{gold=20000},,<3621;9003>,{gold=1600000},80,,,
53631,,2,,<<23631;1>;<521;1>>,{gold=20000},,<3631;9003>,{gold=1600000},80,,,
53641,,2,,<<23641;1>;<521;1>>,{gold=20000},,<3641;9003>,{gold=1600000},80,,,
53651,,2,,<<23651;1>;<521;1>>,{gold=20000},,<3651;9003>,{gold=1600000},80,,,
53661,,2,,<<23661;1>;<502;1>;<544;1>>,{gold=15000},,<3661;9002>,{gold=750000},50,,,
53671,,2,,<<23671;1>;<502;1>;<544;1>>,{gold=15000},,<3671;9002>,{gold=750000},50,,,
53681,,2,,<<23681;1>;<502;1>;<544;1>>,{gold=15000},,<3681;9002>,{gold=750000},50,,,
53771,,2,,<<23771;1>;<502;1>;<544;1>>,{gold=15000},,<3771;9002>,{gold=750000},50,,,
53841,,2,,<<23841;1>;<502;1>;<544;1>>,{gold=15000},,<3841;9002>,{gold=750000},50,,,
53881,,2,,<<23881;1>;<502;1>;<544;1>>,{gold=15000},,<3881;9002>,{gold=750000},50,,,
53941,,2,,<<23941;1>;<502;1>;<544;1>>,{gold=15000},,<3941;9002>,{gold=750000},50,,,
53961,,2,,<<23961;1>;<502;1>;<544;1>>,{gold=15000},,<3961;9002>,{gold=750000},50,,,
53981,,2,,<<23981;1>;<502;1>;<544;1>>,{gold=15000},,<3981;9002>,{gold=750000},50,,,
54001,,2,,<<24001;1>;<502;1>;<544;1>>,{gold=15000},,<4001;9002>,{gold=750000},50,,,
54011,,2,,<<24011;1>;<502;1>;<544;1>>,{gold=15000},,<4011;9002>,{gold=750000},50,,,
54012,,2,,<<24012;1>;<502;1>;<544;1>>,{gold=15000},,<4012;9002>,{gold=750000},50,,,
54013,,2,,<<24013;1>;<502;1>;<544;1>>,{gold=15000},,<4013;9002>,{gold=750000},50,,,
54014,,2,,<<24014;1>;<502;1>;<544;1>>,{gold=15000},,<4014;9002>,{gold=750000},50,,,
54023,,2,,<<24023;1>;<521;1>>,{gold=20000},,<4023;9003>,{gold=1600000},80,,,
54024,,2,,<<24024;1>;<521;1>>,{gold=20000},,<4024;9003>,{gold=1600000},80,,,
54031,,2,,<<24031;1>;<502;1>;<544;1>>,{gold=15000},,<4031;9002>,{gold=750000},50,,,
54041,,2,,<<24041;1>;<502;1>;<544;1>>,{gold=15000},,<4041;9002>,{gold=750000},50,,,
54051,,2,,<<24051;1>;<502;1>;<544;1>>,{gold=15000},,<4051;9002>,{gold=750000},50,,,
54061,,2,,<<24061;1>;<502;1>;<544;1>>,{gold=15000},,<4061;9002>,{gold=750000},50,,,
54071,,2,,<<24071;1>;<502;1>;<544;1>>,{gold=15000},,<4071;9002>,{gold=750000},50,,,
54081,,2,,<<24081;1>;<502;1>;<544;1>>,{gold=15000},,<4081;9002>,{gold=750000},50,,,
54091,,2,,<<24091;1>;<502;1>;<544;1>>,{gold=15000},,<4091;9002>,{gold=750000},50,,,
54101,,2,,<<24101;1>;<521;1>>,{gold=20000},,<4101;9003>,{gold=1600000},80,,,
54111,,2,,<<24111;1>;<521;1>>,{gold=20000},,<4111;9003>,{gold=1600000},80,,,
54121,,2,,<<24121;1>;<521;1>>,{gold=20000},,<4121;9003>,{gold=1600000},80,,,
54131,,2,,<<24131;1>;<502;1>;<544;1>>,{gold=15000},,<4131;9002>,{gold=750000},50,,,
54141,,2,,<<24141;1>;<502;1>;<544;1>>,{gold=15000},,<4141;9002>,{gold=750000},50,,,
54151,,2,,<<24151;1>;<502;1>;<544;1>>,{gold=15000},,<4151;9002>,{gold=750000},50,,,
54161,,2,,<<24161;1>;<521;1>>,{gold=20000},,<4161;9003>,{gold=1600000},80,,,
54171,,2,,<<24171;1>;<521;1>>,{gold=20000},,<4171;9003>,{gold=1600000},80,,,
54181,,2,,<<24181;1>;<502;1>;<544;1>>,{gold=15000},,<4181;9002>,{gold=750000},50,,,
54191,,2,,<<24191;1>;<502;1>;<544;1>>,{gold=15000},,<4191;9002>,{gold=750000},50,,,
54201,,2,,<<24201;1>;<502;1>;<544;1>>,{gold=15000},,<4201;9002>,{gold=750000},50,,,
54301,,2,,<<24301;1>;<502;1>;<544;1>>,{gold=15000},,<4301;9002>,{gold=750000},50,,,
54391,,2,,<<24391;1>;<502;1>;<544;1>>,{gold=15000},,<4391;9002>,{gold=750000},50,,,
54441,,2,,<<24441;1>;<502;1>;<544;1>>,{gold=15000},,<4441;9002>,{gold=750000},50,,,
54521,,2,,<<24521;1>;<502;1>;<544;1>>,{gold=15000},,<4521;9002>,{gold=750000},50,,,
54561,,2,,<<24561;1>;<502;1>;<544;1>>,{gold=15000},,<4561;9002>,{gold=750000},50,,,
54571,,2,,<<24571;1>;<502;1>;<544;1>>,{gold=15000},,<4571;9002>,{gold=750000},50,,,
54581,,2,,<<24581;1>;<502;1>;<544;1>>,{gold=15000},,<4581;9002>,{gold=750000},50,,,
54591,,2,,<<24591;1>;<521;1>>,{gold=20000},,<4591;9003>,{gold=1600000},80,,,
54601,,2,,<<24601;1>;<521;1>>,{gold=20000},,<4601;9003>,{gold=1600000},80,,,
54611,,2,,<<24611;1>;<521;1>>,{gold=20000},,<4611;9003>,{gold=1600000},80,,,
54621,,2,,<<24621;1>;<502;1>;<544;1>>,{gold=15000},,<4621;9002>,{gold=750000},50,,,
54623,,2,,<<24623;1>;<502;1>;<544;1>>,{gold=15000},,<4623;9002>,{gold=750000},50,,,
54631,,2,,<<24631;1>;<521;1>>,{gold=20000},,<4631;9003>,{gold=1600000},80,,,
54641,,2,,<<24641;1>;<502;1>;<544;1>>,{gold=15000},,<4641;9002>,{gold=750000},50,,,
54651,,2,,<<24651;1>;<502;1>;<544;1>>,{gold=15000},,<4651;9002>,{gold=750000},50,,,
54661,,2,,<<24661;1>;<502;1>;<544;1>>,{gold=15000},,<4661;9002>,{gold=750000},50,,,
54671,,2,,<<24671;1>;<502;1>;<544;1>>,{gold=15000},,<4671;9002>,{gold=750000},50,,,
54682,,2,,<<24682;1>;<521;1>>,{gold=20000},,<4682;9003>,{gold=1600000},80,,,
54683,,2,,<<24683;1>;<521;1>>,{gold=20000},,<4683;9003>,{gold=1600000},80,,,
54701,,2,,<<24701;1>;<502;1>;<544;1>>,{gold=15000},,<4701;9002>,{gold=750000},50,,,
54761,,2,,<<24761;1>;<502;1>;<544;1>>,{gold=15000},,<4761;9002>,{gold=750000},50,,,
54771,,2,,<<24771;1>;<502;1>;<544;1>>,{gold=15000},,<4771;9002>,{gold=750000},50,,,
54851,,2,,<<24851;1>;<502;1>;<544;1>>,{gold=15000},,<4851;9002>,{gold=750000},50,,,
54991,,2,,<<24991;1>;<502;1>;<544;1>>,{gold=15000},,<4991;9002>,{gold=750000},50,,,
55211,,2,,<<25211;1>;<502;1>;<544;1>>,{gold=15000},,<5211;9002>,{gold=750000},50,,,
55221,,2,,<<25221;1>;<502;1>;<544;1>>,{gold=15000},,<5221;9002>,{gold=750000},50,,,
55241,,2,,<<25241;1>;<502;1>;<544;1>>,{gold=15000},,<5241;9002>,{gold=750000},50,,,
55331,,2,,<<25331;1>;<502;1>;<544;1>>,{gold=15000},,<5331;9002>,{gold=750000},50,,,
55361,,2,,<<25361;1>;<502;1>;<544;1>>,{gold=15000},,<5361;9002>,{gold=750000},50,,,
55381,,2,,<<25381;1>;<521;1>>,{gold=20000},,<5381;9003>,{gold=1600000},80,,,
55391,,2,,<<25391;1>;<521;1>>,{gold=20000},,<5391;9003>,{gold=1600000},80,,,
55401,,2,,<<25401;1>;<502;1>;<544;1>>,{gold=15000},,<5401;9002>,{gold=750000},50,,,
55481,,2,,<<25481;1>;<521;1>>,{gold=20000},,<5481;9003>,{gold=1600000},80,,,
55561,,2,,<<25561;1>;<521;1>>,{gold=20000},,<5561;9003>,{gold=1600000},80,,,
57001,,2,,<<27001;1>;<502;1>;<544;1>>,{gold=15000},,<7001;9002>,{gold=750000},50,,,
