变量名,attrNum4,attrType4,attrNum3,attrType3,attrNum2,exp,attrType2,attrNum1,attrType1,natureType,level,awakeSeqID,zawakeID,attrAddType,viceHeldItem,skillID,attrNum5,attrType5,costItemMap,extraScene,extraAttrs,nvalue,activeReq,__version
101208,137,9,195,8,195,60,7,983,1,,8,2,1,,,79001,137,10,{501=1;50001=8;59001=8;gold=360000},,,,{effort=7;equipAwakeSum=2;equipStarSum=6;zawakeStage=108},
101301,139,9,199,8,199,70,7,1002,1,,1,3,1,,,,139,10,{50001=6;59001=6;gold=230000},,,,,
101302,141,9,201,8,201,70,7,1012,1,,2,3,1,,,,141,10,{50001=6;59001=6;gold=270000},,,,,
101303,142,9,203,8,203,70,7,1022,1,,3,3,1,,,,142,10,{50001=7;59001=7;gold=320000},,,,,
101304,143,9,205,8,205,70,7,1032,1,,4,3,1,,,,143,10,{50001=7;59001=7;gold=360000},<2;12>,{24=500;25=500},,,
101305,145,9,207,8,207,70,7,1042,1,,5,3,1,,,,145,10,{50001=8;59001=8;gold=410000},,,,,
101306,146,9,209,8,209,70,7,1052,1,,6,3,1,,,,146,10,{501=1;50001=8;59001=8;gold=450000},,,,,
101307,148,9,211,8,211,70,7,1062,1,,7,3,1,,,,148,10,{501=1;50001=9;59001=9;gold=500000},,,,,
101308,149,9,213,8,213,70,7,1072,1,,8,3,1,,,79002,149,10,{220=1;501=1;50001=9;59001=9;gold=540000},,,,{advance=14;goodFeel=150;star=9;zawakeStage=208},
101401,151,9,216,8,216,80,7,1086,1,,1,4,1,,,,151,10,{50001=8;59001=8;gold=350000},,,,,
101402,152,9,218,8,218,80,7,1096,1,,2,4,1,,,,152,10,{50001=8;59001=8;gold=410000},,,,,
101403,154,9,220,8,220,80,7,1107,1,,3,4,1,,,,154,10,{50001=9;59001=9;gold=480000},,,,,
101404,155,9,222,8,222,80,7,1118,1,,4,4,1,,,,155,10,{50001=9;59001=9;gold=540000},<0>,{14=300;16=300},,,
101405,157,9,224,8,224,80,7,1129,1,,5,4,1,,,,157,10,{50001=10;59001=10;gold=620000},,,,,
101406,158,9,227,8,227,80,7,1140,1,,6,4,1,,,,158,10,{501=1;50001=10;59001=10;gold=680000},<0>,{91=300},,,
101407,160,9,229,8,229,80,7,1151,1,,7,4,1,,,,160,10,{501=1;50001=11;59001=11;gold=750000},,,,,
101408,161,9,231,8,231,80,7,1161,1,,8,4,1,,,79004,161,10,{230=1;501=1;50001=11;59001=11;gold=810000},,,,{effort=9;equipStarSum=8;nvalueSum=140;zawakeStage=308},
101501,168,9,241,8,241,100,7,1211,1,,1,5,1,,,,168,10,{50001=9;59001=9;gold=530000},,,,,
101502,170,9,243,8,243,100,7,1223,1,,2,5,1,,,,170,10,{50001=9;59001=9;gold=620000},,,,,
101503,172,9,246,8,246,100,7,1235,1,,3,5,1,,,,172,10,{50001=10;59001=10;gold=720000},,,,,
101504,173,9,248,8,248,100,7,1247,1,,4,5,1,,,,173,10,{50001=10;59001=10;gold=810000},<6;10>,{14=500;16=500},,,
101505,175,9,250,8,250,100,7,1259,1,,5,5,1,,,,175,10,{501=1;502=1;50001=11;59001=11;gold=930000},,,,,
101506,177,9,253,8,253,100,7,1271,1,,6,5,1,,,,177,10,{501=1;502=1;50001=11;59001=11;gold=1020000},,,,,
101507,178,9,255,8,255,100,7,1283,1,,7,5,1,,,,178,10,{501=1;502=1;50001=12;59001=12;gold=1130000},,,,,
101508,180,9,258,8,258,100,7,1296,1,,8,5,1,,,,180,10,{200=1;501=1;502=1;50001=12;59001=12;gold=1220000},<0>,{22=300;23=300},,,
101601,191,9,274,8,274,125,7,1378,1,,1,6,1,,,,191,10,{50001=10;59001=10;gold=800000},,,,,
101602,193,9,277,8,277,125,7,1392,1,,2,6,1,,,,193,10,{50001=10;59001=10;gold=930000},,,,,
101603,195,9,279,8,279,125,7,1405,1,,3,6,1,,,,195,10,{501=1;502=1;50001=11;59001=11;gold=1080000},,,,,
101604,197,9,282,8,282,125,7,1419,1,,4,6,1,,,,197,10,{501=1;502=1;50001=11;59001=11;gold=1220000},<13>,{22=800;23=800},,,
101605,199,9,285,8,285,125,7,1433,1,,5,6,1,,,,199,10,{501=1;502=1;50001=12;59001=12;gold=1400000},,,,,
101606,201,9,288,8,288,125,7,1447,1,,6,6,1,,,,201,10,{501=1;502=1;50001=12;59001=12;gold=1530000},<0>,{13=3%},,,
101607,203,9,290,8,290,125,7,1460,1,,7,6,1,,,,203,10,{200=1;501=2;502=2;50001=13;59001=13;gold=1700000},,,,,
101608,205,9,293,8,293,125,7,1474,1,,8,6,1,,,79003,205,10,{501=2;502=2;2152=1;50001=13;59001=13;gold=1830000},,,,{effort=11;equipAwakeSum=4;equipStarSum=10;zawakeStage=508},
101701,220,9,315,8,315,110,7,1587,1,,1,7,1,,,,220,10,{59001=20;gold=1200000},,,,,
101702,223,9,319,8,319,110,7,1602,1,,2,7,1,,,,223,10,{59001=20;gold=1400000},,,,,
101703,225,9,322,8,322,110,7,1618,1,,3,7,1,,,,225,10,{59001=22;gold=1620000},,,,,
101704,227,9,325,8,325,110,7,1634,1,,4,7,1,,,,227,10,{59001=22;gold=1830000},<0>,{24=300;25=300},,,
101705,229,9,328,8,328,110,7,1650,1,,5,7,1,,,,229,10,{501=1;502=1;59001=23;gold=2100000},,,,,
101706,231,9,331,8,331,110,7,1666,1,,6,7,1,,,,231,10,{501=1;502=1;59001=23;gold=2300000},,,,,
101707,234,9,334,8,334,110,7,1682,1,,7,7,1,,,,234,10,{501=1;502=1;59001=25;gold=2550000},,,,,
101708,236,9,337,8,337,110,7,1698,1,,8,7,1,,,,236,10,{210=1;501=1;502=1;59001=25;gold=2750000},<0>,{22=500;23=500},,,
101801,255,9,365,8,365,135,7,1837,1,,1,8,1,,,,255,10,{59001=21;gold=1800000},,,,,
101802,258,9,369,8,369,135,7,1855,1,,2,8,1,,,,258,10,{59001=21;gold=2100000},,,,,
101803,260,9,373,8,373,135,7,1874,1,,3,8,1,,,,260,10,{501=1;502=1;59001=23;gold=2430000},,,,,
101804,263,9,376,8,376,135,7,1892,1,,4,8,1,,,,263,10,{501=1;502=1;59001=23;gold=2750000},<0>,{14=300;16=300},,,
101805,265,9,380,8,380,135,7,1910,1,,5,8,1,,,,265,10,{501=1;502=1;59001=24;gold=3150000},,,,,
101806,268,9,383,8,383,135,7,1929,1,,6,8,1,,,,268,10,{501=1;502=1;59001=24;gold=3450000},,,,,
101807,271,9,387,8,387,135,7,1947,1,,7,8,1,,,,271,10,{220=1;501=2;502=2;59001=26;gold=3830000},,,,,
101808,273,9,391,8,391,135,7,1966,1,,8,8,1,,,,273,10,{19=60;501=2;502=2;2152=1;59001=26;gold=4130000},<0>,{96=300;97=300},{1=8;7=8;8=8;9=8;10=8;13=8},{effort=11;equipStarSum=12;nvalueSum=160;zawakeStage=708},
102101,135,9,194,8,194,75,7,974,1,,1,1,2,,,,135,10,{50001=8;59002=6;gold=300000},,,,,
102102,136,9,196,8,196,75,7,984,1,,2,1,2,,,,136,10,{50001=8;59002=6;gold=360000},,,,,
102103,138,9,198,8,198,75,7,993,1,,3,1,2,,,,138,10,{50001=10;59002=7;gold=420000},,,,,
102104,139,9,200,8,200,75,7,1003,1,,4,1,2,,,,139,10,{50001=10;59002=7;gold=480000},<0>,{1=3%},,,
102105,140,9,202,8,202,75,7,1013,1,,5,1,2,,,,140,10,{50001=12;59002=8;gold=540000},,,,,
102106,142,9,204,8,204,75,7,1023,1,,6,1,2,,,,142,10,{50001=12;59002=8;gold=600000},,,,,
102107,143,9,206,8,206,75,7,1032,1,,7,1,2,,,,143,10,{501=1;50001=14;59002=9;gold=660000},,,,,
102108,144,9,208,8,208,75,7,1042,1,,8,1,2,,,,144,10,{501=1;50001=14;59002=9;gold=720000},<0>,{24=300;25=300},,,
102201,149,9,213,8,213,90,7,1071,1,,1,2,2,,,,149,10,{50001=12;59002=8;gold=460000},,,,,
102202,150,9,216,8,216,90,7,1082,1,,2,2,2,,,,150,10,{50001=12;59002=8;gold=540000},,,,,
102203,151,9,218,8,218,90,7,1093,1,,3,2,2,,,,151,10,{50001=14;59002=9;gold=640000},,,,,
102204,153,9,220,8,220,90,7,1104,1,,4,2,2,,,,153,10,{50001=14;59002=9;gold=720000},<0>,{7=3%;8=3%},,,
102205,154,9,222,8,222,90,7,1114,1,,5,2,2,,,,154,10,{501=1;50001=16;59002=10;gold=820000},,,,,
102206,156,9,224,8,224,90,7,1125,1,,6,2,2,,,,156,10,{501=1;50001=16;59002=10;gold=900000},,,,,
102207,157,9,226,8,226,90,7,1136,1,,7,2,2,,,,157,10,{501=1;50001=18;59002=11;gold=1000000},,,,,
102208,159,9,228,8,228,90,7,1146,1,,8,2,2,,,79001,159,10,{501=1;50001=18;59002=11;gold=1080000},,,,{effort=7;equipAwakeSum=2;equipStarSum=6;zawakeStage=108},
102301,162,9,233,8,233,105,7,1169,1,,1,3,2,,,,162,10,{50001=14;59002=9;gold=700000},,,,,
102302,164,9,235,8,235,105,7,1180,1,,2,3,2,,,,164,10,{50001=14;59002=9;gold=820000},,,,,
102303,165,9,237,8,237,105,7,1192,1,,3,3,2,,,,165,10,{501=1;50001=16;59002=10;gold=960000},,,,,
102304,167,9,240,8,240,105,7,1204,1,,4,3,2,,,,167,10,{501=1;50001=16;59002=10;gold=1080000},<2;12>,{24=500;25=500},,,
102305,168,9,242,8,242,105,7,1216,1,,5,3,2,,,,168,10,{501=1;50001=18;59002=11;gold=1240000},,,,,
102306,170,9,244,8,244,105,7,1227,1,,6,3,2,,,,170,10,{501=1;50001=18;59002=11;gold=1360000},,,,,
102307,172,9,247,8,247,105,7,1239,1,,7,3,2,,,,172,10,{501=1;50001=20;59002=12;gold=1500000},,,,,
102308,173,9,249,8,249,105,7,1251,1,,8,3,2,,,79002,173,10,{220=1;501=1;50001=20;59002=12;gold=1620000},,,,{advance=15;goodFeel=160;star=9;zawakeStage=208},
102401,176,9,252,8,252,120,7,1266,1,,1,4,2,,,,176,10,{50001=18;59002=11;gold=1060000},,,,,
102402,177,9,255,8,255,120,7,1279,1,,2,4,2,,,,177,10,{50001=18;59002=11;gold=1240000},,,,,
102403,179,9,257,8,257,120,7,1292,1,,3,4,2,,,,179,10,{501=1;50001=20;59002=12;gold=1440000},,,,,
102404,181,9,260,8,260,120,7,1304,1,,4,4,2,,,,181,10,{501=1;50001=20;59002=12;gold=1620000},<0>,{14=300;16=300},,,
102405,183,9,262,8,262,120,7,1317,1,,5,4,2,,,,183,10,{501=2;50001=22;59002=13;gold=1860000},,,,,
102406,184,9,265,8,265,120,7,1330,1,,6,4,2,,,,184,10,{501=2;50001=22;59002=13;gold=2040000},<0>,{91=300},,,
102407,186,9,267,8,267,120,7,1342,1,,7,4,2,,,,186,10,{230=1;501=2;50001=24;59002=14;gold=2260000},,,,,
102408,188,9,270,8,270,120,7,1355,1,,8,4,2,,,79004,188,10,{501=2;2152=1;50001=24;59002=14;gold=2440000},,,,{effort=9;equipStarSum=9;nvalueSum=140;zawakeStage=308},
102501,196,9,281,8,281,150,7,1412,1,,1,5,2,,,,196,10,{502=2;50001=20;59002=12;gold=1600000},,,,,
102502,198,9,284,8,284,150,7,1426,1,,2,5,2,,,,198,10,{502=2;50001=20;59002=12;gold=1860000},,,,,
102503,200,9,287,8,287,150,7,1441,1,,3,5,2,,,,200,10,{501=1;502=2;50001=22;59002=13;gold=2160000},,,,,
102504,202,9,290,8,290,150,7,1455,1,,4,5,2,,,,202,10,{501=2;502=2;50001=22;59002=13;gold=2440000},<6;10>,{14=500;16=500},,,
102505,204,9,293,8,293,150,7,1469,1,,5,5,2,,,,204,10,{501=2;502=2;50001=24;59002=14;gold=2800000},,,,,
102506,206,9,295,8,295,150,7,1483,1,,6,5,2,,,,206,10,{501=2;502=3;50001=24;59002=14;gold=3060000},,,,,
102507,207,9,298,8,298,150,7,1497,1,,7,5,2,,,,207,10,{501=2;502=3;50001=26;59002=15;gold=3400000},,,,,
102508,209,9,301,8,301,150,7,1511,1,,8,5,2,,,,209,10,{200=1;210=1;50001=26;59002=15;gold=3660000},<0>,{22=300;23=300},,,
102601,223,9,320,8,320,188,7,1607,1,,1,6,2,,,,223,10,{502=2;50001=22;59002=13;gold=2400000},,,,,
102602,225,9,323,8,323,188,7,1623,1,,2,6,2,,,,225,10,{502=2;50001=22;59002=13;gold=2800000},,,,,
102603,227,9,327,8,327,188,7,1639,1,,3,6,2,,,,227,10,{501=2;502=3;50001=24;59002=14;gold=3240000},,,,,
102604,229,9,330,8,330,188,7,1655,1,,4,6,2,,,,229,10,{501=2;502=3;50001=24;59002=14;gold=3660000},<13>,{22=800;23=800},,,
102605,232,9,333,8,333,188,7,1671,1,,5,6,2,,,,232,10,{501=3;502=3;50001=26;59002=15;gold=4200000},,,,,
102606,234,9,336,8,336,188,7,1687,1,,6,6,2,,,,234,10,{501=3;502=3;50001=26;59002=15;gold=4600000},<0>,{13=3%},,,
102607,236,9,339,8,339,188,7,1704,1,,7,6,2,,,,236,10,{501=3;502=4;2152=1;50001=28;59002=16;gold=5100000},,,,,
102608,238,9,343,8,343,188,7,1720,1,,8,6,2,,,79003,238,10,{501=3;502=4;2152=1;50001=28;59002=16;gold=5500000},,,,{effort=11;equipAwakeSum=4;equipStarSum=12;zawakeStage=508},
102701,257,9,369,8,369,165,7,1851,1,,1,7,2,,,,257,10,{502=2;59002=29;gold=3600000},,,,,
102702,259,9,372,8,372,165,7,1869,1,,2,7,2,,,,259,10,{502=2;59002=29;gold=4200000},,,,,
102703,262,9,376,8,376,165,7,1888,1,,3,7,2,,,,262,10,{501=1;502=2;59002=32;gold=4860000},,,,,
102704,264,9,380,8,380,165,7,1906,1,,4,7,2,,,,264,10,{501=2;502=2;59002=32;gold=5500000},<0>,{24=300;25=300},,,
102705,267,9,383,8,383,165,7,1925,1,,5,7,2,,,,267,10,{501=2;502=2;59002=34;gold=6300000},,,,,
102706,269,9,387,8,387,165,7,1943,1,,6,7,2,,,,269,10,{501=2;502=3;59002=34;gold=6900000},,,,,
102707,272,9,391,8,391,165,7,1962,1,,7,7,2,,,,272,10,{501=2;502=3;59002=37;gold=7660000},,,,,
102708,274,9,394,8,394,165,7,1980,1,,8,7,2,,,,274,10,{220=1;230=1;59002=37;gold=8260000},<0>,{22=500;23=500},,,
102801,297,9,427,8,427,203,7,2143,1,,1,8,2,,,,297,10,{502=2;59002=32;gold=5400000},,,,,
102802,300,9,431,8,431,203,7,2164,1,,2,8,2,,,,300,10,{502=2;59002=32;gold=6300000},,,,,
102803,303,9,435,8,435,203,7,2186,1,,3,8,2,,,,303,10,{501=2;502=3;59002=34;gold=7300000},,,,,
102804,306,9,440,8,440,203,7,2207,1,,4,8,2,,,,306,10,{501=2;502=3;59002=34;gold=8260000},<0>,{14=300;16=300},,,
102805,309,9,444,8,444,203,7,2229,1,,5,8,2,,,,309,10,{501=3;502=3;59002=37;gold=9460000},,,,,
102806,312,9,448,8,448,203,7,2250,1,,6,8,2,,,,312,10,{501=3;502=3;59002=37;gold=10360000},,,,,
102807,315,9,452,8,452,203,7,2271,1,,7,8,2,,,,315,10,{501=3;502=4;2152=1;59002=40;gold=11500000},,,,,
102808,318,9,457,8,457,203,7,2293,1,,8,8,2,,,,318,10,{19=100;501=3;502=4;2152=1;59002=40;gold=12400000},<0>,{96=300;97=300},{1=8;7=8;8=8;9=8;10=8;13=8},{effort=11;equipStarSum=15;nvalueSum=160;zawakeStage=708},
111101,116,9,166,8,166,50,7,835,1,,1,1,11,,,,116,10,{50011=3;59001=3;gold=100000},,,,,
111102,117,9,168,8,168,50,7,843,1,,2,1,11,,,,117,10,{50011=3;59001=3;gold=120000},,,,,
111103,118,9,169,8,169,50,7,852,1,,3,1,11,,,,118,10,{50011=4;59001=4;gold=140000},,,,,
111104,119,9,171,8,171,50,7,860,1,,4,1,11,,,,119,10,{50011=4;59001=4;gold=160000},<0>,{1=3%},,,
111105,121,9,173,8,173,50,7,868,1,,5,1,11,,,,121,10,{50011=5;59001=5;gold=180000},,,,,
111106,122,9,174,8,174,50,7,877,1,,6,1,11,,,,122,10,{50011=5;59001=5;gold=200000},,,,,
111107,123,9,176,8,176,50,7,885,1,,7,1,11,,,,123,10,{50011=6;59001=6;gold=220000},,,,,
111108,124,9,178,8,178,50,7,893,1,,8,1,11,,,,124,10,{501=1;50011=6;59001=6;gold=240000},<0>,{24=300;25=300},,,
111201,128,9,183,8,183,60,7,919,1,,1,2,11,,,,128,10,{50011=5;59001=5;gold=150000},,,,,
111202,129,9,184,8,184,60,7,928,1,,2,2,11,,,,129,10,{50011=5;59001=5;gold=180000},,,,,
111203,130,9,186,8,186,60,7,937,1,,3,2,11,,,,130,10,{50011=6;59001=6;gold=210000},,,,,
111204,131,9,188,8,188,60,7,946,1,,4,2,11,,,,131,10,{50011=6;59001=6;gold=240000},<0>,{7=3%;8=3%},,,
111205,133,9,190,8,190,60,7,955,1,,5,2,11,,,,133,10,{50011=7;59001=7;gold=270000},,,,,
111206,134,9,192,8,192,60,7,964,1,,6,2,11,,,,134,10,{50011=7;59001=7;gold=300000},,,,,
111207,135,9,194,8,194,60,7,974,1,,7,2,11,,,,135,10,{501=1;50011=8;59001=8;gold=330000},,,,,
111208,137,9,195,8,195,60,7,983,1,,8,2,11,,,79001,137,10,{501=1;50011=8;59001=8;gold=360000},,,,{effort=7;equipAwakeSum=2;equipStarSum=6;zawakeStage=108},
111301,139,9,199,8,199,70,7,1002,1,,1,3,11,,,,139,10,{50011=6;59001=6;gold=230000},,,,,
111302,141,9,201,8,201,70,7,1012,1,,2,3,11,,,,141,10,{50011=6;59001=6;gold=270000},,,,,
111303,142,9,203,8,203,70,7,1022,1,,3,3,11,,,,142,10,{50011=7;59001=7;gold=320000},,,,,
111304,143,9,205,8,205,70,7,1032,1,,4,3,11,,,,143,10,{50011=7;59001=7;gold=360000},<2;12>,{24=500;25=500},,,
111305,145,9,207,8,207,70,7,1042,1,,5,3,11,,,,145,10,{50011=8;59001=8;gold=410000},,,,,
111306,146,9,209,8,209,70,7,1052,1,,6,3,11,,,,146,10,{501=1;50011=8;59001=8;gold=450000},,,,,
111307,148,9,211,8,211,70,7,1062,1,,7,3,11,,,,148,10,{501=1;50011=9;59001=9;gold=500000},,,,,
111308,149,9,213,8,213,70,7,1072,1,,8,3,11,,,79002,149,10,{223=1;501=1;50011=9;59001=9;gold=540000},,,,{advance=14;goodFeel=150;star=9;zawakeStage=208},
111401,151,9,216,8,216,80,7,1086,1,,1,4,11,,,,151,10,{50011=8;59001=8;gold=350000},,,,,
111402,152,9,218,8,218,80,7,1096,1,,2,4,11,,,,152,10,{50011=8;59001=8;gold=410000},,,,,
111403,154,9,220,8,220,80,7,1107,1,,3,4,11,,,,154,10,{50011=9;59001=9;gold=480000},,,,,
111404,155,9,222,8,222,80,7,1118,1,,4,4,11,,,,155,10,{50011=9;59001=9;gold=540000},<0>,{14=300;16=300},,,
111405,157,9,224,8,224,80,7,1129,1,,5,4,11,,,,157,10,{50011=10;59001=10;gold=620000},,,,,
111406,158,9,227,8,227,80,7,1140,1,,6,4,11,,,,158,10,{501=1;50011=10;59001=10;gold=680000},<0>,{91=300},,,
111407,160,9,229,8,229,80,7,1151,1,,7,4,11,,,,160,10,{501=1;50011=11;59001=11;gold=750000},,,,,
111408,161,9,231,8,231,80,7,1161,1,,8,4,11,,,79004,161,10,{233=1;501=1;50011=11;59001=11;gold=810000},,,,{effort=9;equipStarSum=8;nvalueSum=140;zawakeStage=308},
111501,168,9,241,8,241,100,7,1211,1,,1,5,11,,,,168,10,{50011=9;59001=9;gold=530000},,,,,
111502,170,9,243,8,243,100,7,1223,1,,2,5,11,,,,170,10,{50011=9;59001=9;gold=620000},,,,,
111503,172,9,246,8,246,100,7,1235,1,,3,5,11,,,,172,10,{50011=10;59001=10;gold=720000},,,,,
111504,173,9,248,8,248,100,7,1247,1,,4,5,11,,,,173,10,{50011=10;59001=10;gold=810000},<6;10>,{14=500;16=500},,,
111505,175,9,250,8,250,100,7,1259,1,,5,5,11,,,,175,10,{501=1;502=1;50011=11;59001=11;gold=930000},,,,,
111506,177,9,253,8,253,100,7,1271,1,,6,5,11,,,,177,10,{501=1;502=1;50011=11;59001=11;gold=1020000},,,,,
111507,178,9,255,8,255,100,7,1283,1,,7,5,11,,,,178,10,{501=1;502=1;50011=12;59001=12;gold=1130000},,,,,
111508,180,9,258,8,258,100,7,1296,1,,8,5,11,,,,180,10,{203=1;501=1;502=1;50011=12;59001=12;gold=1220000},<0>,{22=300;23=300},,,
111601,191,9,274,8,274,125,7,1378,1,,1,6,11,,,,191,10,{50011=10;59001=10;gold=800000},,,,,
111602,193,9,277,8,277,125,7,1392,1,,2,6,11,,,,193,10,{50011=10;59001=10;gold=930000},,,,,
111603,195,9,279,8,279,125,7,1405,1,,3,6,11,,,,195,10,{501=1;502=1;50011=11;59001=11;gold=1080000},,,,,
111604,197,9,282,8,282,125,7,1419,1,,4,6,11,,,,197,10,{501=1;502=1;50011=11;59001=11;gold=1220000},<13>,{22=800;23=800},,,
111605,199,9,285,8,285,125,7,1433,1,,5,6,11,,,,199,10,{501=1;502=1;50011=12;59001=12;gold=1400000},,,,,
111606,201,9,288,8,288,125,7,1447,1,,6,6,11,,,,201,10,{501=1;502=1;50011=12;59001=12;gold=1530000},<0>,{13=3%},,,
111607,203,9,290,8,290,125,7,1460,1,,7,6,11,,,,203,10,{203=1;501=2;502=2;50011=13;59001=13;gold=1700000},,,,,
111608,205,9,293,8,293,125,7,1474,1,,8,6,11,,,79003,205,10,{501=2;502=2;2152=1;50011=13;59001=13;gold=1830000},,,,{effort=11;equipAwakeSum=4;equipStarSum=10;zawakeStage=508},
111701,220,9,315,8,315,110,7,1587,1,,1,7,11,,,,220,10,{59001=20;gold=1200000},,,,,
111702,223,9,319,8,319,110,7,1602,1,,2,7,11,,,,223,10,{59001=20;gold=1400000},,,,,
111703,225,9,322,8,322,110,7,1618,1,,3,7,11,,,,225,10,{59001=22;gold=1620000},,,,,
111704,227,9,325,8,325,110,7,1634,1,,4,7,11,,,,227,10,{59001=22;gold=1830000},<0>,{24=300;25=300},,,
111705,229,9,328,8,328,110,7,1650,1,,5,7,11,,,,229,10,{501=1;502=1;59001=23;gold=2100000},,,,,
111706,231,9,331,8,331,110,7,1666,1,,6,7,11,,,,231,10,{501=1;502=1;59001=23;gold=2300000},,,,,
111707,234,9,334,8,334,110,7,1682,1,,7,7,11,,,,234,10,{501=1;502=1;59001=25;gold=2550000},,,,,
111708,236,9,337,8,337,110,7,1698,1,,8,7,11,,,,236,10,{213=1;501=1;502=1;59001=25;gold=2750000},<0>,{22=500;23=500},,,
111801,255,9,365,8,365,135,7,1837,1,,1,8,11,,,,255,10,{59001=21;gold=1800000},,,,,
111802,258,9,369,8,369,135,7,1855,1,,2,8,11,,,,258,10,{59001=21;gold=2100000},,,,,
111803,260,9,373,8,373,135,7,1874,1,,3,8,11,,,,260,10,{501=1;502=1;59001=23;gold=2430000},,,,,
111804,263,9,376,8,376,135,7,1892,1,,4,8,11,,,,263,10,{501=1;502=1;59001=23;gold=2750000},<0>,{14=300;16=300},,,
111805,265,9,380,8,380,135,7,1910,1,,5,8,11,,,,265,10,{501=1;502=1;59001=24;gold=3150000},,,,,
111806,268,9,383,8,383,135,7,1929,1,,6,8,11,,,,268,10,{501=1;502=1;59001=24;gold=3450000},,,,,
111807,271,9,387,8,387,135,7,1947,1,,7,8,11,,,,271,10,{223=1;501=2;502=2;59001=26;gold=3830000},,,,,
111808,273,9,391,8,391,135,7,1966,1,,8,8,11,,,,273,10,{19=60;501=2;502=2;2152=1;59001=26;gold=4130000},<0>,{96=300;97=300},{1=8;7=8;8=8;9=8;10=8;13=8},{effort=11;equipStarSum=12;nvalueSum=160;zawakeStage=708},
112101,135,9,194,8,194,75,7,974,1,,1,1,12,,,,135,10,{50011=8;59002=6;gold=300000},,,,,
112102,136,9,196,8,196,75,7,984,1,,2,1,12,,,,136,10,{50011=8;59002=6;gold=360000},,,,,
112103,138,9,198,8,198,75,7,993,1,,3,1,12,,,,138,10,{50011=10;59002=7;gold=420000},,,,,
112104,139,9,200,8,200,75,7,1003,1,,4,1,12,,,,139,10,{50011=10;59002=7;gold=480000},<0>,{1=3%},,,
112105,140,9,202,8,202,75,7,1013,1,,5,1,12,,,,140,10,{50011=12;59002=8;gold=540000},,,,,
112106,142,9,204,8,204,75,7,1023,1,,6,1,12,,,,142,10,{50011=12;59002=8;gold=600000},,,,,
112107,143,9,206,8,206,75,7,1032,1,,7,1,12,,,,143,10,{501=1;50011=14;59002=9;gold=660000},,,,,
112108,144,9,208,8,208,75,7,1042,1,,8,1,12,,,,144,10,{501=1;50011=14;59002=9;gold=720000},<0>,{24=300;25=300},,,
112201,149,9,213,8,213,90,7,1071,1,,1,2,12,,,,149,10,{50011=12;59002=8;gold=460000},,,,,
112202,150,9,216,8,216,90,7,1082,1,,2,2,12,,,,150,10,{50011=12;59002=8;gold=540000},,,,,
112203,151,9,218,8,218,90,7,1093,1,,3,2,12,,,,151,10,{50011=14;59002=9;gold=640000},,,,,
112204,153,9,220,8,220,90,7,1104,1,,4,2,12,,,,153,10,{50011=14;59002=9;gold=720000},<0>,{7=3%;8=3%},,,
112205,154,9,222,8,222,90,7,1114,1,,5,2,12,,,,154,10,{501=1;50011=16;59002=10;gold=820000},,,,,
