变量名,zawakeID,_beizhu,awakeSeqID,pos,scale,awakeDes1,isOpen,unlockType1,unlockLimit1,unlockType2,unlockLimit2,__version
29105,191,,5,,,属性获得增强,3,,{advance=15;goodFeel=200;star=10;zawakeStage=408},,,
29106,191,,6,,,大招技能获得强化提升!,3,,{effort=9;equipAwakeSum=4;equipStarSum=10;zawakeStage=508},,,
29107,191,,7,,,属性获得增强,3,,{advance=16;goodFeel=250;star=11;zawakeStage=608},,,
29108,191,,8,,,个体值六维属性额外提升,3,,{effort=9;equipStarSum=12;nvalueSum=160;zawakeStage=708},,,
31101,211,,1,,,属性获得增强,,,{advance=13;goodFeel=100;star=8},,,
31102,211,,2,,,普攻技能获得强化提升!,,,{effort=7;equipAwakeSum=2;equipStarSum=6;zawakeStage=108},,,
31103,211,,3,,,小技能获得强化提升!,,,{advance=14;goodFeel=150;star=9;zawakeStage=208},,,
31104,211,,4,,,被动技能获得强化提升!,,,{effort=9;equipStarSum=8;nvalueSum=140;zawakeStage=308},,,
31105,211,,5,,,属性获得增强,,,{advance=15;goodFeel=200;star=10;zawakeStage=408},,,
31106,211,,6,,,大招技能获得强化提升!,,,{effort=11;equipAwakeSum=4;equipStarSum=10;zawakeStage=508},,,
31107,211,,7,,,属性获得增强,,,{advance=16;goodFeel=250;star=11;zawakeStage=608},,,
31108,211,,8,,,个体值六维属性额外提升,,,{effort=11;equipStarSum=12;nvalueSum=160;zawakeStage=708},,,
32101,221,,1,,,属性获得增强,,,{advance=13;goodFeel=100;star=8},,,
32102,221,,2,,,普攻技能获得强化提升!,,,{effort=7;equipAwakeSum=2;equipStarSum=6;zawakeStage=108},,,
32103,221,,3,,,小技能获得强化提升!,,,{advance=14;goodFeel=150;star=9;zawakeStage=208},,,
32104,221,,4,,,被动技能获得强化提升!,,,{effort=9;equipStarSum=8;nvalueSum=140;zawakeStage=308},,,
32105,221,,5,,,属性获得增强,,,{advance=15;goodFeel=200;star=10;zawakeStage=408},,,
32106,221,,6,,,大招技能获得强化提升!,,,{effort=11;equipAwakeSum=4;equipStarSum=10;zawakeStage=508},,,
32107,221,,7,,,属性获得增强,,,{advance=16;goodFeel=250;star=11;zawakeStage=608},,,
32108,221,,8,,,个体值六维属性额外提升,,,{effort=11;equipStarSum=12;nvalueSum=160;zawakeStage=708},,,
33101,231,,1,,,属性获得增强,3,,{advance=13;goodFeel=100;star=8},,,
33102,231,,2,,,普攻技能获得强化提升!,3,,{effort=7;equipAwakeSum=2;equipStarSum=6;zawakeStage=108},,,
33103,231,,3,,,小技能获得强化提升!,3,,{advance=14;goodFeel=150;star=9;zawakeStage=208},,,
33104,231,,4,,,被动技能获得强化提升!,3,,{effort=8;equipStarSum=8;nvalueSum=140;zawakeStage=308},,,
33105,231,,5,,,属性获得增强,3,,{advance=15;goodFeel=200;star=10;zawakeStage=408},,,
33106,231,,6,,,大招技能获得强化提升!,3,,{effort=9;equipAwakeSum=4;equipStarSum=10;zawakeStage=508},,,
33107,231,,7,,,属性获得增强,3,,{advance=16;goodFeel=250;star=11;zawakeStage=608},,,
33108,231,,8,,,个体值六维属性额外提升,3,,{effort=9;equipStarSum=12;nvalueSum=160;zawakeStage=708},,,
34101,241,,1,,,属性获得增强,,,{advance=13;goodFeel=100;star=8},,,
34102,241,,2,,,普攻技能获得强化提升!,,,{effort=7;equipAwakeSum=2;equipStarSum=6;zawakeStage=108},,,
34103,241,,3,,,小技能获得强化提升!,,,{advance=15;goodFeel=160;star=9;zawakeStage=208},,,
34104,241,,4,,,被动技能获得强化提升!,,,{effort=9;equipStarSum=9;nvalueSum=140;zawakeStage=308},,,
34105,241,,5,,,属性获得增强,,,{advance=16;goodFeel=220;star=10;zawakeStage=408},,,
34106,241,,6,,,大招技能获得强化提升!,,,{effort=11;equipAwakeSum=4;equipStarSum=12;zawakeStage=508},,,
34107,241,,7,,,属性获得增强,,,{advance=17;goodFeel=300;star=11;zawakeStage=608},,,
34108,241,,8,,,个体值六维属性额外提升,,,{effort=11;equipStarSum=15;nvalueSum=160;zawakeStage=708},,,
35101,251,,1,,,属性获得增强,,,{advance=13;goodFeel=100;star=8},,,
35102,251,,2,,,普攻技能获得强化提升!,,,{effort=7;equipAwakeSum=2;equipStarSum=6;zawakeStage=108},,,
35103,251,,3,,,小技能获得强化提升!,,,{advance=15;goodFeel=160;star=9;zawakeStage=208},,,
35104,251,,4,,,被动技能获得强化提升!,,,{effort=9;equipStarSum=9;nvalueSum=140;zawakeStage=308},,,
35105,251,,5,,,属性获得增强,,,{advance=16;goodFeel=220;star=10;zawakeStage=408},,,
35106,251,,6,,,大招技能获得强化提升!,,,{effort=11;equipAwakeSum=4;equipStarSum=12;zawakeStage=508},,,
35107,251,,7,,,属性获得增强,,,{advance=17;goodFeel=300;star=11;zawakeStage=608},,,
35108,251,,8,,,个体值六维属性额外提升,,,{effort=11;equipStarSum=15;nvalueSum=160;zawakeStage=708},,,
35201,252,,1,,,属性获得增强,,,{advance=13;goodFeel=100;star=8},,,
35202,252,,2,,,普攻技能获得强化提升!,,,{effort=7;equipAwakeSum=2;equipStarSum=6;zawakeStage=108},,,
35203,252,,3,,,小技能获得强化提升!,,,{advance=15;goodFeel=160;star=9;zawakeStage=208},,,
35204,252,,4,,,被动技能获得强化提升!,,,{effort=9;equipStarSum=9;nvalueSum=140;zawakeStage=308},,,
35205,252,,5,,,属性获得增强,,,{advance=16;goodFeel=220;star=10;zawakeStage=408},,,
35206,252,,6,,,大招技能获得强化提升!,,,{effort=11;equipAwakeSum=4;equipStarSum=12;zawakeStage=508},,,
