变量名,zawakeID,level,awakeSeqID,costItemMap,__version
112508,12,8,5,{203=1;213=1;50011=26;59002=15;gold=6200000},
112601,12,1,6,{502=2;50011=22;59002=13;gold=4050000},
112602,12,2,6,{502=2;50011=22;59002=13;gold=4730000},
112603,12,3,6,{501=2;502=3;50011=24;59002=14;gold=5480000},
112604,12,4,6,{501=2;502=3;50011=24;59002=14;gold=6200000},
112605,12,5,6,{501=3;502=3;50011=26;59002=15;gold=7100000},
112606,12,6,6,{501=3;502=3;50011=26;59002=15;gold=7770000},
112607,12,7,6,{501=3;502=4;2152=1;50011=28;59002=16;gold=8630000},
112608,12,8,6,{501=3;502=4;2152=1;50011=28;59002=16;gold=9300000},
112701,12,1,7,{50011=24;59002=14;gold=6080000},
112702,12,2,7,{50011=24;59002=14;gold=7100000},
112703,12,3,7,{50011=26;59002=15;gold=8220000},
112704,12,4,7,{50011=26;59002=15;gold=9300000},
112705,12,5,7,{50011=28;59002=16;gold=10650000},
112706,12,6,7,{50011=28;59002=16;gold=11660000},
112707,12,7,7,{50011=30;59002=17;gold=12950000},
112708,12,8,7,{50011=30;59002=17;gold=13950000},
112801,12,1,8,{50011=26;59002=15;gold=9120000},
112802,12,2,8,{50011=26;59002=15;gold=10650000},
112803,12,3,8,{50011=28;59002=16;gold=12330000},
112804,12,4,8,{50011=28;59002=16;gold=13950000},
112805,12,5,8,{50011=30;59002=17;gold=15980000},
112806,12,6,8,{50011=30;59002=17;gold=17490000},
112807,12,7,8,{50011=32;59002=18;gold=19430000},
112808,12,8,8,{50011=32;59002=18;gold=20930000},
113101,13,1,1,{50011=8;59002=6;gold=530000},
113102,13,2,1,{50011=8;59002=6;gold=620000},
113103,13,3,1,{50011=10;59002=7;gold=720000},
113104,13,4,1,{50011=10;59002=7;gold=810000},
113105,13,5,1,{50011=12;59002=8;gold=930000},
113106,13,6,1,{50011=12;59002=8;gold=1020000},
113107,13,7,1,{501=1;50011=14;59002=9;gold=1130000},
113108,13,8,1,{501=1;50011=14;59002=9;gold=1220000},
113201,13,1,2,{50011=12;59002=8;gold=800000},
113202,13,2,2,{50011=12;59002=8;gold=930000},
113203,13,3,2,{50011=14;59002=9;gold=1080000},
113204,13,4,2,{50011=14;59002=9;gold=1220000},
113205,13,5,2,{501=1;50011=16;59002=10;gold=1400000},
113206,13,6,2,{501=1;50011=16;59002=10;gold=1530000},
113207,13,7,2,{501=1;50011=18;59002=11;gold=1700000},
113208,13,8,2,{501=1;50011=18;59002=11;gold=1830000},
113301,13,1,3,{50011=14;59002=9;gold=1200000},
113302,13,2,3,{50011=14;59002=9;gold=1400000},
113303,13,3,3,{501=1;50011=16;59002=10;gold=1620000},
113304,13,4,3,{501=1;50011=16;59002=10;gold=1830000},
113305,13,5,3,{501=1;50011=18;59002=11;gold=2100000},
113306,13,6,3,{501=1;50011=18;59002=11;gold=2300000},
113307,13,7,3,{501=1;50011=20;59002=12;gold=2550000},
113308,13,8,3,{223=1;501=1;50011=20;59002=12;gold=2750000},
113401,13,1,4,{50011=18;59002=11;gold=1800000},
113402,13,2,4,{50011=18;59002=11;gold=2100000},
113403,13,3,4,{501=1;50011=20;59002=12;gold=2430000},
113404,13,4,4,{501=1;50011=20;59002=12;gold=2750000},
113405,13,5,4,{501=2;50011=22;59002=13;gold=3150000},
113406,13,6,4,{501=2;50011=22;59002=13;gold=3450000},
113407,13,7,4,{233=1;501=2;50011=24;59002=14;gold=3830000},
113408,13,8,4,{501=2;2152=1;50011=24;59002=14;gold=4130000},
113501,13,1,5,{502=2;50011=20;59002=12;gold=2700000},
113502,13,2,5,{502=2;50011=20;59002=12;gold=3150000},
113503,13,3,5,{501=1;502=2;50011=22;59002=13;gold=3650000},
113504,13,4,5,{501=2;502=2;50011=22;59002=13;gold=4130000},
113505,13,5,5,{501=2;502=2;50011=24;59002=14;gold=4730000},
113506,13,6,5,{501=2;502=3;50011=24;59002=14;gold=5180000},
113507,13,7,5,{501=2;502=3;50011=26;59002=15;gold=5750000},
113508,13,8,5,{203=1;213=1;50011=26;59002=15;gold=6200000},
113601,13,1,6,{502=2;50011=22;59002=13;gold=4050000},
113602,13,2,6,{502=2;50011=22;59002=13;gold=4730000},
113603,13,3,6,{501=2;502=3;50011=24;59002=14;gold=5480000},
113604,13,4,6,{501=2;502=3;50011=24;59002=14;gold=6200000},
113605,13,5,6,{501=3;502=3;50011=26;59002=15;gold=7100000},
113606,13,6,6,{501=3;502=3;50011=26;59002=15;gold=7770000},
113607,13,7,6,{501=3;502=4;2152=1;50011=28;59002=16;gold=8630000},
113608,13,8,6,{501=3;502=4;2152=1;50011=28;59002=16;gold=9300000},
113701,13,1,7,{50011=24;59002=14;gold=6080000},
113702,13,2,7,{50011=24;59002=14;gold=7100000},
113703,13,3,7,{50011=26;59002=15;gold=8220000},
113704,13,4,7,{50011=26;59002=15;gold=9300000},
113705,13,5,7,{50011=28;59002=16;gold=10650000},
113706,13,6,7,{50011=28;59002=16;gold=11660000},
113707,13,7,7,{50011=30;59002=17;gold=12950000},
113708,13,8,7,{50011=30;59002=17;gold=13950000},
113801,13,1,8,{50011=26;59002=15;gold=9120000},
113802,13,2,8,{50011=26;59002=15;gold=10650000},
113803,13,3,8,{50011=28;59002=16;gold=12330000},
113804,13,4,8,{50011=28;59002=16;gold=13950000},
113805,13,5,8,{50011=30;59002=17;gold=15980000},
113806,13,6,8,{50011=30;59002=17;gold=17490000},
113807,13,7,8,{50011=32;59002=18;gold=19430000},
113808,13,8,8,{50011=32;59002=18;gold=20930000},
122101,22,1,1,{50021=8;59002=6;gold=530000},
122102,22,2,1,{50021=8;59002=6;gold=620000},
122103,22,3,1,{50021=10;59002=7;gold=720000},
122104,22,4,1,{50021=10;59002=7;gold=810000},
122105,22,5,1,{50021=12;59002=8;gold=930000},
122106,22,6,1,{50021=12;59002=8;gold=1020000},
122107,22,7,1,{501=1;50021=14;59002=9;gold=1130000},
122108,22,8,1,{501=1;50021=14;59002=9;gold=1220000},
122201,22,1,2,{50021=12;59002=8;gold=800000},
122202,22,2,2,{50021=12;59002=8;gold=930000},
122203,22,3,2,{50021=14;59002=9;gold=1080000},
122204,22,4,2,{50021=14;59002=9;gold=1220000},
122205,22,5,2,{501=1;50021=16;59002=10;gold=1400000},
122206,22,6,2,{501=1;50021=16;59002=10;gold=1530000},
122207,22,7,2,{501=1;50021=18;59002=11;gold=1700000},
122208,22,8,2,{501=1;50021=18;59002=11;gold=1830000},
122301,22,1,3,{50021=14;59002=9;gold=1200000},
122302,22,2,3,{50021=14;59002=9;gold=1400000},
122303,22,3,3,{501=1;50021=16;59002=10;gold=1620000},
122304,22,4,3,{501=1;50021=16;59002=10;gold=1830000},
122305,22,5,3,{501=1;50021=18;59002=11;gold=2100000},
122306,22,6,3,{501=1;50021=18;59002=11;gold=2300000},
122307,22,7,3,{501=1;50021=20;59002=12;gold=2550000},
122308,22,8,3,{222=1;501=1;50021=20;59002=12;gold=2750000},
122401,22,1,4,{50021=18;59002=11;gold=1800000},
122402,22,2,4,{50021=18;59002=11;gold=2100000},
122403,22,3,4,{501=1;50021=20;59002=12;gold=2430000},
122404,22,4,4,{501=1;50021=20;59002=12;gold=2750000},
122405,22,5,4,{501=2;50021=22;59002=13;gold=3150000},
122406,22,6,4,{501=2;50021=22;59002=13;gold=3450000},
122407,22,7,4,{232=1;501=2;50021=24;59002=14;gold=3830000},
122408,22,8,4,{501=2;2152=1;50021=24;59002=14;gold=4130000},
122501,22,1,5,{502=2;50021=20;59002=12;gold=2700000},
122502,22,2,5,{502=2;50021=20;59002=12;gold=3150000},
122503,22,3,5,{501=1;502=2;50021=22;59002=13;gold=3650000},
122504,22,4,5,{501=2;502=2;50021=22;59002=13;gold=4130000},
122505,22,5,5,{501=2;502=2;50021=24;59002=14;gold=4730000},
122506,22,6,5,{501=2;502=3;50021=24;59002=14;gold=5180000},
122507,22,7,5,{501=2;502=3;50021=26;59002=15;gold=5750000},
122508,22,8,5,{202=1;212=1;50021=26;59002=15;gold=6200000},
122601,22,1,6,{502=2;50021=22;59002=13;gold=4050000},
122602,22,2,6,{502=2;50021=22;59002=13;gold=4730000},
122603,22,3,6,{501=2;502=3;50021=24;59002=14;gold=5480000},
122604,22,4,6,{501=2;502=3;50021=24;59002=14;gold=6200000},
122605,22,5,6,{501=3;502=3;50021=26;59002=15;gold=7100000},
122606,22,6,6,{501=3;502=3;50021=26;59002=15;gold=7770000},
122607,22,7,6,{501=3;502=4;2152=1;50021=28;59002=16;gold=8630000},
122608,22,8,6,{501=3;502=4;2152=1;50021=28;59002=16;gold=9300000},
122701,22,1,7,{50021=24;59002=14;gold=6080000},
122702,22,2,7,{50021=24;59002=14;gold=7100000},
122703,22,3,7,{50021=26;59002=15;gold=8220000},
122704,22,4,7,{50021=26;59002=15;gold=9300000},
122705,22,5,7,{50021=28;59002=16;gold=10650000},
122706,22,6,7,{50021=28;59002=16;gold=11660000},
122707,22,7,7,{50021=30;59002=17;gold=12950000},
122708,22,8,7,{50021=30;59002=17;gold=13950000},
122801,22,1,8,{50021=26;59002=15;gold=9120000},
122802,22,2,8,{50021=26;59002=15;gold=10650000},
122803,22,3,8,{50021=28;59002=16;gold=12330000},
122804,22,4,8,{50021=28;59002=16;gold=13950000},
122805,22,5,8,{50021=30;59002=17;gold=15980000},
122806,22,6,8,{50021=30;59002=17;gold=17490000},
122807,22,7,8,{50021=32;59002=18;gold=19430000},
122808,22,8,8,{50021=32;59002=18;gold=20930000},
362101,262,1,1,{50261=5;59002=5;gold=800000},
362102,262,2,1,{50261=5;59002=5;gold=930000},
362103,262,3,1,{50261=6;59002=6;gold=1080000},
362104,262,4,1,{50261=6;59002=6;gold=1220000},
362105,262,5,1,{50261=7;59002=7;gold=1400000},
362106,262,6,1,{50261=7;59002=7;gold=1530000},
362107,262,7,1,{501=1;50261=8;59002=8;gold=1700000},
362108,262,8,1,{501=1;50261=8;59002=8;gold=1830000},
362201,262,1,2,{50261=7;59002=7;gold=1200000},
362202,262,2,2,{50261=7;59002=7;gold=1400000},
362203,262,3,2,{50261=8;59002=8;gold=1620000},
362204,262,4,2,{50261=8;59002=8;gold=1830000},
362205,262,5,2,{501=1;50261=10;59002=9;gold=2100000},
362206,262,6,2,{501=1;50261=10;59002=9;gold=2300000},
362207,262,7,2,{501=1;50261=11;59002=10;gold=2550000},
362208,262,8,2,{501=1;50261=11;59002=10;gold=2750000},
362301,262,1,3,{50261=8;59002=8;gold=1800000},
362302,262,2,3,{50261=8;59002=8;gold=2100000},
362303,262,3,3,{501=1;50261=10;59002=9;gold=2430000},
362304,262,4,3,{501=1;50261=10;59002=9;gold=2750000},
362305,262,5,3,{501=1;50261=11;59002=10;gold=3150000},
362306,262,6,3,{501=1;50261=11;59002=10;gold=3450000},
362307,262,7,3,{501=1;50261=12;59002=11;gold=3830000},
362308,262,8,3,{221=1;501=1;50261=12;59002=11;gold=4130000},
362401,262,1,4,{50261=11;59002=10;gold=2700000},
362402,262,2,4,{50261=11;59002=10;gold=3150000},
362403,262,3,4,{501=1;50261=12;59002=11;gold=3650000},
362404,262,4,4,{501=1;50261=12;59002=11;gold=4130000},
362405,262,5,4,{501=2;50261=13;59002=12;gold=4730000},
362406,262,6,4,{501=2;50261=13;59002=12;gold=5180000},
362407,262,7,4,{231=1;501=2;50261=14;59002=13;gold=5750000},
362408,262,8,4,{501=2;2152=1;50261=14;59002=13;gold=6200000},
362501,262,1,5,{502=2;50261=12;59002=11;gold=4050000},
362502,262,2,5,{502=2;50261=12;59002=11;gold=4730000},
362503,262,3,5,{501=1;502=2;50261=13;59002=12;gold=5480000},
362504,262,4,5,{501=2;502=2;50261=13;59002=12;gold=6200000},
362505,262,5,5,{501=2;502=2;50261=14;59002=13;gold=7100000},
362506,262,6,5,{501=2;502=3;50261=14;59002=13;gold=7770000},
362507,262,7,5,{501=2;502=3;50261=16;59002=14;gold=8630000},
362508,262,8,5,{201=1;211=1;50261=16;59002=14;gold=9300000},
362601,262,1,6,{502=2;50261=13;59002=12;gold=6080000},
362602,262,2,6,{502=2;50261=13;59002=12;gold=7100000},
362603,262,3,6,{501=2;502=3;50261=14;59002=13;gold=8220000},
362604,262,4,6,{501=2;502=3;50261=14;59002=13;gold=9300000},
362605,262,5,6,{501=3;502=3;50261=16;59002=14;gold=10650000},
362606,262,6,6,{501=3;502=3;50261=16;59002=14;gold=11660000},
362607,262,7,6,{501=3;502=4;2152=1;50261=17;59002=15;gold=12950000},
362608,262,8,6,{501=3;502=4;2152=1;50261=17;59002=15;gold=13950000},
362701,262,1,7,{50261=14;59002=13;gold=9120000},
362702,262,2,7,{50261=14;59002=13;gold=10650000},
362703,262,3,7,{50261=16;59002=14;gold=12330000},
362704,262,4,7,{50261=16;59002=14;gold=13950000},
362705,262,5,7,{50261=17;59002=15;gold=15980000},
362706,262,6,7,{50261=17;59002=15;gold=17490000},
362707,262,7,7,{50261=18;59002=16;gold=19430000},
362708,262,8,7,{50261=18;59002=16;gold=20930000},
362801,262,1,8,{50261=16;59002=14;gold=13680000},
362802,262,2,8,{50261=16;59002=14;gold=15980000},
362803,262,3,8,{50261=17;59002=15;gold=18500000},
362804,262,4,8,{50261=17;59002=15;gold=20930000},
362805,262,5,8,{50261=18;59002=16;gold=23970000},
362806,262,6,8,{50261=18;59002=16;gold=26240000},
362807,262,7,8,{50261=19;59002=17;gold=29150000},
362808,262,8,8,{50261=19;59002=17;gold=31400000},
492101,392,1,1,{50391=5;59002=5;gold=800000},
492102,392,2,1,{50391=5;59002=5;gold=930000},
492103,392,3,1,{50391=6;59002=6;gold=1080000},
492104,392,4,1,{50391=6;59002=6;gold=1220000},
492105,392,5,1,{50391=7;59002=7;gold=1400000},
492106,392,6,1,{50391=7;59002=7;gold=1530000},
492107,392,7,1,{501=1;50391=8;59002=8;gold=1700000},
492108,392,8,1,{501=1;50391=8;59002=8;gold=1830000},
492201,392,1,2,{50391=7;59002=7;gold=1200000},
492202,392,2,2,{50391=7;59002=7;gold=1400000},
492203,392,3,2,{50391=8;59002=8;gold=1620000},
492204,392,4,2,{50391=8;59002=8;gold=1830000},
492205,392,5,2,{501=1;50391=10;59002=9;gold=2100000},
492206,392,6,2,{501=1;50391=10;59002=9;gold=2300000},
492207,392,7,2,{501=1;50391=11;59002=10;gold=2550000},
492208,392,8,2,{501=1;50391=11;59002=10;gold=2750000},
492301,392,1,3,{50391=8;59002=8;gold=1800000},
492302,392,2,3,{50391=8;59002=8;gold=2100000},
492303,392,3,3,{501=1;50391=10;59002=9;gold=2430000},
492304,392,4,3,{501=1;50391=10;59002=9;gold=2750000},
492305,392,5,3,{501=1;50391=11;59002=10;gold=3150000},
492306,392,6,3,{501=1;50391=11;59002=10;gold=3450000},
492307,392,7,3,{501=1;50391=12;59002=11;gold=3830000},
492308,392,8,3,{222=1;501=1;50391=12;59002=11;gold=4130000},
492401,392,1,4,{50391=11;59002=10;gold=2700000},
492402,392,2,4,{50391=11;59002=10;gold=3150000},
492403,392,3,4,{501=1;50391=12;59002=11;gold=3650000},
492404,392,4,4,{501=1;50391=12;59002=11;gold=4130000},
492405,392,5,4,{501=2;50391=13;59002=12;gold=4730000},
492406,392,6,4,{501=2;50391=13;59002=12;gold=5180000},
492407,392,7,4,{232=1;501=2;50391=14;59002=13;gold=5750000},
492408,392,8,4,{501=2;2152=1;50391=14;59002=13;gold=6200000},
492501,392,1,5,{502=2;50391=12;59002=11;gold=4050000},
492502,392,2,5,{502=2;50391=12;59002=11;gold=4730000},
492503,392,3,5,{501=1;502=2;50391=13;59002=12;gold=5480000},
492504,392,4,5,{501=2;502=2;50391=13;59002=12;gold=6200000},
492505,392,5,5,{501=2;502=2;50391=14;59002=13;gold=7100000},
492506,392,6,5,{501=2;502=3;50391=14;59002=13;gold=7770000},
492507,392,7,5,{501=2;502=3;50391=16;59002=14;gold=8630000},
492508,392,8,5,{202=1;212=1;50391=16;59002=14;gold=9300000},
492601,392,1,6,{502=2;50391=13;59002=12;gold=6080000},
492602,392,2,6,{502=2;50391=13;59002=12;gold=7100000},
492603,392,3,6,{501=2;502=3;50391=14;59002=13;gold=8220000},
492604,392,4,6,{501=2;502=3;50391=14;59002=13;gold=9300000},
492605,392,5,6,{501=3;502=3;50391=16;59002=14;gold=10650000},
492606,392,6,6,{501=3;502=3;50391=16;59002=14;gold=11660000},
492607,392,7,6,{501=3;502=4;2152=1;50391=17;59002=15;gold=12950000},
492608,392,8,6,{501=3;502=4;2152=1;50391=17;59002=15;gold=13950000},
492701,392,1,7,{50391=14;59002=13;gold=9120000},
492702,392,2,7,{50391=14;59002=13;gold=10650000},
492703,392,3,7,{50391=16;59002=14;gold=12330000},
492704,392,4,7,{50391=16;59002=14;gold=13950000},
492705,392,5,7,{50391=17;59002=15;gold=15980000},
492706,392,6,7,{50391=17;59002=15;gold=17490000},
492707,392,7,7,{50391=18;59002=16;gold=19430000},
492708,392,8,7,{50391=18;59002=16;gold=20930000},
492801,392,1,8,{50391=16;59002=14;gold=13680000},
492802,392,2,8,{50391=16;59002=14;gold=15980000},
492803,392,3,8,{50391=17;59002=15;gold=18500000},
492804,392,4,8,{50391=17;59002=15;gold=20930000},
492805,392,5,8,{50391=18;59002=16;gold=23970000},
492806,392,6,8,{50391=18;59002=16;gold=26240000},
492807,392,7,8,{50391=19;59002=17;gold=29150000},
492808,392,8,8,{50391=19;59002=17;gold=31400000},
672101,572,1,1,{50571=5;59002=5;gold=800000},
672102,572,2,1,{50571=5;59002=5;gold=930000},
672103,572,3,1,{50571=6;59002=6;gold=1080000},
672104,572,4,1,{50571=6;59002=6;gold=1220000},
672105,572,5,1,{50571=7;59002=7;gold=1400000},
672106,572,6,1,{50571=7;59002=7;gold=1530000},
672107,572,7,1,{501=1;50571=8;59002=8;gold=1700000},
672108,572,8,1,{501=1;50571=8;59002=8;gold=1830000},
672201,572,1,2,{50571=7;59002=7;gold=1200000},
672202,572,2,2,{50571=7;59002=7;gold=1400000},
672203,572,3,2,{50571=8;59002=8;gold=1620000},
672204,572,4,2,{50571=8;59002=8;gold=1830000},
672205,572,5,2,{501=1;50571=10;59002=9;gold=2100000},
672206,572,6,2,{501=1;50571=10;59002=9;gold=2300000},
672207,572,7,2,{501=1;50571=11;59002=10;gold=2550000},
672208,572,8,2,{501=1;50571=11;59002=10;gold=2750000},
672301,572,1,3,{50571=8;59002=8;gold=1800000},
672302,572,2,3,{50571=8;59002=8;gold=2100000},
672303,572,3,3,{501=1;50571=10;59002=9;gold=2430000},
672304,572,4,3,{501=1;50571=10;59002=9;gold=2750000},
672305,572,5,3,{501=1;50571=11;59002=10;gold=3150000},
672306,572,6,3,{501=1;50571=11;59002=10;gold=3450000},
672307,572,7,3,{501=1;50571=12;59002=11;gold=3830000},
672308,572,8,3,{220=1;501=1;50571=12;59002=11;gold=4130000},
672401,572,1,4,{50571=11;59002=10;gold=2700000},
672402,572,2,4,{50571=11;59002=10;gold=3150000},
672403,572,3,4,{501=1;50571=12;59002=11;gold=3650000},
672404,572,4,4,{501=1;50571=12;59002=11;gold=4130000},
672405,572,5,4,{501=2;50571=13;59002=12;gold=4730000},
672406,572,6,4,{501=2;50571=13;59002=12;gold=5180000},
672407,572,7,4,{230=1;501=2;50571=14;59002=13;gold=5750000},
672408,572,8,4,{501=2;2152=1;50571=14;59002=13;gold=6200000},
672501,572,1,5,{502=2;50571=12;59002=11;gold=4050000},
672502,572,2,5,{502=2;50571=12;59002=11;gold=4730000},
672503,572,3,5,{501=1;502=2;50571=13;59002=12;gold=5480000},
672504,572,4,5,{501=2;502=2;50571=13;59002=12;gold=6200000},
672505,572,5,5,{501=2;502=2;50571=14;59002=13;gold=7100000},
672506,572,6,5,{501=2;502=3;50571=14;59002=13;gold=7770000},
672507,572,7,5,{501=2;502=3;50571=16;59002=14;gold=8630000},
672508,572,8,5,{200=1;210=1;50571=16;59002=14;gold=9300000},
672601,572,1,6,{502=2;50571=13;59002=12;gold=6080000},
672602,572,2,6,{502=2;50571=13;59002=12;gold=7100000},
672603,572,3,6,{501=2;502=3;50571=14;59002=13;gold=8220000},
672604,572,4,6,{501=2;502=3;50571=14;59002=13;gold=9300000},
672605,572,5,6,{501=3;502=3;50571=16;59002=14;gold=10650000},
672606,572,6,6,{501=3;502=3;50571=16;59002=14;gold=11660000},
672607,572,7,6,{501=3;502=4;2152=1;50571=17;59002=15;gold=12950000},
672608,572,8,6,{501=3;502=4;2152=1;50571=17;59002=15;gold=13950000},
672701,572,1,7,{50571=14;59002=13;gold=9120000},
672702,572,2,7,{50571=14;59002=13;gold=10650000},
672703,572,3,7,{50571=16;59002=14;gold=12330000},
672704,572,4,7,{50571=16;59002=14;gold=13950000},
672705,572,5,7,{50571=17;59002=15;gold=15980000},
672706,572,6,7,{50571=17;59002=15;gold=17490000},
672707,572,7,7,{50571=18;59002=16;gold=19430000},
672708,572,8,7,{50571=18;59002=16;gold=20930000},
672801,572,1,8,{50571=16;59002=14;gold=13680000},
672802,572,2,8,{50571=16;59002=14;gold=15980000},
672803,572,3,8,{50571=17;59002=15;gold=18500000},
672804,572,4,8,{50571=17;59002=15;gold=20930000},
672805,572,5,8,{50571=18;59002=16;gold=23970000},
