变量名,name,languages,cardID,icon,desc,desc1,quality,type,stackMax,effBtn,pageTag,produceGate1,produceGate2,produceGate3,produceGate4,produceGate5,produceGate6,produceGate7,produceDesc,effect,sortType,sortValue,__version
50211,喵喵·Z觉醒碎片,,211,config/portrait/jinglingtouxiang/img_52_mm@.png,用于提升喵喵的Z觉醒养成,用于提升喵喵的Z觉醒养成,,,,,,zawakeFragExclusive,,,,,,,,,,,
50221,可达鸭·Z觉醒碎片,,221,config/portrait/jinglingtouxiang/img_54_kdy@.png,用于提升可达鸭的Z觉醒养成,用于提升可达鸭的Z觉醒养成,,,,,,zawakeFragExclusive,,,,,,,,,,,
50231,猴怪·Z觉醒碎片,,231,config/portrait/jinglingtouxiang/img_56_hg@.png,用于提升猴怪的Z觉醒养成,用于提升猴怪的Z觉醒养成,3,,,,,zawakeFragExclusive,,,,,,,,,,,
50241,卡蒂狗·Z觉醒碎片,,241,config/portrait/jinglingtouxiang/img_58_kdg@.png,用于提升卡蒂狗的Z觉醒养成,用于提升卡蒂狗的Z觉醒养成,5,,,,,zawakeFragExclusive,,,,,,,,,,,
50251,蚊香蝌蚪·Z觉醒碎片,,251,config/portrait/jinglingtouxiang/img_60_wxkd@.png,用于提升蚊香蝌蚪的Z觉醒养成,用于提升蚊香蝌蚪的Z觉醒养成,5,,,,,zawakeFragExclusive,,,,,,,,,,,
50261,凯西·Z觉醒碎片,,261,config/portrait/jinglingtouxiang/img_63_kx@.png,用于提升凯西的Z觉醒养成,用于提升凯西的Z觉醒养成,5,,,,,zawakeFragExclusive,,,,,,,,,,,
50271,腕力·Z觉醒碎片,,271,config/portrait/jinglingtouxiang/img_66_wl@.png,用于提升腕力的Z觉醒养成,用于提升腕力的Z觉醒养成,,,,,,zawakeFragExclusive,,,,,,,,,,,
50281,喇叭芽·Z觉醒碎片,,281,config/portrait/jinglingtouxiang/img_69_lby@.png,用于提升喇叭芽的Z觉醒养成,用于提升喇叭芽的Z觉醒养成,,,,,,zawakeFragExclusive,,,,,,,,,,,
50301,小拳石·Z觉醒碎片,,301,config/portrait/jinglingtouxiang/img_74_xqs@.png,用于提升小拳石的Z觉醒养成,用于提升小拳石的Z觉醒养成,,,,,,zawakeFragExclusive,,,,,,,,,,,
50311,小火马·Z觉醒碎片,,311,config/portrait/jinglingtouxiang/img_77_xhm@.png,用于提升小火马的Z觉醒养成,用于提升小火马的Z觉醒养成,5,,,,,zawakeFragExclusive,,,,,,,,,,,
50321,呆呆兽·Z觉醒碎片,,321,config/portrait/jinglingtouxiang/img_79_dds@.png,用于提升呆呆兽的Z觉醒养成,用于提升呆呆兽的Z觉醒养成,5,,,,,zawakeFragExclusive,,,,,,,,,,,
50331,小磁怪·Z觉醒碎片,,331,config/portrait/jinglingtouxiang/img_81_xcg@.png,用于提升小磁怪的Z觉醒养成,用于提升小磁怪的Z觉醒养成,5,,,,,zawakeFragExclusive,,,,,,,,,,,
50341,大葱鸭·Z觉醒碎片,,341,config/portrait/jinglingtouxiang/img_83_dcy@.png,用于提升大葱鸭的Z觉醒养成,用于提升大葱鸭的Z觉醒养成,,,,,,zawakeFragExclusive,,,,,,,,,,,
50351,嘟嘟·Z觉醒碎片,,351,config/portrait/jinglingtouxiang/img_84_dd@.png,用于提升嘟嘟的Z觉醒养成,用于提升嘟嘟的Z觉醒养成,3,,,,,zawakeFragExclusive,,,,,,,,,,,
50371,臭泥·Z觉醒碎片,,371,config/portrait/jinglingtouxiang/img_88_cn@.png,用于提升臭泥的Z觉醒养成,用于提升臭泥的Z觉醒养成,,,,,,zawakeFragExclusive,,,,,,,,,,,
50381,大舌贝·Z觉醒碎片,,381,config/portrait/jinglingtouxiang/img_90_dsb@.png,用于提升大舌贝的Z觉醒养成,用于提升大舌贝的Z觉醒养成,5,,,,,zawakeFragExclusive,,,,,,,,,,,
50391,鬼斯·Z觉醒碎片,,391,config/portrait/jinglingtouxiang/img_92_gs@.png,用于提升鬼斯的Z觉醒养成,用于提升鬼斯的Z觉醒养成,5,,,,,zawakeFragExclusive,,,,,,,,,,,
50401,大岩蛇·Z觉醒碎片,,401,config/portrait/jinglingtouxiang/img_95_dys@.png,用于提升大岩蛇的Z觉醒养成,用于提升大岩蛇的Z觉醒养成,5,,,,,zawakeFragExclusive,,,,,,,,,,,
50411,催眠貘·Z觉醒碎片,,411,config/portrait/jinglingtouxiang/img_96_cmm@.png,用于提升催眠貘的Z觉醒养成,用于提升催眠貘的Z觉醒养成,5,,,,,zawakeFragExclusive,,,,,,,,,,,
50431,霹雳电球·Z觉醒碎片,,431,config/portrait/jinglingtouxiang/img_100_pldq@.png,用于提升霹雳电球的Z觉醒养成,用于提升霹雳电球的Z觉醒养成,5,,,,,zawakeFragExclusive,,,,,,,,,,,
50441,蛋蛋·Z觉醒碎片,,441,config/portrait/jinglingtouxiang/img_102_dd@.png,用于提升蛋蛋的Z觉醒养成,用于提升蛋蛋的Z觉醒养成,5,,,,,zawakeFragExclusive,,,,,,,,,,,
50451,卡拉卡拉·Z觉醒碎片,,451,config/portrait/jinglingtouxiang/img_104_klkl@.png,用于提升卡拉卡拉的Z觉醒养成,用于提升卡拉卡拉的Z觉醒养成,3,,,,,zawakeFragExclusive,,,,,,,,,,,
50461,无畏小子·Z觉醒碎片,,461,config/portrait/jinglingtouxiang/img_236_wwxz@.png,用于提升无畏小子的Z觉醒养成,用于提升无畏小子的Z觉醒养成,,,,,,zawakeFragExclusive,,,,,,,,,,,
50471,大舌头·Z觉醒碎片,,471,config/portrait/jinglingtouxiang/img_108_dst@.png,用于提升大舌头的Z觉醒养成,用于提升大舌头的Z觉醒养成,,,,,,zawakeFragExclusive,,,,,,,,,,,
50481,瓦斯弹·Z觉醒碎片,,481,config/portrait/jinglingtouxiang/img_109_wsd@.png,用于提升瓦斯弹的Z觉醒养成,用于提升瓦斯弹的Z觉醒养成,,,,,,zawakeFragExclusive,,,,,,,,,,,
50491,独角犀牛·Z觉醒碎片,,491,config/portrait/jinglingtouxiang/img_111_djxn@.png,用于提升独角犀牛的Z觉醒养成,用于提升独角犀牛的Z觉醒养成,5,,,,,zawakeFragExclusive,,,,,,,,,,,
50501,小福蛋·Z觉醒碎片,,501,config/portrait/jinglingtouxiang/img_440_xfd@.png,用于提升小福蛋的Z觉醒养成,用于提升小福蛋的Z觉醒养成,5,,,,,zawakeFragExclusive,,,,,,,,,,,
50541,角金鱼·Z觉醒碎片,,541,config/portrait/jinglingtouxiang/img_118_jjy@.png,用于提升角金鱼的Z觉醒养成,用于提升角金鱼的Z觉醒养成,3,,,,,zawakeFragExclusive,,,,,,,,,,,
50551,海星星·Z觉醒碎片,,551,config/portrait/jinglingtouxiang/img_120_hxx@.png,用于提升海星星的Z觉醒养成,用于提升海星星的Z觉醒养成,,,,,,zawakeFragExclusive,,,,,,,,,,,
50561,魔尼尼·Z觉醒碎片,,561,config/portrait/jinglingtouxiang/img_439_mnn@.png,用于提升魔尼尼的Z觉醒养成,用于提升魔尼尼的Z觉醒养成,5,,,,,zawakeFragExclusive,,,,,,,,,,,
50571,飞天螳螂·Z觉醒碎片,,571,config/portrait/jinglingtouxiang/img_123_fttl@.png,用于提升飞天螳螂的Z觉醒养成,用于提升飞天螳螂的Z觉醒养成,5,,,,,zawakeFragExclusive,,,,,,,,,,,
50591,电击怪·Z觉醒碎片,,591,config/portrait/jinglingtouxiang/img_239_djg@.png,用于提升电击怪的Z觉醒养成,用于提升电击怪的Z觉醒养成,5,,,,,zawakeFragExclusive,,,,,,,,,,,
50601,鸭嘴宝宝·Z觉醒碎片,,601,config/portrait/jinglingtouxiang/img_240_yzbb@.png,用于提升鸭嘴宝宝的Z觉醒养成,用于提升鸭嘴宝宝的Z觉醒养成,5,,,,,zawakeFragExclusive,,,,,,,,,,,
50611,凯罗斯·Z觉醒碎片,,611,config/portrait/jinglingtouxiang/img_127_kls@.png,用于提升凯罗斯的Z觉醒养成,用于提升凯罗斯的Z觉醒养成,5,,,,,zawakeFragExclusive,,,,,,,,,,,
50631,暴鲤龙·Z觉醒碎片,,631,config/portrait/jinglingtouxiang/img_130_bll@.png,用于提升暴鲤龙的Z觉醒养成,用于提升暴鲤龙的Z觉醒养成,5,,,,,zawakeFragExclusive,,,,,,,,,,,
50641,拉普拉斯·Z觉醒碎片,,641,config/portrait/jinglingtouxiang/img_131_lpls@.png,用于提升拉普拉斯的Z觉醒养成,用于提升拉普拉斯的Z觉醒养成,5,,,,,zawakeFragExclusive,,,,,,,,,,,
50691,化石盔·Z觉醒碎片,,691,config/portrait/jinglingtouxiang/img_140_hsk@.png,用于提升化石盔的Z觉醒养成,用于提升化石盔的Z觉醒养成,,,,,,zawakeFragExclusive,,,,,,,,,,,
50701,化石翼龙·Z觉醒碎片,,701,config/portrait/jinglingtouxiang/img_142_hsyl@.png,用于提升化石翼龙的Z觉醒养成,用于提升化石翼龙的Z觉醒养成,5,,,,,zawakeFragExclusive,,,,,,,,,,,
50711,小卡比兽·Z觉醒碎片,,711,config/portrait/jinglingtouxiang/img_446_xkbs@.png,用于提升小卡比兽的Z觉醒养成,用于提升小卡比兽的Z觉醒养成,5,,,,,zawakeFragExclusive,,,,,,,,,,,
50721,急冻鸟·Z觉醒碎片,,721,config/portrait/jinglingtouxiang/img_144_jdn@.png,用于提升急冻鸟的Z觉醒养成,用于提升急冻鸟的Z觉醒养成,5,,,,,zawakeFragExclusive,,,,,,,,,,,
50731,闪电鸟·Z觉醒碎片,,731,config/portrait/jinglingtouxiang/img_145_sdn@.png,用于提升闪电鸟的Z觉醒养成,用于提升闪电鸟的Z觉醒养成,5,,,,,zawakeFragExclusive,,,,,,,,,,,
50741,火焰鸟·Z觉醒碎片,,741,config/portrait/jinglingtouxiang/img_146_hyn@.png,用于提升火焰鸟的Z觉醒养成,用于提升火焰鸟的Z觉醒养成,5,,,,,zawakeFragExclusive,,,,,,,,,,,
50751,迷你龙·Z觉醒碎片,,751,config/portrait/jinglingtouxiang/img_147_mnl@.png,用于提升迷你龙的Z觉醒养成,用于提升迷你龙的Z觉醒养成,5,,,,,zawakeFragExclusive,,,,,,,,,,,
50761,超梦·Z觉醒碎片,,761,config/portrait/jinglingtouxiang/img_150_cm@.png,用于提升超梦的Z觉醒养成,用于提升超梦的Z觉醒养成,6,,,,,zawakeFragExclusive,,,,,,,,,,,
50771,梦幻·Z觉醒碎片,,771,config/portrait/jinglingtouxiang/img_151_mh@.png,用于提升梦幻的Z觉醒养成,用于提升梦幻的Z觉醒养成,5,,,,,zawakeFragExclusive,,,,,,,,,,,
50781,菊草叶·Z觉醒碎片,,781,config/portrait/jinglingtouxiang/img_152_jcy@.png,用于提升菊草叶的Z觉醒养成,用于提升菊草叶的Z觉醒养成,,,,,,zawakeFragExclusive,,,,,,,,,,,
50791,火球鼠·Z觉醒碎片,,791,config/portrait/jinglingtouxiang/img_155_hqs@.png,用于提升火球鼠的Z觉醒养成,用于提升火球鼠的Z觉醒养成,,,,,,zawakeFragExclusive,,,,,,,,,,,
50801,小锯鳄·Z觉醒碎片,,801,config/portrait/jinglingtouxiang/img_158_xje@.png,用于提升小锯鳄的Z觉醒养成,用于提升小锯鳄的Z觉醒养成,,,,,,zawakeFragExclusive,,,,,,,,,,,
50861,波克比·Z觉醒碎片,,861,config/portrait/jinglingtouxiang/img_175_bkb@.png,用于提升波克比的Z觉醒养成,用于提升波克比的Z觉醒养成,5,,,,,zawakeFragExclusive,,,,,,,,,,,
50881,咩利羊·Z觉醒碎片,,881,config/portrait/jinglingtouxiang/img_179_mly@.png,用于提升咩利羊的Z觉醒养成,用于提升咩利羊的Z觉醒养成,5,,,,,zawakeFragExclusive,,,,,,,,,,,
50891,露力丽·Z觉醒碎片,,891,config/portrait/jinglingtouxiang/img_298_lll@.png,用于提升露力丽的Z觉醒养成,用于提升露力丽的Z觉醒养成,3,,,,,zawakeFragExclusive,,,,,,,,,,,
50971,梦妖·Z觉醒碎片,,971,config/portrait/jinglingtouxiang/img_200_my@.png,用于提升梦妖的Z觉醒养成,用于提升梦妖的Z觉醒养成,5,,,,,zawakeFragExclusive,,,,,,,,,,,
50991,小果然·Z觉醒碎片,,991,config/portrait/jinglingtouxiang/img_360_xgr@.png,用于提升小果然的Z觉醒养成,用于提升小果然的Z觉醒养成,5,,,,,zawakeFragExclusive,,,,,,,,,,,
51031,天蝎·Z觉醒碎片,,1031,config/portrait/jinglingtouxiang/img_207_tx@.png,用于提升天蝎的Z觉醒养成,用于提升天蝎的Z觉醒养成,5,,,,,zawakeFragExclusive,,,,,,,,,,,
51071,赫拉克罗斯·Z觉醒碎片,,1071,config/portrait/jinglingtouxiang/img_214_hlkls@.png,用于提升赫拉克罗斯的Z觉醒养成,用于提升赫拉克罗斯的Z觉醒养成,5,,,,,zawakeFragExclusive,,,,,,,,,,,
51081,狃拉·Z觉醒碎片,,1081,config/portrait/jinglingtouxiang/img_215_nl@.png,用于提升狃拉的Z觉醒养成,用于提升狃拉的Z觉醒养成,5,,,,,zawakeFragExclusive,,,,,,,,,,,
51111,小山猪·Z觉醒碎片,,1111,config/portrait/jinglingtouxiang/img_220_xsz@.png,用于提升小山猪的Z觉醒养成,用于提升小山猪的Z觉醒养成,5,,,,,zawakeFragExclusive,,,,,,,,,,,
51141,信使鸟·Z觉醒碎片,,1141,config/portrait/jinglingtouxiang/img_225_xsn@.png,用于提升信使鸟的Z觉醒养成,用于提升信使鸟的Z觉醒养成,5,,,,,zawakeFragExclusive,,,,,,,,,,,
51171,戴鲁比·Z觉醒碎片,,1171,config/portrait/jinglingtouxiang/img_228_dlb@.png,用于提升戴鲁比的Z觉醒养成,用于提升戴鲁比的Z觉醒养成,5,,,,,zawakeFragExclusive,,,,,,,,,,,
51221,雷公·Z觉醒碎片,,1221,config/portrait/jinglingtouxiang/img_243_lg@.png,用于提升雷公的Z觉醒养成,用于提升雷公的Z觉醒养成,5,,,,,zawakeFragExclusive,,,,,,,,,,,
51231,炎帝·Z觉醒碎片,,1231,config/portrait/jinglingtouxiang/img_244_yd@.png,用于提升炎帝的Z觉醒养成,用于提升炎帝的Z觉醒养成,5,,,,,zawakeFragExclusive,,,,,,,,,,,
51241,水君·Z觉醒碎片,,1241,config/portrait/jinglingtouxiang/img_245_sj@.png,用于提升水君的Z觉醒养成,用于提升水君的Z觉醒养成,5,,,,,zawakeFragExclusive,,,,,,,,,,,
51251,幼基拉斯·Z觉醒碎片,,1251,config/portrait/jinglingtouxiang/img_246_yjls@.png,用于提升幼基拉斯的Z觉醒养成,用于提升幼基拉斯的Z觉醒养成,5,,,,,zawakeFragExclusive,,,,,,,,,,,
51261,洛奇亚·Z觉醒碎片,,1261,config/portrait/jinglingtouxiang/img_249_lqy@.png,用于提升洛奇亚的Z觉醒养成,用于提升洛奇亚的Z觉醒养成,6,,,,,zawakeFragExclusive,,,,,,,,,,,
51271,凤王·Z觉醒碎片,,1271,config/portrait/jinglingtouxiang/img_250_fw@.png,用于提升凤王的Z觉醒养成,用于提升凤王的Z觉醒养成,6,,,,,zawakeFragExclusive,,,,,,,,,,,
51281,时拉比·Z觉醒碎片,,1281,config/portrait/jinglingtouxiang/img_251_slb@.png,用于提升时拉比的Z觉醒养成,用于提升时拉比的Z觉醒养成,6,,,,,zawakeFragExclusive,,,,,,,,,,,
51291,木守宫·Z觉醒碎片,,1291,config/portrait/jinglingtouxiang/img_252_msg@.png,用于提升木守宫的Z觉醒养成,用于提升木守宫的Z觉醒养成,5,,,,,zawakeFragExclusive,,,,,,,,,,,
51301,火稚鸡·Z觉醒碎片,,1301,config/portrait/jinglingtouxiang/img_255_hzj@.png,用于提升火稚鸡的Z觉醒养成,用于提升火稚鸡的Z觉醒养成,5,,,,,zawakeFragExclusive,,,,,,,,,,,
51311,水跃鱼·Z觉醒碎片,,1311,config/portrait/jinglingtouxiang/img_258_syy@.png,用于提升水跃鱼的Z觉醒养成,用于提升水跃鱼的Z觉醒养成,5,,,,,zawakeFragExclusive,,,,,,,,,,,
51351,莲叶童子·Z觉醒碎片,,1351,config/portrait/jinglingtouxiang/img_270_lytz@.png,用于提升莲叶童子的Z觉醒养成,用于提升莲叶童子的Z觉醒养成,3,,,,,zawakeFragExclusive,,,,,,,,,,,
51391,拉鲁拉丝·Z觉醒碎片,,1391,config/portrait/jinglingtouxiang/img_280_llls@.png,用于提升拉鲁拉丝的Z觉醒养成,用于提升拉鲁拉丝的Z觉醒养成,5,,,,,zawakeFragExclusive,,,,,,,,,,,
51411,蘑蘑菇·Z觉醒碎片,,1411,config/portrait/jinglingtouxiang/img_285_mmg@.png,用于提升蘑蘑菇的Z觉醒养成,用于提升蘑蘑菇的Z觉醒养成,5,,,,,zawakeFragExclusive,,,,,,,,,,,
51421,懒人獭·Z觉醒碎片,,1421,config/portrait/jinglingtouxiang/img_287_lrt@.png,用于提升懒人獭的Z觉醒养成,用于提升懒人獭的Z觉醒养成,5,,,,,zawakeFragExclusive,,,,,,,,,,,
51441,咕妞妞·Z觉醒碎片,,1441,config/portrait/jinglingtouxiang/img_293_gzz@.png,用于提升咕妞妞的Z觉醒养成,用于提升咕妞妞的Z觉醒养成,,,,,,zawakeFragExclusive,,,,,,,,,,,
51481,勾魂眼·Z觉醒碎片,,1481,config/portrait/jinglingtouxiang/img_302_ghy@.png,用于提升勾魂眼的Z觉醒养成,用于提升勾魂眼的Z觉醒养成,,,,,,zawakeFragExclusive,,,,,,,,,,,
51501,可可多拉·Z觉醒碎片,,1501,config/portrait/jinglingtouxiang/img_304_kkdl@.png,用于提升可可多拉的Z觉醒养成,用于提升可可多拉的Z觉醒养成,5,,,,,zawakeFragExclusive,,,,,,,,,,,
51511,玛沙那·Z觉醒碎片,,1511,config/portrait/jinglingtouxiang/img_307_msn@.png,用于提升玛沙那的Z觉醒养成,用于提升玛萨那的Z觉醒养成,,,,,,zawakeFragExclusive,,,,,,,,,,,
51611,呆火驼·Z觉醒碎片,,1611,config/portrait/jinglingtouxiang/img_322_dht@.png,用于提升呆火驼的Z觉醒养成,用于提升呆火驼的Z觉醒养成,,,,,,zawakeFragExclusive,,,,,,,,,,,
51641,晃晃斑·Z觉醒碎片,,1641,config/portrait/jinglingtouxiang/img_327_hhb@.png,用于提升晃晃斑的Z觉醒养成,用于提升晃晃斑的Z觉醒养成,,,,,,zawakeFragExclusive,,,,,,,,,,,
51651,大颚蚁·Z觉醒碎片,,1651,config/portrait/jinglingtouxiang/img_328_dey@.png,用于提升大颚蚁的Z觉醒养成,用于提升大颚蚁的Z觉醒养成,5,,,,,zawakeFragExclusive,,,,,,,,,,,
51771,丑丑鱼·Z觉醒碎片,,1771,config/portrait/jinglingtouxiang/img_349_ccy@.png,用于提升丑丑鱼的Z觉醒养成,用于提升丑丑鱼的Z觉醒养成,5,,,,,zawakeFragExclusive,,,,,,,,,,,
51801,怨影娃娃·Z觉醒碎片,,1801,config/portrait/jinglingtouxiang/img_353_yyww@.png,用于提升怨影娃娃的Z觉醒养成,用于提升怨影娃娃的Z觉醒养成,,,,,,zawakeFragExclusive,,,,,,,,,,,
51811,夜巡灵·Z觉醒碎片,,1811,config/portrait/jinglingtouxiang/img_355_yxl@.png,用于提升夜巡灵的Z觉醒养成,用于提升夜巡灵的Z觉醒养成,5,,,,,zawakeFragExclusive,,,,,,,,,,,
51841,阿勃梭鲁·Z觉醒碎片,,1841,config/portrait/jinglingtouxiang/img_359_absl@.png,用于提升阿勃梭鲁的Z觉醒养成,用于提升阿勃梭鲁的Z觉醒养成,5,,,,,zawakeFragExclusive,,,,,,,,,,,
51851,雪童子·Z觉醒碎片,,1851,config/portrait/jinglingtouxiang/img_361_xtz@.png,用于提升雪童子的Z觉醒养成,用于提升雪童子的Z觉醒养成,,,,,,zawakeFragExclusive,,,,,,,,,,,
51861,海豹球·Z觉醒碎片,,1861,config/portrait/jinglingtouxiang/img_363_hbq@.png,用于提升海豹球的Z觉醒养成,用于提升海豹球的Z觉醒养成,,,,,,zawakeFragExclusive,,,,,,,,,,,
51891,宝贝龙·Z觉醒碎片,,1891,config/portrait/jinglingtouxiang/img_371_bbl@.png,用于提升宝贝龙的Z觉醒养成,用于提升宝贝龙的Z觉醒养成,5,,,,,zawakeFragExclusive,,,,,,,,,,,
51901,铁哑铃·Z觉醒碎片,,1901,config/portrait/jinglingtouxiang/img_374_tyl@.png,用于提升铁哑铃的Z觉醒养成,用于提升铁哑铃的Z觉醒养成,5,,,,,zawakeFragExclusive,,,,,,,,,,,
51911,雷吉洛克·Z觉醒碎片,,1911,config/portrait/jinglingtouxiang/img_377_ljlk@.png,用于提升雷吉洛克的Z觉醒养成,用于提升雷吉洛克的Z觉醒养成,5,,,,,zawakeFragExclusive,,,,,,,,,,,
51921,雷吉艾斯·Z觉醒碎片,,1921,config/portrait/jinglingtouxiang/img_378_ljas@.png,用于提升雷吉艾斯的Z觉醒养成,用于提升雷吉艾斯的Z觉醒养成,5,,,,,zawakeFragExclusive,,,,,,,,,,,
51931,雷吉斯奇鲁·Z觉醒碎片,,1931,config/portrait/jinglingtouxiang/img_379_ljsql@.png,用于提升雷吉斯奇鲁的Z觉醒养成,用于提升雷吉斯奇鲁的Z觉醒养成,5,,,,,zawakeFragExclusive,,,,,,,,,,,
51941,拉帝亚斯·Z觉醒碎片,,1941,config/portrait/jinglingtouxiang/img_380_ldys@.png,用于提升拉帝亚斯的Z觉醒养成,用于提升拉帝亚斯的Z觉醒养成,5,,,,,zawakeFragExclusive,,,,,,,,,,,
51951,拉帝欧斯·Z觉醒碎片,,1951,config/portrait/jinglingtouxiang/img_381_ldos@.png,用于提升拉帝欧斯的Z觉醒养成,用于提升拉帝欧斯的Z觉醒养成,5,,,,,zawakeFragExclusive,,,,,,,,,,,
51961,盖欧卡·Z觉醒碎片,,1961,config/portrait/jinglingtouxiang/img_382_gok@.png,用于提升盖欧卡的Z觉醒养成,用于提升盖欧卡的Z觉醒养成,6,,,,,zawakeFragExclusive,,,,,,,,,,,
