变量名,seq,attrType3,attrNum2,attrType2,attrNum3,attrNum1,attrType1,level
1077,1,,1972,8,,1972,7,77
1078,1,,1993,8,,1993,7,78
1079,1,,2014,8,,2014,7,79
1080,1,,2035,8,,2035,7,80
1081,1,,2110,8,,2110,7,81
1082,1,,2131,8,,2131,7,82
1083,1,,2153,8,,2153,7,83
1084,1,,2174,8,,2174,7,84
1085,1,,2196,8,,2196,7,85
1086,1,,2275,8,,2275,7,86
1087,1,,2297,8,,2297,7,87
1088,1,,2319,8,,2319,7,88
1089,1,,2342,8,,2342,7,89
1090,1,,2364,8,,2364,7,90
1091,1,,2447,8,,2447,7,91
1092,1,,2470,8,,2470,7,92
1093,1,,2492,8,,2492,7,93
1094,1,,2515,8,,2515,7,94
1095,1,,2538,8,,2538,7,95
1096,1,,2625,8,,2625,7,96
1097,1,,2649,8,,2649,7,97
1098,1,,2672,8,,2672,7,98
1099,1,,2696,8,,2696,7,99
1100,1,,2720,8,,2720,7,100
2001,2,,,,,1925,1,1
2002,2,,,,,1979,1,2
2003,2,,,,,2033,1,3
2004,2,,,,,2087,1,4
2005,2,,,,,2141,1,5
2006,2,,,,,2211,1,6
2007,2,,,,,2269,1,7
2008,2,,,,,2326,1,8
2009,2,,,,,2383,1,9
2010,2,,,,,2440,1,10
2011,2,,,,,2531,1,11
2012,2,,,,,2592,1,12
2013,2,,,,,2653,1,13
2014,2,,,,,2713,1,14
2015,2,,,,,2774,1,15
2016,2,,,,,2885,1,16
2017,2,,,,,2949,1,17
2018,2,,,,,3013,1,18
2019,2,,,,,3077,1,19
2020,2,,,,,3141,1,20
2021,2,,,,,3273,1,21
2022,2,,,,,3340,1,22
2023,2,,,,,3407,1,23
2024,2,,,,,3475,1,24
2025,2,,,,,3542,1,25
2026,2,,,,,3694,1,26
2027,2,,,,,3764,1,27
2028,2,,,,,3835,1,28
2029,2,,,,,3906,1,29
2030,2,,,,,3977,1,30
2031,2,,,,,4148,1,31
2032,2,,,,,4222,1,32
2033,2,,,,,4297,1,33
2034,2,,,,,4371,1,34
2035,2,,,,,4445,1,35
2036,2,,,,,4637,1,36
2037,2,,,,,4714,1,37
2038,2,,,,,4792,1,38
2039,2,,,,,4869,1,39
2040,2,,,,,4947,1,40
2041,2,,,,,5159,1,41
2042,2,,,,,5240,1,42
2043,2,,,,,5321,1,43
2044,2,,,,,5402,1,44
2045,2,,,,,5482,1,45
2046,2,,,,,5715,1,46
2047,2,,,,,5799,1,47
2048,2,,,,,5883,1,48
2049,2,,,,,5968,1,49
2050,2,,,,,6052,1,50
2051,2,,,,,6304,1,51
2052,2,,,,,6392,1,52
2053,2,,,,,6480,1,53
2054,2,,,,,6567,1,54
2055,2,,,,,6655,1,55
2056,2,,,,,6928,1,56
2057,2,,,,,7019,1,57
2058,2,,,,,7110,1,58
2059,2,,,,,7200,1,59
2060,2,,,,,7291,1,60
2061,2,,,,,7585,1,61
2062,2,,,,,7679,1,62
2063,2,,,,,7773,1,63
2064,2,,,,,7867,1,64
2065,2,,,,,7962,1,65
2066,2,,,,,8275,1,66
2067,2,,,,,8373,1,67
2068,2,,,,,8470,1,68
2069,2,,,,,8568,1,69
2070,2,,,,,8666,1,70
2071,2,,,,,8999,1,71
2072,2,,,,,9100,1,72
2073,2,,,,,9202,1,73
2074,2,,,,,9303,1,74
2075,2,,,,,9404,1,75
2076,2,,,,,9757,1,76
2077,2,,,,,9862,1,77
2078,2,,,,,9966,1,78
2079,2,,,,,10071,1,79
2080,2,,,,,10175,1,80
2081,2,,,,,10549,1,81
2082,2,,,,,10657,1,82
2083,2,,,,,10765,1,83
2084,2,,,,,10872,1,84
2085,2,,,,,10980,1,85
2086,2,,,,,11374,1,86
2087,2,,,,,11486,1,87
2088,2,,,,,11597,1,88
2089,2,,,,,11708,1,89
2090,2,,,,,11819,1,90
2091,2,,,,,12233,1,91
2092,2,,,,,12348,1,92
2093,2,,,,,12462,1,93
2094,2,,,,,12577,1,94
2095,2,,,,,12692,1,95
2096,2,,,,,13126,1,96
2097,2,,,,,13244,1,97
2098,2,,,,,13362,1,98
2099,2,,,,,13480,1,99
2100,2,,,,,13598,1,100
3001,3,10,270,9,270,963,1,1
3002,3,10,277,9,277,990,1,2
3003,3,10,285,9,285,1017,1,3
3004,3,10,292,9,292,1044,1,4
3005,3,10,300,9,300,1071,1,5
3006,3,10,310,9,310,1106,1,6
3007,3,10,318,9,318,1135,1,7
3008,3,10,326,9,326,1163,1,8
3009,3,10,334,9,334,1192,1,9
3010,3,10,342,9,342,1220,1,10
3011,3,10,354,9,354,1266,1,11
3012,3,10,363,9,363,1296,1,12
3013,3,10,371,9,371,1327,1,13
3014,3,10,380,9,380,1357,1,14
3015,3,10,388,9,388,1387,1,15
3016,3,10,404,9,404,1443,1,16
3017,3,10,413,9,413,1475,1,17
3018,3,10,422,9,422,1507,1,18
3019,3,10,431,9,431,1539,1,19
3020,3,10,440,9,440,1571,1,20
3021,3,10,458,9,458,1637,1,21
3022,3,10,468,9,468,1670,1,22
3023,3,10,477,9,477,1704,1,23
3024,3,10,486,9,486,1738,1,24
3025,3,10,496,9,496,1771,1,25
3026,3,10,517,9,517,1847,1,26
3027,3,10,527,9,527,1882,1,27
3028,3,10,537,9,537,1918,1,28
3029,3,10,547,9,547,1953,1,29
3030,3,10,557,9,557,1989,1,30
3031,3,10,581,9,581,2074,1,31
3032,3,10,591,9,591,2111,1,32
3033,3,10,602,9,602,2149,1,33
3034,3,10,612,9,612,2186,1,34
3035,3,10,622,9,622,2223,1,35
3036,3,10,649,9,649,2319,1,36
3037,3,10,660,9,660,2357,1,37
3038,3,10,671,9,671,2396,1,38
3039,3,10,682,9,682,2435,1,39
3040,3,10,693,9,693,2474,1,40
3041,3,10,722,9,722,2580,1,41
3042,3,10,734,9,734,2620,1,42
3043,3,10,745,9,745,2661,1,43
3044,3,10,756,9,756,2701,1,44
3045,3,10,768,9,768,2741,1,45
3046,3,10,800,9,800,2858,1,46
3047,3,10,812,9,812,2900,1,47
3048,3,10,824,9,824,2942,1,48
3049,3,10,835,9,835,2984,1,49
3050,3,10,847,9,847,3026,1,50
3051,3,10,883,9,883,3152,1,51
3052,3,10,895,9,895,3196,1,52
3053,3,10,907,9,907,3240,1,53
3054,3,10,919,9,919,3284,1,54
3055,3,10,932,9,932,3328,1,55
3056,3,10,970,9,970,3464,1,56
3057,3,10,983,9,983,3510,1,57
3058,3,10,995,9,995,3555,1,58
3059,3,10,1008,9,1008,3600,1,59
3060,3,10,1021,9,1021,3646,1,60
3061,3,10,1062,9,1062,3793,1,61
3062,3,10,1075,9,1075,3840,1,62
3063,3,10,1088,9,1088,3887,1,63
3064,3,10,1101,9,1101,3934,1,64
3065,3,10,1115,9,1115,3981,1,65
3066,3,10,1159,9,1159,4138,1,66
3067,3,10,1172,9,1172,4187,1,67
3068,3,10,1186,9,1186,4235,1,68
3069,3,10,1200,9,1200,4284,1,69
3070,3,10,1213,9,1213,4333,1,70
3071,3,10,1260,9,1260,4500,1,71
3072,3,10,1274,9,1274,4550,1,72
3073,3,10,1288,9,1288,4601,1,73
3074,3,10,1302,9,1302,4652,1,74
3075,3,10,1317,9,1317,4702,1,75
3076,3,10,1366,9,1366,4879,1,76
3077,3,10,1381,9,1381,4931,1,77
3078,3,10,1395,9,1395,4983,1,78
3079,3,10,1410,9,1410,5036,1,79
3080,3,10,1425,9,1425,5088,1,80
3081,3,10,1477,9,1477,5275,1,81
3082,3,10,1492,9,1492,5329,1,82
3083,3,10,1507,9,1507,5383,1,83
3084,3,10,1522,9,1522,5436,1,84
3085,3,10,1537,9,1537,5490,1,85
3086,3,10,1592,9,1592,5687,1,86
3087,3,10,1608,9,1608,5743,1,87
3088,3,10,1624,9,1624,5799,1,88
3089,3,10,1639,9,1639,5854,1,89
3090,3,10,1655,9,1655,5910,1,90
3091,3,10,1713,9,1713,6117,1,91
3092,3,10,1729,9,1729,6174,1,92
3093,3,10,1745,9,1745,6231,1,93
3094,3,10,1761,9,1761,6289,1,94
3095,3,10,1777,9,1777,6346,1,95
3096,3,10,1838,9,1838,6563,1,96
3097,3,10,1854,9,1854,6622,1,97
3098,3,10,1871,9,1871,6681,1,98
3099,3,10,1887,9,1887,6740,1,99
3100,3,10,1904,9,1904,6799,1,100
4001,4,8,289,7,289,481,1,1
4002,4,8,297,7,297,495,1,2
4003,4,8,305,7,305,508,1,3
4004,4,8,313,7,313,522,1,4
4005,4,8,321,7,321,535,1,5
4006,4,8,332,7,332,553,1,6
4007,4,8,341,7,341,567,1,7
4008,4,8,349,7,349,582,1,8
4009,4,8,358,7,358,596,1,9
4010,4,8,366,7,366,610,1,10
4011,4,8,380,7,380,633,1,11
4012,4,8,389,7,389,648,1,12
4013,4,8,398,7,398,663,1,13
4014,4,8,407,7,407,678,1,14
4015,4,8,416,7,416,694,1,15
4016,4,8,433,7,433,721,1,16
4017,4,8,443,7,443,737,1,17
4018,4,8,452,7,452,753,1,18
4019,4,8,461,7,461,769,1,19
4020,4,8,471,7,471,785,1,20
4021,4,8,491,7,491,818,1,21
4022,4,8,501,7,501,835,1,22
4023,4,8,511,7,511,852,1,23
4024,4,8,521,7,521,869,1,24
4025,4,8,531,7,531,886,1,25
4026,4,8,554,7,554,924,1,26
4027,4,8,565,7,565,941,1,27
4028,4,8,575,7,575,959,1,28
4029,4,8,586,7,586,977,1,29
4030,4,8,596,7,596,994,1,30
4031,4,8,623,7,623,1037,1,31
4032,4,8,633,7,633,1056,1,32
4033,4,8,644,7,644,1074,1,33
4034,4,8,656,7,656,1093,1,34
4035,4,8,667,7,667,1111,1,35
4036,4,8,695,7,695,1159,1,36
4037,4,8,707,7,707,1179,1,37
4038,4,8,719,7,719,1198,1,38
4039,4,8,731,7,731,1217,1,39
4040,4,8,742,7,742,1237,1,40
4041,4,8,774,7,774,1290,1,41
4042,4,8,786,7,786,1310,1,42
4043,4,8,798,7,798,1330,1,43
4044,4,8,810,7,810,1351,1,44
4045,4,8,822,7,822,1371,1,45
4046,4,8,857,7,857,1429,1,46
4047,4,8,870,7,870,1450,1,47
4048,4,8,883,7,883,1471,1,48
4049,4,8,896,7,896,1492,1,49
4050,4,8,908,7,908,1513,1,50
4051,4,8,946,7,946,1576,1,51
4052,4,8,959,7,959,1598,1,52
4053,4,8,972,7,972,1620,1,53
4054,4,8,985,7,985,1642,1,54
4055,4,8,998,7,998,1664,1,55
4056,4,8,1040,7,1040,1732,1,56
4057,4,8,1053,7,1053,1755,1,57
4058,4,8,1067,7,1067,1778,1,58
4059,4,8,1080,7,1080,1800,1,59
4060,4,8,1094,7,1094,1823,1,60
4061,4,8,1138,7,1138,1896,1,61
4062,4,8,1152,7,1152,1920,1,62
4063,4,8,1166,7,1166,1943,1,63
4064,4,8,1180,7,1180,1967,1,64
4065,4,8,1194,7,1194,1991,1,65
4066,4,8,1241,7,1241,2069,1,66
4067,4,8,1256,7,1256,2093,1,67
4068,4,8,1271,7,1271,2118,1,68
4069,4,8,1286,7,1286,2142,1,69
4070,4,8,1300,7,1300,2167,1,70
4071,4,8,1350,7,1350,2250,1,71
4072,4,8,1365,7,1365,2275,1,72
4073,4,8,1380,7,1380,2301,1,73
4074,4,8,1396,7,1396,2326,1,74
4075,4,8,1411,7,1411,2351,1,75
4076,4,8,1463,7,1463,2439,1,76
4077,4,8,1479,7,1479,2466,1,77
4078,4,8,1495,7,1495,2492,1,78
4079,4,8,1511,7,1511,2518,1,79
4080,4,8,1526,7,1526,2544,1,80
4081,4,8,1583,7,1583,2637,1,81
4082,4,8,1598,7,1598,2664,1,82
4083,4,8,1615,7,1615,2691,1,83
4084,4,8,1631,7,1631,2718,1,84
4085,4,8,1647,7,1647,2745,1,85
4086,4,8,1706,7,1706,2844,1,86
4087,4,8,1723,7,1723,2872,1,87
4088,4,8,1739,7,1739,2899,1,88
4089,4,8,1757,7,1757,2927,1,89
4090,4,8,1773,7,1773,2955,1,90
4091,4,8,1835,7,1835,3058,1,91
4092,4,8,1853,7,1853,3087,1,92
4093,4,8,1869,7,1869,3116,1,93
4094,4,8,1886,7,1886,3144,1,94
4095,4,8,1904,7,1904,3173,1,95
4096,4,8,1969,7,1969,3282,1,96
4097,4,8,1987,7,1987,3311,1,97
4098,4,8,2004,7,2004,3341,1,98
4099,4,8,2022,7,2022,3370,1,99
4100,4,8,2040,7,2040,3400,1,100
5001,5,8,0%,7,0%,0%,22,1
5002,5,8,0%,7,0%,0%,22,2
5003,5,8,0%,7,0%,0%,22,3
5004,5,8,0%,7,0%,0%,22,4
5005,5,8,0%,7,0%,0%,22,5
5006,5,8,0%,7,0%,0%,22,6
5007,5,8,0%,7,0%,0%,22,7
5008,5,8,0%,7,0%,0%,22,8
5009,5,8,0%,7,0%,0%,22,9
5010,5,8,0%,7,0%,0%,22,10
5011,5,8,0%,7,0%,0%,22,11
5012,5,8,0%,7,0%,0%,22,12
5013,5,8,0%,7,0%,0%,22,13
5014,5,8,0%,7,0%,0%,22,14
5015,5,8,0%,7,0%,0%,22,15
5016,5,8,0%,7,0%,0%,22,16
5017,5,8,0%,7,0%,0%,22,17
5018,5,8,0%,7,0%,0%,22,18
5019,5,8,0%,7,0%,0%,22,19
5020,5,8,0%,7,0%,0%,22,20
5021,5,8,0%,7,0%,0%,22,21
5022,5,8,0%,7,0%,0%,22,22
5023,5,8,0%,7,0%,0%,22,23
5024,5,8,0%,7,0%,0%,22,24
5025,5,8,0%,7,0%,0%,22,25
5026,5,8,0%,7,0%,0%,22,26
5027,5,8,0%,7,0%,0%,22,27
5028,5,8,0%,7,0%,0%,22,28
5029,5,8,0%,7,0%,0%,22,29
5030,5,8,0%,7,0%,0%,22,30
5031,5,8,0%,7,0%,0%,22,31
5032,5,8,0%,7,0%,0%,22,32
5033,5,8,0%,7,0%,0%,22,33
5034,5,8,0%,7,0%,0%,22,34
5035,5,8,0%,7,0%,0%,22,35
5036,5,8,0%,7,0%,0%,22,36
5037,5,8,0%,7,0%,0%,22,37
5038,5,8,0%,7,0%,0%,22,38
5039,5,8,0%,7,0%,0%,22,39
5040,5,8,0%,7,0%,0%,22,40
5041,5,8,0%,7,0%,0%,22,41
5042,5,8,0%,7,0%,0%,22,42
5043,5,8,0%,7,0%,0%,22,43
5044,5,8,0%,7,0%,0%,22,44
5045,5,8,0%,7,0%,0%,22,45
5046,5,8,0%,7,0%,0%,22,46
5047,5,8,0%,7,0%,0%,22,47
5048,5,8,0%,7,0%,0%,22,48
5049,5,8,0%,7,0%,0%,22,49
5050,5,8,0%,7,0%,0%,22,50
5051,5,8,0%,7,0%,0%,22,51
5052,5,8,0%,7,0%,0%,22,52
5053,5,8,0%,7,0%,0%,22,53
5054,5,8,0%,7,0%,0%,22,54
5055,5,8,0%,7,0%,0%,22,55
5056,5,8,0%,7,0%,0%,22,56
5057,5,8,0%,7,0%,0%,22,57
5058,5,8,0%,7,0%,0%,22,58
5059,5,8,0%,7,0%,0%,22,59
5060,5,8,0%,7,0%,0%,22,60
5061,5,8,0%,7,0%,0%,22,61
5062,5,8,0%,7,0%,0%,22,62
5063,5,8,0%,7,0%,0%,22,63
5064,5,8,0%,7,0%,0%,22,64
5065,5,8,0%,7,0%,0%,22,65
5066,5,8,0%,7,0%,0%,22,66
5067,5,8,0%,7,0%,0%,22,67
5068,5,8,0%,7,0%,0%,22,68
5069,5,8,0%,7,0%,0%,22,69
5070,5,8,0%,7,0%,0%,22,70
5071,5,8,0%,7,0%,0%,22,71
5072,5,8,0%,7,0%,0%,22,72
5073,5,8,0%,7,0%,0%,22,73
5074,5,8,0%,7,0%,0%,22,74
5075,5,8,0%,7,0%,0%,22,75
5076,5,8,0%,7,0%,0%,22,76
5077,5,8,0%,7,0%,0%,22,77
5078,5,8,0%,7,0%,0%,22,78
5079,5,8,0%,7,0%,0%,22,79
5080,5,8,0%,7,0%,0%,22,80
5081,5,8,0%,7,0%,0%,22,81
5082,5,8,0%,7,0%,0%,22,82
5083,5,8,0%,7,0%,0%,22,83
5084,5,8,0%,7,0%,0%,22,84
5085,5,8,0%,7,0%,0%,22,85
5086,5,8,0%,7,0%,0%,22,86
5087,5,8,0%,7,0%,0%,22,87
5088,5,8,0%,7,0%,0%,22,88
5089,5,8,0%,7,0%,0%,22,89
5090,5,8,0%,7,0%,0%,22,90
5091,5,8,0%,7,0%,0%,22,91
5092,5,8,0%,7,0%,0%,22,92
5093,5,8,0%,7,0%,0%,22,93
5094,5,8,0%,7,0%,0%,22,94
5095,5,8,0%,7,0%,0%,22,95
5096,5,8,0%,7,0%,0%,22,96
5097,5,8,0%,7,0%,0%,22,97
5098,5,8,0%,7,0%,0%,22,98
5099,5,8,0%,7,0%,0%,22,99
5100,5,8,0%,7,0%,0%,22,100
6001,6,,0%,1,,0%,23,1
6002,6,,0%,1,,0%,23,2
6003,6,,0%,1,,0%,23,3
6004,6,,0%,1,,0%,23,4
6005,6,,0%,1,,0%,23,5
6006,6,,0%,1,,0%,23,6
6007,6,,0%,1,,0%,23,7
6008,6,,0%,1,,0%,23,8
6009,6,,0%,1,,0%,23,9
6010,6,,0%,1,,0%,23,10
6011,6,,0%,1,,0%,23,11
6012,6,,0%,1,,0%,23,12
6013,6,,0%,1,,0%,23,13
6014,6,,0%,1,,0%,23,14
6015,6,,0%,1,,0%,23,15
6016,6,,0%,1,,0%,23,16
6017,6,,0%,1,,0%,23,17
6018,6,,0%,1,,0%,23,18
6019,6,,0%,1,,0%,23,19
6020,6,,0%,1,,0%,23,20
6021,6,,0%,1,,0%,23,21
6022,6,,0%,1,,0%,23,22
6023,6,,0%,1,,0%,23,23
6024,6,,0%,1,,0%,23,24
6025,6,,0%,1,,0%,23,25
6026,6,,0%,1,,0%,23,26
6027,6,,0%,1,,0%,23,27
6028,6,,0%,1,,0%,23,28
6029,6,,0%,1,,0%,23,29
6030,6,,0%,1,,0%,23,30
6031,6,,0%,1,,0%,23,31
6032,6,,0%,1,,0%,23,32
6033,6,,0%,1,,0%,23,33
6034,6,,0%,1,,0%,23,34
6035,6,,0%,1,,0%,23,35
6036,6,,0%,1,,0%,23,36
6037,6,,0%,1,,0%,23,37
6038,6,,0%,1,,0%,23,38
6039,6,,0%,1,,0%,23,39
6040,6,,0%,1,,0%,23,40
6041,6,,0%,1,,0%,23,41
6042,6,,0%,1,,0%,23,42
6043,6,,0%,1,,0%,23,43
6044,6,,0%,1,,0%,23,44
6045,6,,0%,1,,0%,23,45
6046,6,,0%,1,,0%,23,46
6047,6,,0%,1,,0%,23,47
6048,6,,0%,1,,0%,23,48
6049,6,,0%,1,,0%,23,49
6050,6,,0%,1,,0%,23,50
6051,6,,0%,1,,0%,23,51
6052,6,,0%,1,,0%,23,52
6053,6,,0%,1,,0%,23,53
6054,6,,0%,1,,0%,23,54
6055,6,,0%,1,,0%,23,55
6056,6,,0%,1,,0%,23,56
6057,6,,0%,1,,0%,23,57
6058,6,,0%,1,,0%,23,58
6059,6,,0%,1,,0%,23,59
6060,6,,0%,1,,0%,23,60
6061,6,,0%,1,,0%,23,61
6062,6,,0%,1,,0%,23,62
6063,6,,0%,1,,0%,23,63
6064,6,,0%,1,,0%,23,64
6065,6,,0%,1,,0%,23,65
6066,6,,0%,1,,0%,23,66
6067,6,,0%,1,,0%,23,67
6068,6,,0%,1,,0%,23,68
6069,6,,0%,1,,0%,23,69
6070,6,,0%,1,,0%,23,70
6071,6,,0%,1,,0%,23,71
6072,6,,0%,1,,0%,23,72
6073,6,,0%,1,,0%,23,73
6074,6,,0%,1,,0%,23,74
6075,6,,0%,1,,0%,23,75
6076,6,,0%,1,,0%,23,76
6077,6,,0%,1,,0%,23,77
6078,6,,0%,1,,0%,23,78
6079,6,,0%,1,,0%,23,79
6080,6,,0%,1,,0%,23,80
6081,6,,0%,1,,0%,23,81
6082,6,,0%,1,,0%,23,82
6083,6,,0%,1,,0%,23,83
6084,6,,0%,1,,0%,23,84
6085,6,,0%,1,,0%,23,85
6086,6,,0%,1,,0%,23,86
6087,6,,0%,1,,0%,23,87
6088,6,,0%,1,,0%,23,88
6089,6,,0%,1,,0%,23,89
6090,6,,0%,1,,0%,23,90
6091,6,,0%,1,,0%,23,91
6092,6,,0%,1,,0%,23,92
6093,6,,0%,1,,0%,23,93
6094,6,,0%,1,,0%,23,94
6095,6,,0%,1,,0%,23,95
6096,6,,0%,1,,0%,23,96
6097,6,,0%,1,,0%,23,97
6098,6,,0%,1,,0%,23,98
6099,6,,0%,1,,0%,23,99
6100,6,,0%,1,,0%,23,100
11001,11,,578,8,,578,7,1
11002,11,,594,8,,594,7,2
11003,11,,610,8,,610,7,3
11004,11,,626,8,,626,7,4
11005,11,,642,8,,642,7,5
11006,11,,663,8,,663,7,6
11007,11,,681,8,,681,7,7
11008,11,,698,8,,698,7,8
11009,11,,715,8,,715,7,9
11010,11,,732,8,,732,7,10
11011,11,,759,8,,759,7,11
11012,11,,778,8,,778,7,12
11013,11,,796,8,,796,7,13
11014,11,,814,8,,814,7,14
11015,11,,832,8,,832,7,15
11016,11,,866,8,,866,7,16
11017,11,,885,8,,885,7,17
11018,11,,904,8,,904,7,18
11019,11,,923,8,,923,7,19
11020,11,,942,8,,942,7,20
11021,11,,982,8,,982,7,21
11022,11,,1002,8,,1002,7,22
11023,11,,1022,8,,1022,7,23
11024,11,,1042,8,,1042,7,24
11025,11,,1063,8,,1063,7,25
11026,11,,1108,8,,1108,7,26
11027,11,,1129,8,,1129,7,27
11028,11,,1151,8,,1151,7,28
11029,11,,1172,8,,1172,7,29
11030,11,,1193,8,,1193,7,30
11031,11,,1245,8,,1245,7,31
11032,11,,1267,8,,1267,7,32
11033,11,,1289,8,,1289,7,33
11034,11,,1311,8,,1311,7,34
11035,11,,1333,8,,1333,7,35
11036,11,,1391,8,,1391,7,36
11037,11,,1414,8,,1414,7,37
11038,11,,1438,8,,1438,7,38
11039,11,,1461,8,,1461,7,39
11040,11,,1484,8,,1484,7,40
11041,11,,1548,8,,1548,7,41
11042,11,,1572,8,,1572,7,42
11043,11,,1596,8,,1596,7,43
11044,11,,1620,8,,1620,7,44
11045,11,,1645,8,,1645,7,45
11046,11,,1714,8,,1714,7,46
11047,11,,1740,8,,1740,7,47
11048,11,,1765,8,,1765,7,48
11049,11,,1790,8,,1790,7,49
11050,11,,1816,8,,1816,7,50
11051,11,,1891,8,,1891,7,51
11052,11,,1918,8,,1918,7,52
11053,11,,1944,8,,1944,7,53
11054,11,,1970,8,,1970,7,54
11055,11,,1996,8,,1996,7,55
11056,11,,2078,8,,2078,7,56
11057,11,,2106,8,,2106,7,57
11058,11,,2133,8,,2133,7,58
11059,11,,2160,8,,2160,7,59
11060,11,,2187,8,,2187,7,60
11061,11,,2275,8,,2275,7,61
11062,11,,2304,8,,2304,7,62
11063,11,,2332,8,,2332,7,63
11064,11,,2360,8,,2360,7,64
11065,11,,2389,8,,2389,7,65
11066,11,,2483,8,,2483,7,66
11067,11,,2512,8,,2512,7,67
11068,11,,2541,8,,2541,7,68
11069,11,,2570,8,,2570,7,69
11070,11,,2600,8,,2600,7,70
11071,11,,2700,8,,2700,7,71
11072,11,,2730,8,,2730,7,72
11073,11,,2760,8,,2760,7,73
11074,11,,2791,8,,2791,7,74
11075,11,,2821,8,,2821,7,75
11076,11,,2927,8,,2927,7,76
11077,11,,2959,8,,2959,7,77
11078,11,,2990,8,,2990,7,78
11079,11,,3021,8,,3021,7,79
11080,11,,3053,8,,3053,7,80
11081,11,,3165,8,,3165,7,81
11082,11,,3197,8,,3197,7,82
11083,11,,3229,8,,3229,7,83
11084,11,,3262,8,,3262,7,84
11085,11,,3294,8,,3294,7,85
11086,11,,3412,8,,3412,7,86
11087,11,,3446,8,,3446,7,87
11088,11,,3479,8,,3479,7,88
11089,11,,3512,8,,3512,7,89
11090,11,,3546,8,,3546,7,90
11091,11,,3670,8,,3670,7,91
11092,11,,3704,8,,3704,7,92
11093,11,,3739,8,,3739,7,93
11094,11,,3773,8,,3773,7,94
11095,11,,3807,8,,3807,7,95
11096,11,,3938,8,,3938,7,96
11097,11,,3973,8,,3973,7,97
11098,11,,4009,8,,4009,7,98
11099,11,,4044,8,,4044,7,99
11100,11,,4079,8,,4079,7,100
12001,12,,,,,2888,1,1
12002,12,,,,,2968,1,2
12003,12,,,,,3049,1,3
12004,12,,,,,3130,1,4
12005,12,,,,,3211,1,5
12006,12,,,,,3317,1,6
12007,12,,,,,3403,1,7
12008,12,,,,,3489,1,8
12009,12,,,,,3575,1,9
12010,12,,,,,3661,1,10
12011,12,,,,,3797,1,11
12012,12,,,,,3888,1,12
12013,12,,,,,3979,1,13
12014,12,,,,,4070,1,14
12015,12,,,,,4161,1,15
12016,12,,,,,4328,1,16
12017,12,,,,,4424,1,17
12018,12,,,,,4520,1,18
12019,12,,,,,4616,1,19
