变量名,name,name_tw,name_en,name_vn,name_kr,type,group,groupWeight,quality,icon,weight,skillID,desc,desc_tw,desc_en,desc_vn,desc_kr
28,侵蚀I,侵蝕I,Erosion I,404,404,1201,10,300,6,city/develop/talent/icon_bsjc.png,,81028,敌方全体双攻降低15%，持续全场#L0##C0xFF3D3D#（拥有其他相同系列的效果时，效果翻倍）#L0##C0xFF3D3D#,敵方全體雙攻降低15%，持續全場#L0##C0xFF3D3D#（擁有其他相同系列的效果時，效果翻倍）#L0##C0xFF3D3D#,404,404,404
29,侵蚀II,侵蝕II,Erosion II,404,404,301,10,200,6,city/develop/talent/icon_bsjc.png,,81029,敌方双防降低20%，持续全场#L0##C0xFF3D3D#（拥有其他相同系列的效果时，效果翻倍）#L0##C0xFF3D3D#,敵方雙防降低20%，持續全場#L0##C0xFF3D3D#（擁有其他相同系列的效果時，效果翻倍）#L0##C0xFF3D3D#,404,404,404
30,掌控I,掌控I,Control I,404,404,1201,11,200,5,city/develop/talent/icon_ysg.png,,81030,"己方全体精灵控制率提升10%,持续全场#L0##C0xFF3D3D#（拥有其他相同系列的效果时，效果翻倍）#L0##C0xFF3D3D#","己方全體精靈控制率提升10%,持續全場#L0##C0xFF3D3D#（擁有其他相同系列的效果時，效果翻倍）#L0##C0xFF3D3D#",404,404,404
31,掌控II,掌控II,Control II,404,404,1301,11,200,5,city/develop/talent/icon_ysg.png,,81031,己方全体精灵攻击时有10%概率眩晕目标1回合#L0##C0xFF3D3D#（拥有其他相同系列的效果时，控制概率翻倍）#L0##C0xFF3D3D#,己方全體精靈攻擊時有10%概率眩暈目標1回合#L0##C0xFF3D3D#（擁有其他相同系列的效果時，控制概率翻倍）#L0##C0xFF3D3D#,404,404,404
32,掌控III,掌控III,Control III,404,404,1301,11,100,5,city/develop/talent/icon_ysg.png,,81032,己方全体精灵攻击时有10%概率混乱目标1回合#L0##C0xFF3D3D#（拥有其他相同系列的效果时，控制概率翻倍）#L0##C0xFF3D3D#,己方全體精靈攻擊時有10%概率混亂目標1回合#L0##C0xFF3D3D#（擁有其他相同系列的效果時，控制概率翻倍）#L0##C0xFF3D3D#,404,404,404
33,掌控IV,掌控IV,Control IV,404,404,1301,11,100,5,city/develop/talent/icon_ysg.png,,81033,己方全体精灵攻击时有15%概率沉默目标1回合#L0##C0xFF3D3D#（拥有其他相同系列的效果时，控制概率翻倍）#L0##C0xFF3D3D#,己方全體精靈攻擊時有15%概率沉默目標1回合#L0##C0xFF3D3D#（擁有其他相同系列的效果時，控制概率翻倍）#L0##C0xFF3D3D#,404,404,404
,,,,,,,,,,,,,,,,,
101,无双MAX,無雙MAX,Warriors MAX,404,404,301,1,50,7,city/adventure/random_tower/icon/icon_gj.png,0,81101,己方全体无视目标100%双防和免伤#L0##C0xFF3D3D#（至少拥有一个同一系列的徽章才可激活）#L0##C0xFF3D3D#,404,404,404,404
102,冷血MAX,冷血MAX,Cold Blood MAX,404,404,301,2,50,4,city/adventure/random_tower/icon/icon_bj.png,0,81102,己方全体开场获得60%暴击率和暴击伤害提升，每回合结束衰减20%效果#L0##C0xFF3D3D#（至少拥有一个同一系列的徽章才可激活）#L0##C0xFF3D3D#,404,404,404,404
103,嗜血MAX,嗜血MAX,Bloodthirsty MAX,404,404,1301,3,50,7,city/adventure/random_tower/icon/icon_xx.png,0,81103,己方全体吸血率和怒气回复速率提升20%#L0##C0xFF3D3D#（至少拥有一个同一系列的徽章才可激活）#L0##C0xFF3D3D#,404,404,404,404
104,锋芒MAX,鋒芒MAX,Edge MAX,404,404,301,4,50,7,city/adventure/random_tower/icon/icon_sh1.png,0,81104,己方主动技能攻击使敌方生命低于20%时会直接将其淘汰#L0##C0xFF3D3D#（至少拥有一个同一系列的徽章才可激活）#L0##C0xFF3D3D#,404,404,404,404
105,元素之力MAX,元素之力MAX,Element Force VMAX,404,404,1001,5,50,3,city/develop/talent/icon_sg.png,0,81105,己方所有元素之力的效果翻倍#L0##C0xFF3D3D#（至少拥有一个同一系列的徽章才可激活）#L0##C0xFF3D3D#,404,404,404,404
106,灵山MAX,靈山MAX,Protection MAX,404,404,301,6,50,1,city/develop/talent/icon_wf.png,0,81106,战斗结束时所有存活精灵回复60%已损生命值#L0##C0xFF3D3D#（至少拥有一个同一系列的徽章才可激活）#L0##C0xFF3D3D#,404,404,404,404
107,御守MAX,禦守MAX,Block MAX,404,404,301,7,50,3,city/adventure/random_tower/icon/icon_jh.png,0,81107,己方全体抵御率和抵御强度提升60%#L0##C0xFF3D3D#（至少拥有一个同一系列的徽章才可激活）#L0##C0xFF3D3D#,404,404,404,404
108,荆棘MAX,荊棘MAX,Thorns MAX,404,404,1301,8,50,2,city/develop/talent/icon_shjm.png,0,81108,己方精灵阵亡时，会对敌方全体造成自身50%生命上限的伤害#L0##C0xFF3D3D#（至少拥有一个同一系列的徽章才可激活）#L0##C0xFF3D3D#,404,404,404,404
109,光盾MAX,光盾MAX,Light Shield MAX,404,404,301,9,50,3,city/adventure/random_tower/icon/icon_fy.png,0,81109,己方全体每个大回合获得自身15%最大生命值的护盾#L0##C0xFF3D3D#（至少拥有一个同一系列的徽章才可激活）#L0##C0xFF3D3D#,404,404,404,404
110,侵蚀MAX,侵蝕MAX,Erosion MAX,404,404,301,10,50,6,city/develop/talent/icon_bsjc.png,0,81110,战斗开始时永久降低敌方全体30%生命上限#L0##C0xFF3D3D#（至少拥有一个同一系列的徽章才可激活）#L0##C0xFF3D3D#,404,404,404,404
111,掌控MAX,掌控MAX,Control MAX,404,404,1301,11,50,5,city/develop/talent/icon_ysg.png,0,81111,开场时敌方全体精灵被冰冻2个大回合，冰冻强度为20%目标最大生命值#L0##C0xFF3D3D#（至少拥有一个同一系列的徽章才可激活）#L0##C0xFF3D3D#,404,404,404,404
